"poly","ring","x","y"
"o_1",1,27604,14766
"o_1",1,27512,14777
"o_1",1,27508,14756
"o_1",1,27494,14782
"o_1",1,27460,14787
"o_1",1,27448,14781
"o_1",1,27437,14779
"o_1",1,27437,14775
"o_1",1,27433,14774
"o_1",1,27429,14763
"o_1",1,27421,14755
"o_1",1,27392,14723
"o_1",1,27346,14705
"o_1",1,27325,14683
"o_1",1,27324,14677
"o_1",1,27316,14672
"o_1",1,27298,14665
"o_1",1,27264,14615
"o_1",1,27317,14599
"o_1",1,27319,14599
"o_1",1,27325,14595
"o_1",1,27343,14581
"o_1",1,27350,14567
"o_1",1,27318,14599
"o_1",1,27310,14597
"o_1",1,27302,14594
"o_1",1,27270,14609
"o_1",1,27217,14598
"o_1",1,27111,14643
"o_1",1,27086,14655
"o_1",1,27083,14659
"o_1",1,27081,14661
"o_1",1,27080,14662
"o_1",1,27077,14664
"o_1",1,27070,14667
"o_1",1,27056,14658
"o_1",1,27059,14670
"o_1",1,27020,14699
"o_1",1,26955,14764
"o_1",1,26911,14725
"o_1",1,26919,14714
"o_1",1,26882,14717
"o_1",1,26928,14778
"o_1",1,26853,14770
"o_1",1,26780,14800
"o_1",1,26758,14788
"o_1",1,26768,14732
"o_1",1,26788,14658
"o_1",1,26794,14637
"o_1",1,26805,14625
"o_1",1,26729,14630
"o_1",1,26702,14640
"o_1",1,26733,14645
"o_1",1,26786,14659
"o_1",1,26745,14715
"o_1",1,26695,14686
"o_1",1,26694,14678
"o_1",1,26629,14727
"o_1",1,26674,14708
"o_1",1,26744,14799
"o_1",1,26643,14826
"o_1",1,26600,14860
"o_1",1,26542,14866
"o_1",1,26558,14794
"o_1",1,26493,14791
"o_1",1,26531,14820
"o_1",1,26478,14870
"o_1",1,26379,14922
"o_1",1,26282,14957
"o_1",1,26258,14974
"o_1",1,26206,15000
"o_1",1,26170,15021
"o_1",1,26157,15028
"o_1",1,26152,15029
"o_1",1,26152,15027
"o_1",1,26143,15030
"o_1",1,26128,15031
"o_1",1,26070,15049
"o_1",1,26065,15036
"o_1",1,26074,14951
"o_1",1,26111,14925
"o_1",1,26131,14868
"o_1",1,26191,14896
"o_1",1,26207,14793
"o_1",1,26133,14790
"o_1",1,26135,14843
"o_1",1,26110,14921
"o_1",1,26063,14951
"o_1",1,26033,14889
"o_1",1,26003,14902
"o_1",1,25991,14901
"o_1",1,25990,14916
"o_1",1,26027,14938
"o_1",1,26056,14975
"o_1",1,26064,15047
"o_1",1,25985,15050
"o_1",1,25908,15015
"o_1",1,25825,14948
"o_1",1,25818,14925
"o_1",1,25765,14865
"o_1",1,25753,14853
"o_1",1,25725,14832
"o_1",1,25710,14816
"o_1",1,25682,14794
"o_1",1,25795,14724
"o_1",1,25723,14755
"o_1",1,25668,14746
"o_1",1,25700,14670
