"st","x","y"
"20",19942,11953
"20",19601,13230
"20",19532,13346
"20",21450,12183
"20",21555,12121
"20",19559,12947
"20",19536,13268
"20",19537,13391
"20",21091,13632
"20",21536,12128
"20",19615,13468
"20",19572,13332
"20",19458,13270
"20",19545,13342
"20",21386,12103
"20",19393,13314
"20",19381,13311
"20",21318,11734
"20",20072,11860
"20",21528,11969
"20",21561,11918
"20",21555,11920
"20",19794,12067
"20",18622,12627
"20",21483,11903
"20",19194,11675
"20",21474,11924
"20",21511,11983
"20",21487,11948
"20",21382,11877
"20",20714,12043
"20",19368,12201
"20",21554,11970
"20",21552,11937
"20",21587,13342
"20",20091,11854
"20",19913,13308
"20",20435,12610
"20",18446,12618
"20",18481,12478
"20",19154,13031
"20",16316,11594
"20",16824,13844
"20",16606,12959
"20",20109,11855
"20",21321,11754
"20",20403,12603
"20",20747,12001
"20",21336,12212
"20",21492,12010
"20",20757,13743
"20",20131,11832
"20",21492,12025
"20",19565,13309
"20",18208,13336
"20",21479,12143
"20",21520,12009
"20",21445,12027
"20",20740,11586
"20",20322,11841
"20",20107,11850
"20",21090,12076
"20",19601,13430
"20",19906,12019
"20",19595,13430
"20",21457,12193
"20",21086,12047
"20",21323,11711
"20",21457,12159
"20",19658,13265
"20",21512,12148
"20",19514,13322
"20",21095,11299
"20",17591,13205
"20",19442,13305
"20",19560,13299
"20",21413,12141
"20",21568,12065
"20",19501,13288
"20",19648,13291
"20",19450,13266
"20",19607,13230
"20",19599,13277
"20",19622,13331
"20",21474,12181
"20",21440,12184
"20",21504,12136
"20",20776,12030
"20",21408,11878
"20",21571,11979
"20",21412,11979
"20",21463,11899
"20",21461,11906
"20",19102,12921
"20",20810,12036
"20",21545,11900
"20",21540,11894
"20",21196,12646
"20",21528,11982
"20",21530,11898
"20",20408,12614
"20",16834,11580
"20",18480,12469
"20",21539,13592
"20",21538,13591
"20",19792,12659
"20",20582,11906
"20",16610,12957
"20",20405,12600
"20",21521,13156
"20",21514,13153
"20",17707,11180
"20",20420,13021
"20",18906,12653
"20",16210,13290
"20",17536,13173
"20",21457,12194
"20",21468,12038
"20",21561,12026
"20",19530,13342
"20",19600,13302
"20",21283,12089
"20",21461,12181
"20",21528,13152
"20",20186,12377
"20",20755,11796
"20",19587,13337
"20",17558,13189
"20",20116,11861
"20",19644,13394
"20",19603,13292
"20",19540,13277
"20",19536,13405
"20",21064,12068
"20",21451,12066
"20",21529,13180
"20",16066,13831
"20",21524,13160
"20",21516,12126
"20",21513,12129
"20",20482,13606
"20",19754,13885
"20",21402,12023
"20",19921,12010
"20",21414,12132
"20",19556,13197
"20",19553,13321
"20",19605,13245
"20",19483,13242
"20",21540,12077
"20",19896,12023
"20",19922,12007
"20",19534,13240
"20",21492,12126
"20",21471,11944
"20",20728,12023
"20",20714,12017
"20",21417,11971
"20",20758,12003
"20",20725,12014
"20",19359,12202
"20",18308,12122
"20",18003,12770
"20",19011,11582
"20",21484,11907
"20",20895,12442
"20",20503,11231
"20",20710,12020
"20",19383,12187
"20",19348,12194
"20",19574,12639
"20",18478,13318
"20",19151,13514
"20",21087,12434
"20",16358,11574
"20",18486,13315
"20",21331,12521
"20",20392,12605
"20",21047,12163
"20",20419,12610
"20",19717,11661
"20",19047,12606
"20",21552,12118
"20",18043,11342
"20",21122,12084
"20",21531,12253
"20",20758,13744
"20",20333,13180
"20",19362,13426
"20",21108,12073
"20",19798,13694
"20",21539,12262
"20",21118,12055
"20",19251,13384
"20",19650,13502
"20",18219,12140
"20",17711,13432
"20",21523,12062
"20",21475,12045
"20",21539,12179
"20",19924,12012
"20",20073,11226
"20",20103,11837
"20",20105,11838
"20",19576,13311
"20",19588,13312
"20",17518,13182
"20",21431,12142
"20",21423,12075
"20",21487,12039
"20",21527,12057
"20",21565,12042
"20",21327,11741
"20",21315,11765
"20",21045,12079
"20",21085,12077
"20",21084,12077
"20",21559,12170
"20",21453,12159
"20",20575,11539
"20",19530,13330
"20",21421,12100
"20",19460,13274
"20",19615,13298
"20",21543,12184
"20",19613,13351
"20",19566,13321
"20",19605,13445
"20",19116,12941
"20",18495,12627
"20",21567,11981
"20",21566,11919
"20",19790,12061
"20",21551,11926
"20",21562,11907
"20",19292,11541
"20",20716,11911
"20",21539,11905
"20",21557,11903
"20",21490,11918
"20",21545,11963
"20",21505,11989
"20",20692,13456
"20",19361,12217
"20",19363,12223
"20",19811,13252
"20",19913,13163
"20",17280,11620
"20",18660,12471
"20",19581,13584
"20",20125,11855
"20",16802,13808
"20",19758,13252
"20",20556,12653
"20",19842,12364
"20",21507,13952
"20",19804,13307
"20",18860,13718
"20",21516,13947
"20",20841,13933
"20",20099,11845
"20",18227,12786
"20",21352,12209
"20",21355,12210
"20",21459,12152
"20",21467,12182
"20",19577,13169
"20",19540,13259
