state_postal,county_fips,county_name,votes_dem,votes_gop,total_votes,level
IL,17015,Carroll,2600,5082,7836,county
IL,17159,Richland,1747,5889,7743,county
IL,17039,DeWitt,2058,5529,7736,county
IL,17189,Washington,1564,5892,7561,county
IL,17149,Pike,1302,6086,7506,county
IL,17187,Warren,2711,4579,7432,county
IL,17193,White,1390,5586,7064,county
IL,17025,Clay,1054,5610,6766,county
IL,17127,Massac,1683,4939,6676,county
IL,17053,Ford,1643,4778,6547,county
IL,17139,Moultrie,1615,4816,6523,county
IL,17129,Menard,1834,4499,6423,county
IL,17125,Mason,1773,4464,6371,county
IL,17123,Marshall,1913,4119,6127,county
IL,17087,Johnson,1241,4798,6103,county
IL,17101,Lawrence,1283,4715,6103,county
IL,17061,Greene,1220,4719,6054,county
IL,17035,Cumberland,1059,4627,5768,county
IL,17079,Jasper,912,4449,5421,county
IL,17185,Wabash,1200,4095,5377,county
IL,17017,Cass,1438,3712,5241,county
IL,17065,Hamilton,739,3385,4181,county
IL,17169,Schuyler,961,2720,3756,county
IL,17071,Henderson,1026,2369,3462,county
IL,17155,Putnam,1254,2014,3331,county
IL,17047,Edwards,457,2794,3288,county
IL,17175,Stark,725,1983,2761,county
IL,17013,Calhoun,560,2059,2680,county
IL,17171,Scott,488,2071,2587,county
IL,17059,Gallatin,561,1923,2529,county
IL,17009,Brown,467,1938,2455,county
IL,17153,Pulaski,769,1583,2377,county
IL,17003,Alexander,904,1341,2271,county
IL,17151,Pope,416,1698,2132,county
IL,17069,Hardin,357,1546,1925,county
IN,18097,Marion,221719,124327,351910,county
IN,18089,Lake,109086,97270,209407,county
IN,18057,Hamilton,90394,102318,196441,county
IN,18003,Allen,69960,90283,162979,county
IN,18141,St. Joseph,55215,53585,110419,county
IN,18127,Porter,37213,46109,84877,county
IN,18063,Hendricks,31917,49783,83116,county
IN,18081,Johnson,24880,51588,77794,county
IN,18163,Vanderburgh,31727,41056,73794,county
IN,18039,Elkhart,23082,45652,69694,county
IN,18157,Tippecanoe,32683,32783,66761,county
IN,18105,Monroe,37213,21004,59099,county
IN,18019,Clark,22810,34734,58570,county
IN,18095,Madison,19824,34837,55716,county
IN,18091,LaPorte,20007,26726,47529,county
IN,18035,Delaware,18848,26067,45736,county
IN,18059,Hancock,14312,29288,44431,county
IN,18043,Floyd,17025,23408,41144,county
IN,18167,Vigo,16338,23738,40877,county
IN,18011,Boone,16426,22840,40062,county
IN,18067,Howard,12197,25871,38778,county
IN,18005,Bartholomew,12525,22220,35464,county
IN,18109,Morgan,7765,26965,35340,county
IN,18085,Kosciusko,7995,26213,34855,county
IN,18173,Warrick,11292,21280,33082,county
IN,18177,Wayne,8828,17526,26797,county
IN,18029,Dearborn,5335,20844,26588,county
IN,18053,Grant,7083,17580,25133,county
IN,18037,Dubois,5944,14983,21406,county
IN,18093,Lawrence,5010,15830,21209,county
IN,18065,Henry,5208,15033,20592,county
IN,18061,Harrison,5233,14830,20440,county
IN,18033,DeKalb,5064,14377,19785,county
IN,18145,Shelby,4955,14438,19754,county
IN,18099,Marshall,5356,13837,19540,county
IN,18113,Noble,4462,14209,18962,county
IN,18071,Jackson,4015,14323,18653,county
IN,18183,Whitley,4275,13122,17726,county
IN,18069,Huntington,4416,12990,17720,county
IN,18133,Putnam,3871,12566,16731,county
IN,18107,Montgomery,4134,12122,16572,county
IN,18151,Steuben,4598,11487,16354,county
IN,18051,Gibson,3722,11896,15897,county
IN,18073,Jasper,3489,12082,15821,county
IN,18083,Knox,3625,11236,15105,county
IN,18055,Greene,3270,11132,14633,county
IN,18137,Ripley,2682,11526,14384,county
IN,18077,Jefferson,4442,9614,14325,county
IN,18017,Cass,3722,10285,14207,county
IN,18179,Wells,2850,11006,14100,county
IN,18103,Miami,3046,10670,13977,county
IN,18001,Adams,3179,10528,13959,county
IN,18169,Wabash,3335,10425,13955,county
IN,18129,Posey,3572,9206,12972,county
IN,18175,Washington,2764,9739,12722,county
IN,18023,Clinton,3135,9108,12443,county
IN,18031,Decatur,2406,9491,12111,county
IN,18021,Clay,2495,9354,12050,county
IN,18047,Franklin,2061,9810,12032,county
IN,18079,Jennings,2328,9273,11809,county
IN,18027,Daviess,1963,9322,11445,county
IN,18181,White,2945,7969,11162,county
IN,18135,Randolph,2349,8008,10547,county
IN,18149,Starke,2436,7889,10478,county
IN,18147,Spencer,2853,7364,10426,county
IN,18087,LaGrange,2162,8073,10408,county
IN,18143,Scott,2389,7633,10187,county
IN,18119,Owen,2354,7360,9875,county
IN,18041,Fayette,2084,7625,9838,county
IN,18015,Carroll,2120,6902,9177,county
IN,18049,Fulton,2097,6633,8851,county
IN,18153,Sullivan,2006,6639,8792,county
IN,18123,Perry,2970,5549,8666,county
IN,18013,Brown,2832,5647,8627,county
IN,18117,Orange,1988,6467,8590,county
IN,18075,Jay,1747,6217,8102,county
IN,18045,Fountain,1526,6311,7981,county
IN,18159,Tipton,1893,5946,7976,county
IN,18139,Rush,1675,5812,7655,county
IN,18165,Vermillion,1928,5174,7256,county
IN,18121,Parke,1371,5158,6653,county
IN,18111,Newton,1370,5131,6601,county
IN,18125,Pike,1314,4610,6009,county
IN,18131,Pulaski,1280,4372,5761,county
IN,18009,Blackford,1227,3811,5135,county
IN,18025,Crawford,1235,3668,5011,county
IN,18101,Martin,933,3961,4987,county
IN,18171,Warren,898,3402,4370,county
IN,18155,Switzerland,873,3319,4257,county
IN,18007,Benton,1010,2873,3954,county
IN,18161,Union,746,2698,3493,county
IN,18115,Ohio,666,2381,3091,county
IA,19153,Polk,140075,112240,255563,county
IA,19113,Linn,66358,54237,122369,county
IA,19163,Scott,42479,45976,89743,county
IA,19103,Johnson,58846,26087,86068,county
IA,19013,Black Hawk,31299,30572,62653,county
IA,19049,Dallas,29402,32374,62633,county
IA,19061,Dubuque,23705,28224,52566,county
IA,19169,Story,26765,21665,49200,county
IA,19155,Pottawattamie,17468,26335,44411,county
IA,19193,Woodbury,16145,25969,42674,county
IA,19181,Warren,12712,19486,32662,county
IA,19045,Clinton,9472,13964,23813,county
IA,19033,Cerro Gordo,9955,12627,22942,county
IA,19099,Jasper,7141,12701,20149,county
IA,19139,Muscatine,8212,11152,19695,county
IA,19125,Marion,5928,13289,19490,county
IA,19057,Des Moines,7935,10794,18998,county
IA,19167,Sioux,2626,16053,18881,county
IA,19127,Marshall,7134,9815,17217,county
IA,19187,Webster,5641,10850,16706,county
IA,19111,Lee,5659,10152,16154,county
IA,19015,Boone,5895,9199,15346,county
IA,19179,Wapello,4896,9479,14571,county
IA,19017,Bremer,5571,8799,14556,county
IA,19011,Benton,4739,9549,14470,county
IA,19149,Plymouth,3104,10661,13931,county
IA,19191,Winneshiek,5321,6427,11927,county
IA,19183,Washington,4297,7119,11551,county
IA,19059,Dickinson,3297,7775,11192,county
IA,19027,Carroll,3153,7814,11120,county
IA,19105,Jones,3942,6820,10949,county
IA,19123,Mahaska,2577,8207,10910,county
IA,19097,Jackson,3567,7074,10782,county
IA,19019,Buchanan,3766,6790,10714,county
IA,19031,Cedar,4075,6390,10624,county
IA,19055,Delaware,2978,6984,10112,county
IA,19121,Madison,3008,6864,9995,county
IA,19157,Poweshiek,4067,5758,9971,county
IA,19065,Fayette,3334,6325,9817,county
IA,19095,Iowa,3400,6068,9617,county
IA,19087,Henry,2995,6439,9574,county
IA,19043,Clayton,3017,6255,9381,county
IA,19171,Tama,3070,5379,8594,county
IA,19041,Clay,2367,6047,8514,county
IA,19083,Hardin,2553,5790,8434,county
IA,19109,Kossuth,2284,5983,8376,county
IA,19101,Jefferson,3788,4353,8317,county
IA,19129,Mills,2456,5671,8223,county
IA,19023,Butler,2144,5784,8027,county
IA,19085,Harrison,2245,5566,7938,county
IA,19067,Floyd,2782,4744,7625,county
IA,19079,Hamilton,2482,5004,7573,county
IA,19021,Buena Vista,2462,4962,7516,county
IA,19141,O’Brien,1428,5998,7501,county
IA,19005,Allamakee,2350,4857,7303,county
IA,19145,Page,2060,5153,7297,county
IA,19029,Cass,2077,5007,7195,county
IA,19075,Grundy,2019,4998,7131,county
IA,19119,Lyon,1023,5899,6984,county
IA,19047,Crawford,1812,4651,6525,county
IA,19077,Guthrie,1974,4446,6514,county
IA,19165,Shelby,1811,4600,6486,county
IA,19007,Appanoose,1686,4704,6466,county
IA,19037,Chickasaw,1919,4234,6230,county
IA,19035,Cherokee,1611,4398,6089,county
IA,19175,Union,1874,4044,5996,county
IA,19081,Hancock,1523,4336,5933,county
IA,19131,Mitchell,1943,3736,5757,county
IA,19197,Wright,1770,3853,5706,county
IA,19189,Winnebago,1909,3636,5627,county
IA,19161,Sac,1289,4100,5448,county
IA,19107,Keokuk,1219,3869,5142,county
IA,19115,Louisa,1480,3584,5136,county
IA,19025,Calhoun,1328,3708,5093,county
IA,19091,Humboldt,1236,3770,5067,county
IA,19137,Montgomery,1508,3486,5061,county
IA,19147,Palo Alto,1338,3576,4976,county
IA,19069,Franklin,1393,3431,4885,county
IA,19073,Greene,1603,3211,4874,county
IA,19089,Howard,1619,3157,4837,county
IA,19063,Emmet,1315,3422,4786,county
IA,19117,Lucas,1169,3400,4639,county
IA,19133,Monona,1236,3331,4616,county
IA,19039,Clarke,1265,3140,4459,county
IA,19195,Worth,1508,2715,4278,county
IA,19135,Monroe,1002,3104,4146,county
IA,19001,Adair,1086,2916,4064,county
IA,19051,Davis,878,3027,3950,county
IA,19071,Fremont,1023,2711,3785,county
IA,19053,Decatur,957,2711,3727,county
IA,19093,Ida,826,2771,3642,county
IA,19177,Van Buren,778,2785,3622,county
IA,19151,Pocahontas,796,2727,3573,county
IA,19009,Audubon,970,2214,3239,county
IA,19143,Osceola,555,2623,3219,county
IA,19185,Wayne,643,2426,3119,county
IA,19173,Taylor,666,2381,3078,county
IA,19159,Ringgold,638,2015,2683,county
IA,19003,Adams,576,1517,2131,county
KS,20091,Johnson,183451,154247,343780,county
KS,20173,Sedgwick,90506,120118,214152,county
KS,20177,Shawnee,40308,39901,81819,county
KS,20045,Douglas,39582,17523,58041,county
KS,20209,Wyandotte,30938,18867,50602,county
KS,20103,Leavenworth,13732,22055,36547,county
KS,20015,Butler,9150,22426,32236,county
KS,20155,Reno,8554,17847,26940,county
KS,20161,Riley,12063,11630,24313,county
KS,20169,Saline,7734,15069,23226,county
KS,20121,Miami,5472,12854,18685,county
KS,20037,Crawford,5956,10084,16334,county
KS,20079,Harvey,6202,9591,16086,county
KS,20113,McPherson,4021,9816,14104,county
KS,20051,Ellis,3511,9743,13511,county
KS,20035,Cowley,3919,9360,13505,county
KS,20149,Pottawatomie,3394,9811,13472,county
KS,20111,Lyon,5515,7462,13256,county
KS,20059,Franklin,3676,8773,12708,county
KS,20125,Montgomery,2934,9287,12441,county
KS,20055,Finney,3425,7166,10782,county
KS,20009,Barton,2207,8205,10570,county
KS,20191,Sumner,2527,7810,10549,county
KS,20087,Jefferson,3030,6694,9927,county
KS,20061,Geary,3674,5288,9163,county
KS,20041,Dickinson,1989,7014,9144,county
KS,20021,Cherokee,1970,6584,8717,county
KS,20057,Ford,2461,5616,8224,county
KS,20099,Labette,2385,5410,7921,county
KS,20139,Osage,1946,5736,7892,county
KS,20005,Atchison,2201,4911,7255,county
KS,20133,Neosho,1696,4961,6784,county
KS,20011,Bourbon,1444,5003,6572,county
KS,20085,Jackson,1799,4557,6474,county
KS,20115,Marion,1429,4312,5870,county
KS,20131,Nemaha,888,4655,5620,county
KS,20001,Allen,1445,4029,5600,county
KS,20107,Linn,854,4093,5016,county
KS,20117,Marshall,1205,3644,4968,county
KS,20175,Seward,1354,3133,4565,county
KS,20031,Coffey,934,3371,4377,county
KS,20013,Brown,1065,3106,4258,county
KS,20027,Clay,867,3150,4113,county
KS,20151,Pratt,954,3054,4082,county
KS,20029,Cloud,767,3218,4047,county
KS,20159,Rice,825,3073,3966,county
KS,20095,Kingman,753,3119,3947,county
KS,20197,Wabaunsee,944,2816,3836,county
KS,20003,Anderson,732,2998,3791,county
KS,20193,Thomas,597,3007,3664,county
KS,20205,Wilson,647,2894,3603,county
KS,20043,Doniphan,626,2899,3577,county
KS,20167,Russell,608,2632,3301,county
KS,20123,Mitchell,528,2608,3172,county
KS,20143,Ottawa,476,2475,3003,county
KS,20073,Greenwood,541,2299,2884,county
KS,20127,Morris,721,2021,2792,county
KS,20053,Ellsworth,636,2078,2758,county
KS,20147,Phillips,331,2356,2747,county
KS,20201,Washington,396,2263,2700,county
KS,20145,Pawnee,625,2003,2675,county
KS,20181,Sherman,379,2161,2593,county
KS,20077,Harper,437,2072,2555,county
KS,20163,Rooks,349,2153,2534,county
KS,20157,Republic,396,2001,2443,county
KS,20137,Norton,346,1882,2270,county
KS,20067,Grant,395,1793,2220,county
KS,20069,Gray,324,1837,2193,county
KS,20007,Barber,288,1854,2170,county
KS,20171,Scott,248,1843,2135,county
KS,20183,Smith,300,1675,2006,county
KS,20185,Stafford,326,1548,1909,county
KS,20189,Stevens,210,1595,1835,county
KS,20141,Osborne,261,1477,1774,county
KS,20119,Meade,247,1427,1695,county
KS,20165,Rush,264,1315,1606,county
KS,20195,Trego,216,1343,1587,county
KS,20089,Jewell,176,1370,1574,county
KS,20019,Chautauqua,211,1299,1527,county
KS,20105,Lincoln,250,1233,1507,county
KS,20207,Woodson,282,1205,1506,county
KS,20017,Chase,348,1090,1462,county
KS,20039,Decatur,215,1217,1452,county
KS,20023,Cheyenne,206,1185,1422,county
KS,20153,Rawlins,176,1194,1403,county
KS,20109,Logan,183,1186,1400,county
KS,20063,Gove,150,1227,1396,county
KS,20179,Sheridan,126,1229,1373,county
KS,20135,Ness,129,1205,1363,county
KS,20049,Elk,191,1123,1338,county
KS,20093,Kearny,192,1082,1301,county
KS,20065,Graham,210,1055,1287,county
KS,20081,Haskell,221,1045,1278,county
KS,20047,Edwards,213,1042,1269,county
KS,20097,Kiowa,151,941,1107,county
KS,20129,Morton,131,909,1060,county
KS,20025,Clark,129,867,1014,county
KS,20083,Hodgeman,136,817,966,county
KS,20033,Comanche,130,727,874,county
KS,20203,Wichita,107,740,860,county
KS,20101,Lane,111,709,843,county
KS,20075,Hamilton,131,671,815,county
KS,20199,Wallace,52,686,748,county
KS,20187,Stanton,115,537,664,county
KS,20071,Greeley,75,510,593,county
KY,21111,Jefferson,203070,144553,353609,county
KY,21067,Fayette,83387,57347,143762,county
KY,21117,Kenton,30859,48444,80875,county
KY,21015,Boone,20601,45650,67382,county
KY,21227,Warren,21065,34862,56860,county
KY,21037,Campbell,18952,28450,48302,county
KY,21093,Hardin,16572,30672,48060,county
KY,21059,Daviess,15673,30705,47067,county
KY,21151,Madison,15180,29130,45164,county
KY,21029,Bullitt,10280,32299,43187,county
KY,21185,Oldham,14402,23025,38187,county
KY,21145,McCracken,10191,21349,31937,county
KY,21199,Pulaski,5351,26051,31725,county
KY,21209,Scott,10501,18747,29761,county
KY,21125,Laurel,4037,23516,27884,county
KY,21113,Jessamine,8303,17854,26644,county
KY,21073,Franklin,11996,13246,25749,county
KY,21211,Shelby,7822,16356,24607,county
KY,21195,Pike,4025,19684,23946,county
KY,21179,Nelson,6515,16052,22838,county
KY,21047,Christian,7055,14332,21671,county
KY,21019,Boyd,6291,14363,20951,county
KY,21107,Hopkins,4916,15361,20532,county
KY,21009,Barren,4565,15019,19799,county
KY,21101,Henderson,6837,12592,19684,county
KY,21049,Clark,5639,11950,17868,county
KY,21157,Marshall,3700,13677,17599,county
KY,21089,Greenup,4181,12961,17372,county
KY,21035,Calloway,5111,11539,16936,county
KY,21083,Graves,3105,13378,16678,county
KY,21071,Floyd,3061,12326,15650,county
KY,21235,Whitley,2237,12687,15075,county
KY,21239,Woodford,6282,8419,14984,county
KY,21021,Boyle,4990,9159,14371,county
KY,21163,Meade,3279,10630,14119,county
KY,21177,Muhlenberg,3048,10491,13691,county
KY,21121,Knox,1821,11178,13156,county
KY,21005,Anderson,3226,9650,13090,county
KY,21173,Montgomery,3329,9302,12819,county
KY,21141,Logan,2734,9620,12506,county
KY,21217,Taylor,2576,9523,12256,county
KY,21085,Grayson,2235,9710,12095,county
KY,21167,Mercer,2838,8826,11841,county
KY,21215,Spencer,2415,8927,11479,county
KY,21081,Grant,1944,9372,11466,county
KY,21043,Carter,2305,8981,11420,county
KY,21137,Lincoln,2080,8833,11034,county
KY,21183,Ohio,2094,8679,10935,county
KY,21095,Harlan,1199,9109,10384,county
KY,21027,Breckinridge,2038,7882,10046,county
KY,21193,Perry,1966,7913,9992,county
KY,21205,Rowan,3484,6224,9872,county
KY,21115,Johnson,1350,8150,9622,county
KY,21017,Bourbon,3088,6284,9535,county
KY,21003,Allen,1505,7824,9418,county
KY,21013,Bell,1419,7831,9337,county
KY,21155,Marion,2513,6473,9100,county
KY,21097,Harrison,2265,6639,9018,county
KY,21001,Adair,1257,7643,8971,county
KY,21079,Garrard,1719,7086,8917,county
KY,21207,Russell,1200,7622,8893,county
KY,21213,Simpson,2403,6253,8776,county
KY,21231,Wayne,1444,7203,8733,county
KY,21133,Letcher,1457,6848,8430,county
KY,21099,Hart,1642,6691,8409,county
KY,21103,Henry,1857,6093,8074,county
KY,21161,Mason,2170,5621,7898,county
KY,21203,Rockcastle,986,6635,7724,county
KY,21051,Clay,692,6729,7517,county
KY,21123,LaRue,1389,5773,7258,county
KY,21221,Trigg,1667,5436,7196,county
KY,21045,Casey,804,6216,7080,county
KY,21069,Fleming,1334,5578,7000,county
KY,21191,Pendleton,1210,5593,6900,county
KY,21127,Lawrence,1044,5464,6572,county
KY,21229,Washington,1533,4720,6338,county
KY,21065,Estill,1114,5091,6289,county
KY,21061,Edmonson,1118,5048,6247,county
KY,21147,McCreary,641,5531,6211,county
KY,21033,Caldwell,1256,4860,6188,county
KY,21225,Union,1225,4758,6058,county
KY,21119,Knott,1181,4732,6003,county
KY,21031,Butler,965,4905,5942,county
KY,21109,Jackson,506,5358,5934,county
KY,21087,Green,782,5033,5857,county
KY,21135,Lewis,666,4997,5721,county
KY,21233,Webster,1153,4339,5556,county
KY,21187,Owen,988,4434,5494,county
KY,21011,Bath,1278,4041,5389,county
KY,21175,Morgan,939,4353,5373,county
KY,21197,Powell,1174,4092,5360,county
KY,21171,Monroe,576,4679,5308,county
KY,21153,Magoffin,909,4288,5274,county
KY,21169,Metcalfe,884,4197,5124,county
KY,21025,Breathitt,1002,4036,5113,county
KY,21219,Todd,1051,4009,5112,county
KY,21139,Livingston,886,4021,4972,county
KY,21053,Clinton,549,4276,4880,county
KY,21091,Hancock,1173,3375,4633,county
KY,21149,McLean,989,3578,4633,county
KY,21131,Leslie,382,3908,4357,county
KY,21223,Trimble,923,3283,4249,county
KY,21143,Lyon,950,3187,4187,county
KY,21023,Bracken,702,3399,4146,county
KY,21007,Ballard,697,3331,4088,county
KY,21041,Carroll,963,3014,4025,county
KY,21055,Crittenden,608,3349,4008,county
KY,21077,Gallatin,761,3109,3917,county
KY,21159,Martin,287,3343,3655,county
KY,21057,Cumberland,483,2922,3439,county
KY,21181,Nicholas,824,2451,3319,county
KY,21165,Menifee,664,2563,3292,county
KY,21237,Wolfe,689,2163,2915,county
KY,21063,Elliott,532,2335,2911,county
KY,21129,Lee,406,2227,2690,county
KY,21039,Carlisle,408,2182,2610,county
KY,21075,Fulton,636,1491,2145,county
KY,21105,Hickman,394,1656,2069,county
KY,21189,Owsley,203,1625,1839,county
KY,21201,Robertson,215,915,1144,county
LA,22033,East Baton Rouge,103820,82720,190643,county
LA,22051,Jefferson,75731,98810,178205,county
LA,22071,Orleans,130749,24119,159130,county
LA,22103,St. Tammany,37777,98377,138384,county
LA,22055,Lafayette,37170,72007,111086,county
LA,22017,Caddo,48864,44471,94699,county
LA,22019,Calcasieu,23918,56064,81201,county
LA,22063,Livingston,9965,55101,65906,county
LA,22073,Ouachita,22845,40808,64436,county
LA,22005,Ascension,20113,41319,62473,county
LA,22105,Tangipahoa,16886,37500,55104,county
LA,22079,Rapides,16537,36171,53395,county
LA,22015,Bossier,14467,37105,52232,county
LA,22057,Lafourche,7864,34461,42845,county
LA,22109,Terrebonne,9702,31115,41327,county
LA,22097,St. Landry,14833,21812,37043,county
LA,22045,Iberia,9504,19511,29331,county
LA,22001,Acadia,4695,21783,26720,county
LA,22089,St. Charles,8812,17443,26685,county
LA,22113,Vermilion,4637,21510,26429,county
LA,22099,St. Martin,7284,17466,25006,county
LA,22101,St. Mary,7011,13671,20897,county
LA,22095,St. John the Baptist,12043,6557,18827,county
LA,22117,Washington,5411,12846,18455,county
LA,22061,Lincoln,6627,11248,18157,county
LA,22087,St. Bernard,5967,11033,17292,county
LA,22119,Webster,5053,10965,16205,county
LA,22115,Vernon,2513,13474,16149,county
LA,22009,Avoyelles,4460,11379,16037,county
LA,22011,Beauregard,2192,13504,15874,county
LA,22047,Iberville,7503,7616,15354,county
LA,22069,Natchitoches,5740,9100,15040,county
LA,22053,Jeff Davis,2699,11478,14358,county
LA,22039,Evangeline,3526,10483,14176,county
LA,22031,DeSoto,4426,9359,13913,county
LA,22121,West Baton Rouge,6008,7627,13836,county
LA,22093,St. James,5792,5902,11789,county
LA,22077,Pointe Coupee,4132,7319,11570,county
LA,22111,Union,2206,8176,10475,county
LA,22007,Assumption,3273,6963,10367,county
LA,22085,Sabine,1488,8613,10170,county
LA,22067,Morehouse,4008,5961,10097,county
LA,22037,East Feliciana,3809,6020,9947,county
LA,22075,Plaquemines,3023,6803,9945,county
LA,22083,Richland,2732,6354,9193,county
LA,22043,Grant,996,7925,9018,county
LA,22041,Franklin,2196,6524,8798,county
LA,22003,Allen,1661,7003,8751,county
LA,22029,Concordia,2698,4974,7755,county
LA,22049,Jackson,1852,5291,7226,county
LA,22059,LaSalle,546,6023,6620,county
LA,22013,Bienville,2531,3660,6256,county
LA,22125,West Feliciana,2004,3923,6008,county
LA,22027,Claiborne,2239,3522,5816,county
LA,22127,Winn,1292,4437,5781,county
LA,22091,St. Helena,2848,2804,5745,county
LA,22123,West Carroll,578,3986,4603,county
LA,22025,Catahoula,1060,3258,4348,county
LA,22021,Caldwell,580,3724,4334,county
LA,22065,Madison,2094,1846,3992,county
LA,22081,Red River,1321,2337,3725,county
LA,22023,Cameron,219,3120,3362,county
LA,22035,East Carroll,1338,931,2306,county
LA,22107,Tensas,1002,1093,2128,county
ME,23005,Cumberland,133281,60950,199225,county
ME,23031,York,72114,58194,132838,county
ME,23019,Penobscot,37945,47438,87073,county
ME,23011,Kennebec,34585,36589,72886,county
ME,23001,Androscoggin,27019,30605,58847,county
ME,23009,Hancock,19817,15549,36251,county
ME,23003,Aroostook,12900,22246,35653,county
ME,23017,Oxford,14765,19228,34590,county
ME,23025,Somerset,10134,17826,28441,county
ME,23013,Knox,15076,10262,25893,county
ME,23027,Waldo,12661,11815,25130,county
ME,23023,Sagadahoc,13982,9917,24456,county
ME,23015,Lincoln,13110,10409,24003,county
ME,23029,Washington,6763,11003,18048,county
ME,23007,Franklin,7990,9459,17836,county
ME,23021,Piscataquis,3510,6487,10205,county
MD,24031,Montgomery,386581,112637,513919,county
MD,24005,Baltimore,249958,149560,409811,county
MD,24033,Prince George’s,347038,45008,401881,county
MD,24003,Anne Arundel,171945,128892,308782,county
MD,24510,Baltimore City,195109,27984,229082,county
MD,24027,Howard,124764,49425,180488,county
MD,24021,Frederick,82409,68753,155004,county
MD,24025,Harford,62453,83050,149020,county
MD,24013,Carroll,36867,62273,101796,county
MD,24017,Charles,63454,26145,91650,county
MD,24043,Washington,27260,44054,73001,county
MD,24037,St. Mary’s,23531,33582,58543,county
MD,24009,Calvert,23438,29361,53882,county
MD,24015,Cecil,17628,33871,52612,county
MD,24045,Wicomico,21513,24065,46698,county
MD,24047,Worcester,12431,19632,32728,county
MD,24035,Queen Anne’s,11273,20200,32136,county
MD,24001,Allegany,9231,22141,32001,county
MD,24041,Talbot,11119,11125,22667,county
MD,24019,Dorchester,6954,9390,16730,county
MD,24011,Caroline,4860,11053,16276,county
MD,24023,Garrett,3456,11983,15785,county
MD,24029,Kent,5251,5561,11068,county
MD,24039,Somerset,4054,5805,10090,county
MA,25017,Middlesex,554471,235118,809513,county
MA,25027,Worcester,225680,183802,418748,county
MA,25009,Essex,236624,155336,399719,county
MA,25021,Norfolk,242712,132497,383258,county
MA,25023,Plymouth,159962,133544,298682,county
MA,25025,Suffolk,222280,66480,297041,county
MA,25005,Bristol,137813,134201,276910,county
MA,25013,Hampden,110937,92474,207747,county
MA,25001,Barnstable,88129,57451,147848,county
MA,25015,Hampshire,58617,23256,84345,county
MA,25003,Berkshire,47094,19805,68341,county
MA,25011,Franklin,28305,12428,42054,county
MA,25007,Dukes,9137,2745,12149,county
MA,25019,Nantucket,4784,2171,7082,county
MI,26163,Wayne,537032,288860,856511,county
MI,26125,Oakland,419519,337791,771939,county
MI,26099,Macomb,214977,284660,509056,county
MI,26081,Kent,192668,172720,371722,county
MI,26049,Genesee,114670,105303,223203,county
MI,26161,Washtenaw,157152,58844,221304,county
MI,26139,Ottawa,69653,106133,178402,county
MI,26065,Ingham,94542,50564,148012,county
MI,26077,Kalamazoo,84501,58671,145646,county
MI,26093,Livingston,49503,81217,132402,county
MI,26145,Saginaw,49515,52912,103838,county
MI,26147,St. Clair,30844,64277,96519,county
MI,26121,Muskegon,46028,47733,95160,county
MI,26115,Monroe,32622,57405,91338,county
MI,26021,Berrien,38323,44975,84478,county
MI,26075,Jackson,32348,50199,83803,county
MI,26005,Allegan,25637,45206,71890,county
MI,26025,Calhoun,28988,38606,68490,county
MI,26045,Eaton,31056,33102,65171,county
MI,26055,Grand Traverse,30339,31423,62760,county
MI,26017,Bay,25767,34792,61331,county
MI,26087,Lapeer,16338,38398,55435,county
MI,26091,Lenawee,20787,33463,55012,county
MI,26111,Midland,20926,28571,50287,county
MI,26037,Clinton,22450,26751,49961,county
MI,26159,Van Buren,17175,23407,41162,county
MI,26155,Shiawassee,15335,24718,40682,county
MI,26103,Marquette,20866,17459,38992,county
MI,26015,Barry,12391,25650,38621,county
MI,26117,Montcalm,10368,23946,34835,county
MI,26067,Ionia,11338,22179,34013,county
MI,26073,Isabella,14011,16320,30817,county
MI,26157,Tuscola,8562,21764,30716,county
MI,26149,St. Joseph,9452,19403,29307,county
MI,26123,Newaygo,8131,20630,29197,county
MI,26027,Cass,9050,18505,27869,county
MI,26059,Hillsdale,5875,18631,24813,county
MI,26151,Sanilac,5957,17080,23339,county
MI,26047,Emmet,10005,12465,22848,county
MI,26107,Mecosta,7688,14445,22489,county
MI,26041,Delta,7462,14109,21874,county
MI,26023,Branch,5911,14848,21088,county
MI,26057,Gratiot,6682,12894,19848,county
MI,26165,Wexford,6224,12968,19476,county
MI,26061,Houghton,7881,11181,19364,county
MI,26063,Huron,5522,13224,18969,county
MI,26033,Chippewa,6796,11249,18363,county
MI,26105,Mason,6973,10830,18056,county
MI,26089,Leelanau,9406,8035,17680,county
MI,26029,Charlevoix,7197,10183,17659,county
MI,26035,Clare,5273,11772,17288,county
MI,26007,Alpena,6038,10967,17210,county
MI,26009,Antrim,6330,10341,16882,county
MI,26031,Cheboygan,5543,10653,16423,county
MI,26143,Roscommon,5290,10582,16065,county
MI,26137,Otsego,5052,10693,15971,county
MI,26069,Iosco,5344,10155,15731,county
MI,26051,Gladwin,4501,10809,15488,county
MI,26043,Dickinson,4763,10324,15311,county
MI,26101,Manistee,6309,8748,15296,county
MI,26127,Oceana,5085,9547,14870,county
MI,26133,Osceola,3326,9639,13184,county
MI,26109,Menominee,4256,8647,13060,county
MI,26019,Benzie,5780,6895,12845,county
MI,26129,Ogemaw,3578,8879,12620,county
MI,26079,Kalkaska,3206,8149,11529,county
MI,26011,Arenac,2662,6379,9158,county
MI,26113,Missaukee,1945,7066,9151,county
MI,26141,Presque Isle,3036,5568,8739,county
