"division","part","x","y"
"New England",9,1054.4,115.8
"New England",9,1053.7,115.4
"New England",9,1053.9,117
"New England",9,1054,117.2
"New England",9,1054.7,117.1
"New England",9,1055.3,117.5
"New England",9,1055.8,116.5
"New England",9,1055.1,115.9
"New England",10,1048.7,116.6
"New England",10,1047.9,116.8
"New England",10,1048.2,117.2
"New England",10,1049.1,117.3
"New England",10,1049.1,116.8
"New England",10,1048.7,116.6
"New England",11,1056.2,117.4
"New England",11,1056.5,117.6
"New England",11,1057,117.3
"New England",11,1056.6,116.9
"New England",11,1056.2,117.4
"New England",12,1047.9,121.5
"New England",12,1048.7,121.8
"New England",12,1049.8,121.2
"New England",12,1050.1,120.3
"New England",12,1048.9,119
"New England",12,1048.5,117.9
"New England",12,1048.1,118.1
"New England",12,1047.2,119.2
"New England",12,1047,120.1
"New England",12,1047.6,120
"New England",12,1047.7,120.6
"New England",12,1048,121
"New England",12,1047.9,121.5
"New England",13,1049.7,126.5
"New England",13,1050,126.3
"New England",13,1049.7,125.3
"New England",13,1049.3,125.4
"New England",13,1049.7,126.5
"New England",14,1048.7,190
"New England",14,1048.7,189.4
"New England",14,1047,187.4
"New England",14,1046.9,188.8
"New England",14,1046.5,189.5
"New England",14,1045.8,189.8
"New England",14,1044.2,190.3
"New England",14,1043.2,190.2
"New England",14,1043.6,190.6
"New England",14,1046.2,191
"New England",14,1046.8,190.8
"New England",14,1048,190.6
"New England",14,1048.7,190
"Middle Atlantic",1,927.3,154.9
"Middle Atlantic",1,926.9,155.6
"Middle Atlantic",1,927.3,155.8
"Middle Atlantic",1,927.6,155.1
"Middle Atlantic",1,927.3,154.9
"Middle Atlantic",2,925.8,155.1
"Middle Atlantic",2,925.2,155.9
"Middle Atlantic",2,925.5,156.1
"Middle Atlantic",2,926.1,155.4
"Middle Atlantic",2,925.8,155.1
"Middle Atlantic",3,982.8,221.1
"Middle Atlantic",3,982.9,221.5
"Middle Atlantic",3,982.7,222.4
"Middle Atlantic",3,983,222.8
"Middle Atlantic",3,983.5,222.9
"Middle Atlantic",3,983.9,223.5
"Middle Atlantic",3,984.9,223.1
"Middle Atlantic",3,985.1,223.8
"Middle Atlantic",3,986.6,222.7
"Middle Atlantic",3,987.5,222.1
"Middle Atlantic",3,989.9,221.7
"Middle Atlantic",3,990.4,221.5
"Middle Atlantic",3,991.3,221.4
"Middle Atlantic",3,993.6,220.2
"Middle Atlantic",3,995,219.3
"Middle Atlantic",3,995.4,219.5
"Middle Atlantic",3,996.2,219.3
"Middle Atlantic",3,997.1,218.8
"Middle Atlantic",3,999.5,217.4
"Middle Atlantic",3,1001.5,215.7
"Middle Atlantic",3,1003.9,213.9
"Middle Atlantic",3,1006.9,211.9
"Middle Atlantic",3,1009.7,209.9
"Middle Atlantic",3,1013.9,206.3
"Middle Atlantic",3,1016.6,204.1
"Middle Atlantic",3,1017.5,203.4
"Middle Atlantic",3,1017.7,202.9
"Middle Atlantic",3,1016.8,202.8
"Middle Atlantic",3,1015.9,203.3
"Middle Atlantic",3,1016.1,203.8
"Middle Atlantic",3,1015.6,204
"Middle Atlantic",3,1015.2,204.7
"Middle Atlantic",3,1014.6,204.9
"Middle Atlantic",3,1014.1,205.7
"Middle Atlantic",3,1013.8,205.7
"Middle Atlantic",3,1013.2,205.2
"Middle Atlantic",3,1013.1,204.8
"Middle Atlantic",3,1012.6,204.6
"Middle Atlantic",3,1012.2,205.2
"Middle Atlantic",3,1011.3,205.2
"Middle Atlantic",3,1011,205.3
"Middle Atlantic",3,1010.4,204.8
"Middle Atlantic",3,1009.2,204.1
"Middle Atlantic",3,1009.4,203.5
"Middle Atlantic",3,1010.1,203.5
"Middle Atlantic",3,1010.4,203.3
"Middle Atlantic",3,1010.7,202.5
"Middle Atlantic",3,1010,202.7
"Middle Atlantic",3,1008.8,203.5
"Middle Atlantic",3,1008.4,204.6
