"uid","part","x","y"
"AK",49,340.3,662.6
"AK",49,340.7,662.1
"AK",49,340.8,661.7
"AK",49,340.8,661.4
"AK",49,340.7,661.2
"AK",49,340.8,661
"AK",49,340.7,660.6
"AK",49,340.5,660.3
"AK",49,340.3,660.2
"AK",49,340.2,660.5
"AK",49,340.3,660.8
"AK",49,340.1,660.9
"AK",49,339.7,660.9
"AK",49,339.6,660.7
"AK",49,339.9,660.7
"AK",49,340,660.3
"AK",49,339.9,660.2
"AK",49,339.5,659.7
"AK",49,339.2,659.7
"AK",49,338.9,659.4
"AK",49,338.9,659.4
"AK",49,338.4,659.8
"AK",49,338.2,659.6
"AK",49,338.7,659.3
"AK",49,338.5,659.1
"AK",49,338.2,659.1
"AK",49,338,658.9
"AK",49,337.7,659.1
"AK",49,337.5,659
"AK",49,337.4,659.4
"AK",49,337.2,659.4
"AK",49,337.4,658.8
"AK",49,337.4,658.6
"AK",49,338.4,658.8
"AK",49,338.8,658.8
"AK",49,339.2,659
"AK",49,339.3,658.8
"AK",49,339,658.6
"AK",49,338.4,658.5
"AK",49,338.2,658.3
"AK",49,337.9,657.8
"AK",49,337.7,657.7
"AK",49,337.4,657.8
"AK",49,337.3,657.7
"AK",49,337,656.9
"AK",49,336.5,656.5
"AK",49,336.3,656.3
"AK",49,335.9,656
"AK",49,334.8,655.5
"AK",49,334.7,655.5
"AK",49,334.4,655.6
"AK",49,334.3,655.4
"AK",49,334.2,655.4
"AK",49,333.8,655
"AK",49,333.6,655.1
"AK",49,333.5,654.9
"AK",49,333.5,654.6
"AK",49,333.2,654.2
"AK",49,333.1,654.1
"AK",49,332.6,653.7
"AK",49,332.4,653.6
"AK",49,332.3,653.7
"AK",49,331.9,653.8
"AK",49,331.5,653.9
"AK",49,330.7,654
"AK",49,330.5,654.1
"AK",49,330.5,654.5
"AK",49,330.6,654.8
"AK",49,330.8,655
"AK",49,330.6,655.3
"AK",49,331,655.3
"AK",49,331.3,655.4
"AK",49,331.3,655.6
"AK",49,331.3,655.8
"AK",49,331,655.7
"AK",49,331.1,656
"AK",49,331.3,656
"AK",49,331.3,656.2
"AK",49,331,656.2
"AK",49,330.9,656.4
"AK",49,330.8,657.2
"AK",49,330.6,657.4
"AK",50,327.1,646.9
"AK",50,327.2,647.2
"AK",50,327.3,647.1
"AK",50,327.5,646.9
"AK",50,327.4,646.7
"AK",50,327.2,646.7
"AK",50,327.1,646.9
"AK",51,330.2,658
"AK",51,330.4,658.3
"AK",51,330.5,658.4
"AK",51,330.7,658.4
