"plan","unit","part","x","y"
"fewest",1,20,1055.3,1228.5
"fewest",1,20,1055.3,1228.6
"fewest",1,20,1055.2,1228.8
"fewest",1,20,1055.1,1228.7
"fewest",1,21,1053.3,1229.9
"fewest",1,21,1053.5,1229.9
"fewest",1,21,1053.5,1230
"fewest",1,21,1053.2,1230
"fewest",1,21,1053.3,1229.9
"fewest",1,22,1060.3,1250.8
"fewest",1,22,1060.3,1250.6
"fewest",1,22,1060.6,1250.6
"fewest",1,22,1060.6,1250.8
"fewest",1,22,1060.8,1250.8
"fewest",1,22,1060.8,1250.9
"fewest",1,22,1060.3,1250.8
"fewest",1,23,1066.2,1266.7
"fewest",1,23,1066.2,1266.9
"fewest",1,23,1066.2,1267.1
"fewest",1,23,1066,1267.1
"fewest",1,23,1066,1267
"fewest",1,23,1066.2,1266.7
"fewest",1,6,1061.7,1247.3
"fewest",1,6,1061.6,1247.3
"fewest",1,6,1061.5,1247.3
"fewest",1,6,1061.7,1247.4
"fewest",1,6,1061.7,1247.3
"fewest",1,7,1062.3,1255.8
"fewest",1,7,1062.6,1255.5
"fewest",1,7,1062.2,1255.8
"fewest",1,7,1061.8,1255.8
"fewest",1,7,1062.3,1255.8
"fewest",1,8,1063.4,1258.1
"fewest",1,8,1063.3,1258
"fewest",1,8,1063.2,1258.3
"fewest",1,8,1063.4,1258.4
"fewest",1,8,1063.4,1258.1
"fewest",1,9,1066.9,1263
"fewest",1,9,1067,1262.7
"fewest",1,9,1066.8,1262.7
"fewest",1,9,1066.8,1262.9
"fewest",1,9,1066.9,1263
"fewest",1,10,1071.9,1276.7
"fewest",1,10,1071.6,1276.4
"fewest",1,10,1071.2,1276.5
"fewest",1,10,1070.6,1276.4
"fewest",1,10,1069.4,1276.9
"fewest",1,10,1069.2,1277.8
"fewest",1,10,1069.8,1277.9
"fewest",1,10,1069.9,1277.7
"fewest",1,10,1069.9,1277.7
"fewest",1,10,1069.9,1278
"fewest",1,10,1070,1278.2
"fewest",1,10,1070.2,1278
"fewest",1,10,1070.3,1278.3
"fewest",1,10,1070.2,1279
"fewest",1,10,1070,1279.1
"fewest",1,10,1069.5,1278.9
"fewest",1,10,1069.4,1278.8
"fewest",1,10,1069.4,1279
"fewest",1,10,1070,1279.2
"fewest",1,10,1070.1,1279.5
"fewest",1,10,1070.3,1279.7
"fewest",1,10,1070.6,1279.7
"fewest",1,10,1070.8,1279.4
"fewest",1,10,1070.7,1279.3
"fewest",1,10,1070.4,1279.2
"fewest",1,10,1070.4,1279.1
"fewest",1,10,1070.4,1278.9
"fewest",1,10,1070.6,1278.7
"fewest",1,10,1070.6,1278.7
"fewest",1,10,1070.4,1278.9
"fewest",1,10,1070.4,1279.1
"fewest",1,10,1070.8,1279.3
"fewest",1,10,1070.9,1279.3
"fewest",1,10,1070.8,1279.4
"fewest",1,10,1070.7,1279.7
"fewest",1,10,1070.5,1279.7
"fewest",1,10,1070.3,1279.7
"fewest",1,10,1070.2,1279.9
"fewest",1,10,1070.4,1280
"fewest",1,10,1070.5,1280.2
"fewest",1,10,1070.8,1280.2
"fewest",1,10,1070.7,1280.6
"fewest",1,10,1071,1280.4
"fewest",1,10,1071.1,1280.4
"fewest",1,10,1071,1280.4
"fewest",1,10,1071,1280.5
"fewest",1,10,1070.9,1280.8
"fewest",1,10,1071.1,1280.9
"fewest",1,10,1071.1,1281.3
"fewest",1,10,1071.4,1281.2
"fewest",1,10,1071.3,1281.2
"fewest",1,10,1071.3,1281.3
"fewest",1,10,1071.4,1281.4
"fewest",1,10,1071.4,1281.8
"fewest",1,10,1071.6,1281.8
"fewest",1,10,1071.5,1282.1
"fewest",1,10,1071.8,1282.1
"fewest",1,10,1071.6,1282.5
"fewest",1,10,1071.7,1283
"fewest",1,10,1072.2,1283.6
"fewest",1,10,1072,1283.7
"fewest",1,10,1071.9,1283.6
"fewest",1,10,1071.9,1283.9
"fewest",1,10,1072.5,1284.1
"fewest",1,10,1072.3,1285.3
"fewest",1,10,1072.5,1285.1
"fewest",1,10,1072.6,1284.9
"fewest",1,10,1072.6,1284.7
"fewest",1,10,1072.7,1284.6
"fewest",1,10,1072.8,1284.7
"fewest",1,10,1072.7,1285.2
"fewest",1,10,1072.8,1285.2
"fewest",1,10,1072.5,1285.4
"fewest",1,10,1072.9,1285.6
"fewest",1,10,1073.4,1285.7
"fewest",1,10,1073.4,1285.8
"fewest",1,10,1073.2,1286.1
"fewest",1,10,1073.3,1286.5
"fewest",1,10,1073.5,1286.4
"fewest",1,10,1073.8,1286.6
"fewest",1,10,1073.8,1286.9
"fewest",1,10,1073.6,1287
"fewest",1,10,1073.6,1287.2
"fewest",1,10,1073.3,1287.2
"fewest",1,10,1073.3,1287.4
"fewest",1,10,1072.9,1287.5
"fewest",1,10,1073.1,1287.5
"fewest",1,10,1073.2,1287.6
"fewest",1,10,1072.9,1288.8
"fewest",1,10,1074.1,1288.4
"fewest",1,10,1074.1,1289
"fewest",1,10,1073.7,1288.9
"fewest",1,10,1073.7,1289.1
"fewest",1,10,1073.5,1289.1
"fewest",1,10,1073.7,1289.3
"fewest",1,10,1073.7,1289.5
"fewest",1,10,1074.6,1289.6
"fewest",1,10,1074.7,1290
"fewest",1,10,1074.5,1290
"fewest",1,10,1074.5,1290.1
"fewest",1,10,1074.4,1290.2
"fewest",1,10,1074.2,1290.2
"fewest",1,10,1074.1,1290.4
"fewest",1,10,1074.4,1290.6
"fewest",1,10,1074.5,1290.5
"fewest",1,10,1074.6,1290.6
"fewest",1,10,1074.6,1290.8
"fewest",1,10,1074.3,1290.9
"fewest",1,10,1074.9,1291.8
"fewest",1,10,1074.7,1292
"fewest",1,10,1074.9,1292.1
"fewest",1,10,1074.8,1292
"fewest",1,10,1074.8,1292
"fewest",1,10,1074.8,1292
"fewest",1,10,1075,1292.1
"fewest",1,10,1074.9,1292.3
"fewest",1,10,1074.9,1292.5
