"family","angle","unit","pop","black","share","bvap"
"strip",64,4,177923,33158,18.636,18.048
"strip",64,5,177357,26629,15.014,15.572
"strip",64,6,177669,20877,11.751,11.277
"strip",65,1,177494,158568,89.337,88.611
"strip",65,2,178064,152629,85.716,85.095
"strip",65,3,177825,85344,47.993,45.179
"strip",65,4,177463,33124,18.665,18.075
"strip",65,5,177735,27048,15.218,15.789
"strip",65,6,178129,20911,11.739,11.266
"strip",66,1,177776,158795,89.323,88.599
"strip",66,2,177723,152015,85.535,84.902
"strip",66,3,177796,85615,48.154,45.297
"strip",66,4,177857,33085,18.602,17.994
"strip",66,5,177834,27252,15.324,15.915
"strip",66,6,177724,20862,11.738,11.277
"strip",67,1,177800,158804,89.316,88.592
"strip",67,2,177800,151996,85.487,84.847
"strip",67,3,177695,85542,48.14,45.247
"strip",67,4,177832,33122,18.625,18.013
"strip",67,5,177834,27335,15.371,15.975
"strip",67,6,177749,20825,11.716,11.258
"strip",68,1,177698,158710,89.314,88.593
"strip",68,2,177859,151722,85.305,84.666
"strip",68,3,177831,85823,48.261,45.345
"strip",68,4,178522,33201,18.598,17.991
"strip",68,5,177741,27422,15.428,16.03
"strip",68,6,177059,20746,11.717,11.259
"strip",69,1,177736,158714,89.298,88.569
"strip",69,2,177828,151621,85.263,84.619
"strip",69,3,177807,85904,48.313,45.382
"strip",69,4,178043,33071,18.575,17.976
"strip",69,5,177643,27452,15.453,16.06
"strip",69,6,177653,20862,11.743,11.278
"strip",70,1,177922,158806,89.256,88.523
"strip",70,2,177688,151437,85.226,84.579
"strip",70,3,177732,85993,48.384,45.439
"strip",70,4,177802,33080,18.605,17.999
"strip",70,5,177791,27451,15.44,16.043
"strip",70,6,177775,20857,11.732,11.278
"strip",71,1,177780,158627,89.227,88.49
"strip",71,2,177802,151519,85.218,84.572
"strip",71,3,177703,85789,48.277,45.318
"strip",71,4,177840,33060,18.59,17.987
"strip",71,5,177828,27820,15.644,16.271
"strip",71,6,177757,20809,11.706,11.248
"strip",72,1,177680,158505,89.208,88.472
"strip",72,2,177885,151480,85.156,84.503
"strip",72,3,177878,86062,48.383,45.386
"strip",72,4,177796,33196,18.671,18.061
"strip",72,5,177670,27708,15.595,16.211
"strip",72,6,177801,20673,11.627,11.177
"strip",73,1,177748,158533,89.19,88.442
"strip",73,2,177827,151156,85.002,84.33
"strip",73,3,177618,86306,48.591,45.59
"strip",73,4,177979,33178,18.642,18.031
"strip",73,5,177941,27760,15.601,16.21
"strip",73,6,177597,20691,11.651,11.203
"strip",74,1,177789,158541,89.174,88.424
"strip",74,2,177816,150731,84.768,84.087
"strip",74,3,177812,86628,48.719,45.679
"strip",74,4,177353,33093,18.659,18.051
"strip",74,5,177717,27855,15.674,16.28
"strip",74,6,178223,20776,11.657,11.208
"strip",75,1,177704,158394,89.134,88.374
"strip",75,2,178005,150729,84.677,83.982
"strip",75,3,177500,86682,48.835,45.806
"strip",75,4,177731,33213,18.687,18.087
"strip",75,5,177656,27941,15.728,16.326
"strip",75,6,178114,20665,11.602,11.142
"strip",76,1,177792,158400,89.093,88.33
"strip",76,2,177804,150429,84.604,83.897
"strip",76,3,177394,86882,48.977,45.918
"strip",76,4,178163,33320,18.702,18.083
"strip",76,5,177963,28078,15.777,16.377
"strip",76,6,177594,20515,11.552,11.109
"strip",77,1,177743,158314,89.069,88.304
"strip",77,2,177806,150145,84.443,83.725
"strip",77,3,177761,87078,48.986,45.9
"strip",77,4,177446,33170,18.693,18.068
"strip",77,5,178069,28319,15.903,16.509
"strip",77,6,177885,20598,11.579,11.145
"strip",78,1,177831,158340,89.04,88.277
"strip",78,2,177738,149967,84.375,83.634
"strip",78,3,177800,86989,48.925,45.848
"strip",78,4,177618,33259,18.725,18.103
"strip",78,5,178010,28560,16.044,16.642
"strip",78,6,177713,20509,11.541,11.1
"strip",79,1,177805,158212,88.981,88.204
"strip",79,2,177773,149699,84.208,83.459
