"kind","x","y"
"Black",1053.31,1242.93
"not Black",1071.5,1285.39
"not Black",1065.09,1282.9
"Black",1069.93,1280.62
"Black",1065.46,1245.58
"not Black",1066.06,1253.25
"Black",1062.74,1250.56
"not Black",1070.65,1283.15
"not Black",1064.93,1270.11
"Black",1078.18,1288.37
"not Black",1069.38,1286.73
"not Black",1073.17,1285.38
"not Black",1077.6,1289.84
"Black",1061.75,1282.56
"not Black",1066.46,1264.73
"Black",1064.89,1262.58
"not Black",1064.28,1242.79
"not Black",1062.49,1244.91
"not Black",1066.29,1274.84
"Black",1050.07,1228.45
"not Black",1065.26,1255.01
"not Black",1070.3,1296.93
"not Black",1080.93,1287.49
"Black",1052.18,1229.98
"not Black",1059.12,1287.07
"not Black",1039.51,1224.16
"not Black",1062.62,1244.69
"Black",1065.07,1276.33
"not Black",1061.45,1260.47
"Black",1063.22,1268.05
"Black",1055.02,1238.65
"Black",1069.04,1247.16
"not Black",1067.34,1282.32
"Black",1064.66,1263.34
"not Black",1080.52,1289.63
"Black",1053.16,1250.83
"Black",1056.13,1252.92
"Black",1066.76,1261.21
"not Black",1078.06,1288.44
"not Black",1066.47,1251.55
"Black",1061.81,1249.26
"Black",1042.75,1236.94
"not Black",1061.67,1284.01
"Black",1065.75,1248.67
"not Black",1065.71,1261.94
"not Black",1064.97,1256.65
"not Black",1073.58,1292.87
"not Black",1076.09,1287.12
"not Black",1065.57,1278.22
"Black",1056.07,1253.16
"not Black",1047.52,1229.89
"not Black",1065.51,1255.71
"Black",1062.03,1251.16
"not Black",1068.2,1300.19
"not Black",1084.22,1288.41
"not Black",1068.52,1255.57
"not Black",1072.79,1292.16
"not Black",1078.07,1286.42
"not Black",1074.01,1286.32
"not Black",1063.77,1276.23
"not Black",1082.83,1288.49
"Black",1045.19,1239.11
"not Black",1072.5,1285.84
"not Black",1077.1,1287.67
"not Black",1070.35,1285.96
"Black",1059.4,1286.66
"not Black",1064.65,1266.96
"not Black",1067.38,1266.07
"Black",1064.09,1244.95
"not Black",1067.71,1254.56
"not Black",1067.07,1257.11
"Black",1065.6,1250.6
"not Black",1066.47,1262.44
"not Black",1062.25,1291.81
"Black",1035.8,1233.38
"Black",1051.94,1243.32
"not Black",1063.73,1280.88
"Black",1058.05,1242.93
"Black",1050.55,1240.22
"not Black",1067.5,1289.57
"Black",1066.78,1245
"Black",1065.85,1252.91
"Black",1060.18,1230.28
"not Black",1064.44,1273.89
"not Black",1073.09,1287.18
"not Black",1062.65,1273.66
"not Black",1066.93,1257.3
"Black",1050.65,1226.09
"not Black",1065.94,1254.19
"not Black",1074.94,1283.52
