"state","chamber","member","party","x","instagram","bluesky"
"NY","House","Ocasio-Cortez, Alexandria","D","751.8K","no handle","294,591"
"NY","House","Riley, Josh","D","no handle","5,039","—"
"NY","House","Ryan, Patrick","D","13.1K","no handle","—"
"NY","House","Stefanik, Elise","R","640.6K","101,979","—"
"NY","House","Suozzi, Thomas","D","30.2K","no handle","—"
"NY","House","Tenney, Claudia","R","72.4K","no handle","—"
"NY","House","Tonko, Paul","D","27.7K","8,860","—"
"NY","House","Torres, Ritchie","D","50.7K","41,218","—"
"NY","House","Velázquez, Nydia","D","80.2K","no handle","9,053"
"OH","Senate","Husted, Jon","R","no handle","no handle","—"
"OH","Senate","Moreno, Bernie","R","149.5K","handle wrong","—"
"OH","House","Balderson, Troy","R","10K","no handle","—"
"OH","House","Beatty, Joyce","D","71.3K","73,170","—"
"OH","House","Brown, Shontel","D","49.3K","no handle","—"
"OH","House","Carey, Mike","R","6,656","no handle","—"
"OH","House","Davidson, Warren","R","88.5K","handle wrong","—"
"OH","House","Jordan, Jim","R","6.8M","no handle","—"
"OH","House","Joyce, David","R","28.8K","3,400","—"
"OH","House","Kaptur, Marcy","D","33.3K","9,444","—"
"OH","House","Landsman, Greg","D","21.7K","72,641","—"
"OH","House","Latta, Robert","R","39.4K","3,875","—"
"OH","House","Miller, Max","R","12.3K","5,557","—"
"OH","House","Rulli, Michael","R","no handle","no handle","—"
"OH","House","Sykes, Emilia","D","6,220","14,037","—"
"OH","House","Taylor, David","R","2,534","1,051","—"
"OH","House","Turner, Michael","R","56.8K","5,562","—"
"OK","Senate","Armstrong, Alan","R","no handle","no handle","—"
"OK","Senate","Lankford, James","R","168.2K","72,200","—"
"OK","House","Bice, Stephanie","R","30.7K","no handle","—"
"OK","House","Brecheen, Josh","R","20.1K","3,862","—"
"OK","House","Cole, Tom","R","42.1K","8,389","—"
"OK","House","Hern, Kevin","R","30.6K","no handle","—"
"OK","House","Lucas, Frank","R","27.1K","8,059","—"
"OR","Senate","Merkley, Jeff","D","448.4K","181,980","10,431"
"OR","Senate","Wyden, Ron","D","466.5K","75,465","210,312"
"OR","House","Bentz, Cliff","R","9,997","4,303","—"
"OR","House","Bonamici, Suzanne","D","35.3K","16,237","—"
"OR","House","Bynum, Janelle","D","2,931","15,870","11,091"
"OR","House","Dexter, Maxine","D","11.5K","49,655","—"
"OR","House","Hoyle, Valerie","D","7,527","4,604","—"
"OR","House","Salinas, Andrea","D","4,641","6,213","34,425"
"PA","Senate","Fetterman, John","D","no handle","101,767","112,397"
"PA","Senate","McCormick, Dave","R","no handle","23,621","—"
"PA","House","Boyle, Brendan","D","24.8K","no handle","—"
"PA","House","Bresnahan, Robert","R","2,957","2,332","—"
"PA","House","Dean, Madeleine","D","72.1K","89,086","—"
"PA","House","Deluzio, Chris","D","18.6K","27,390","13,792"
"PA","House","Evans, Dwight","D","21.2K","7,855","—"
"PA","House","Fitzpatrick, Brian","R","47.4K","16,630","—"
"PA","House","Houlahan, Chrissy","D","40.3K","50,555","23,560"
"PA","House","Joyce, John","R","20.7K","no handle","—"
"PA","House","Kelly, Mike","R","33.3K","no handle","—"
"PA","House","Lee, Summer","D","69.2K","156,714","—"
"PA","House","Mackenzie, Ryan","R","5,155","1,234","—"
"PA","House","Meuser, Daniel","R","34.2K","no handle","—"
"PA","House","Perry, Scott","R","158.7K","9,171","—"
"PA","House","Reschenthaler, Guy","R","38.1K","10,235","—"
"PA","House","Scanlon, Mary","D","57.4K","16,063","10,193"
"PA","House","Smucker, Lloyd","R","15.9K","no handle","—"
"PA","House","Thompson, Glenn","R","29.3K","8,930","—"
"PR","House","Hernández Rivera, Pablo José","D","3,551","28,910","—"
"RI","Senate","Reed, John","D","108.9K","no handle","19,292"
"RI","Senate","Whitehouse, Sheldon","D","569.5K","348,856","155,137"
"RI","House","Amo, Gabe","D","5,711","17,970","29,968"
"RI","House","Magaziner, Seth","D","17.8K","no handle","27,289"
"SC","Senate","Graham Nordone, Darline","R","no handle","no handle","—"
"SC","Senate","Scott, Tim","R","837K","212,428","—"
"SC","House","Biggs, Sheri","R","3,122","1,604","—"
"SC","House","Clyburn, James","D","167.6K","84,935","—"
"SC","House","Fry, Russell","R","21.6K","9,293","—"
"SC","House","Mace, Nancy","R","766.9K","310,572","—"
"SC","House","Norman, Ralph","R","63.6K","10,857","—"
"SC","House","Timmons, William","R","44.9K","9,096","—"
"SC","House","Wilson, Joe","R","208K","18,458","—"
"SD","Senate","Rounds, Mike","R","57K","8,224","—"
"SD","Senate","Thune, John","R","handle wrong","handle wrong","—"
"SD","House","Johnson, Dusty","R","33.3K","no handle","—"
"TN","Senate","Blackburn, Marsha","R","1.5M","156,186","—"
"TN","Senate","Hagerty, Bill","R","98.2K","24,072","—"
"TN","House","Burchett, Tim","R","211.9K","no handle","—"
"TN","House","Cohen, Steve","D","83.7K","16,588","—"
"TN","House","DesJarlais, Scott","R","26.1K","6,818","—"
"TN","House","Fleischmann, Charles","R","30.3K","no handle","—"
"TN","House","Harshbarger, Diana","R","27.2K","no handle","—"
"TN","House","Kustoff, David","R","23.6K","5,755","—"
"TN","House","Ogles, Andrew","R","125.6K","27,959","—"
"TN","House","Rose, John","R","38.5K","no handle","—"
"TN","House","Van Epps, Matt","R","no handle","no handle","—"
"TX","Senate","Cornyn, John","R","413.1K","no handle","—"
"TX","Senate","Cruz, Ted","R","4.1M","1,349,104","—"
"TX","House","Arrington, Jodey","R","27.2K","26,341","—"
"TX","House","Babin, Brian","R","42.6K","no handle","—"
"TX","House","Carter, John","R","22.5K","4,001","—"
"TX","House","Casar, Gregorio","D","85K","128,094","—"
"TX","House","Castro, Joaquin","D","253.9K","191,662","—"
"TX","House","Cloud, Michael","R","handle wrong","handle wrong","—"
"TX","House","Crenshaw, Dan","R","644.5K","2,202,559","—"
"TX","House","Crockett, Jasmine","D","278.8K","2,918,370","566,429"
"TX","House","Cuellar, Henry","D","33.2K","6,078","—"
"TX","House","De La Cruz, Mónica","R","8,875","5,538","—"
"TX","House","Doggett, Lloyd","D","50.8K","16,317","26,270"
"TX","House","Ellzey, Jake","R","5,658","no handle","—"
