"district","state","cd","dem_share","pres_party","house_rep","house_rep_party","baseline","actual","as_expected"
"OK-02","OK",2,21.74,"republican","Josh Brecheen","republican","republican","republican",TRUE
"OK-03","OK",3,27.16,"republican","Frank D. Lucas","republican","republican","republican",TRUE
"OK-04","OK",4,33.21,"republican","Tom Cole","republican","republican","republican",TRUE
"OK-05","OK",5,40.68,"republican","Stephanie I. Bice","republican","republican","republican",TRUE
"OR-01","OR",1,69.6,"democrat","Suzanne Bonamici","democrat","democrat","democrat",TRUE
"OR-02","OR",2,36.03,"republican","Cliff Bentz","republican","republican","republican",TRUE
"OR-03","OR",3,73.79,"democrat","Maxine E. Dexter","democrat","democrat","democrat",TRUE
"OR-04","OR",4,56.22,"democrat","Val T. Hoyle","democrat","democrat","democrat",TRUE
"OR-05","OR",5,54.48,"democrat","Janelle S. Bynum","democrat","democrat","democrat",TRUE
"OR-06","OR",6,55.87,"democrat","Andrea Salinas","democrat","democrat","democrat",TRUE
"PA-01","PA",1,50.16,"democrat","Brian K. Fitzpatrick","republican","democrat","republican",FALSE
"PA-02","PA",2,68.08,"democrat","Brendan F. Boyle","democrat","democrat","democrat",TRUE
"PA-03","PA",3,89.13,"democrat","Dwight Evans","democrat","democrat","democrat",TRUE
"PA-04","PA",4,57.98,"democrat","Madeleine Dean","democrat","democrat","democrat",TRUE
"PA-05","PA",5,64.47,"democrat","Mary Gay Scanlon","democrat","democrat","democrat",TRUE
"PA-06","PA",6,55.76,"democrat","Chrissy Houlahan","democrat","democrat","democrat",TRUE
"PA-07","PA",7,48.38,"republican","Ryan E. Mackenzie","republican","republican","republican",TRUE
"PA-08","PA",8,45.72,"republican","Rob Bresnahan, Jr.","republican","republican","republican",TRUE
"PA-09","PA",9,30.87,"republican","Daniel Meuser","republican","republican","republican",TRUE
"PA-10","PA",10,47.36,"republican","Scott Perry","republican","republican","republican",TRUE
"PA-11","PA",11,39.21,"republican","Lloyd Smucker","republican","republican","republican",TRUE
"PA-12","PA",12,59.68,"democrat","Summer L. Lee","democrat","democrat","democrat",TRUE
"PA-13","PA",13,27.05,"republican","John Joyce","republican","republican","republican",TRUE
"PA-14","PA",14,33.21,"republican","Guy Reschenthaler","republican","republican","republican",TRUE
"PA-15","PA",15,30.84,"republican","Glenn Thompson","republican","republican","republican",TRUE
"PA-16","PA",16,38.52,"republican","Mike Kelly","republican","republican","republican",TRUE
"PA-17","PA",17,52.78,"democrat","Christopher R. Deluzio","democrat","democrat","democrat",TRUE
"RI-01","RI",1,61.33,"democrat","Gabe Amo","democrat","democrat","democrat",TRUE
"RI-02","RI",2,53.47,"democrat","Seth Magaziner","democrat","democrat","democrat",TRUE
"SC-01","SC",1,43.35,"republican","Nancy Mace","republican","republican","republican",TRUE
"SC-02","SC",2,42.91,"republican","Joe Wilson","republican","republican","republican",TRUE
"SC-03","SC",3,28.2,"republican","Sheri Biggs","republican","republican","republican",TRUE
"SC-04","SC",4,37.99,"republican","William R. Timmons Iv","republican","republican","republican",TRUE
"SC-05","SC",5,38.45,"republican","Ralph Norman","republican","republican","republican",TRUE
"SC-06","SC",6,61.61,"democrat","James E. Clyburn","democrat","democrat","democrat",TRUE
"SC-07","SC",7,36.68,"republican","Russell Fry","republican","republican","republican",TRUE
"SD-00","SD",0,35.06,"republican","Dusty Johnson","republican","republican","republican",TRUE
"TN-01","TN",1,20.78,"republican","Diana Harshbarger","republican","republican","republican",TRUE
"TN-02","TN",2,32.83,"republican","Tim Burchett","republican","republican","republican",TRUE
"TN-03","TN",3,31.83,"republican","Charles J. \""Chuck\"" Fleischmann","republican","republican","republican",TRUE
"TN-04","TN",4,27.95,"republican","Scott Desjarlais","republican","republican","republican",TRUE
"TN-05","TN",5,40.86,"republican","Andrew Ogles","republican","republican","republican",TRUE
"TN-06","TN",6,32.34,"republican","John W. Rose","republican","republican","republican",TRUE
"TN-07","TN",7,38.69,"republican","Mark E. Green","republican","republican","republican",TRUE
"TN-08","TN",8,29.21,"republican","David Kustoff","republican","republican","republican",TRUE
"TN-09","TN",9,72.12,"democrat","Steve Cohen","democrat","democrat","democrat",TRUE
"TX-01","TX",1,24.18,"republican","Nathaniel Moran","republican","republican","republican",TRUE
"TX-02","TX",2,37.96,"republican","Dan Crenshaw","republican","republican","republican",TRUE
"TX-03","TX",3,39.71,"republican","Keith Self","republican","republican","republican",TRUE
"TX-04","TX",4,33.44,"republican","Pat Fallon","republican","republican","republican",TRUE
"TX-05","TX",5,36.31,"republican","Lance Gooden","republican","republican","republican",TRUE
"TX-06","TX",6,35.58,"republican","Jake Ellzey","republican","republican","republican",TRUE
"TX-07","TX",7,60.69,"democrat","Lizzie Fletcher","democrat","democrat","democrat",TRUE
"TX-08","TX",8,32.85,"republican","Morgan Luttrell","republican","republican","republican",TRUE
"TX-09","TX",9,72.38,"democrat","Al Green","democrat","democrat","democrat",TRUE
"TX-10","TX",10,37.42,"republican","Michael T. Mccaul","republican","republican","republican",TRUE
"TX-11","TX",11,27.07,"republican","August Pfluger","republican","republican","republican",TRUE
"TX-12","TX",12,38.57,"republican","Craig Goldman","republican","republican","republican",TRUE
"TX-13","TX",13,25.87,"republican","Ronny Jackson","republican","republican","republican",TRUE
"TX-14","TX",14,32.81,"republican","Randy K. Weber, Sr.","republican","republican","republican",TRUE
"TX-15","TX",15,41,"republican","Monica De La Cruz","republican","republican","republican",TRUE
"TX-16","TX",16,58.11,"democrat","Veronica Escobar","democrat","democrat","democrat",TRUE
"TX-17","TX",17,35.23,"republican","Pete Sessions","republican","republican","republican",TRUE
"TX-18","TX",18,70.19,"democrat","Sylvester Turner","democrat","democrat","democrat",TRUE
"TX-19","TX",19,23.92,"republican","Jodey C. Arrington","republican","republican","republican",TRUE
"TX-20","TX",20,60.77,"democrat","Joaquin Castro","democrat","democrat","democrat",TRUE
"TX-21","TX",21,38.03,"republican","Chip Roy","republican","republican","republican",TRUE
"TX-22","TX",22,40.04,"republican","Troy E. Nehls","republican","republican","republican",TRUE
"TX-23","TX",23,42.15,"republican","Tony Gonzales","republican","republican","republican",TRUE
"TX-24","TX",24,42.11,"republican","Beth Van Duyne","republican","republican","republican",TRUE
"TX-25","TX",25,31.63,"republican","Roger Williams","republican","republican","republican",TRUE
"TX-26","TX",26,38.13,"republican","Brandon Gill","republican","republican","republican",TRUE
"TX-27","TX",27,35.04,"republican","Michael Cloud","republican","republican","republican",TRUE
"TX-28","TX",28,46.31,"republican","Henry Cuellar","democrat","republican","democrat",FALSE
"TX-29","TX",29,60.32,"democrat","Sylvia R. Garcia","democrat","democrat","democrat",TRUE
"TX-30","TX",30,73.79,"democrat","Jasmine Crockett","democrat","democrat","democrat",TRUE
"TX-31","TX",31,38.21,"republican","John R. Carter","republican","republican","republican",TRUE
"TX-32","TX",32,62.17,"democrat","Julie Johnson","democrat","democrat","democrat",TRUE
"TX-33","TX",33,67.28,"democrat","Marc A. Veasey","democrat","democrat","democrat",TRUE
"TX-34","TX",34,47.77,"republican","Vicente Gonzalez","democrat","republican","democrat",FALSE
"TX-35","TX",35,67.12,"democrat","Greg Casar","democrat","democrat","democrat",TRUE
"TX-36","TX",36,31.4,"republican","Brian Babin","republican","republican","republican",TRUE
"TX-37","TX",37,75.15,"democrat","Lloyd Doggett","democrat","democrat","democrat",TRUE
"TX-38","TX",38,39.47,"republican","Wesley Hunt","republican","republican","republican",TRUE
"UT-01","UT",1,39.67,"republican","Blake D. Moore","republican","republican","republican",TRUE
"UT-02","UT",2,39.57,"republican","Celeste Maloy","republican","republican","republican",TRUE
"UT-03","UT",3,40.07,"republican","Mike Kennedy","republican","republican","republican",TRUE
"UT-04","UT",4,36.27,"republican","Burgess Owens","republican","republican","republican",TRUE
"VA-01","VA",1,47.5,"republican","Robert J. Wittman","republican","republican","republican",TRUE
"VA-02","VA",2,49.86,"republican","Jennifer A. Kiggans","republican","republican","republican",TRUE
"VA-03","VA",3,67.59,"democrat","Robert C. \""Bobby\"" Scott","democrat","democrat","democrat",TRUE
"VA-04","VA",4,66.59,"democrat","Jennifer L. Mcclellan","democrat","democrat","democrat",TRUE
"VA-05","VA",5,43.8,"republican","John J. Mcguire Iii","republican","republican","republican",TRUE
"VA-06","VA",6,37.77,"republican","Ben Cline","republican","republican","republican",TRUE
"VA-07","VA",7,51.46,"democrat","Eugene S. Vindman","democrat","democrat","democrat",TRUE
"VA-08","VA",8,75.45,"democrat","Donald S. Beyer, Jr.","democrat","democrat","democrat",TRUE
"VA-09","VA",9,27.79,"republican","H. Morgan Griffith","republican","republican","republican",TRUE
"VA-10","VA",10,54.29,"democrat","Suhas Subramanyam","democrat","democrat","democrat",TRUE
"VA-11","VA",11,67.64,"democrat","Gerald E. Connolly","democrat","democrat","democrat",TRUE
"VT-00","VT",0,66.38,"democrat","Becca Balint","democrat","democrat","democrat",TRUE
"WA-01","WA",1,64.85,"democrat","Suzan K. Delbene","democrat","democrat","democrat",TRUE
"WA-02","WA",2,62.22,"democrat","Rick Larsen","democrat","democrat","democrat",TRUE
"WA-03","WA",3,48.3,"republican","Marie Gluesenkamp Perez","democrat","republican","democrat",FALSE
"WA-04","WA",4,39.38,"republican","Dan Newhouse","republican","republican","republican",TRUE
"WA-05","WA",5,44.45,"republican","Michael Baumgartner","republican","republican","republican",TRUE
"WA-06","WA",6,59.95,"democrat","Emily Randall","democrat","democrat","democrat",TRUE
"WA-07","WA",7,88.78,"democrat","Pramila Jayapal","democrat","democrat","democrat",TRUE
"WA-08","WA",8,52.98,"democrat","Kim Schrier","democrat","democrat","democrat",TRUE
"WA-09","WA",9,71.34,"democrat","Adam Smith","democrat","democrat","democrat",TRUE
"WA-10","WA",10,59.31,"democrat","Marilyn Strickland","democrat","democrat","democrat",TRUE
"WI-01","WI",1,47.71,"republican","Bryan Steil","republican","republican","republican",TRUE
"WI-02","WI",2,70.37,"democrat","Mark Pocan","democrat","democrat","democrat",TRUE
"WI-03","WI",3,46.25,"republican","Derrick Van Orden","republican","republican","republican",TRUE
"WI-04","WI",4,76.24,"democrat","Gwen Moore","democrat","democrat","democrat",TRUE
"WI-05","WI",5,38.77,"republican","Scott Fitzgerald","republican","republican","republican",TRUE
"WI-06","WI",6,41.65,"republican","Glenn Grothman","republican","republican","republican",TRUE
"WI-07","WI",7,38.58,"republican","Thomas P. Tiffany","republican","republican","republican",TRUE
"WI-08","WI",8,41.77,"republican","Tony Wied","republican","republican","republican",TRUE
"WV-01","WV",1,27.4,"republican","Carol D. Miller","republican","republican","republican",TRUE
"WV-02","WV",2,29.81,"republican","Riley Moore","republican","republican","republican",TRUE
"WY-00","WY",0,26.52,"republican","Harriet M. Hageman","republican","republican","republican",TRUE
