year,state,state_num,district,stcd,dem_votes,rep_votes,n_dem,n_rep,dv,uncontested,top_two,la_primary,runoff_mixed
2004,Massachusetts,21,1,2101,229465,0,1,0,,1,0,0,0
2004,Massachusetts,21,2,2102,217682,0,1,0,,1,0,0,0
2004,Massachusetts,21,3,2103,192036,80197,1,1,70.54,0,0,0,0
2004,Massachusetts,21,4,2104,219260,0,1,0,,1,0,0,0
2004,Massachusetts,21,5,2105,179652,88232,1,1,67.06,0,0,0,0
2004,Massachusetts,21,6,2106,213458,91597,1,1,69.97,0,0,0,0
2004,Massachusetts,21,7,2107,202399,60334,1,1,77.04,0,0,0,0
2004,Massachusetts,21,8,2108,165852,0,1,0,,1,0,0,0
2004,Massachusetts,21,9,2109,218167,0,1,0,,1,0,0,0
2004,Massachusetts,21,10,2110,222013,114879,1,1,65.9,0,0,0,0
2004,Michigan,22,1,2201,211571,105706,1,1,66.68,0,0,0,0
2004,Michigan,22,2,2202,94040,225343,1,1,29.44,0,0,0,0
2004,Michigan,22,3,2203,101395,214465,1,1,32.1,0,0,0,0
2004,Michigan,22,4,2204,110885,205274,1,1,35.07,0,0,0,0
2004,Michigan,22,5,2205,208163,96934,1,1,68.23,0,0,0,0
2004,Michigan,22,6,2206,97978,197425,1,1,33.17,0,0,0,0
2004,Michigan,22,7,2207,109527,176053,1,1,38.35,0,0,0,0
2004,Michigan,22,8,2208,125619,207925,1,1,37.66,0,0,0,0
2004,Michigan,22,9,2209,134764,199210,1,1,40.35,0,0,0,0
2004,Michigan,22,10,2210,98029,227720,1,1,30.09,0,0,0,0
2004,Michigan,22,11,2211,134301,186431,1,1,41.87,0,0,0,0
2004,Michigan,22,12,2212,210827,88256,1,1,70.49,0,0,0,0
2004,Michigan,22,13,2213,173246,40935,1,1,80.89,0,0,0,0
2004,Michigan,22,14,2214,213681,35089,1,1,85.9,0,0,0,0
2004,Michigan,22,15,2215,218409,81828,1,1,72.75,0,0,0,0
2004,Minnesota,23,1,2301,115088,193132,1,1,37.34,0,0,0,0
2004,Minnesota,23,2,2302,147527,206313,1,1,41.69,0,0,0,0
2004,Minnesota,23,3,2303,126665,231871,1,1,35.33,0,0,0,0
2004,Minnesota,23,4,2304,182387,105467,1,1,63.36,0,0,0,0
2004,Minnesota,23,5,2305,218434,76600,1,1,74.04,0,0,0,0
2004,Minnesota,23,6,2306,173309,203669,1,1,45.97,0,0,0,0
2004,Minnesota,23,7,2307,207628,106349,1,1,66.13,0,0,0,0
2004,Minnesota,23,8,2308,228586,112693,1,1,66.98,0,0,0,0
2004,Mississippi,24,1,2401,0,219328,0,1,,1,0,0,0
2004,Mississippi,24,2,2402,154626,107647,1,1,58.96,0,0,0,0
2004,Mississippi,24,3,2403,0,234874,0,1,,1,0,0,0
2004,Mississippi,24,4,2404,179979,96740,1,1,65.04,0,0,0,0
2004,Missouri,25,1,2501,213658,64791,1,1,76.73,0,0,0,0
2004,Missouri,25,2,2502,115366,228725,1,1,33.53,0,0,0,0
2004,Missouri,25,3,2503,146894,125422,1,1,53.94,0,0,0,0
2004,Missouri,25,4,2504,190800,93334,1,1,67.15,0,0,0,0
2004,Missouri,25,5,2505,161727,123431,1,1,56.71,0,0,0,0
2004,Missouri,25,6,2506,106987,196516,1,1,35.25,0,0,0,0
2004,Missouri,25,7,2507,84356,210080,1,1,28.65,0,0,0,0
2004,Missouri,25,8,2508,71543,194039,1,1,26.94,0,0,0,0
2004,Missouri,25,9,2509,101343,193429,1,1,34.38,0,0,0,0
2004,Montana,26,1,2601,145606,286076,1,1,33.73,0,0,0,0
2004,Nebraska,27,1,2701,113971,143756,1,1,44.22,0,0,0,0
2004,Nebraska,27,2,2702,90292,152608,1,1,37.17,0,0,0,0
