"lines","pres_year","district","state_abb","cd","stcd","dem_pct","rep_pct","dpres"
"2012-2021",2012,"CA-53","CA",53,553,61.4,36.4,62.78
"2012-2021",2012,"CO-01","CO",1,601,69,28.8,70.55
"2012-2021",2012,"CO-02","CO",2,602,57.9,39.5,59.45
"2012-2021",2012,"CO-03","CO",3,603,45.8,51.8,46.93
"2012-2021",2012,"CO-04","CO",4,604,39.2,58.5,40.12
"2012-2021",2012,"CO-05","CO",5,605,38.3,59.1,39.32
"2012-2021",2012,"CO-06","CO",6,606,51.6,46.5,52.6
"2012-2021",2012,"CO-07","CO",7,607,56.1,41.3,57.6
"2012-2021",2012,"CT-01","CT",1,701,63.3,35.6,64
"2012-2021",2012,"CT-02","CT",2,702,55.9,42.6,56.75
"2012-2021",2012,"CT-03","CT",3,703,62.6,36.3,63.3
"2012-2021",2012,"CT-04","CT",4,704,55.1,44,55.6
"2012-2021",2012,"CT-05","CT",5,705,53.5,45.3,54.15
"2012-2021",2012,"DE-AL","DE",1,801,58.6,40,59.43
"2012-2021",2012,"GA-01","GA",1,1001,43,55.9,43.48
"2012-2021",2012,"GA-02","GA",2,1002,58.6,40.8,58.95
"2012-2021",2012,"GA-03","GA",3,1003,33,65.9,33.37
"2012-2021",2012,"GA-04","GA",4,1004,73.6,25.6,74.19
"2012-2021",2012,"GA-05","GA",5,1005,83.1,15.8,84.02
"2012-2021",2012,"GA-06","GA",6,1006,37.5,60.8,38.15
"2012-2021",2012,"GA-07","GA",7,1007,38.3,60.2,38.88
"2012-2021",2012,"GA-08","GA",8,1008,37.5,61.6,37.84
"2012-2021",2012,"GA-09","GA",9,1009,20.5,78.1,20.79
"2012-2021",2012,"GA-10","GA",10,1010,36.3,62.5,36.74
"2012-2021",2012,"GA-11","GA",11,1011,31.5,66.9,32.01
"2012-2021",2012,"GA-12","GA",12,1012,43.6,55.4,44.04
"2012-2021",2012,"GA-13","GA",13,1013,69.2,30,69.76
"2012-2021",2012,"GA-14","GA",14,1014,25.3,73.2,25.69
"2012-2021",2012,"HI-01","HI",1,1101,69.7,29,70.62
"2012-2021",2012,"HI-02","HI",2,1102,71.4,26.7,72.78
"2012-2021",2012,"ID-01","ID",1,1201,32.2,64.9,33.16
"2012-2021",2012,"ID-02","ID",2,1202,33.1,64.1,34.05
"2012-2021",2012,"IL-01","IL",1,1301,78.9,20.2,79.62
"2012-2021",2012,"IL-02","IL",2,1302,80.7,18.5,81.35
"2012-2021",2012,"IL-03","IL",3,1303,55.9,42.6,56.75
"2012-2021",2012,"IL-04","IL",4,1304,80.9,17.1,82.55
"2012-2021",2012,"IL-05","IL",5,1305,66,31.8,67.48
"2012-2021",2012,"IL-06","IL",6,1306,45.1,53.3,45.83
"2012-2021",2012,"IL-07","IL",7,1307,87.2,11.8,88.08
"2012-2021",2012,"IL-08","IL",8,1308,57.4,40.9,58.39
"2012-2021",2012,"IL-09","IL",9,1309,65,33.3,66.12
"2012-2021",2012,"IL-10","IL",10,1310,57.5,41.1,58.32
"2012-2021",2012,"IL-11","IL",11,1311,57.8,40.6,58.74
"2012-2021",2012,"IL-12","IL",12,1312,49.7,48.1,50.82
"2012-2021",2012,"IL-13","IL",13,1313,48.6,48.9,49.85
"2012-2021",2012,"IL-14","IL",14,1314,44.2,54.2,44.92
"2012-2021",2012,"IL-15","IL",15,1315,34.1,63.9,34.8
"2012-2021",2012,"IL-16","IL",16,1316,45.2,52.9,46.08
"2012-2021",2012,"IL-17","IL",17,1317,57.6,40.6,58.66
"2012-2021",2012,"IL-18","IL",18,1318,37.4,60.7,38.12
"2012-2021",2012,"IN-01","IN",1,1401,61.2,37.4,62.07
"2012-2021",2012,"IN-02","IN",2,1402,42.1,56.1,42.87
"2012-2021",2012,"IN-03","IN",3,1403,35.7,62.5,36.35
"2012-2021",2012,"IN-04","IN",4,1404,36.9,60.9,37.73
"2012-2021",2012,"IN-05","IN",5,1405,40.7,57.5,41.45
"2012-2021",2012,"IN-06","IN",6,1406,37.3,60.4,38.18
"2012-2021",2012,"IN-07","IN",7,1407,62.9,35.3,64.05
"2012-2021",2012,"IN-08","IN",8,1408,39.6,58.4,40.41
"2012-2021",2012,"IN-09","IN",9,1409,40.7,57.2,41.57
"2012-2021",2012,"IA-01","IA",1,1501,56.2,42.5,56.94
"2012-2021",2012,"IA-02","IA",2,1502,55.8,42.7,56.65
"2012-2021",2012,"IA-03","IA",3,1503,51.4,47.2,52.13
"2012-2021",2012,"IA-04","IA",4,1504,45.3,53.4,45.9
"2012-2021",2012,"KS-01","KS",1,1601,27.6,70.1,28.25
"2012-2021",2012,"KS-02","KS",2,1602,42.2,55.4,43.24
"2012-2021",2012,"KS-03","KS",3,1603,44.3,53.8,45.16
"2012-2021",2012,"KS-04","KS",4,1604,36.1,61.6,36.95
"2012-2021",2012,"KY-01","KY",1,1701,32.1,66.4,32.59
"2012-2021",2012,"KY-02","KY",2,1702,35.1,63.3,35.67
"2012-2021",2012,"KY-03","KY",3,1703,55.7,42.8,56.55
"2012-2021",2012,"KY-04","KY",4,1704,34.8,63.4,35.44
"2012-2021",2012,"KY-05","KY",5,1705,23.2,75,23.63
"2012-2021",2012,"KY-06","KY",6,1706,42.2,55.8,43.06
"2012-2021",2012,"LA-01","LA",1,1801,26.9,70.9,27.51
"2012-2021",2012,"LA-02","LA",2,1802,75.8,22.8,76.88
"2012-2021",2012,"LA-03","LA",3,1803,32.3,66.1,32.83
"2012-2021",2012,"LA-04","LA",4,1804,39.7,59,40.22
"2012-2021",2012,"LA-05","LA",5,1805,37.7,61,38.2
"2012-2021",2012,"LA-06","LA",6,1806,32,66.1,32.62
"2012-2021",2012,"ME-01","ME",1,1901,59.6,38.2,60.94
"2012-2021",2012,"ME-02","ME",2,1902,53,44.4,54.41
"2012-2021",2012,"MD-01","MD",1,2001,37.7,60.4,38.43
"2012-2021",2012,"MD-02","MD",2,2002,63.1,35,64.32
"2012-2021",2012,"MD-03","MD",3,2003,60.7,37.1,62.07
"2012-2021",2012,"MD-04","MD",4,2004,78.1,20.8,78.97
"2012-2021",2012,"MD-05","MD",5,2005,66.1,32.4,67.11
"2012-2021",2012,"MD-06","MD",6,2006,55.2,42.8,56.33
"2012-2021",2012,"MD-07","MD",7,2007,76.2,22.3,77.36
"2012-2021",2012,"MD-08","MD",8,2008,62,36,63.27
"2012-2021",2012,"MA-01","MA",1,2101,64,34.3,65.11
"2012-2021",2012,"MA-02","MA",2,2102,58.7,39.2,59.96
"2012-2021",2012,"MA-03","MA",3,2103,56.9,41.4,57.88
"2012-2021",2012,"MA-04","MA",4,2104,57.2,41.3,58.07
"2012-2021",2012,"MA-05","MA",5,2105,65.2,33.1,66.33
"2012-2021",2012,"MA-06","MA",6,2106,54.7,43.9,55.48
"2012-2021",2012,"MA-07","MA",7,2107,82.5,15.6,84.1
"2012-2021",2012,"MA-08","MA",8,2108,57.8,40.8,58.62
"2012-2021",2012,"MA-09","MA",9,2109,55.5,43.1,56.29
"2012-2021",2012,"MI-01","MI",1,2201,45.3,53.6,45.8
"2012-2021",2012,"MI-02","MI",2,2202,43.1,56,43.49
"2012-2021",2012,"MI-03","MI",3,2203,45.8,53.1,46.31
"2012-2021",2012,"MI-04","MI",4,2204,45.5,53.5,45.96
"2012-2021",2012,"MI-05","MI",5,2205,60.7,38.3,61.31
"2012-2021",2012,"MI-06","MI",6,2206,48.8,50.2,49.29
"2012-2021",2012,"MI-07","MI",7,2207,47.9,51,48.43
"2012-2021",2012,"MI-08","MI",8,2208,48,51.1,48.44
"2012-2021",2012,"MI-09","MI",9,2209,57.2,41.9,57.72
"2012-2021",2012,"MI-10","MI",10,2210,43.7,55.3,44.14
"2012-2021",2012,"MI-11","MI",11,2211,46.9,52.3,47.28
"2012-2021",2012,"MI-12","MI",12,2212,66.2,32.8,66.87
"2012-2021",2012,"MI-13","MI",13,2213,85.2,14.3,85.63
"2012-2021",2012,"MI-14","MI",14,2214,81,18.6,81.33
"2012-2021",2012,"MN-01","MN",1,2301,49.6,48.2,50.72
"2012-2021",2012,"MN-02","MN",2,2302,49.1,49,50.05
"2012-2021",2012,"MN-03","MN",3,2303,49.6,48.8,50.41
"2012-2021",2012,"MN-04","MN",4,2304,62.5,35.5,63.78
"2012-2021",2012,"MN-05","MN",5,2305,73.5,24,75.38
"2012-2021",2012,"MN-06","MN",6,2306,41.5,56.5,42.35
"2012-2021",2012,"MN-07","MN",7,2307,44.1,53.9,45
"2012-2021",2012,"MN-08","MN",8,2308,51.7,46.2,52.81
"2012-2021",2012,"MS-01","MS",1,2401,37,61.9,37.41
"2012-2021",2012,"MS-02","MS",2,2402,66.4,33,66.8
"2012-2021",2012,"MS-03","MS",3,2403,39.1,60,39.46
"2012-2021",2012,"MS-04","MS",4,2404,31.2,67.6,31.58
"2012-2021",2012,"MO-01","MO",1,2501,79.9,18.9,80.87
"2012-2021",2012,"MO-02","MO",2,2502,41.4,57.1,42.03
"2012-2021",2012,"MO-03","MO",3,2503,36.1,62,36.8
"2012-2021",2012,"MO-04","MO",4,2504,36.4,61.2,37.3
"2012-2021",2012,"MO-05","MO",5,2505,58.9,39.4,59.92
"2012-2021",2012,"MO-06","MO",6,2506,37.9,60,38.71
"2012-2021",2012,"MO-07","MO",7,2507,30.3,67.6,30.95
"2012-2021",2012,"MO-08","MO",8,2508,32,65.9,32.69
"2012-2021",2012,"MT-AL","MT",1,2601,41.7,55.4,42.95
"2012-2021",2012,"NE-01","NE",1,2701,40.8,57.5,41.51
"2012-2021",2012,"NE-02","NE",2,2702,45.7,52.8,46.4
"2012-2021",2012,"NE-03","NE",3,2703,27.8,70.2,28.37
"2012-2021",2012,"NV-01","NV",1,2801,65.6,32.4,66.94
"2012-2021",2012,"NV-02","NV",2,2802,44.8,52.9,45.85
"2012-2021",2012,"NV-03","NV",3,2803,49.5,48.7,50.41
"2012-2021",2012,"NV-04","NV",4,2804,54.4,43.7,55.45
"2012-2021",2012,"NH-01","NH",1,2901,50.2,48.6,50.81
"2012-2021",2012,"NH-02","NH",2,2902,54.2,44.5,54.91
"2012-2021",2012,"NJ-01","NJ",1,3001,65.1,33.8,65.82
"2012-2021",2012,"NJ-02","NJ",2,3002,53.5,45.4,54.1
"2012-2021",2012,"NJ-03","NJ",3,3003,51.8,47.2,52.32
"2012-2021",2012,"NJ-04","NJ",4,3004,44.7,54.2,45.2
"2012-2021",2012,"NJ-05","NJ",5,3005,47.9,50.9,48.48
"2012-2021",2012,"NJ-06","NJ",6,3006,61.4,37.4,62.15
"2012-2021",2012,"NJ-07","NJ",7,3007,46.3,52.5,46.86
"2012-2021",2012,"NJ-08","NJ",8,3008,78.3,20.8,79.01
"2012-2021",2012,"NJ-09","NJ",9,3009,68.4,30.8,68.95
"2012-2021",2012,"NJ-10","NJ",10,3010,87.9,11.5,88.43
"2012-2021",2012,"NJ-11","NJ",11,3011,46.6,52.4,47.07
"2012-2021",2012,"NJ-12","NJ",12,3012,66.5,32.4,67.24
"2012-2021",2012,"NM-01","NM",1,3101,55.3,39.6,58.27
"2012-2021",2012,"NM-02","NM",2,3102,44.9,51.7,46.48
"2012-2021",2012,"NM-03","NM",3,3103,57.5,38.7,59.77
"2012-2021",2012,"NY-01","NY",1,3201,49.6,49.1,50.25
"2012-2021",2012,"NY-02","NY",2,3202,51.6,47.2,52.23
"2012-2021",2012,"NY-03","NY",3,3203,50.8,48.2,51.31
"2012-2021",2012,"NY-04","NY",4,3204,56.3,42.8,56.81
"2012-2021",2012,"NY-05","NY",5,3205,90.6,9.1,90.87
"2012-2021",2012,"NY-06","NY",6,3206,67.8,31,68.62
"2012-2021",2012,"NY-07","NY",7,3207,88.4,10.3,89.56
"2012-2021",2012,"NY-08","NY",8,3208,89.3,10.1,89.84
"2012-2021",2012,"NY-09","NY",9,3209,85.3,13.8,86.07
"2012-2021",2012,"NY-10","NY",10,3210,73.6,25,74.65
"2012-2021",2012,"NY-11","NY",11,3211,51.6,47.3,52.17
"2012-2021",2012,"NY-12","NY",12,3212,76.9,21.5,78.15
"2012-2021",2012,"NY-13","NY",13,3213,94.6,4.6,95.36
"2012-2021",2012,"NY-14","NY",14,3214,80.7,18.3,81.52
"2012-2021",2012,"NY-15","NY",15,3215,96.7,3,96.99
"2012-2021",2012,"NY-16","NY",16,3216,73.7,25.5,74.29
"2012-2021",2012,"NY-17","NY",17,3217,57.1,41.8,57.74
"2012-2021",2012,"NY-18","NY",18,3218,51.4,47.1,52.18
"2012-2021",2012,"NY-19","NY",19,3219,52.1,45.9,53.16
"2012-2021",2012,"NY-20","NY",20,3220,59.2,38.8,60.41
"2012-2021",2012,"NY-21","NY",21,3221,52.2,46.1,53.1
"2012-2021",2012,"NY-22","NY",22,3222,48.8,49.2,49.8
"2012-2021",2012,"NY-23","NY",23,3223,48.4,49.6,49.39
"2012-2021",2012,"NY-24","NY",24,3224,57,41.1,58.1
"2012-2021",2012,"NY-25","NY",25,3225,58.8,39.4,59.88
"2012-2021",2012,"NY-26","NY",26,3226,63.9,34.3,65.07
"2012-2021",2012,"NY-27","NY",27,3227,42.9,55.3,43.69
"2012-2021",2012,"NC-01","NC",1,3301,57.1,42.4,57.39
"2012-2021",2012,"NC-02","NC",2,3302,57,41.7,57.75
"2012-2021",2012,"NC-03","NC",3,3303,40.5,58.6,40.87
"2012-2021",2012,"NC-04","NC",4,3304,63.2,35.7,63.9
"2012-2021",2012,"NC-05","NC",5,3305,35.6,63.1,36.07
"2012-2021",2012,"NC-06","NC",6,3306,58.4,40.7,58.93
"2012-2021",2012,"NC-07","NC",7,3307,41.9,57.2,42.28
"2012-2021",2012,"NC-08","NC",8,3308,47.3,51.8,47.73
"2012-2021",2012,"NC-09","NC",9,3309,44.2,54.9,44.6
"2012-2021",2012,"NC-10","NC",10,3310,34.1,64.9,34.44
"2012-2021",2012,"NC-11","NC",11,3311,43.5,55.2,44.07
"2012-2021",2012,"NC-12","NC",12,3312,66.5,32.6,67.1
"2012-2021",2012,"NC-13","NC",13,3313,34.3,64.7,34.65
"2012-2021",2012,"ND-AL","ND",1,3401,38.9,58.7,39.86
"2012-2021",2012,"OH-01","OH",1,3501,46.3,52.4,46.91
"2012-2021",2012,"OH-02","OH",2,3502,43.7,54.7,44.41
"2012-2021",2012,"OH-03","OH",3,3503,69.7,28.9,70.69
"2012-2021",2012,"OH-04","OH",4,3504,42,56,42.86
"2012-2021",2012,"OH-05","OH",5,3505,44.1,53.9,45
"2012-2021",2012,"OH-06","OH",6,3506,42.7,55.2,43.62
"2012-2021",2012,"OH-07","OH",7,3507,44.2,53.7,45.15
"2012-2021",2012,"OH-08","OH",8,3508,36.4,61.9,37.03
"2012-2021",2012,"OH-09","OH",9,3509,67.6,30.9,68.63
"2012-2021",2012,"OH-10","OH",10,3510,48.2,50.1,49.03
"2012-2021",2012,"OH-11","OH",11,3511,82.7,16.5,83.37
"2012-2021",2012,"OH-12","OH",12,3512,43.9,54.4,44.66
"2012-2021",2012,"OH-13","OH",13,3513,62.9,35.4,63.99
"2012-2021",2012,"OH-14","OH",14,3514,47.6,50.9,48.32
"2012-2021",2012,"OH-15","OH",15,3515,46.3,51.9,47.15
"2012-2021",2012,"OH-16","OH",16,3516,45.2,53.4,45.84
"2012-2021",2012,"OK-01","OK",1,3601,34.2,65.8,34.2
"2012-2021",2012,"OK-02","OK",2,3602,32.2,67.8,32.2
"2012-2021",2012,"OK-03","OK",3,3603,26.1,73.9,26.1
"2012-2021",2012,"OK-04","OK",4,3604,32.9,67.1,32.9
"2012-2021",2012,"OK-05","OK",5,3605,40.8,59.2,40.8
"2012-2021",2012,"OR-01","OR",1,3701,57.3,40,58.89
"2012-2021",2012,"OR-02","OR",2,3702,40.5,56.8,41.62
"2012-2021",2012,"OR-03","OR",3,3703,72,24.7,74.46
"2012-2021",2012,"OR-04","OR",4,3704,51.7,45,53.46
"2012-2021",2012,"OR-05","OR",5,3705,50.5,47.1,51.74
"2012-2021",2012,"PA-01","PA",1,3801,50.2,48.6,50.81
"2012-2021",2012,"PA-02","PA",2,3802,77.4,21.8,78.02
"2012-2021",2012,"PA-03","PA",3,3803,91.7,7.6,92.35
"2012-2021",2012,"PA-04","PA",4,3804,56.1,42.8,56.72
"2012-2021",2012,"PA-05","PA",5,3805,63.4,35.7,63.98
"2012-2021",2012,"PA-06","PA",6,3806,51,47.8,51.62
"2012-2021",2012,"PA-07","PA",7,3807,52.9,45.9,53.54
"2012-2021",2012,"PA-08","PA",8,3808,55.3,43.4,56.03
"2012-2021",2012,"PA-09","PA",9,3809,41.2,57.2,41.87
"2012-2021",2012,"PA-10","PA",10,3810,46,52.6,46.65
"2012-2021",2012,"PA-11","PA",11,3811,38,60.5,38.58
"2012-2021",2012,"PA-12","PA",12,3812,36.8,61.5,37.44
"2012-2021",2012,"PA-13","PA",13,3813,32.1,66.6,32.52
"2012-2021",2012,"PA-14","PA",14,3814,40.6,58.3,41.05
"2012-2021",2012,"PA-15","PA",15,3815,35.7,62.6,36.32
"2012-2021",2012,"PA-16","PA",16,3816,46.9,51.7,47.57
"2012-2021",2012,"PA-17","PA",17,3817,47.2,51.7,47.72
"2012-2021",2012,"PA-18","PA",18,3818,63.5,35.2,64.34
"2012-2021",2012,"RI-01","RI",1,3901,66.2,32.2,67.28
"2012-2021",2012,"RI-02","RI",2,3902,59.8,38.3,60.96
"2012-2021",2012,"SC-01","SC",1,4001,40.2,58.3,40.81
"2012-2021",2012,"SC-02","SC",2,4002,39.4,59.1,40
"2012-2021",2012,"SC-03","SC",3,4003,33.9,64.5,34.45
"2012-2021",2012,"SC-04","SC",4,4004,36.2,62.2,36.79
"2012-2021",2012,"SC-05","SC",5,4005,43.6,55.1,44.17
"2012-2021",2012,"SC-06","SC",6,4006,70.9,28.1,71.62
"2012-2021",2012,"SC-07","SC",7,4007,44.4,54.5,44.89
"2012-2021",2012,"SD-AL","SD",1,4101,39.9,57.9,40.8
"2012-2021",2012,"TN-01","TN",1,4201,25.7,72.7,26.12
"2012-2021",2012,"TN-02","TN",2,4202,30.9,67.3,31.47
"2012-2021",2012,"TN-03","TN",3,4203,35.1,63.3,35.67
"2012-2021",2012,"TN-04","TN",4,4204,33.1,65.3,33.64
"2012-2021",2012,"TN-05","TN",5,4205,55.9,42.5,56.81
"2012-2021",2012,"TN-06","TN",6,4206,29.5,69.1,29.92
"2012-2021",2012,"TN-07","TN",7,4207,32.9,65.7,33.37
"2012-2021",2012,"TN-08","TN",8,4208,32.9,66.1,33.23
"2012-2021",2012,"TN-09","TN",9,4209,78.4,20.9,78.95
"2012-2021",2012,"TX-01","TX",1,4301,27.5,71.6,27.75
"2012-2021",2012,"TX-02","TX",2,4302,35.6,62.9,36.14
"2012-2021",2012,"TX-03","TX",3,4303,34.2,64.3,34.72
"2012-2021",2012,"TX-04","TX",4,4304,24.8,74,25.1
"2012-2021",2012,"TX-05","TX",5,4305,34.4,64.5,34.78
"2012-2021",2012,"TX-06","TX",6,4306,40.8,57.9,41.34
"2012-2021",2012,"TX-07","TX",7,4307,38.6,59.9,39.19
"2012-2021",2012,"TX-08","TX",8,4308,21.7,77,21.99
"2012-2021",2012,"TX-09","TX",9,4309,78,21.1,78.71
"2012-2021",2012,"TX-10","TX",10,4310,38.8,59.1,39.63
"2012-2021",2012,"TX-11","TX",11,4311,19.6,79.2,19.84
"2012-2021",2012,"TX-12","TX",12,4312,31.7,66.8,32.18
"2012-2021",2012,"TX-13","TX",13,4313,18.5,80.2,18.74
"2012-2021",2012,"TX-14","TX",14,4314,39.5,59.3,39.98
"2012-2021",2012,"TX-15","TX",15,4315,57.4,41.5,58.04
"2012-2021",2012,"TX-16","TX",16,4316,64.2,34.5,65.05
"2012-2021",2012,"TX-17","TX",17,4317,37.7,60.4,38.43
"2012-2021",2012,"TX-18","TX",18,4318,76.1,22.8,76.95
"2012-2021",2012,"TX-19","TX",19,4319,25,73.6,25.35
"2012-2021",2012,"TX-20","TX",20,4320,58.9,39.7,59.74
"2012-2021",2012,"TX-21","TX",21,4321,37.9,59.8,38.79
"2012-2021",2012,"TX-22","TX",22,4322,36.7,62.1,37.15
"2012-2021",2012,"TX-23","TX",23,4323,48.1,50.7,48.68
"2012-2021",2012,"TX-24","TX",24,4324,38,60.4,38.62
"2012-2021",2012,"TX-25","TX",25,4325,37.8,59.9,38.69
"2012-2021",2012,"TX-26","TX",26,4326,30.7,67.6,31.23
"2012-2021",2012,"TX-27","TX",27,4327,38.2,60.5,38.7
"2012-2021",2012,"TX-28","TX",28,4328,60.3,38.7,60.91
"2012-2021",2012,"TX-29","TX",29,4329,65.9,33,66.63
"2012-2021",2012,"TX-30","TX",30,4330,79.6,19.6,80.24
"2012-2021",2012,"TX-31","TX",31,4331,38.3,59.6,39.12
"2012-2021",2012,"TX-32","TX",32,4332,41.5,57,42.13
"2012-2021",2012,"TX-33","TX",33,4333,72,27.1,72.65
"2012-2021",2012,"TX-34","TX",34,4334,60.8,38.3,61.35
"2012-2021",2012,"TX-35","TX",35,4335,63,34.6,64.55
"2012-2021",2012,"TX-36","TX",36,4336,25.7,73.2,25.99
"2012-2021",2012,"UT-01","UT",1,4401,20.4,77.4,20.86
"2012-2021",2012,"UT-02","UT",2,4402,29.2,68,30.04
"2012-2021",2012,"UT-03","UT",3,4403,19.5,78.3,19.94
"2012-2021",2012,"UT-04","UT",4,4404,30.2,67.2,31.01
"2012-2021",2012,"VT-AL","VT",1,4501,67,31.2,68.23
"2012-2021",2012,"VA-01","VA",1,4601,43.4,55.3,43.97
"2012-2021",2012,"VA-02","VA",2,4602,48.2,50.5,48.83
"2012-2021",2012,"VA-03","VA",3,4603,67.6,31.3,68.35
"2012-2021",2012,"VA-04","VA",4,4604,60.3,38.5,61.03
"2012-2021",2012,"VA-05","VA",5,4605,45.9,52.5,46.65
"2012-2021",2012,"VA-06","VA",6,4606,39.5,58.8,40.18
"2012-2021",2012,"VA-07","VA",7,4607,44.1,54.6,44.68
"2012-2021",2012,"VA-08","VA",8,4608,67.8,31,68.62
"2012-2021",2012,"VA-09","VA",9,4609,34.9,63.1,35.61
"2012-2021",2012,"VA-10","VA",10,4610,48.8,49.9,49.44
"2012-2021",2012,"VA-11","VA",11,4611,62.5,36.3,63.26
"2012-2021",2012,"WA-01","WA",1,4701,54.1,43.3,55.54
"2012-2021",2012,"WA-02","WA",2,4702,59.2,38,60.91
"2012-2021",2012,"WA-03","WA",3,4703,47.9,49.6,49.13
"2012-2021",2012,"WA-04","WA",4,4704,37.9,59.7,38.83
"2012-2021",2012,"WA-05","WA",5,4705,43.7,53.5,44.96
"2012-2021",2012,"WA-06","WA",6,4706,56.1,41.2,57.66
"2012-2021",2012,"WA-07","WA",7,4707,79.2,18.1,81.4
"2012-2021",2012,"WA-08","WA",8,4708,49.7,48.1,50.82
"2012-2021",2012,"WA-09","WA",9,4709,68.3,29.6,69.77
"2012-2021",2012,"WA-10","WA",10,4710,56.3,41.1,57.8
"2012-2021",2012,"WV-01","WV",1,4801,35.5,62.2,36.34
"2012-2021",2012,"WV-02","WV",2,4802,38,60,38.78
"2012-2021",2012,"WV-03","WV",3,4803,32.8,65,33.54
"2012-2021",2012,"WI-01","WI",1,4901,47.4,51.6,47.88
"2012-2021",2012,"WI-02","WI",2,4902,68.3,30.5,69.13
"2012-2021",2012,"WI-03","WI",3,4903,54.8,43.8,55.58
"2012-2021",2012,"WI-04","WI",4,4904,75.3,23.8,75.98
"2012-2021",2012,"WI-05","WI",5,4905,37.7,61.3,38.08
"2012-2021",2012,"WI-06","WI",6,4906,45.8,53.1,46.31
"2012-2021",2012,"WI-07","WI",7,4907,47.8,50.9,48.43
"2012-2021",2012,"WI-08","WI",8,4908,47.6,51.3,48.13
"2012-2021",2012,"WY-AL","WY",1,5001,28,69.2,28.81
"2012-2021",2016,"AL-01","AL",1,101,34.1,63.5,34.94
"2012-2021",2016,"AL-02","AL",2,102,33,64.9,33.71
"2012-2021",2016,"AL-03","AL",3,103,32.3,65.3,33.09
"2012-2021",2016,"AL-04","AL",4,104,17.4,80.4,17.79
"2012-2021",2016,"AL-05","AL",5,105,31.3,64.7,32.6
"2012-2021",2016,"AL-06","AL",6,106,26.1,70.8,26.93
"2012-2021",2016,"AL-07","AL",7,107,69.8,28.6,70.93
"2012-2021",2016,"AK-AL","AK",1,201,37.6,52.8,41.59
"2012-2021",2016,"AZ-01","AZ",1,301,46.6,47.7,49.42
"2012-2021",2016,"AZ-02","AZ",2,302,49.6,44.7,52.6
"2012-2021",2016,"AZ-03","AZ",3,303,62.4,32.5,65.75
"2012-2021",2016,"AZ-04","AZ",4,304,27.5,67.7,28.89
"2012-2021",2016,"AZ-05","AZ",5,305,36.5,57.6,38.79
"2012-2021",2016,"AZ-06","AZ",6,306,42.4,52.4,44.73
"2012-2021",2016,"AZ-07","AZ",7,307,71.8,22.6,76.06
"2012-2021",2016,"AZ-08","AZ",8,308,37,58.1,38.91
"2012-2021",2016,"AZ-09","AZ",9,309,54.7,38.4,58.75
"2012-2021",2016,"AR-01","AR",1,401,30.2,65,31.72
"2012-2021",2016,"AR-02","AR",2,402,41.7,52.4,44.31
"2012-2021",2016,"AR-03","AR",3,403,30.5,61.9,33.01
"2012-2021",2016,"AR-04","AR",4,404,31.3,64.2,32.77
"2012-2021",2016,"CA-01","CA",1,501,36.5,56.2,39.37
"2012-2021",2016,"CA-02","CA",2,502,69,23.3,74.76
"2012-2021",2016,"CA-03","CA",3,503,53,40.4,56.75
"2012-2021",2016,"CA-04","CA",4,504,39.3,54,42.12
"2012-2021",2016,"CA-05","CA",5,505,69.2,24.3,74.01
"2012-2021",2016,"CA-06","CA",6,506,69.2,24.4,73.93
"2012-2021",2016,"CA-07","CA",7,507,52.3,40.9,56.12
"2012-2021",2016,"CA-08","CA",8,508,39.6,54.7,41.99
"2012-2021",2016,"CA-09","CA",9,509,56.6,38,59.83
"2012-2021",2016,"CA-10","CA",10,510,48.5,45.5,51.6
"2012-2021",2016,"CA-11","CA",11,511,71.5,22.7,75.9
"2012-2021",2016,"CA-12","CA",12,512,86.2,8.7,90.83
"2012-2021",2016,"CA-13","CA",13,513,87.4,6.8,92.78
"2012-2021",2016,"CA-14","CA",14,514,76.9,18.2,80.86
"2012-2021",2016,"CA-15","CA",15,515,69.9,24.2,74.28
"2012-2021",2016,"CA-16","CA",16,516,58,36.4,61.44
"2012-2021",2016,"CA-17","CA",17,517,73.9,20.5,78.28
"2012-2021",2016,"CA-18","CA",18,518,73.4,20.2,78.42
"2012-2021",2016,"CA-19","CA",19,519,72.9,21.5,77.22
"2012-2021",2016,"CA-20","CA",20,520,70.4,23.2,75.21
"2012-2021",2016,"CA-21","CA",21,521,55.2,39.7,58.17
"2012-2021",2016,"CA-22","CA",22,522,42.6,52.1,44.98
"2012-2021",2016,"CA-23","CA",23,523,36.1,58.1,38.32
"2012-2021",2016,"CA-24","CA",24,524,56.7,36.5,60.84
"2012-2021",2016,"CA-25","CA",25,525,50.3,43.6,53.57
"2012-2021",2016,"CA-26","CA",26,526,57.9,36,61.66
"2012-2021",2016,"CA-27","CA",27,527,66,28.4,69.92
"2012-2021",2016,"CA-28","CA",28,528,72.1,22.3,76.38
"2012-2021",2016,"CA-29","CA",29,529,77.7,16.8,82.22
"2012-2021",2016,"CA-30","CA",30,530,69.1,25.7,72.89
"2012-2021",2016,"CA-31","CA",31,531,57.7,36.6,61.19
"2012-2021",2016,"CA-32","CA",32,532,66.6,27.7,70.63
"2012-2021",2016,"CA-33","CA",33,533,67.8,26.5,71.9
"2012-2021",2016,"CA-34","CA",34,534,83.6,10.7,88.65
"2012-2021",2016,"CA-35","CA",35,535,67.7,26.9,71.56
"2012-2021",2016,"CA-36","CA",36,536,52.2,43.4,54.6
