"date","city","county","state","postal","lat","long","fips","candidate","event_type","notes"
2024-10-11,"Reno","Washoe","Nevada","NV",39.5497,-119.8483,"32031","Trump","Campaign","Trump event"
2024-10-11,"Scottsdale","Maricopa","Arizona","AZ",33.6743869,-112.0236042,"04013","Harris","Campaign","Harris event"
2024-10-11,"Warren","Macomb","Michigan","MI",42.4927979,-83.0682988,"26099","Walz","Campaign","Walz event"
2024-10-12,"Henderson","Clark","Nevada","NV",36.0376783,-115.0139534,"32003","Trump","Campaign","Trump rally"
2024-10-12,"Coachella","Riverside","California","CA",33.686108,-116.1886912,"06065","Trump","Campaign","Trump rally "
2024-10-12,"Johnstown","Cambria","Pennsylvania","PA",40.3269357,-78.9598965,"42021","Vance","Campaign","Vance event"
2024-10-13,"Prescott Valley","Yavapai","Arizona","AZ",34.6003315,-112.376537,"04025","Trump","Campaign","Trump rally"
2024-10-13,"Greenville","Pitt","North Carolina","NC",35.6030443,-77.459927,"37147","Harris","Campaign","Harris event"
2024-10-14,"Erie","Erie","Pennsylvania","PA",42.1153771,-80.1121465,"42049","Harris","Campaign","Harris event"
2024-10-14,"Eau Claire","Eau Claire","Wisconsin","WI",44.8197654,-91.5224738,"55035","Walz","Campaign","Walz event"
2024-10-14,"Green Bay","Brown","Wisconsin","WI",44.515,-87.9896,"55009","Walz","Campaign","Walz event"
2024-10-14,"Oaks","Montgomery","Pennsylvania","PA",40.1313535,-75.4744367,"42091","Trump","Campaign","Trump event"
2024-10-15,"Detroit","Wayne","Michigan","MI",42.3266374,-83.0503179,"26163","Harris","Campaign","Harris event"
2024-10-15,"Volant","Lawrence","Pennsylvania","PA",41.1131075,-80.2617663,"42073","Walz","Campaign","Walz event"
2024-10-15,"Pittsburgh","Allegheny","Pennsylvania","PA",40.4396,-79.9763,"42003","Walz","Campaign","Walz rally "
2024-10-15,"Chicago","Cook","Illinois","IL",41.8336152,-87.896768,"17031","Trump","Campaign","Trump speaks to Economic Club of Chicago"
2024-10-15,"Atlanta","Fulton","Georgia","GA",33.7473456,-84.4159076,"13121","Trump","Campaign","Trump event"
2024-10-15,"Washington Township","Westmoreland","Pennsylvania","PA",40.509943,-79.6971702,"42129","Walz","Campaign","Walz campaign stop at the Telesz Family Farm in Washington Township"
