"series","rank","value","who"
"counties",43,1064465,"Collin, Texas"
"counties",44,1062061,"Montgomery, Maryland"
"counties",45,1043433,"Pima, Arizona"
"counties",46,1008654,"Fresno, California"
"counties",47,1004457,"Westchester, New York"
"counties",48,1004125,"St. Louis, Missouri"
"counties",49,995567,"Duval, Florida"
"counties",50,977203,"Marion, Indiana"
"counties",51,967201,"Prince George's, Maryland"
"counties",52,959107,"Pinellas, Florida"
"counties",54,955732,"Bergen, New Jersey"
"counties",55,954236,"Erie, New York"
"counties",56,939489,"Milwaukee, Wisconsin"
"counties",58,929744,"Shelby, Tennessee"
"counties",59,921130,"Pierce, Washington"
"counties",61,906422,"Denton, Texas"
"counties",62,881217,"Macomb, Michigan"
"counties",64,870781,"Hidalgo, Texas"
"counties",66,863728,"Essex, New Jersey"
"counties",67,863162,"Middlesex, New Jersey"
"counties",69,856553,"Montgomery, Pennsylvania"
"counties",71,843843,"Ventura, California"
"counties",73,827957,"Snohomish, Washington"
"counties",74,822779,"Fort Bend, Texas"
"counties",76,809829,"Essex, Massachusetts"
"counties",78,796292,"Oklahoma, Oklahoma"
"counties",80,779233,"San Joaquin, California"
"counties",82,764442,"San Mateo, California"
"counties",84,760822,"Lee, Florida"
"counties",87,725981,"Norfolk, Massachusetts"
"counties",89,724854,"Hudson, New Jersey"
"counties",91,715884,"Davidson, Tennessee"
"counties",93,714342,"Lake, Illinois"
"counties",96,676444,"Bernalillo, New Mexico"
"counties",98,669279,"Tulsa, Oklahoma"
"counties",101,657974,"Kent, Michigan"
"counties",103,646538,"Bucks, Pennsylvania"
"counties",106,620443,"Montgomery, Texas"
"counties",109,606612,"Brevard, Florida"
"counties",111,588261,"Anne Arundel, Maryland"
"counties",114,582910,"Jefferson, Colorado"
"counties",117,575345,"Union, New Jersey"
"counties",120,561504,"Dane, Wisconsin"
"counties",123,552878,"Stanislaus, California"
"counties",126,540428,"Summit, Ohio"
"counties",130,530819,"Plymouth, Massachusetts"
"counties",133,523824,"Sedgwick, Kansas"
"counties",136,516522,"Kane, Illinois"
"counties",140,495747,"Richmond, New York"
"counties",143,488863,"Sonoma, California"
"counties",147,476516,"Onondaga, New York"
"counties",151,461860,"Burlington, New Jersey"
"counties",155,453491,"Solano, California"
"counties",158,439882,"Dakota, Minnesota"
"counties",162,428849,"Berks, Pennsylvania"
"counties",167,420959,"Loudoun, Virginia"
"counties",171,406978,"Waukesha, Wisconsin"
"counties",175,401310,"Orange, New York"
"counties",180,388153,"Madison, Alabama"
"counties",184,383956,"Lake, Florida"
"counties",189,374853,"Stark, Ohio"
"counties",194,366207,"Hamilton, Tennessee"
"counties",199,357978,"Douglas, Colorado"
"counties",204,347467,"Hamilton, Indiana"
"counties",209,334728,"Cumberland, North Carolina"
"counties",214,328981,"Weld, Colorado"
"counties",220,321905,"Escambia, Florida"
"counties",225,310639,"Lubbock, Texas"
"counties",231,297595,"Clayton, Georgia"
"counties",237,293991,"Lexington, South Carolina"
