"fips","county","state","total","one_race","white","black","aian","asian","nhpi","other_race","two_or_more","hispanic","not_hispanic","nh_white","nh_black","nh_aian","nh_asian","nh_nhpi","nh_other","nh_two","gq_total","gq_correctional","gq_juvenile","gq_nursing","gq_college","gq_military"
"42015","Bradford County","Pennsylvania",59967,57329,56026,404,136,465,14,284,2638,873,59094,55717,394,117,460,13,133,2260,650,156,0,257,32,0
"42017","Bucks County","Pennsylvania",646538,609656,529895,26373,1173,35216,178,16821,36882,39770,606768,521575,25277,531,35053,143,2512,21677,8848,792,411,4429,1401,0
"42019","Butler County","Pennsylvania",193763,185875,179140,2243,234,2814,41,1403,7888,3665,190098,178081,2174,154,2792,36,577,6284,4960,243,99,1438,2607,0
"42021","Cambria County","Pennsylvania",133472,127790,120248,5828,135,782,37,760,5682,2465,131007,119380,5665,96,764,35,320,4747,6252,1409,46,933,2722,0
"42023","Cameron County","Pennsylvania",4547,4379,4285,16,9,29,0,40,168,86,4461,4271,12,8,29,0,12,129,18,0,0,18,0,0
"42025","Carbon County","Pennsylvania",64749,61587,58531,1208,152,330,20,1346,3162,3642,61107,57439,1070,95,327,14,216,1946,839,208,29,501,0,0
"42027","Centre County","Pennsylvania",158172,150412,131212,5476,202,11404,45,2073,7760,5651,152521,129668,5306,120,11373,39,596,5419,20015,4592,49,748,14269,0
"42029","Chester County","Pennsylvania",534413,498342,413103,29526,1450,35252,133,18878,36071,43542,490871,405476,28391,532,35143,119,2249,18961,13647,554,212,3072,7275,0
"42031","Clarion County","Pennsylvania",37241,36122,35159,552,47,175,16,173,1119,387,36854,35023,521,39,175,15,111,970,1760,66,0,248,1258,0
"42033","Clearfield County","Pennsylvania",80562,78074,75093,1906,82,450,0,543,2488,2637,77925,73338,1760,78,450,0,146,2153,5781,4805,20,579,22,0
"42035","Clinton County","Pennsylvania",37450,36161,35169,447,72,212,7,254,1289,662,36788,34933,416,51,211,7,70,1100,1359,157,39,318,821,0
"42037","Columbia County","Pennsylvania",64727,62196,59549,912,100,759,19,857,2531,2140,62587,58831,867,71,748,17,159,1894,3592,155,0,469,2750,0
"42039","Crawford County","Pennsylvania",83938,80387,77804,1530,124,374,26,529,3551,1241,82697,77347,1496,109,365,26,229,3125,3838,1315,117,767,1544,0
"42041","Cumberland County","Pennsylvania",259469,245348,214921,11081,513,13911,126,4796,14121,11975,247494,211990,10581,318,13836,113,1074,9582,12487,3125,51,1830,7096,20
"42043","Dauphin County","Pennsylvania",286401,264899,180980,50868,799,17277,109,14866,21502,31251,255150,175175,48404,396,17183,88,1465,12439,6581,1471,30,1543,1555,0
"42045","Delaware County","Pennsylvania",576830,546811,367718,129242,1092,36457,153,12149,30019,26772,550058,363249,127055,676,36317,133,2596,20032,20846,2390,314,3332,12909,0
"42047","Elk County","Pennsylvania",30990,29880,29555,80,22,113,12,98,1110,294,30696,29466,74,16,113,12,46,969,313,41,0,226,0,0
"42049","Erie County","Pennsylvania",270876,254881,222731,20584,477,6380,60,4649,15995,12030,258846,219180,19821,343,6358,58,1046,12040,12478,2876,92,2089,5946,15
"42051","Fayette County","Pennsylvania",128804,123073,115811,5789,213,383,161,716,5731,1578,127226,115322,5703,166,376,160,313,5186,3987,2168,18,789,78,0
"42053","Forest County","Pennsylvania",6973,6842,5296,1237,9,19,0,281,131,323,6650,5278,1235,8,17,0,4,108,2809,2653,74,82,0,0
"42055","Franklin County","Pennsylvania",155932,146999,134524,5338,488,1442,52,5155,8933,10764,145168,132566,4998,242,1408,40,501,5413,1355,0,44,874,254,0
"42057","Fulton County","Pennsylvania",14556,14024,13767,128,31,41,3,54,532,146,14410,13726,124,25,41,3,17,474,156,0,0,73,67,0
"42059","Greene County","Pennsylvania",35954,34563,33027,1083,77,120,6,250,1391,510,35444,32898,1062,69,120,6,63,1226,3033,1820,0,257,872,0
