"fips","x","y","r","winner"
"29089",1309,599,3.2,"R"
"48291",1239,1024,8.2,"R"
"18099",1535,496,6.4,"R"
"39131",1651,584,5.1,"R"
"30081",602,220,7.9,"R"
"31053",1163,488,5.9,"R"
"18133",1500,553,5.9,"R"
"48461",951,962,1.7,"R"
"18023",1506,535,5.1,"R"
"47025",1658,692,5.4,"R"
"28119",1415,834,2.4,"D"
"28035",1466,971,7.7,"R"
"12089",1775,957,11.8,"R"
"04025",563,727,17.8,"R"
"06115",288,484,7.9,"R"
"06019",327,621,26.1,"R"
"21083",1468,713,5.9,"R"
"24013",1893,507,14.6,"R"
"27135",1201,150,4.2,"R"
"28151",1393,878,5.5,"D"
"26011",1599,339,4.4,"R"
"08059",826,585,27.4,"D"
"37039",1648,768,6.1,"R"
"37009",1731,679,5.9,"R"
"39035",1672,365,35,"D"
"42015",1869,409,8.1,"R"
"47183",1466,729,5.3,"R"
"51117",1857,647,5.9,"R"
"17003",1440,690,2.2,"R"
"22031",1281,938,5.4,"R"
"27037",1310,407,23.3,"D"
"29115",1297,570,3.5,"R"
"20183",1093,573,2.1,"R"
"30043",667,228,4.2,"R"
"31019",1084,521,7.1,"R"
"21233",1497,671,3.4,"R"
"21229",1598,639,3.7,"R"
"37057",1795,694,14,"R"
"37025",1777,759,15.9,"R"
"39071",1639,587,6.5,"R"
"39083",1680,521,8.3,"R"
"41027",356,190,5.1,"D"
"42009",1800,519,7.7,"R"
"27173",1195,341,3.4,"R"
"47031",1576,769,7.3,"R"
"47091",1730,695,4.1,"R"
"47133",1595,708,4.8,"R"
"55081",1379,375,7,"R"
"56025",823,400,8.4,"R"
"41069",397,241,1.3,"R"
"48473",1177,1036,7.6,"R"
"48157",1211,1045,27.5,"D"
"48339",1178,1003,25.5,"R"
"51173",1734,668,5.5,"R"
"28051",1425,883,3.8,"D"
"53001",473,147,3.3,"R"
"51143",1810,658,8.5,"R"
"53035",331,59,18,"D"
"08047",847,555,2.9,"D"
"13217",1708,864,11.2,"D"
"16083",553,385,8.8,"R"
"17011",1431,487,5.8,"R"
"17009",1382,561,2.3,"R"
"17125",1400,552,3.7,"R"
"18057",1523,514,20.3,"R"
"18059",1579,553,9.7,"R"
"19167",1187,417,6.3,"R"
"21183",1526,666,4.8,"R"
"21119",1676,656,3.6,"R"
"25015",1978,350,13.2,"D"
"28127",1435,940,4.9,"R"
"28097",1440,860,3.1,"R"
"28153",1485,951,4.4,"R"
"31023",1153,506,3.1,"R"
"31059",1136,539,2.5,"R"
"36111",1960,397,14.5,"D"
"47095",1438,729,2,"R"
"48105",975,998,1.7,"R"
"54013",1732,577,2.5,"R"
"47127",1559,771,2.8,"R"
"01049",1582,801,7.9,"R"
"05143",1251,763,14.2,"R"
"09170",2060,334,23.6,"D"
"13291",1654,778,6.2,"R"
"19057",1363,517,6.3,"R"
"21163",1536,668,5.5,"R"
"06063",341,426,4.6,"R"
"21041",1589,600,2.9,"R"
"28075",1483,911,7.6,"R"
"30011",912,285,1.3,"R"
"26053",1396,253,4.2,"R"
"36087",1932,386,17.9,"R"
"37119",1855,722,34.7,"D"
"39123",1657,441,7.1,"R"
"42133",1891,471,23,"R"
"45051",1861,810,20.9,"R"
"49047",710,529,5.8,"R"
"53045",328,88,8.7,"R"
"54069",1737,518,6.3,"R"
"55079",1512,342,31.2,"D"
"13117",1639,756,17.1,"R"
"13009",1701,880,6.3,"R"
"13253",1641,968,2.9,"R"
"13019",1704,944,4.2,"R"
"18071",1548,585,6.3,"R"
"18063",1504,572,13.2,"R"
"18081",1539,602,12.8,"R"
"17013",1394,599,2.4,"R"
"19141",1206,418,4,"R"
"21209",1623,610,7.9,"R"
"21137",1610,664,4.8,"R"
"51069",1816,551,10.5,"R"
"51167",1710,657,5.4,"R"
"53065",508,89,7.7,"R"
"55011",1330,357,4.1,"R"
"40059",1056,718,1.7,"R"
"48421",971,734,1.4,"R"
"49019",700,578,3.3,"D"
"51135",1866,648,3.8,"R"
"05139",1327,884,5.7,"R"
"06053",260,609,17.4,"D"
"08069",855,491,21.7,"D"
"12101",1694,1055,26,"R"
"22117",1432,980,6.3,"R"
"26103",1466,247,9.1,"D"
"04013",550,809,65.9,"R"
"05115",1304,781,7.1,"R"
"06005",324,526,6.8,"R"
"19043",1350,427,4.5,"R"
"36031",1938,279,6.4,"D"
"37023",1752,715,9.9,"R"
"39077",1668,465,7.6,"R"
"40027",1153,807,15.8,"R"
"40139",987,716,3.3,"R"
"47069",1461,781,4.5,"R"
"47089",1664,713,7.4,"R"
"30015",733,156,2.5,"R"
"31015",1102,426,1.5,"R"
"47159",1582,710,4.4,"R"
"31129",1120,555,2.2,"R"
"48401",1253,951,6.8,"R"
"48485",1088,849,9.7,"R"
"48341",970,754,3.4,"R"
"48371",924,993,3,"R"
"49003",594,437,7.8,"R"
"26007",1603,299,6,"R"
"28139",1464,801,4.5,"R"
"32017",497,600,2.3,"R"
"36119",1910,307,31.2,"D"
"36063",1767,327,14.8,"R"
"36027",1939,422,18,"D"
"38035",1146,190,8.1,"R"
"40095",1152,854,3.7,"R"
"48479",1057,1154,11.8,"R"
"48273",1120,1163,4.6,"R"
"53071",459,182,7.8,"R"
"08027",850,637,2.8,"R"
"08109",813,635,2.6,"D"
"13137",1677,789,7,"R"
"17061",1396,592,3.6,"R"
"18031",1589,580,5,"R"
"16041",644,415,3.9,"R"
"19013",1319,446,11.5,"D"
"21089",1673,601,6.1,"R"
"21021",1592,655,5.5,"R"
"21093",1564,680,10.1,"R"
"21179",1583,665,6.9,"R"
"26091",1583,453,10.8,"R"
"27035",1257,250,9.4,"R"
"27143",1253,346,4.2,"R"
"28123",1449,912,4.6,"R"
"28009",1454,805,2.9,"R"
"28129",1452,933,4,"R"
"29195",1302,593,4.4,"R"
"31115",1072,471,1,"R"
"21099",1578,675,4.2,"R"
"35037",903,782,2.8,"R"
"36099",1849,377,5.7,"R"
"37051",1863,758,17.2,"D"
"40143",1186,745,23.2,"R"
"40091",1206,784,4.2,"R"
"42089",1944,428,13.5,"R"
"47147",1515,693,8.6,"R"
"21047",1502,685,6.8,"R"
"39043",1656,457,9.2,"R"
"35017",713,883,5.5,"D"
"35021",902,751,1,"R"
"05027",1301,888,4.1,"R"
"55065",1381,438,4.3,"R"
"51169",1686,676,4.9,"R"
"48149",1157,1038,5.3,"R"
"47053",1461,743,6.8,"R"
"25019",2095,398,3.9,"D"
"21039",1455,702,2.4,"R"
"45005",1767,855,2.5,"D"
"46011",1166,357,5.6,"R"
"51115",1928,613,3.5,"R"
"53075",497,163,6.4,"D"
"29131",1321,647,5.3,"R"
"26021",1503,449,13.4,"R"
"30017",882,249,3.5,"R"
"42053",1783,438,2.4,"R"
"29059",1303,676,4.2,"R"
"37131",1890,668,4.4,"D"
"12085",1844,1141,14.5,"R"
"12099",1931,1108,39.8,"D"
"13033",1752,864,4.9,"R"
"13151",1682,891,16.6,"D"
"29141",1303,639,4.5,"R"
"05029",1319,787,4.2,"R"
"29143",1430,717,3.8,"R"
"37021",1691,736,18.4,"D"
"25025",2084,314,24.9,"D"
"42011",1847,422,21.1,"R"
"47079",1481,727,5.6,"R"
"48007",1153,1120,5.3,"R"
"25017",2020,224,41.1,"D"
"13049",1753,962,3.1,"R"
"48377",857,1023,2.1,"D"
"06001",221,571,37,"D"
"47061",1581,759,3.7,"R"
"21055",1486,678,2.9,"R"
"09110",2108,365,31.6,"D"
"09120",1994,375,17,"D"
"09180",2010,407,17,"D"
"31165",925,434,1.2,"R"
"39075",1701,511,5.1,"R"
"25023",2135,316,25.1,"D"
"48009",1088,864,3.3,"R"
"46135",1145,423,4.7,"R"
"46067",1133,405,2.8,"R"
"47039",1492,764,3.4,"R"
"42021",1816,482,12.3,"R"
"41033",252,314,10.1,"R"
"50027",1969,282,8.4,"D"
"42055",1868,496,13.3,"R"
"22013",1308,925,3.6,"R"
"21063",1667,621,2.5,"R"
"48073",1225,954,6.6,"R"
"53053",389,176,30.1,"D"
"26089",1536,308,6.1,"D"
"29145",1257,714,7.8,"R"
"27097",1245,261,6.5,"R"
"42109",1867,441,6.5,"R"
"35047",859,760,4.8,"D"
"29149",1365,717,3.1,"R"
"46019",942,325,3.3,"R"
"47059",1685,711,8.1,"R"
"47063",1672,702,7.4,"R"
"46033",941,379,3.5,"R"
"45025",1812,785,6.2,"R"
"45027",1813,815,5.9,"R"
"31169",1136,555,2.5,"R"
"30099",679,149,2.7,"R"
"21079",1615,656,4.3,"R"
"22017",1274,905,14.1,"D"
"35003",714,816,2.2,"R"
"16071",621,410,2.3,"R"
"16045",511,295,4.7,"R"
"39087",1687,598,7.5,"R"
"42111",1785,524,9.3,"R"
"48167",1252,1063,18.3,"R"
"05045",1333,781,10.7,"R"
"46081",931,342,5.7,"R"
"42031",1777,444,6.5,"R"
"47085",1492,742,4.2,"R"
"45037",1741,834,5.4,"R"
"45043",1845,835,8.9,"R"
"54001",1772,563,3.7,"R"
"25005",2162,368,24.1,"D"
"28049",1412,922,13.5,"D"
"21123",1573,669,3.9,"R"
"29071",1347,646,10.8,"R"
"24005",1898,419,29.2,"D"
"22081",1299,938,2.8,"R"
"16079",555,145,3.6,"R"
"51179",1876,606,13.2,"D"
"24510",1980,500,21.8,"D"
"23001",2046,251,11.1,"R"
"23023",2064,248,7.2,"D"
"20037",1235,682,5.9,"R"
"48091",1093,1065,14.8,"R"
"48095",1038,973,1.6,"R"
"47093",1636,713,21.6,"R"
"27073",1186,325,2.9,"R"
"51075",1845,616,6.4,"R"
"51087",1912,571,19.5,"D"
"44003",2037,424,13.9,"D"
"49005",649,431,11.2,"R"
"16043",675,318,3.8,"R"
"24003",1975,571,25.4,"D"
"12001",1725,1002,17,"D"
"29077",1289,692,17.4,"R"
"06107",369,612,17,"R"
"24015",1915,494,10.5,"R"
"38055",1031,205,3.4,"R"
"37195",1884,704,9.2,"D"
"26037",1608,401,10.3,"R"
"23007",2032,210,6.1,"R"
"17029",1469,574,6.7,"R"
"47145",1615,735,7.6,"R"
"26003",1499,245,3.3,"R"
"37017",1884,766,6,"R"
"50001",1954,283,6.8,"D"
"47101",1509,780,3.5,"R"
"53005",433,173,14.4,"R"
"27081",1184,357,2.6,"R"
"31033",947,494,3.1,"R"
"42063",1801,467,9.5,"R"
"48247",1078,1172,1.8,"D"
"17093",1420,501,11.8,"D"
"18089",1504,501,21,"D"
"17097",1512,409,25.5,"D"
"16035",559,184,3,"R"
"47143",1605,742,5.5,"R"
"24019",1909,557,5.9,"R"
"16055",544,132,14.2,"R"
"47149",1561,749,17.6,"R"
"20049",1184,686,1.7,"R"
"19189",1270,403,3.4,"R"
"19085",1206,473,4.1,"R"
"26057",1591,374,6.5,"R"
"19053",1271,528,2.8,"R"
"29173",1344,568,3.5,"R"
"56021",886,482,9.5,"R"
"47125",1496,704,13.1,"R"
"49017",628,620,2.4,"R"
"27091",1242,390,4.8,"R"
"42069",1973,425,15.7,"D"
"42131",1889,423,5.6,"R"
"42073",1749,445,10,"R"
"42085",1763,433,11.1,"R"
"42077",1913,420,20,"D"
"29107",1271,588,6,"R"
"29117",1280,570,3.8,"R"
"29119",1249,724,4.5,"R"
"17131",1376,508,4.2,"R"
"24023",1797,532,5.7,"R"
"24025",1934,474,17.6,"R"
"47097",1432,752,4.2,"R"
"47157",1425,782,26.2,"D"
"21129",1647,650,2.4,"R"
"47167",1443,754,7.5,"R"
"21131",1661,670,3,"R"
"47135",1490,758,2.8,"R"
"55089",1490,378,11.6,"R"
"47161",1490,719,3.7,"R"
"29009",1277,717,5.9,"R"
"51033",1879,573,6.1,"R"
"05091",1276,880,5.8,"R"
"19151",1238,432,2.7,"R"
"38029",1054,264,2,"R"
"51149",1893,647,6.1,"R"
"22055",1348,1027,15.3,"R"
"51153",1846,623,21.8,"D"
"17163",1443,638,15.9,"D"
"46065",1062,357,4.2,"R"
"47023",1474,771,4,"R"
"22119",1301,907,5.9,"R"
"24037",1913,574,11.1,"R"
"21091",1535,652,3.1,"R"
"21135",1648,605,3.5,"R"
"48123",1138,1080,4.1,"R"
"06077",316,555,23.4,"R"
"21143",1489,690,3,"R"
"21149",1517,670,3.1,"R"
"21153",1668,640,3.3,"R"
"47179",1688,692,11.4,"R"
"51049",1847,625,3.4,"R"
"48043",902,1030,3.1,"R"
"55105",1403,417,13.6,"D"
"51057",1893,585,3.6,"R"
"05001",1371,832,3.4,"R"
"42095",1879,399,19.4,"R"
"34007",1942,590,22.8,"D"
"17185",1489,628,3.4,"R"
"37147",1915,696,13.6,"D"
"22019",1301,1024,13.1,"R"
"24041",1904,546,6.9,"R"
"47139",1621,782,4.3,"R"
"27027",1177,240,8.3,"D"
"21159",1689,632,2.8,"R"
"21161",1646,623,4.1,"R"
"55117",1471,354,11.9,"R"
"45065",1717,824,3.6,"R"
"56023",682,414,4.8,"R"
"37199",1707,718,4.9,"R"
"01113",1622,912,6.6,"D"
"06003",330,520,1.2,"D"
"55047",1413,355,4.8,"R"
"34019",1935,476,13,"R"
"24047",1954,571,8.3,"R"
"37167",1804,737,8.8,"R"
"22003",1323,1003,4.3,"R"
"22079",1332,979,10.6,"R"
"22115",1306,983,5.8,"R"
"21203",1625,672,4,"R"
"27055",1362,388,4.9,"R"
"21165",1657,633,2.6,"R"
"37085",1850,732,11.6,"R"
"49035",614,490,32.6,"D"
"49049",653,532,24.8,"R"
"51059",1794,601,34.9,"D"
"45077",1695,780,11.3,"R"
"45079",1789,820,19.6,"D"
"30039",628,210,2.1,"R"
"05021",1403,731,3.2,"R"
"27167",1178,266,2.6,"R"
"04009",646,860,5.7,"R"
"21207",1601,683,4.3,"R"
"21235",1640,686,5.7,"R"
"40053",1126,717,2.1,"R"
"47175",1591,748,2.6,"R"
"54089",1750,631,3.3,"R"
"37193",1762,700,8.8,"R"
"49039",629,551,5.2,"R"
"06093",277,360,6.7,"R"
"46051",1168,320,2.8,"R"
"45071",1730,805,6.2,"R"
"45083",1715,763,18.1,"R"
"51089",1796,666,7.4,"R"
"45085",1809,801,9.8,"D"
"53013",484,185,2.3,"R"
"55133",1433,396,24.1,"R"
"39101",1647,501,7.6,"R"
"37177",1943,690,1.9,"R"
"08079",790,651,1.3,"R"
"18111",1490,523,3.7,"R"
"51035",1754,669,5.9,"R"
"16031",585,397,4.5,"R"
"19119",1186,405,3.8,"R"
"37137",1935,721,4.1,"R"
"17005",1438,611,4.1,"R"
"18045",1504,543,4.1,"R"
"19095",1323,482,4.5,"R"
"16013",581,347,5.2,"D"
"48439",1114,866,41.7,"R"
"47045",1441,741,5.5,"R"
"37093",1840,748,6.9,"D"
"05125",1316,832,11,"R"
"26149",1549,457,7.9,"R"
"21219",1524,686,3.3,"R"
"26159",1523,441,9.3,"R"
"27103",1244,365,6.4,"R"
"49055",648,601,1.9,"R"
"27107",1178,219,2.6,"R"
"30023",634,229,3.2,"D"
"37175",1691,762,6.6,"R"
"01061",1601,964,5.1,"R"
"01069",1624,959,9.7,"R"
"51077",1742,674,4.1,"R"
"37031",1939,735,9.8,"R"
"47037",1531,723,24.7,"D"
"16033",643,315,0.8,"R"
"55015",1452,346,8.3,"R"
"21225",1488,661,3.6,"R"
"17043",1455,479,30.8,"D"
"17059",1479,660,2.3,"R"
"27009",1242,274,6.9,"R"
"21237",1654,641,2.5,"R"
"42041",1830,510,17.7,"R"
"29031",1428,680,9.2,"R"
"25013",1982,435,20.9,"D"
"29033",1284,588,3.1,"R"
"12071",1785,1196,28.9,"R"
"16053",567,377,4.1,"R"
"20121",1245,653,6.3,"R"
"05149",1292,799,3.7,"R"
"13025",1750,943,4.3,"R"
"19069",1287,433,3.2,"R"
"17177",1384,461,6.6,"R"
"18025",1534,622,3.2,"R"
"40133",1172,794,4.1,"R"
"38057",1008,214,3.1,"R"
"35053",774,822,3.9,"R"
"36067",1866,338,22,"D"
"45069",1825,778,4.6,"D"
"21013",1658,682,4.4,"R"
"27003",1290,261,20.9,"R"
"27013",1266,362,8.7,"R"
"21019",1681,611,6.6,"R"
"40047",1126,738,6.8,"R"
"21031",1522,674,3.5,"R"
"46013",1115,299,6,"R"
"48055",1138,1060,5.8,"R"
"53059",355,178,3.9,"R"
"51109",1841,576,7.1,"R"
"50011",1956,242,7.4,"D"
"30013",699,183,8.8,"R"
"29043",1309,711,10.4,"R"
"08014",864,520,9.9,"D"
"47029",1675,719,5.8,"R"
"51095",1883,606,10.4,"D"
"37063",1855,701,19.5,"D"
"37007",1794,745,4.8,"R"
"37141",1899,764,9.1,"R"
"40065",1062,817,4.1,"R"
"36107",1876,395,7.2,"R"
"37001",1823,696,13.8,"R"
"37149",1739,762,5.3,"R"
"39045",1678,570,13.4,"R"
"40011",1101,760,2.8,"R"
"40081",1164,764,5.7,"R"
"45015",1821,835,15.4,"R"
"55027",1424,366,10.3,"R"
"55141",1387,343,9.4,"R"
"40003",1106,715,2.1,"R"
"31149",1073,440,1.3,"R"
"31125",1123,497,2,"R"
"08075",950,515,4.6,"R"
"54065",1829,531,4.4,"R"
"47187",1511,760,17.4,"R"
"47005",1488,734,3.9,"R"
"48199",1258,1021,7.7,"R"
"32013",420,412,4.1,"R"
"42051",1785,544,11.6,"R"
"22111",1335,904,4.7,"R"
"28117",1480,806,4.7,"R"
"28029",1415,942,5,"R"
"29217",1254,666,4.4,"R"
"20083",1050,648,1.4,"R"
"20127",1169,627,2.4,"R"
"21169",1588,690,3.3,"R"
"48147",1195,868,5.9,"R"
"48187",1123,1072,13.4,"R"
"48077",1072,849,3.5,"R"
"48099",1097,953,7.1,"R"
"48325",1072,1059,7.2,"R"
"48375",968,775,8.2,"R"
"12009",1883,1061,27.7,"R"
"01063",1511,896,2.9,"D"
"17111",1453,435,18.5,"R"
"13179",1764,908,7,"D"
"26043",1460,271,5.7,"R"
"48049",1073,945,6,"R"
"53017",441,107,6.6,"R"
"54081",1737,629,8.1,"R"
"55139",1430,343,14.2,"R"
"37107",1900,734,7.6,"R"
"38059",1025,246,6,"R"
"39137",1603,498,6.5,"R"
"39059",1702,540,6.1,"R"
"41013",381,264,5.8,"R"
"42065",1792,438,7,"R"
"47043",1502,737,7.3,"R"
"30075",874,295,1.5,"R"
"29035",1381,703,2.5,"R"
"51003",1826,609,11.9,"D"
"51680",1822,628,8.8,"R"
"51101",1890,592,5,"R"
"55113",1354,286,4.9,"R"
"39163",1693,577,3.5,"R"
"06007",251,434,14,"R"
"23017",2031,239,8.5,"R"
"29003",1234,558,4.6,"R"
"29097",1251,696,10.7,"R"
"37187",1932,699,3.6,"D"
"46053",1082,409,2.2,"R"
"46021",1060,289,1.3,"R"
"47099",1519,782,6.4,"R"
"48315",1258,899,3.2,"R"
"48121",1157,808,30.8,"R"
"48025",1122,1111,4.3,"R"
"48497",1073,896,9,"R"
"48289",1199,976,4.4,"R"
"48505",1059,1177,3.2,"R"
"48083",1054,956,3,"R"
"55025",1362,389,27.7,"D"
"39053",1689,585,5.3,"R"
"46009",1129,424,2.5,"R"
"51036",1895,613,3,"D"
"56011",906,329,3,"R"
"31077",1104,487,1.6,"R"
"35031",731,747,7.3,"D"
"36029",1766,372,31.1,"D"
"12105",1788,1091,27.2,"R"
"46089",1087,290,1.7,"R"
"28055",1388,903,1.1,"R"
"48383",971,969,1.4,"R"
"04011",674,860,2.6,"R"
"05031",1395,757,8.8,"R"
"55111",1393,369,8.9,"R"
"55091",1324,346,3,"R"
"55001",1393,356,5.1,"R"
"30059",712,214,1.6,"R"
"04001",680,759,8.2,"D"
"10003",1887,617,24.1,"D"
"01121",1571,854,8.4,"R"
"47065",1602,766,19.2,"R"
"51133",1923,592,4.2,"R"
"51510",1900,594,13,"D"
"01099",1538,948,4.6,"R"
"05095",1377,811,2.3,"R"
"12103",1657,1101,33.1,"R"
"13185",1707,965,10.1,"R"
"16017",546,103,7.9,"R"
"17193",1480,643,3.9,"R"
"38085",1032,268,1.4,"D"
"47109",1476,782,4.9,"R"
"47121",1618,749,3.6,"R"
"49031",606,593,1.4,"R"
"20129",977,691,1.5,"R"
"18123",1529,628,4.3,"R"
"19059",1222,404,4.9,"R"
"24017",1898,621,13.8,"D"
"24021",1799,492,18,"D"
"05013",1328,868,2.1,"R"
"13097",1615,861,12.3,"D"
"13271",1713,909,3,"R"
"13243",1641,927,2.5,"D"
"13093",1674,906,3,"R"
"13007",1654,948,1.8,"R"
"13011",1665,812,4.7,"R"
"17165",1468,661,4.7,"R"
"06029",366,653,24.3,"R"
"22103",1442,1001,17.1,"R"
"23027",2085,199,7.2,"D"
"51775",1781,642,5.3,"R"
"29227",1248,539,1.5,"R"
"37011",1706,708,4.5,"R"
"48333",1087,967,2.4,"R"
"51640",1750,676,2.4,"R"
"26029",1555,295,6.1,"R"
"26151",1655,390,7,"R"
"24045",1943,557,9.9,"R"
"33003",1989,263,8.6,"R"
"17021",1444,578,5.7,"R"
"19121",1257,504,4.6,"R"
"20079",1141,652,5.8,"R"
"21081",1608,596,4.9,"R"
"21213",1540,695,4.3,"R"
"23025",2038,181,7.7,"R"
"25009",2111,267,29,"D"
"21195",1697,648,7.1,"R"
"54031",1805,560,3.7,"R"
"27155",1179,290,1.9,"R"
"05089",1317,738,4.1,"R"
"06073",415,857,55.4,"D"
"37095",1939,698,2.3,"R"
"41015",234,303,5.4,"R"
"26165",1541,342,6.4,"R"
"18101",1529,615,3.2,"R"
"28163",1414,901,4.4,"R"
"29113",1384,593,8.2,"R"
"21077",1600,594,2.9,"R"
"31079",1104,518,6.9,"R"
"26061",1427,231,6.4,"R"
"37073",1920,653,3.5,"R"
"39155",1742,420,14.3,"R"
"40067",1128,824,2.2,"R"
"08077",737,584,13.8,"R"
"09190",1967,292,25.5,"D"
"13047",1613,793,8.6,"R"
"13295",1597,793,8.3,"R"
"41011",246,273,8.6,"R"
"47073",1670,688,7.5,"R"
"12055",1804,1125,10.5,"R"
"50025",2006,345,7.3,"D"
"34041",1938,451,11.2,"R"
"35029",727,901,4.1,"R"
"22121",1363,1013,5.4,"R"
"37059",1774,689,7.5,"R"
"39169",1677,502,10.6,"R"
"40111",1195,773,5.5,"R"
"45019",1839,866,21.2,"D"
"46083",1168,411,8.7,"R"
"06067",302,441,36.8,"D"
"18029",1601,576,7.5,"R"
"19005",1353,406,3.9,"R"
"51093",1911,641,7.2,"R"
"51700",1893,629,12.6,"D"
"54071",1790,569,2.7,"R"
"41029",281,313,15.7,"R"
"42027",1825,430,13.1,"D"
"45059",1733,794,8,"R"
"47009",1647,744,12.1,"R"
"51185",1733,655,6.5,"R"
"12047",1719,978,3.5,"R"
"54051",1740,529,5.3,"R"
"12129",1663,1011,6.5,"R"
"13223",1571,840,14.2,"R"
"23005",2082,226,20.4,"D"
"24039",1947,582,4.6,"R"
"20119",1030,694,1.9,"R"
"29127",1353,570,5.3,"R"
"16039",538,331,4.7,"R"
"17167",1418,570,14.4,"R"
"18109",1521,590,8.6,"R"
"16029",661,390,2.7,"R"
"20173",1136,679,21.2,"R"
"47185",1593,736,5.2,"R"
"31017",1057,439,1.9,"R"
"48389",885,959,2.7,"R"
"48297",1104,1111,3.3,"R"
"51009",1811,617,6.1,"R"
"51683",1865,571,5.8,"D"
"13289",1693,875,3.1,"R"
"13043",1743,883,3.1,"R"
"18105",1516,607,11.2,"D"
"19105",1366,459,4.8,"R"
"19027",1232,467,4.8,"R"
"20061",1164,608,4.4,"R"
"21095",1665,677,4.7,"R"
"22127",1328,945,3.5,"R"
"29087",1220,560,2.2,"R"
"08037",807,556,7.6,"D"
"36117",1836,348,9.7,"R"
"21067",1637,633,17.4,"D"
"21141",1529,693,5.1,"R"
"21177",1516,680,5.4,"R"
"21011",1642,613,3.4,"R"
"22011",1301,1005,5.8,"R"
"18155",1595,598,3,"R"
"53037",430,129,7.4,"R"
"54049",1749,554,7.2,"R"
"32011",474,484,1.5,"R"
"40093",1097,737,2.7,"R"
"45081",1735,827,4.4,"R"
"13121",1653,838,33.7,"D"
"13105",1705,814,4.5,"R"
"13067",1543,807,29.2,"D"
"13177",1665,923,6.1,"R"
"08031",877,555,27.5,"D"
"38067",1144,150,2.6,"R"
"12019",1760,981,16.4,"R"
"27001",1270,244,4.7,"R"
"18115",1599,589,2.6,"R"
"28145",1462,815,5.1,"R"
"28013",1452,841,3.6,"R"
"28091",1439,971,4.9,"R"
"29091",1346,717,6.3,"R"
"21167",1606,639,5,"R"
"35057",813,800,3.9,"R"
"46117",1029,349,1.9,"R"
"48165",931,899,3.7,"R"
"51029",1836,621,4.1,"R"
"55099",1379,288,4.3,"R"
"01097",1504,981,19.2,"R"
"01039",1578,952,6,"R"
"18153",1494,600,4.3,"R"
"18047",1585,570,5,"R"
"19109",1254,418,4.2,"R"
"20207",1202,662,1.8,"R"
"21009",1579,685,6.5,"R"
"12121",1710,984,6.8,"R"
"48359",941,773,1.4,"R"
"53039",395,211,5.3,"R"
"13153",1679,890,13.2,"R"
"13089",1599,810,27.8,"D"
"13269",1655,890,2.9,"R"
"36025",1904,375,7,"R"
"36039",1954,376,7.3,"R"
"37099",1679,757,6.8,"R"
"40103",1147,733,3.2,"R"
"41005",372,225,22.2,"D"
"05015",1287,738,4.9,"R"
"11001",1935,538,26,"D"
"01043",1544,830,9.6,"R"
"17127",1463,684,3.8,"R"
"22043",1330,960,4.4,"R"
"22039",1339,1000,5.5,"R"
"28017",1467,841,3.9,"R"
"29187",1399,673,7.8,"R"
"29041",1302,586,2.9,"R"
"29023",1403,714,6.2,"R"
"17115",1441,563,9.8,"R"
"18001",1586,511,5.4,"R"
"19079",1267,451,4,"R"
"19089",1318,403,3.2,"R"
"19145",1223,526,3.9,"R"
"21073",1606,620,7.3,"R"
"21029",1593,652,9.5,"R"
"24027",1879,534,19.3,"D"
"26145",1605,357,14.8,"R"
"42075",1935,504,12.5,"R"
"42119",1834,446,6.7,"R"
"45007",1713,796,14.4,"R"
"47117",1532,752,5.8,"R"
"31043",1173,452,3.6,"R"
"48455",1228,985,4,"R"
"18077",1582,595,5.5,"R"
"18083",1500,613,5.6,"R"
"21015",1559,608,11.9,"R"
"22105",1417,988,10.8,"R"
"30019",893,138,1.4,"R"
"30035",661,107,3.2,"D"
"31099",1088,539,2.8,"R"
"31181",1103,555,1.9,"R"
"35009",908,815,5.7,"R"
"36093",1935,342,12.4,"D"
"27089",1181,172,3.3,"R"
"27051",1192,284,2.7,"R"
"18137",1591,590,5.5,"R"
"29093",1395,683,3.1,"R"
"31127",1197,549,2.7,"R"
"30109",928,221,1.1,"R"
"48491",1177,1004,25.5,"R"
"48411",1079,979,2.4,"R"
"48493",1105,1084,7.6,"R"
"51171",1817,566,7.2,"R"
"51760",1865,629,15,"D"
"33015",2043,326,20.7,"R"
"36003",1814,399,6.4,"R"
"36083",1958,332,12.9,"D"
"36055",1809,322,27.8,"D"
"48467",1209,901,7.7,"R"
"36113",1927,289,8.7,"R"
"40109",1134,771,24.6,"R"
"22099",1370,1023,7.3,"R"
"40117",1161,736,3.8,"R"
"29157",1422,668,4.6,"R"
"36051",1817,384,8.1,"R"
"37123",1817,731,5.3,"R"
"38099",1138,169,3.1,"R"
"39127",1694,558,6,"R"
"54085",1731,560,2.9,"R"
"30025",916,254,1.8,"R"
"30055",879,187,1.5,"R"
"30091",924,137,2,"R"
"31061",1087,554,1.8,"R"
"54041",1752,570,3.8,"R"
"54033",1761,563,7.9,"R"
"47163",1703,674,12.6,"R"
"37117",1898,679,5.1,"R"
"39005",1694,500,7.5,"R"
"41051",325,204,29,"D"
"42035",1843,438,6.3,"R"
"22107",1379,939,2.1,"R"
"36053",1897,335,8.5,"R"
"47013",1629,686,5.7,"R"
"47075",1449,764,3.8,"D"
"48277",1216,875,6.7,"R"
"48489",1122,1202,3.4,"R"
"54067",1749,598,4.6,"R"
"55119",1376,313,4.9,"R"
