"fips","gcol","grow","gx","gy","winner"
"06083",39,77,275,693,"D"
"13055",159,87,1595,803,"R"
"46119",109,44,1045,330,"R"
"01103",154,87,1540,803,"R"
"19051",134,61,1320,517,"R"
"08121",98,64,924,550,"R"
"46102",102,50,968,396,"D"
"13079",165,93,1661,869,"R"
"19041",125,52,1221,418,"R"
"27111",123,37,1199,253,"R"
"27131",130,46,1276,352,"R"
"31097",121,63,1177,539,"R"
"39125",159,58,1595,484,"R"
"48075",107,88,1023,814,"R"
"18093",153,68,1529,594,"R"
"19103",136,57,1342,473,"D"
"17129",142,64,1408,550,"R"
"28065",144,100,1430,946,"D"
"20195",109,69,1045,605,"R"
"37077",181,75,1837,671,"R"
"29075",127,64,1243,550,"R"
"48303",101,92,957,858,"R"
"51750",174,73,1760,649,"D"
"30079",94,34,880,220,"R"
"54047",170,73,1716,649,"R"
"12007",173,104,1749,990,"R"
"12005",160,104,1606,990,"R"
"28031",145,100,1441,946,"R"
"05111",140,83,1386,759,"R"
"41009",42,28,308,154,"R"
"13083",159,84,1595,770,"R"
"13201",163,100,1639,946,"R"
"13287",167,98,1683,924,"R"
"28061",147,98,1463,924,"R"
"46045",112,41,1078,297,"R"
"28039",149,103,1485,979,"R"
"06071",52,79,418,715,"R"
"31179",119,55,1155,451,"R"
"38045",114,37,1100,253,"R"
"19073",127,56,1243,462,"R"
"20125",123,77,1199,693,"R"
"20191",117,77,1133,693,"R"
"48127",108,114,1034,1100,"D"
"21221",149,77,1485,693,"R"
"17051",145,68,1441,594,"R"
"48129",105,86,1001,792,"R"
"46111",116,47,1122,363,"R"
"46115",115,43,1111,319,"R"
"46079",119,48,1155,374,"R"
"48023",111,92,1067,858,"R"
"46069",111,45,1067,341,"R"
"48251",117,97,1133,913,"R"
"48173",102,99,968,935,"R"
"48435",105,105,1001,1001,"R"
"51820",179,68,1815,594,"R"
"38043",111,35,1067,231,"R"
"20065",109,67,1045,583,"R"
"31085",106,62,1012,528,"R"
"01007",154,93,1540,869,"R"
"26017",159,46,1595,352,"R"
"42057",180,60,1826,506,"R"
"01013",156,99,1562,935,"R"
"17007",145,54,1441,440,"R"
"18079",156,67,1562,583,"R"
"21109",162,73,1628,649,"R"
"28155",146,92,1452,858,"R"
"20115",118,72,1144,638,"R"
"40049",118,88,1144,814,"R"
"48399",108,99,1034,935,"R"
"48135",98,99,924,935,"R"
"55087",145,45,1441,341,"R"
"20201",118,66,1144,572,"R"
"49033",74,54,660,440,"R"
"17101",149,69,1485,605,"R"
"32009",50,66,396,572,"R"
"13057",162,87,1628,803,"R"
"13173",169,100,1705,946,"R"
"17121",145,70,1441,616,"R"
"26155",159,50,1595,396,"R"
"28107",143,88,1419,814,"R"
"31073",110,62,1056,528,"R"
"39133",169,56,1705,462,"R"
"41001",57,37,473,253,"R"
"48257",121,96,1177,902,"R"
"51670",185,70,1881,616,"D"
"37065",185,76,1881,682,"D"
"48237",114,94,1100,880,"R"
"31009",109,56,1045,462,"R"
"13143",160,89,1606,825,"R"
"20189",104,76,990,682,"R"
"12059",159,102,1595,968,"R"
"13211",166,89,1672,825,"R"
"18075",157,61,1573,517,"R"
"20097",111,75,1067,671,"R"
"26067",156,50,1562,396,"R"
"29109",129,77,1265,693,"R"
"31175",112,58,1078,484,"R"
"31101",104,59,990,495,"R"
"39041",164,61,1650,517,"R"
"47083",150,80,1496,726,"R"
"51790",178,68,1804,594,"D"
"46107",110,43,1056,319,"R"
"08053",84,72,770,638,"R"
"13281",165,84,1661,770,"R"
"46105",103,40,979,286,"R"
"13031",173,94,1749,880,"R"
"18055",152,66,1518,572,"R"
"20123",115,67,1111,583,"R"
"29053",133,70,1309,616,"R"
"21215",158,71,1584,627,"R"
"39067",170,60,1716,506,"R"
"48335",104,97,990,913,"R"
"55135",143,45,1419,341,"R"
"48145",119,102,1155,968,"R"
"48069",100,88,946,814,"R"
"17019",147,64,1463,550,"D"
"19147",126,52,1232,418,"R"
"19011",134,55,1320,451,"R"
"47111",156,78,1562,704,"R"
"37151",178,78,1804,704,"R"
"38015",109,35,1045,231,"R"
"16021",64,21,550,77,"R"
"21049",162,70,1628,616,"R"
"38063",116,31,1122,187,"R"
"27093",126,43,1232,319,"R"
"55085",141,40,1397,286,"R"
"12041",171,105,1727,1001,"R"
"30033",90,31,836,187,"R"
"37003",173,78,1749,704,"R"
"30049",74,30,660,176,"R"
"48363",114,96,1100,902,"R"
"05059",132,89,1298,825,"R"
"05065",136,81,1342,737,"R"
"51530",178,69,1804,605,"R"
"20023",103,65,979,561,"R"
"19029",125,59,1221,495,"R"
"40039",112,83,1078,759,"R"
"40127",124,89,1210,825,"R"
"54043",168,69,1694,605,"R"
"28053",141,94,1397,880,"D"
"13017",168,97,1694,913,"R"
"13071",167,100,1683,946,"R"
"51580",175,69,1771,605,"R"
"13155",168,98,1694,924,"R"
"38027",114,31,1100,187,"R"
"19197",129,53,1265,429,"R"
"01005",160,98,1606,924,"R"
"19009",125,57,1221,473,"R"
"20051",111,69,1067,605,"R"
"20165",111,71,1067,627,"R"
"18009",156,61,1562,517,"R"
"19087",136,60,1342,506,"R"
"19015",129,56,1265,462,"R"
"49043",74,57,660,473,"D"
"06057",43,57,319,473,"D"
"20171",106,71,1012,627,"R"
"08003",89,74,825,660,"R"
"46049",112,43,1078,319,"R"
"28037",141,101,1397,957,"R"
"01059",151,87,1507,803,"R"
"13069",170,98,1716,924,"R"
"48293",120,102,1166,968,"R"
"55035",136,44,1342,330,"D"
"17023",149,67,1485,583,"R"
"40097",125,80,1221,726,"R"
"20033",111,77,1067,693,"R"
"48265",110,107,1056,1023,"R"
"51735",188,70,1914,616,"R"
"40137",115,89,1111,825,"R"
"08061",99,71,935,627,"R"
"48159",125,94,1221,880,"R"
"36023",184,47,1870,363,"R"
"51113",181,66,1837,572,"R"
"28105",147,92,1463,858,"R"
"28161",144,90,1430,836,"R"
"29085",131,73,1287,649,"R"
"56007",88,55,814,451,"R"
"31003",115,55,1111,451,"R"
"56015",96,54,902,440,"R"
"30097",80,37,726,253,"R"
"30107",81,34,737,220,"R"
"13129",161,86,1617,792,"R"
"18095",155,62,1551,528,"R"
"31091",106,56,1012,462,"R"
"26137",156,41,1562,297,"R"
"29135",133,71,1309,627,"R"
"23029",207,31,2123,187,"R"
"27105",123,49,1199,385,"R"
"12081",174,115,1760,1111,"R"
"13035",165,91,1661,847,"R"
"39141",164,65,1650,561,"R"
"48393",105,82,1001,748,"R"
"13119",167,86,1683,792,"R"
"48503",112,94,1078,880,"R"
"40043",112,82,1078,748,"R"
"40055",110,86,1056,792,"R"
"22049",134,98,1320,924,"R"
"48143",114,99,1100,935,"R"
"19007",132,61,1298,517,"R"
"48079",98,91,924,847,"R"
"48233",104,82,990,748,"R"
"27151",123,42,1199,308,"R"
"20199",103,69,979,605,"R"
"19183",136,59,1342,495,"R"
"17053",147,60,1463,506,"R"
"48153",103,90,979,836,"R"
"42037",184,54,1870,440,"R"
"53023",59,30,495,176,"R"
"13277",167,99,1683,935,"R"
"19037",133,52,1309,418,"R"
"31087",106,63,1012,539,"R"
"35019",92,86,858,792,"D"
"28003",148,86,1474,792,"R"
"19157",133,58,1309,484,"R"
"31013",100,54,946,440,"R"
"28111",148,102,1474,968,"R"
"56005",93,45,869,341,"R"
"19143",123,50,1199,396,"R"
"51610",183,62,1859,528,"D"
"12049",176,114,1782,1100,"R"
"17191",147,71,1463,627,"R"
"48319",110,104,1056,990,"R"
"19185",131,62,1287,528,"R"
"28125",140,95,1386,891,"D"
"35028",87,81,803,737,"D"
"20131",122,66,1188,572,"R"
"17107",143,63,1419,539,"R"
"29065",137,75,1353,671,"R"
"20107",126,73,1232,649,"R"
"48369",98,88,924,814,"R"
"29137",135,67,1331,583,"R"
"48133",112,97,1078,913,"R"
"47153",159,83,1595,759,"R"
"46037",117,41,1133,297,"R"
"46027",119,52,1155,418,"D"
"17063",146,58,1452,484,"R"
"56029",81,43,737,319,"R"
"55131",146,49,1452,385,"R"
"20057",109,75,1045,671,"R"
"29125",136,72,1342,638,"R"
"31123",100,57,946,473,"R"
"20041",118,69,1144,605,"R"
"48311",112,114,1078,1100,"R"
"48381",101,86,957,792,"R"
"39033",164,58,1650,484,"R"
"48011",103,86,979,792,"R"
"05037",140,85,1386,781,"R"
"27165",126,48,1232,374,"R"
"31029",104,62,990,528,"R"
"48193",114,100,1100,946,"R"
"48205",99,82,935,748,"R"
"18121",151,65,1507,561,"R"
"24001",179,61,1815,517,"R"
"13003",170,99,1716,935,"R"
"19131",132,50,1298,396,"R"
"37145",180,75,1826,671,"R"
"26001",160,42,1606,308,"R"
"20053",115,71,1111,627,"R"
"13197",163,95,1639,891,"R"
"29017",142,75,1408,671,"R"
"08005",95,65,891,561,"D"
"40083",117,82,1133,748,"R"
"40005",122,89,1188,825,"R"
"29049",127,66,1243,572,"R"
"05051",132,88,1298,814,"R"
"19101",135,60,1331,506,"R"
"28099",147,95,1463,891,"R"
"48353",106,98,1012,924,"R"
"47047",145,85,1441,781,"R"
"17079",148,68,1474,594,"R"
"48305",101,94,957,880,"R"
"20099",124,77,1210,693,"R"
"27159",125,37,1221,253,"R"
"18033",157,57,1573,473,"R"
"13065",170,100,1716,946,"R"
"29103",134,64,1320,550,"R"
"31093",114,59,1100,495,"R"
"17033",149,68,1485,594,"R"
"27119",120,31,1166,187,"R"
"17109",139,62,1375,528,"R"
"48327",108,104,1034,990,"R"
"20035",119,77,1155,693,"R"
"21113",160,72,1606,638,"R"
"17027",144,70,1430,616,"R"
"38087",100,36,946,242,"R"
"18143",156,69,1562,605,"R"
"23003",203,25,2079,121,"R"
"26113",155,44,1551,330,"R"
"54017",172,64,1738,550,"R"
"28041",149,101,1485,957,"R"
"18007",150,61,1496,517,"R"
"48255",115,112,1111,1078,"R"
"20133",124,75,1210,671,"R"
"48101",107,90,1023,836,"R"
"47169",155,79,1551,715,"R"
"35005",92,92,858,858,"R"
"12067",169,105,1705,1001,"R"
"29225",132,76,1298,682,"R"
"38007",100,34,946,220,"R"
"48495",96,99,902,935,"R"
"31089",113,54,1089,440,"R"
"48243",92,103,858,979,"R"
"20205",123,76,1199,682,"R"
"20193",105,67,1001,583,"R"
"39027",162,65,1628,561,"R"
"55097",142,45,1408,341,"D"
"18179",157,60,1573,506,"R"
"27083",122,46,1188,352,"R"
"49037",76,71,682,627,"R"
"17145",144,72,1430,638,"R"
"20071",103,71,979,627,"R"
"45009",175,90,1771,836,"D"
"55078",144,42,1430,308,"D"
"20139",123,71,1199,627,"R"
"46061",116,49,1122,385,"R"
"08007",85,74,781,660,"R"
"29081",128,63,1254,539,"R"
"27137",132,32,1298,198,"D"
"17135",144,67,1430,583,"R"
"21087",157,74,1573,660,"R"
"05099",132,92,1298,858,"R"
"18169",155,60,1551,506,"R"
"27153",125,39,1221,275,"R"
"20055",106,73,1012,649,"R"
"18161",158,64,1584,550,"R"
"01017",160,93,1606,869,"R"
"13195",167,87,1683,803,"R"
"40105",123,79,1199,715,"R"
"48429",112,96,1078,902,"R"
"40009",109,85,1045,781,"R"
"29169",135,74,1331,660,"R"
"50015",192,36,1958,242,"D"
"27019",129,44,1265,330,"R"
"28103",148,93,1474,869,"D"
"12035",177,106,1793,1012,"R"
"31137",111,62,1067,528,"R"
"16059",68,39,594,275,"R"
"19175",128,60,1254,506,"R"
"19023",132,53,1298,429,"R"
"17073",141,58,1397,484,"R"
"39069",160,57,1606,473,"R"
"19081",129,51,1265,407,"R"
"27067",125,42,1221,308,"R"
"42023",178,53,1804,429,"R"
"29001",133,64,1309,550,"R"
"42047",177,54,1793,440,"R"
"20093",104,73,990,649,"R"
"26039",157,43,1573,319,"R"
"17105",146,60,1452,506,"R"
"19125",131,59,1287,495,"R"
"13237",167,91,1683,847,"R"
"13133",167,89,1683,825,"R"
"13301",169,90,1705,836,"D"
"38073",117,37,1133,253,"R"
"29219",138,70,1364,616,"R"
"36035",189,44,1925,330,"R"
"49013",75,60,671,506,"R"
"48027",116,103,1122,979,"R"
"17171",140,66,1386,572,"R"
"31039",119,57,1155,473,"R"
"20095",115,75,1111,671,"R"
"55019",138,44,1364,330,"R"
"48033",103,96,979,902,"R"
"48313",122,104,1188,990,"R"
"19055",137,53,1353,429,"R"
"29061",129,65,1265,561,"R"
"06085",36,65,242,561,"D"
"08085",81,69,737,605,"R"
"01087",159,95,1595,891,"D"
"01095",156,87,1562,803,"R"
"51067",176,73,1782,649,"R"
"47173",163,78,1639,704,"R"
"26087",162,49,1628,385,"R"
"20157",117,66,1133,572,"R"
