"fips","name","state","votes_dem","votes_gop","votes_tot","two","winner","margin","aland_km2","density","pop","cx","cy","gcol","grow","gx","gy","r","grid_shift_km"
"54105","Wirt","West Virginia",409,2120,2581,2529,"R",67.6552,602.201,4.19959,5194,1722,569,170,65,1716,561,2.32634,6.02375
"35011","De Baca","New Mexico",206,649,874,855,"R",51.8129,6016.82,0.142102,1698,868,820,92,88,858,814,1.35264,10.6976
"20059","Franklin","Kansas",3676,8773,12708,12449,"R",40.943,1480.88,8.40648,25996,1219,632,124,71,1210,627,5.16138,8.35344
"38065","Oliver","North Dakota",156,909,1084,1065,"R",70.7042,1871.02,0.569209,1877,1020,223,106,34,1012,220,1.50964,8.35344
"19159","Ringgold","Iowa",638,2015,2683,2653,"R",51.9035,1386.92,1.91287,4663,1255,529,128,62,1254,528,2.38269,15.0362
"17117","Macoupin","Illinois",6892,16065,23403,22957,"R",39.9573,2235.09,10.2712,44967,1412,590,142,67,1408,583,7.009,5.01206
"17123","Marshall","Illinois",1913,4119,6127,6032,"R",36.5716,1001.87,6.02077,11742,1428,507,143,60,1419,506,3.59277,13.4695
"19179","Wapello","Iowa",4896,9479,14571,14375,"R",31.8817,1118.47,12.8524,35437,1319,513,133,60,1309,506,5.54628,11.2073
"19187","Webster","Iowa",5641,10850,16706,16491,"R",31.5869,1853.67,8.89643,36999,1256,453,128,55,1254,451,5.94048,11.6948
"19003","Adams","Iowa",576,1517,2131,2093,"R",44.9594,1096.69,1.90848,3704,1239,515,126,60,1232,506,2.11633,8.99693
"17155","Putnam","Illinois",1254,2014,3331,3268,"R",23.2558,414.65,7.88135,5637,1428,500,143,59,1419,495,2.64447,8.35344
"17159","Richland","Illinois",1747,5889,7743,7636,"R",54.2431,932.485,8.18887,15813,1481,615,148,69,1474,605,4.04232,11.2073
"19019","Buchanan","Iowa",3766,6790,10714,10556,"R",28.6472,1479.1,7.13677,20565,1337,444,135,54,1331,440,4.75278,3.73577
"17189","Washington","Illinois",1564,5892,7561,7456,"R",58.0472,1457.12,5.11694,13761,1434,636,144,71,1430,627,3.9944,8.99693
"19033","Cerro Gordo","Iowa",9955,12627,22942,22582,"R",11.8324,1471.9,15.3421,43127,1287,418,131,52,1287,418,6.95151,18.3776
"20169","Saline","Kansas",7734,15069,23226,22803,"R",32.1668,1865.42,12.2241,54303,1133,623,117,70,1133,616,6.98545,13.4695
"21187","Owen","Kentucky",988,4434,5494,5422,"R",63.5559,907.758,5.97296,11278,1600,610,159,69,1595,605,3.40626,1.67069
"04015","Mohave","Arizona",24081,85683,110450,109764,"R",56.1222,34530,3.1788,213267,512,710,60,78,506,704,15.326,1.67069
"46015","Brule","South Dakota",666,1694,2423,2360,"R",43.5593,2116.59,1.115,5247,1087,386,112,49,1078,385,2.24726,13.4695
"16009","Benewah","Idaho",935,4094,5144,5029,"R",62.8157,2012.24,2.4992,9530,532,150,62,27,528,143,3.28049,5.01206
"48195","Hansford","Texas",146,1842,1999,1988,"R",85.3119,2382.3,0.834489,5285,991,735,104,80,990,726,2.06256,13.4695
"19117","Lucas","Iowa",1169,3400,4639,4569,"R",48.8291,1115.46,4.09607,8634,1287,514,131,60,1287,506,3.12686,14.2744
"47007","Bledsoe","Tennessee",891,5254,6191,6145,"R",71.0008,1052.97,5.83585,14913,1600,751,159,82,1595,748,3.62626,6.02375
"17103","Lee","Illinois",6105,9680,16091,15785,"R",22.6481,1877.14,8.40906,34145,1427,472,143,56,1419,462,5.81193,12.1628
"16047","Gooding","Idaho",1100,4676,5918,5776,"R",61.9114,1888.94,3.05781,15598,552,362,64,46,550,352,3.5157,13.4695
"38051","McIntosh","North Dakota",229,1132,1381,1361,"R",66.3483,2524.11,0.539201,2530,1080,273,112,38,1078,264,1.70658,11.6948
"33007","Coos","New Hampshire",7355,9731,17230,17086,"R",13.9061,4647.92,3.67605,31268,2010,234,196,35,2002,231,6.0467,8.35344
"42105","Potter","Pennsylvania",1675,7334,9085,9009,"R",62.815,2800.42,3.21701,16396,1821,420,179,52,1815,418,4.39073,8.35344
"38095","Towner","North Dakota",289,796,1110,1085,"R",46.7281,2655.03,0.408658,2162,1091,156,113,28,1089,154,1.52375,11.6948
"26073","Isabella","Michigan",14011,16320,30817,30331,"R",7.61267,1483.29,20.4485,64394,1571,370,156,47,1562,363,8.05641,8.99693
