"cid","name","office","party","total","against","committees"
"S4NJ00540","BASHAW, CURTIS","S","REPUBLICAN PARTY",368523.73,43734.88,2
"H0MD06231","PARROTT, NEIL","H","REPUBLICAN PARTY",367019.01,200000,4
"H4FL22136","GUTMANN, ANDREW","H","REPUBLICAN PARTY",358067,0,1
"H6FL09070","BILIRAKIS, GUS","H","REPUBLICAN PARTY",356704.94,0,2
"H4SC04093","MORGAN, ADAM","H","REPUBLICAN PARTY",351416,24000,3
"H4WI03201","SHANKLAND, KATRINA","H","DEMOCRATIC PARTY",344800,150800,2
"H6PA08277","FITZPATRICK, BRIAN","H","REPUBLICAN PARTY",338193.05,3989.52,7
"H2CA00120","BROWNLEY, JULIA","H","DEMOCRATIC PARTY",329651.71,0,5
"H4CA30149","FRIEDMAN, LAURA","H","DEMOCRATIC PARTY",329359.58,0,2
"H8MI08102","SLOTKIN, ELISSA","H","DEMOCRATIC PARTY",328015.54,1337.97,7
"H0FL13158","PAULINA LUNA, ANNA","H","REPUBLICAN PARTY",326827.75,0,6
"H4WA03122","LEWALLEN, LESLIE","H","REPUBLICAN PARTY",317849,0,1
"H4VA02086","REID, ROBERT","H","INDEPENDENT",317268.86,0,2
"H4MI03243","MARKEY, MICHAEL JAY MR. JR.","H","REPUBLICAN PARTY",306297.97,306297.97,1
"H4TX32055","WILLIAMS, BRIAN","H","DEMOCRATIC PARTY",303316.59,8778.51,3
"H4LA06211","CLEO, FIELDS","H","DEMOCRATIC PARTY",300000,0,1
"S8AK00090","BEGICH, MARK","H","",299236.74,299236.74,1
"H4MD06340","DELANEY, APRIL MCCLAIN","H","DEMOCRATIC PARTY",279704.44,229281.67,7
"H4WI08085","ROTH, ROGER JAMES JR.","H","REPUBLICAN PARTY",275786.91,0,1
"S4RI00085","MORGAN, PATRICIA","S","REPUBLICAN PARTY",271584.58,0,1
"H4PA01111","HOUCK, MARK JUSTIN SR","H","REPUBLICAN PARTY",267879,267879,1
"H8VA07094","SPANBERGER, ABIGAIL","H","DEMOCRATIC PARTY",267255,0,3
"H2OH09189","RIEDEL, CRAIG","H","REPUBLICAN PARTY",263872.33,0,2
"H4OH02214","O'HARA, TIM","H","REPUBLICAN PARTY",258406.58,1383.58,2
"H2OK04055","COLE, TOM","H","REPUBLICAN PARTY",250490.38,0,6
"H0TX14234","SAJNA, CYRUS","H","REPUBLICAN PARTY",250000,0,1
"H0IN05326","SPARTZ, VICTORIA","H","REPUBLICAN PARTY",246488.43,75000,3
"H6NJ05171","GOTTHEIMER, JOSH","H","DEMOCRATIC PARTY",242791,0,2
"H2OH08082","HEIMLICH, PHIL","H","REPUBLICAN PARTY",242303.8,0,1
"H0MI03316","SCHOLTEN, HILLARY","H","DEMOCRATIC PARTY",240848.46,33000,5
"H4AL02162","DANIELS, ANTHONY","H","DEMOCRATIC PARTY",239713.5,239713.5,1
"P40013724","SONSKI, PETER","P","OTHER",239300,0,1
"H4NV04116","LEE, JOHN","H","REPUBLICAN PARTY",236612.63,208020.1,6
"H4WA04179","SMILEY, TIFFANY","H","REPUBLICAN PARTY",223829.43,0,2
"H8PA06087","HOULAHAN, CHRISSY","H","DEMOCRATIC PARTY",219921.05,0,4
"H4IN06136","SPEEDY, MIKE","H","REPUBLICAN PARTY",216783.25,0,1
"H6FL01390","PATRONIS, JIMMY","H","REPUBLICAN PARTY",214354.26,0,1
"H8NH01210","PAPPAS, CHRIS","H","DEMOCRATIC PARTY",213005.43,0,5
"H4MD02232","OLSZEWSKI, JOHNNY","H","DEMOCRATIC PARTY",211511.9,0,2
"H8WA08189","SCHRIER, KIM","H","DEMOCRATIC PARTY",209852.94,0,4
"H4AZ01228","GALAN-WOODS, MARLENE","H","DEMOCRATIC PARTY",206122.17,0,3
"H4OR04125","DESPAIN, MONIQUE","H","REPUBLICAN PARTY",205611.52,205611.52,1
"H4CA40098","KERR, JOSEPH","H","DEMOCRATIC PARTY",204772.77,17272,3
"H4VA07275","GUZMAN, ELIZABETH","H","DEMOCRATIC PARTY",200434.52,0,1
"S2NV00156","BROWN, SAM","S","",200000,0,1
"H4CA16049","LOFGREN, ZOE","H","DEMOCRATIC PARTY",197911.64,0,2
"H4TX12057","O'SHEA, JOHN","H","REPUBLICAN PARTY",196221.93,188221.93,3
"H8KS03155","DAVIDS, SHARICE","H","DEMOCRATIC PARTY",195578.15,0,3
"S4CA00555","SCHIFF, ADAM","S","DEMOCRATIC PARTY",191700,0,3
"H2NY04244","GILLEN, LAURA","H","DEMOCRATIC PARTY",191295.37,0,3
"H4OH06165","RULLI, MICHAEL","H","REPUBLICAN PARTY",183993.97,143999,4
"H8NJ11142","SHERRILL, REBECCA MICHELLE","H","DEMOCRATIC PARTY",181748,0,2
"H4NH02373","MANSHARAMANI, VIKRAM","H","REPUBLICAN PARTY",178772.45,0,2
"P60012465","BIDEN, JR., JOSEPH R.","P","",177921.92,15482.58,2
"H0IN01150","MRVAN, FRANK","H","DEMOCRATIC PARTY",174519.88,0,4
"H2GA13012","SCOTT, DAVID","H","DEMOCRATIC PARTY",173761.88,0,2
"H4UT02296","MALOY, CELESTE","H","REPUBLICAN PARTY",173701.9,27000,6
"H4UT02254","EDWARDS, BECKY","H","REPUBLICAN PARTY",173636.84,16687.33,2
"H4CA20199","BOUDREAUX, MICHAEL","H","REPUBLICAN PARTY",170448.49,170448.49,1
"H4OR03150","JAYAPAL, SUSHEELA","H","DEMOCRATIC PARTY",167740.39,0,3
"H0AR03055","WOMACK, STEPHEN A THE HON","H","REPUBLICAN PARTY",164621.53,4121.53,2
"S6IN00191","YOUNG, TODD","S","REPUBLICAN PARTY",161810,0,2
"H4NC06177","MCDOWELL, ADDISON","H","REPUBLICAN PARTY",161285.4,0,2
"H4MI08242","COLLIER, MATT","H","DEMOCRATIC PARTY",160696.04,0,2
"H2VT01076","BALINT, BECCA","H","DEMOCRATIC PARTY",157319.1,0,1
"H8NJ04014","SMITH, CHRIS","H","REPUBLICAN PARTY",156380.63,0,3
"H4AR02141","HILL, JAMES FRENCH","H","REPUBLICAN PARTY",156348.58,0,2
"H2OH01194","LANDSMAN, GREG","H","DEMOCRATIC PARTY",151959.96,29072.05,6
"H2NY10308","GOLDMAN, DANIEL","H","DEMOCRATIC PARTY",150853,0,1
"S4TX00888","BROWN, THEODORE E. JR.","S","LIBERTARIAN PARTY",150011.42,0,1
"H2FL14053","FRANKEL, LOIS","H","DEMOCRATIC PARTY",148519.92,106500,2
"H2NH01304","PRESCOTT, RUSSELL","H","REPUBLICAN PARTY",148418.8,0,2
"S8AZ00197","SINEMA, KYRSTEN","S","INDEPENDENT",146033,146033,2
"H4OR03168","MORALES, EDUARDO","H","DEMOCRATIC PARTY",145556.88,0,4
"H2OR06066","SALINAS, ANDREA","H","DEMOCRATIC PARTY",143131.32,100783.6,4
"H0NY02234","GARBARINO, ANDREW","H","REPUBLICAN PARTY",143109.19,0,2
"H2NE01118","FLOOD, MIKE","H","REPUBLICAN PARTY",143040.78,0,3
"H4IN03141","ZAY, ANDREW R.","H","REPUBLICAN PARTY",142051.2,0,2
"H2CA43245","TAKANO, MARK","H","DEMOCRATIC PARTY",141124.6,0,1
"H4CO03464","WEBB, LEW","H","REPUBLICAN PARTY",137000,0,1
"H4AL02220","DOBSON, CAROLEENE","H","REPUBLICAN PARTY",133881.45,0,3
"H2OH16051","MILLER, MAX","H","REPUBLICAN PARTY",132021.66,19250,4
"H8IL14067","FOSTER, G. WILLIAM","H","DEMOCRATIC PARTY",131256.35,28100,3
"H2NV03161","BECKER, APRIL","H","REPUBLICAN PARTY",131184.7,0,1
"H4NC10047","MCHENRY, PATRICK TIMOTHY","H","REPUBLICAN PARTY",126626,0,1
"H8SD01055","JOHNSON, DUSTY","H","REPUBLICAN PARTY",124736.28,0,1
"H4IL12060","BOST, MIKE","H","REPUBLICAN PARTY",124728.2,19640.38,3
"H0MI02094","HUIZENGA, BILL","H","REPUBLICAN PARTY",122378.5,0,3
"H6FL18097","MAST, BRIAN","H","REPUBLICAN PARTY",121236.43,0,2
"H2CA52089","PETERS, SCOTT","H","DEMOCRATIC PARTY",120951.04,0,1
"S4MD00590","SCOTT, MIKE","S","LIBERTARIAN PARTY",120666.51,0,1
"H2TX15203","VALLEJO, MICHELLE","H","DEMOCRATIC PARTY",120504.84,0,3
"S2ND00149","BECKER, RICK","H","",119880.22,0,1
"H8GA06393","MCBATH, LUCIA","H","DEMOCRATIC PARTY",119869.23,0,2
"H4MN06087","EMMER, THOMAS EARL JR.","H","REPUBLICAN PARTY",118034,0,1
"H2NC14019","NICKEL, WILEY","H","DEMOCRATIC PARTY",116161,0,1
"S8MT00234","ROSENDALE, MATT","S","REPUBLICAN PARTY",114298.5,114298.5,1
"H8CO07045","PETTERSEN, BRITTANY","H","DEMOCRATIC PARTY",112640,0,2
"H2NY18103","RYAN, PAT","H","",111153.7,0,3
"H4CA30131","MELVOIN, NICK","H","DEMOCRATIC PARTY",109259.06,2259.06,2
"H4CA12055","KHANNA, ROHIT","H","DEMOCRATIC PARTY",108545.79,0,1
"H6FL04105","RUTHERFORD, JOHN","H","REPUBLICAN PARTY",108369.39,0,3
"H0KY06104","BARR, GARLAND ANDY","H","REPUBLICAN PARTY",106708,0,1
"S4VA00353","CAO, HUNG","S","REPUBLICAN PARTY",106255.48,0,2
"H4ME02283","SOBOLESKI, MIKE","H","REPUBLICAN PARTY",106016.45,0,1
"H4VA10238","BOYSKO, JENNIFER","H","DEMOCRATIC PARTY",105000,0,1
"S4TX00755","GUTIERREZ, ROLAND","S","DEMOCRATIC PARTY",101513.92,0,4
"H8UT03238","CURTIS, JOHN","S","REPUBLICAN PARTY",101312.5,0,1
"H8TX06266","ELLZEY, JOHN","H","REPUBLICAN PARTY",101086.04,0,2
"H8IL14174","UNDERWOOD, LAUREN","H","DEMOCRATIC PARTY",100850,0,1
"S4SC00240","SCOTT, TIMOTHY","S","REPUBLICAN PARTY",100000,0,1
"S4NV00308","BROWN, SAM","S","",100000,0,1
"H2CA23155","WOOD, MARISA","H","DEMOCRATIC PARTY",99902.05,99902.05,1
"S6CA00584","HARRIS, KAMALA D","P","",98775.82,0,2
"H4NY01162","GOROFF, NANCY","H","DEMOCRATIC PARTY",92252.93,0,1
"H4IN06185","SHREVE, JEFFERSON","H","REPUBLICAN PARTY",91455.62,426.68,2
"H4AL02121","BREWBAKER, DICK","H","REPUBLICAN PARTY",91409.14,24407.79,2
"H0NY02200","LALOTA, NICHOLAS JOSEPH","H","",90288.33,8300,3
"H0TX24209","VAN DUYNE, ELIZABETH","H","REPUBLICAN PARTY",89658.55,72740,3
"H0IA01174","ARENHOLZ, ASHLEY","H","REPUBLICAN PARTY",87675,0,2
"H4WA05234","BAUMGARTNER, MICHAEL","H","REPUBLICAN PARTY",82772,0,1
"H0NV04023","PETERS, SAMUEL JAMES MR","H","REPUBLICAN PARTY",82700,0,1
"P40020521","TRUMP, DONALD JOHN MR","P","REPUBLICAN PARTY",81635,81635,1
"H4WA05192","MAYCUMBER, JACQUELIN","H","REPUBLICAN PARTY",81335.58,0,2
"H6NJ08118","PASCRELL, WILLIAM J. JR.","H","DEMOCRATIC PARTY",79510.53,0,2
"H4AZ01244","O'CALLAHAN, CONOR","H","DEMOCRATIC PARTY",77994.96,0,1
"S6RI00221","WHITEHOUSE, SHELDON","S","DEMOCRATIC PARTY",76952.76,76952.76,1
"H0IA04145","FEENSTRA, RANDALL","H","REPUBLICAN PARTY",76832.84,222.74,3
"S2WI00441","BARNES, MANDELA","S","DEMOCRATIC PARTY",76641,0,2
"H8ID02064","SIMPSON, MICHAEL","H","REPUBLICAN PARTY",75600,0,1
"H2MS04258","EZELL, WALTER MICHAEL","H","REPUBLICAN PARTY",75500,0,1
"P00001571","TRUMP, DONALD","P","",75248.76,75248.76,1
"H2MI10077","MARLINGA, CARL J","H","",74593.61,0,2
"S2NC00497","BEASLEY, CHERI","S","DEMOCRATIC PARTY",74468,0,2
"H4AL02188","ALBRITTON, GREGORY","H","REPUBLICAN PARTY",74379.08,0,1
"H4RI01265","AMO, GABRIEL","H","DEMOCRATIC PARTY",74263.61,0,2
"H4OH02230","WILKIN, SHANE","H","REPUBLICAN PARTY",74107.21,0,1
"S2VA00142","KAINE, TIMOTHY","S","DEMOCRATIC PARTY",72402.46,0,7
"H4NY26078","KENNEDY, TIMOTHY","H","DEMOCRATIC PARTY",68984.68,0,1
"S2OH00402","RYAN, TIMOTHY","S","DEMOCRATIC PARTY",67802,3125,3
"H0AL07086","SEWELL, TERRI","H","DEMOCRATIC PARTY",67656.92,0,1
"H0NC03149","SMITH, SANDY","H","REPUBLICAN PARTY",67576.74,0,2
"H6MI01226","BERGMAN, JOHN","H","REPUBLICAN PARTY",67488.68,0,2
"H2MN08152","SCHULTZ, JENNIFER","H","DEMOCRATIC-FARMER-LABOR",67347.57,0,4
"H4WI08093","JACQUE, ANDRE","H","REPUBLICAN PARTY",66620.8,60000,2
"H4MD03198","LAM, CLARENCE","H","DEMOCRATIC PARTY",65938.48,0,2
"H2OH14064","JOYCE, DAVID P","H","REPUBLICAN PARTY",65788.02,0,3
"S6PA00274","FETTERMAN, JOHN","S","DEMOCRATIC PARTY",65151.47,0,5
"H8IL06139","CASTEN, SEAN","H","DEMOCRATIC PARTY",64522.54,0,1
"H4RI01232","CASEY, STEPHEN","H","DEMOCRATIC PARTY",64106.7,0,1
"H4FL20023","WASSERMAN SCHULTZ, DEBBIE","H","DEMOCRATIC PARTY",62801.37,62801.37,2
"H2MI07149","DAILEY, LEAH R.","H","LIBERTARIAN PARTY",62788.38,0,1
"H4WA05168","CONROY, CARMELA","H","DEMOCRATIC PARTY",61377,0,2
"H8WI00018","BALDWIN, TAMMY","S","DEMOCRATIC PARTY",61365.34,0,2
"H4OH02248","TAYLOR, DAVID","H","REPUBLICAN PARTY",60571.91,1383.58,4
"H4NH01284","MCFARLANE, WALTER JAMES III","H","REPUBLICAN PARTY",60000,0,1
"H2MN05208","SAMUELS, DON MR.","H","DEMOCRATIC-FARMER-LABOR",58935.93,0,2
"H2NY13096","ESPAILLAT, ADRIANO","H","DEMOCRATIC PARTY",58669.5,0,1
"S0NY00410","GILLIBRAND, KIRSTEN","S","DEMOCRATIC PARTY",58669.5,0,1
"H4MD06258","HYSER, CHRIS","H","REPUBLICAN PARTY",57750,0,1
"H8NY15148","OCASIO-CORTEZ, ALEXANDRIA","H","DEMOCRATIC PARTY",55883.22,55883.22,3
"H4WA06109","FRANZ, HILARY","H","DEMOCRATIC PARTY",55437.2,0,3
"H2NY24150","KLEE HOOD, SARAH","H","DEMOCRATIC PARTY",55000,0,1
"S8CT00121","COREY, MATTHEW MCKINNON","S","REPUBLICAN PARTY",55000,0,1
"S6NH00091","HASSAN, MARGARET","S","DEMOCRATIC PARTY",54802.3,0,2
"H4SC01305","DEFORD, WILLIAM","H","DEMOCRATIC PARTY",52880.53,0,1
"H4MI13259","HAWKINS, SHAKIRA","H","DEMOCRATIC PARTY",52540.26,0,1
"S6MN00267","KLOBUCHAR, AMY","S","DEMOCRATIC-FARMER-LABOR",52515.33,0,3
"H4WI08101","LYERLY, KRISTIN","H","DEMOCRATIC PARTY",52435.6,0,2
"H0TX22302","NEHLS, TROY","H","REPUBLICAN PARTY",52227.98,0,2
"H4MN01179","BOHMAN, RACHEL","H","DEMOCRATIC-FARMER-LABOR",51714.59,0,3
"H4GA03076","SINGLETON, PHILLIP","H","REPUBLICAN PARTY",51706,0,1
"H2GA10281","JONES, VERNON","H","REPUBLICAN PARTY",51416.84,0,1
"H4AZ02184","NEZ, JONATHAN","H","DEMOCRATIC PARTY",51157.04,51157.04,1
"H4KS02180","KAHRS, JEFF","H","REPUBLICAN PARTY",50812.39,0,1
"H2NM01144","STANSBURY, MELANIE","H","DEMOCRATIC PARTY",50569.82,0,1
"S6IL00292","DUCKWORTH, TAMMY","S","DEMOCRATIC PARTY",49953.97,0,2
"H4OK06056","LUCAS, FRANK","H","REPUBLICAN PARTY",49853.96,0,1
"H4IL07037","DAVIS, DANNY","H","DEMOCRATIC PARTY",49140.57,0,1
"H2NH02260","WILLIAMS, LILY TANG","H","REPUBLICAN PARTY",47490,0,2
"H8NC13075","BAILEY, TOM","H","LIBERTARIAN PARTY",46347.87,0,1
"S4CA00639","EARLY, ERIC","S","REPUBLICAN PARTY",46210.1,46210.1,1
"H8NY06048","MEEKS, GREGORY W.","H","DEMOCRATIC PARTY",46160,0,1
"H6CA24303","CARBAJAL, SALUD","H","DEMOCRATIC PARTY",45523.44,0,2
"H2MI10184","POWELL, RHONDA","H","",45300.62,0,1
"H2CT02161","FRANCE, MIKE","H","REPUBLICAN PARTY",45000,0,1
"H2FL15241","LEE, LAUREL","H","REPUBLICAN PARTY",43885.65,0,1
"S4NJ00441","SERRANO GLASSNER, CHRISTINE","S","REPUBLICAN PARTY",43734.87,0,1
"H4LA06153","GRAVES, GARRET","H","REPUBLICAN PARTY",42647.78,0,1
"H4TX10093","MCCAUL, MICHAEL","H","REPUBLICAN PARTY",42458.3,0,2
"H4GA03068","DUGAN, MICHAEL","H","REPUBLICAN PARTY",42440.29,42440.29,2
"S4NC00162","TILLIS, THOM","S","REPUBLICAN PARTY",42012.81,0,1
"H0WI05113","FITZGERALD, SCOTT","H","REPUBLICAN PARTY",41871.77,0,4
"H4TX18054","LEE, SHEILA","H","DEMOCRATIC PARTY",40850.11,0,1
"H4NY16079","DOLAN, MARTIN WILLIAM MR","H","DEMOCRATIC PARTY",40700,0,1
"H4CO05139","REAGAN, JOSEPH","H","DEMOCRATIC PARTY",38905.6,0,1
"H4IN06144","RAATZ, JEFF","H","REPUBLICAN PARTY",38799.98,0,1
"S8MI00372","JAMES, JOHN","H","REPUBLICAN PARTY",38734.65,0,2
"H4VA08414","TORRES, JERRY","H","REPUBLICAN PARTY",37500,0,1
"H4WV02080","MOONEY, ALEXANDER XAVIER","S","REPUBLICAN PARTY",36087.34,0,2
"H0GA07273","MCCORMICK, RICHARD DEAN","H","REPUBLICAN PARTY",35838,0,1
"H4UT02312","HOUGH, BRUCE","H","REPUBLICAN PARTY",35687.32,16687.32,2
"H8FL26039","MUCARSEL-POWELL, DEBBIE","S","",35332.43,0,2
"H2AZ09191","COOPER, KELLY","H","REPUBLICAN PARTY",35000,0,1
"H4OH02271","HOOD, RON","H","REPUBLICAN PARTY",35000,35000,1
"S4NE00223","LOVE, PRESTON","S","DEMOCRATIC PARTY",35000,0,1
"H4WI01197","BARCA, PETER","H","DEMOCRATIC PARTY",34839.13,0,3
"S4NE00231","EDDY, KERRY","S","OTHER",34658.82,0,1
"H4TX18138","EDWARDS, AMANDA","H","DEMOCRATIC PARTY",33500,0,1
"H4SC03236","BISHOP, KEVIN DANIEL","H","REPUBLICAN PARTY",33000,0,1
"H2PA07096","DELLICKER, KEVIN","H","REPUBLICAN PARTY",32819.09,2819.09,2
"S2ME00109","KING, ANGUS","S","INDEPENDENT",32720,0,1
"H4CA30263","RATEVOSIAN, JIRAIR","H","DEMOCRATIC PARTY",32259.06,0,2
"H4KS02206","BOYDA, NANCY","H","DEMOCRATIC PARTY",31875,31875,1
"S2OH00436","VANCE, J","S","REPUBLICAN PARTY",31835.5,0,2
"H8VA11062","CONNOLLY, GERALD","H","DEMOCRATIC PARTY",30743.96,0,2
"H2PA01099","EHASZ, ASHLEY","H","DEMOCRATIC PARTY",30226.98,0,6
"H4VA04066","MCCLELLAN, JENNIFER","H","DEMOCRATIC PARTY",27927.84,0,4
"H4RI01257","CARLSON, DON","H","DEMOCRATIC PARTY",27140,0,1
"S6NV00200","CORTEZ MASTO, CATHERINE","S","DEMOCRATIC PARTY",27076.31,0,4
"H2IL10068","SCHNEIDER, BRADLEY S.","H","DEMOCRATIC PARTY",27039.34,27039.34,1
"S8ND00120","CRAMER, KEVIN","S","REPUBLICAN PARTY",26417.26,0,2
"H6FL06258","FINE, RANDY","H","REPUBLICAN PARTY",25278.89,0,1
"P60012143","BIDEN, JOE","P","",25000,25000,1
"S0AL00230","TUBERVILLE, THOMAS","S","REPUBLICAN PARTY",24214.84,10000,3
"H2GA08095","BUTLER, DARRIUS","H","DEMOCRATIC PARTY",24106.36,0,1
"H4FL13226","BOUSBAR, SABRINA","H","DEMOCRATIC PARTY",23988.24,0,1
"H8TX07140","FLETCHER, LIZZIE","H","DEMOCRATIC PARTY",23717.08,0,3
"H8MA07032","PRESSLEY, AYANNA","H","DEMOCRATIC PARTY",23504,23504,1
"H4NC13074","SHOEMAKER, MATT","H","REPUBLICAN PARTY",23300.74,0,1
"H2MO02201","GUNBY, PATRICIA WASHBURN","H","",23216.5,23216.5,1
"H2MO02102","WAGNER, ANN L.","H","REPUBLICAN PARTY",23216.5,0,1
"S0IA00028","GRASSLEY, CHARLES","S","REPUBLICAN PARTY",22788.01,0,2
"H4WI07129","KILBOURN, KYLE","H","DEMOCRATIC PARTY",22413.42,0,2
"S4LA00107","CASSIDY, WILLIAM","S","REPUBLICAN PARTY",22390,0,1
"H4VA02078","DENTON, JAKE","H","DEMOCRATIC PARTY",21378,0,1
"H6IN03229","BANKS, JAMES E HON.","S","REPUBLICAN PARTY",21081.51,0,1
"H4CO05147","CRANK, JEFF","H","",20200,0,1
"H2CA39151","CHING, ERIC","H","REPUBLICAN PARTY",20000,0,1
"H4WV01058","EVANS, JONATHAN DERRICK","H","REPUBLICAN PARTY",20000,0,1
"S8MS00261","HYDE-SMITH, CINDY","S","REPUBLICAN PARTY",20000,20000,1
"H2NC07161","CASTELLI, ROBERT CHRISTIAN","H","REPUBLICAN PARTY",20000,0,1
"S4PA00295","MCCORMICK, DAVE","S","",19900,0,1
"H2TX31044","CARTER, JOHN","H","REPUBLICAN PARTY",19681.72,0,2
"H6PA02171","EVANS, DWIGHT","H","DEMOCRATIC PARTY",19318.13,0,1
"H4OH07056","KUCINICH, DENNIS","H","UNAFFILIATED",19250,0,1
"H6IL18088","LAHOOD, DARIN MCKAY","H","REPUBLICAN PARTY",19096.17,0,1
"H2FL21108","FRANZESE, DANIEL","H","REPUBLICAN PARTY",19000,19000,1
"H4TX28129","FURMAN, JAY","H","REPUBLICAN PARTY",18334.91,0,1
"H0IL15129","MILLER, MARY","H","REPUBLICAN PARTY",18208.12,0,1
"H2NV02395","AMODEI, MARK","H","REPUBLICAN PARTY",18038.75,16089.24,2
"S4MI00553","HARPER, FRANK","S","DEMOCRATIC PARTY",17500,0,1
"S4NE00173","RICKETTS, PETE","S","",16538.13,0,1
"H8MI13250","TLAIB, RASHIDA","H","DEMOCRATIC PARTY",16297.17,11752,3
"H6FL09179","SOTO, DARREN","H","DEMOCRATIC PARTY",15625,0,1
"H6TX19099","ARRINGTON, JODEY","H","REPUBLICAN PARTY",15519.5,0,2
"H6NE03115","SMITH, ADRIAN","H","REPUBLICAN PARTY",15480.07,0,2
"H4OH13146","BANWEG, CHRIS","H","REPUBLICAN PARTY",15149.81,0,1
"P90022716","HARRIS, KAMALA","P","",15000,0,1
"H4CO06129","FABBRICATORE, JOHN","H","REPUBLICAN PARTY",14950,0,1
"H8CA01109","THOMPSON, MIKE","H","DEMOCRATIC PARTY",14935.84,0,1
"H0MN04049","MCCOLLUM, BETTY","H","DEMOCRATIC PARTY",14862.59,0,2
"S8IN00171","BRAUN, MIKE","S","REPUBLICAN PARTY",14641,0,1
"H6CA20152","PANETTA, JIMMY","H","DEMOCRATIC PARTY",14487.65,0,1
"S6NE00129","RICKETTS, PETE","S","REPUBLICAN PARTY",14419.93,0,2
"S0KY00156","PAUL, RAND","S","REPUBLICAN PARTY",14351.87,0,2
"H0MA04192","AUCHINCLOSS, JAKE","H","DEMOCRATIC PARTY",14279.72,0,1
"S0UT00165","LEE, MIKE","S","REPUBLICAN PARTY",14239.43,0,2
"H4WI05115","STEINHOFF, BEN","H","DEMOCRATIC PARTY",14200.21,0,1
"S4UT00308","GLEICH, CAROLINE","S","DEMOCRATIC PARTY",14029.43,0,1
"H2FL14186","DONALDS, BYRON","H","REPUBLICAN PARTY",14024,14000,2
"S4DE00060","BLUNT ROCHESTER, LISA","S","DEMOCRATIC PARTY",14000,0,1
"H0MN07091","FISCHBACH, MICHELLE","H","REPUBLICAN PARTY",13556.78,0,1
"H2NC14050","EDWARDS, CHUCK","H","REPUBLICAN PARTY",13363.21,0,1
"H8WV03097","MILLER, CAROL","H","REPUBLICAN PARTY",13273.12,0,2
"H0VA04064","BENJAMIN, LEON MR.","H","REPUBLICAN PARTY",13216,0,1
"H0FL08208","WEBSTER, DANIEL","H","REPUBLICAN PARTY",13007.5,0,1
"H2FL10259","FROST, MAXWELL","H","DEMOCRATIC PARTY",13000,0,1
"H4MA06090","MOULTON, SETH","H","DEMOCRATIC PARTY",12967.24,0,1
"H4VA10261","QARNI, ATIF","H","DEMOCRATIC PARTY",12500,0,1
"H8TX21307","ROY, CHIP","H","REPUBLICAN PARTY",12079.94,0,3
"H4MI01155","BARR, CALLIE","H","DEMOCRATIC PARTY",12000,0,1
"H4IL10098","CARRIS, JIM","H","REPUBLICAN PARTY",11814.24,0,1
"P40020406","TRUMP, DONALD JOHN MR","P","REPUBLICAN PARTY",11754.32,11754.32,1
"H6LA04138","JOHNSON, JAMES","H","REPUBLICAN PARTY",11500,11500,2
"H2OR01133","BONAMICI, SUZANNE","H","DEMOCRATIC PARTY",11485,0,1
"H8CO06229","CROW, JASON","H","DEMOCRATIC PARTY",11319.08,0,1
"S0AZ00350","KELLY, MARK","S","DEMOCRATIC PARTY",11201.62,0,3
"S4NV00304","GUNTER, JEFF DR","S","REPUBLICAN PARTY",10750,0,1
"H8PA13125","JOYCE, JOHN","H","REPUBLICAN PARTY",10557.9,0,2
"S4IA00129","ERNST, JONI","S","REPUBLICAN PARTY",10220.37,0,1
"H2WY00166","HAGEMAN, HARRIET","H","REPUBLICAN PARTY",10024,0,2
"S4NV00312","GRADY, TONY","S","REPUBLICAN PARTY",10000,0,1
"H0FL19205","DONALDS, BYRON","H","",10000,0,1
"H4AL02113","GRAY, JEREMY","H","DEMOCRATIC PARTY",10000,0,1
"H4UT03278","LAWRENCE, CASE","H","REPUBLICAN PARTY",9792.42,0,1
"H4OH02172","ANTANI, NIRAJ JAIMINI","H","REPUBLICAN PARTY",9598.55,0,1
"H4MS04163","BOYANTON, CARL","H","",9000,0,2
"S4MO00284","YOUNG, JARED","S","INDEPENDENT",9000,0,1
"H6OH04082","JORDAN, JAMES D.","H","REPUBLICAN PARTY",8815.55,4475,3
"H0CA48024","ISSA, DARRELL","H","REPUBLICAN PARTY",8717.44,0,1
"H4RI01323","LEONARD, GERRY","H","REPUBLICAN PARTY",7600,0,1
"P90000423","HARRIS, KAMALA","P","",7403.5,0,1
"H4CA22120","HURTADO, MELISSA","H","DEMOCRATIC PARTY",7350,7350,1
"H8CA39174","CISNEROS, GILBERT","H","DEMOCRATIC PARTY",7312.5,0,1
"H4AR03073","PENZO, CLINT","H","REPUBLICAN PARTY",7062.25,0,1
"H2TX08182","LUTTRELL, MORGAN","H","REPUBLICAN PARTY",7056.89,0,2
"P40013435","PENCE, MIKE","P","REPUBLICAN PARTY",7013.92,7013.92,2
"H2FL04203","MACIE, MARA","H","REPUBLICAN PARTY",6400,0,1
"H0WI07101","TIFFANY, TOM","H","REPUBLICAN PARTY",6319.21,0,2
"H4WI06048","GROTHMAN, GLENN","H","REPUBLICAN PARTY",5773.92,0,2
"H2NY10092","JEFFRIES, HAKEEM","H","DEMOCRATIC PARTY",5650,0,1
"H8PA05071","THOMPSON, GLENN","H","REPUBLICAN PARTY",5539.32,0,1
"H4UT03260","KENNEDY, MIKE","H","REPUBLICAN PARTY",5521.5,0,2
"H2GA02031","BISHOP, SANFORD","H","DEMOCRATIC PARTY",5486.92,0,1
