"sid","name","total","against","pct_against","candidates"
"C00541433","HUNTER ACTION FUND (HAF)",285207.22,0,0,7
"C00857425","Renewing Our Nation",283275,0,0,1
"C00878686","PALMETTO VALUES",282897.14,270397.14,95.6,2
"C00824334","DEMOCRATIC ELECTION FUND",282660.25,219637.92,77.7,3
"C00692202","Courage to Change",279600,0,0,2
"C00432260","CLUB FOR GROWTH PAC",278568.47,52.17,0,20
"C00753558","Democratic Victory PAC, Inc.",275910.37,131956.54,47.8,4
"C00889279","Shomer",271970.32,0,0,1
"C00570226","SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC",270750,0,0,16
"C00003632","Int'l Union Of Bricklayers And Allied Craftworkers",270067,2010,0.7,2
"C00671685","AUTISM HEAR US NOW PAC",268948.06,0,0,3
"C00848739","Defending America PAC",267879,267879,100,1
"C00744185","Nuestro PAC",266391.31,30000,11.3,4
"C00816868","DEMOCRATIC VOTERS PAC",265935.32,190901.18,71.8,3
"C00678839","Indivisible Action",265518.44,37696.39,14.2,16
"C00878264","CONSERVATIVE FUTURE FUND",263354.26,5000,1.9,3
"C00877233","AMERICAN CONSERVATION COALITION PAC (ACC PAC)",262863.5,0,0,2
"C90021304","LUPE VOTES",258533.67,0,0,3
"C00864512","Dunn's Democracy Defenders",255000,0,0,1
"C00798009","HEALTHCARE FREEDOM SUPER PAC",254536.23,97768.11,38.4,5
"C00803593","Building America's Economy",250000,0,0,1
"C00734400","CYRUS SAJNA FOR CONGRESS COMMITTEE",250000,0,0,1
"C00811786","Democracy Defense Fund",242500,0,0,1
"C00868935","BUCKEYES FOR VALUES",242303.8,0,0,1
"C00625236","American Solidarity Party",239300,0,0,1
"C90013269","NRDC Action Fund Inc.",238000,238000,100,1
"C00825737","Siembra PAC",237996.3,2528.72,1.1,2
"C00884874","Stop Project 2025",233655.59,171000,73.2,3
"C00871988","Voice For New York",233340,0,0,3
"C00587022","COURAGEOUS CONSERVATIVES PAC",228736.51,144820.64,63.3,6
"C00883785","Defeat Boebert PAC",228024.82,228024.82,100,1
"C00674697","Sunrise PAC",227821.61,227821.61,100,1
"C00826776","FRONTIERS OF FREEDOM ACTION, INC.",225830,225830,100,5
"C90022443","MI Poder",224999.98,0,0,2
"C90020116","CHESAPEAKE CLIMATE ACTION NETWORK ACTION FUND",224138.54,0,0,6
"C90021726","OHIO CITIZEN ACTION",223686,0,0,4
"C00762658","Keep America America Action Fund",222525.75,87573.37,39.4,4
"C00523589","AMERICAN UNITY PAC INC",219000,0,0,5
"C00760736","RESIST RECLAIM REBUILD PAC",217000,97000,44.7,2
"C00685982","UNITED VETERANS ALLIANCE OF AMERICA PAC",215767.1,0,0,3
"C90022773","Civic Empowerment Coalition",212830.09,0,0,3
"C90019357","Food & Water Action",206254.66,0,0,7
"C00888909","Western Native Voice Votes",206223.88,125480.94,60.8,2
"C00882233","Democratic Youth Wave",205384.74,0,0,1
"C00815753","J Street Action Fund",204995,204995,100,2
"C00738732","Clean Wave",201283.86,0,0,4
"C00738815","TAKEACTION MN FEDERAL FUND",201013.72,0,0,4
"C00589507","AAPI Victory Fund",200530.57,50250,25.1,5
"C90019662","NILC IMMIGRANT JUSTICE FUND",200000,0,0,1
"C00807412","HELLFIRE PAC",195134.08,120710.2,61.9,2
"C00843110","Leaders We Deserve",194000,0,0,1
"C90022922","Citizens Alliance of Pennsylvania PAC",190000,0,0,1
"C00847673","Stop TRUMP",189954,189954,100,1
"C90023052","POWER Action Fund",189666.67,0,0,2
"C00871012","MAKE MONTANA GREAT",189500,189500,100,1
"C90019720","WOMEN''S MARCH INC",187201.42,138092.25,73.8,2
"C90022534","OHIOANS UNITED FOR PUBLIC EDUCATION",185461.81,185461.81,100,3
"C00715433","CONSTITUTIONAL LEADERSHIP PAC",184250,0,0,3
"C00889188","COMMON SENSE MARYLAND",183025,33025,18,2
"C00802207","ADVANCE LIBERTY PAC",182980.22,28100,15.4,3
"C00882431","EMPOWERING BLACK AMERICANS PAC",182801.09,0,0,1
"C00607374","ELBERT GUILLORY'S AMERICA",182013.13,168797.13,92.7,3
"C00754069","PAF",181992,181992,100,1
"C00797340","BLUE CD2 NEW MEXICO USA",180185.12,0,0,1
"C00010421","Associated Builders and Contractors, Inc. Political Action Committee (ABC PAC)",178800,0,0,7
"C00718593","DEFEND TEXAS FUND",177777.64,100000,56.3,3
"C90023086","WE ACT 4 Change",176008.5,0,0,3
"C00870204","CENTRAL COAST VALUES PAC",174835.64,0,0,1
"C00684530","Planned Parenthood of Minnesota Political Action Fund",174638.49,101898.08,58.3,3
"C00865717","Flip the 40th",171520.71,0,0,1
"C00717728","Free and Fair Democracy PAC",171500,112750,65.7,3
"C90020181","LEADERS IGNITING TRANSFORMATION",170371.98,0,0,2
"C00882019","Mi Familia Decide PAC",170000,0,0,1
"C00818161","GRANITE STATE LEADERSHIP FUND",169972.45,0,0,1
"C00891549","AMERICA FIRST ACTION FUND",167244.54,148544.54,88.8,4
"C00099259","Republican Party of Florida Federal Account",160500,160500,100,1
"C90011800","CatholicVote.org",158903.04,0,0,1
"C00890020","PLANNED PARENTHOOD TEXAS VOTES VICTORY FUND",157714.92,0,0,2
"C00819631","DEMOCRATS UNITED",157455.89,67163.56,42.7,3
"C00874842","VIRGINIA DEMOCRATIC ACTION PAC",157282.72,157282.72,100,1
"C00722025","SEAL PAC USA",155750,0,0,3
"C00659219","AMERICAN JOBS AND GROWTH PAC",155604.25,64488.28,41.4,6
"C00773788","SUPPORT OUR FIREFIGHTERS AND PARAMEDICS PAC",154337.6,0,0,5
"C00755363","Vote for Equality",153755.73,0,0,3
"C00886929","SAFER NM COMMUNITIES",148988.7,98961.8,66.4,4
"C00889873","CALIFORNIA COMEBACK FUND",148322.53,142369.57,96,2
"C00364158","American College of OB-GYNs PAC (OB-GYN PAC)",148083.33,0,0,2
"C00742635","Gun Rights America",143370.32,103874.83,72.5,31
"C90020363","NAKASEC ACTION FUND",141227.28,0,0,3
"C00864215","RIGHT FOR NC",141129.6,0,0,1
"C00876128","Common Sense Common Ground PAC",139446,106623,76.5,2
"C90019910","CAROLINA FEDERATION",138931.55,0,0,1
"C00881607","RIGHT REASON PAC",134918.3,67459.15,50,2
"C00690776","MICHIGAN LIBERATION ACTION FUND",134422.2,0,0,4
"C00891028","AANHPI Rising Tide",133815.92,133815.92,100,1
"C00873638","CHAMPIONS OF FREEDOM PAC",132795.94,49904.64,37.6,2
"C00782508","Change For Arizona 2024 PAC",132405.38,132405.38,100,1
"C90021890","Rise Action Fund",131660.09,0,0,6
"C90017492","Indivisible Project Inc.",131510.88,25135.71,19.1,16
"C00781039","DEMOCRATIC MAJORITY, INC",131437.05,81539.62,62,3
"C90017898","PROTECT OUR WINTERS ACTION FUND",130826.6,11746.59,9,9
"C00830463","American Honor PAC",130591,130591,100,1
"C00162339","OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE",130012.36,0,0,2
"C00573733","Security Is Strength PAC",128690.75,0,0,2
"C00834077","NEVER BACK DOWN, INC.",128495.91,76500,59.5,3
"C00674093","Brady PAC",127499.95,57500,45.1,7
"C00838458","UPSHUR COUNTY REPUBLICAN EXECUTIVE COMMITTEE",125669,0,0,1
"C00889584","COMMON SENSE FOR PA",125122,125122,100,1
"C00842443","Progress Rhode Island",125090.08,0,0,1
"C00819508","SAVE AMERICAN FREEDOM",125000,125000,100,1
"C00720029","Everyday People",123730.88,36192.68,29.3,3
"C90022591","IMPACT CT INC.",123148.55,0,0,1
"C00832642","HONEST HOOSIERS PAC",122900,0,0,1
"C00771865","AMERICAN VETERANS SUPPORT GROUP PAC",122573.22,0,0,4
"C00814806","1787 Fund",120291,0,0,1
"C00712885","AMERICAN VETERANS INITIATIVE PAC",120208.26,0,0,2
"C00860411","ASPIRE Communities United",120000,0,0,1
"C00825158","OPPORTUNITY MATTERS FUND ACTION",120000,0,0,2
"C00845974","DUTY SERVICE HONOR",119450.05,33374.65,27.9,3
"C00880682","PIVOT Victory Fund",119200,0,0,2
"C00193441","ILLINOIS AGRICULTURAL ASSOCIATION ACTIVATOR POLITICAL INVOLVEMENT FUND (FED) 'ACTIVATOR'/'ILLINOIS FARM BUREAU ACTIVATOR'",118965.21,0,0,5
"C00778381","Democratic Defense Fund",116500,58250,50,2
"C00809830","YOUR LOWCOUNTRY NEIGHBORS",115000,0,0,1
"C90011891","AMERICAN MAJORITY ACTION INC.",114240.58,0,0,1
"C00774463","Democrats Serve",114068.64,0,0,4
"C00887729","AMERICAN RESOLVE PAC INC.",112487.36,0,0,1
"C00888966","PHYSICIAN VOICES UNITED",112379.2,0,0,2
"C00845776","Citizens to Save Our Republic",112000,112000,100,1
"C00774257","HOOSIER HONOR",111810,0,0,1
"C00540229","Constitutional Rights PAC",110000,110000,100,1
"C00884395","MAKE A DIFFERENCE MN",108991.85,50745.92,46.6,2
"C00820357","JOBS & PROSPERITY PAC",108915.6,0,0,1
"C90021536","ECONOMIC SECURITY PROJECT ACTION INC.",107746,0,0,2
"C00872507","BRIGHTER FUTURE ND",107633,107633,100,1
"C00842740","CA PROGRESSIVE PAC",107000,0,0,1
"C00868083","ARIZONANS FOR CONSERVATIVE LEADERSHIP",106645.27,0,0,1
"C90017955","Service Employees International Union Political Education & Action Fund",106559.59,3782.5,3.5,2
"C00883330","PROTECT AMERICA PAC",106500,106500,100,1
"C00880302","REPRO Rising Virginia PAC",105000,0,0,1
"C00764209","Leadership in Action",103113.25,75000,72.7,2
"C00855171","DARE DEFEND OUR RIGHTS PAC",102750,21750,21.2,2
"C00764233","Defend The Vote",102500,102500,100,1
"C00873398","Lead The Way PAC",101578,101578,100,1
"C90019902","NCAAT IN ACTION",101446.51,0,0,3
"C00891044","2040 PAC, INC.",101324.67,0,0,1
"C00882621","OREGONIANS FOR TRUTH AND ACCOUNTABILITY PAC",100783.6,100783.6,100,1
"C00409730","New Democrat Coalition Action Fund",100390,100390,100,1
"C00823534","Communities United",100000,0,0,1
"C00692467","Four More Years PAC",100000,100000,100,1
"C00854059","One Giant Leap PAC",100000,0,0,2
"C00854448","Utahns for Liberty",100000,100000,100,1
"C00760488","WOMEN'S MARCH WIN",100000,20000,20,2
"C00629477","Ultraviolet PAC",98901.28,0,0,1
"C00006486","INDIANA REPUBLICAN STATE COMMITTEE, INC.",97748.21,4900.46,5,2
"C00574178","Right to Life of Michigan Victory Fund",97665.03,97665.03,100,1
"C00002840","UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)",97642.08,0,0,1
"C00455923","FEDUP POLITICAL ACTION COMMITTEE AKA FEDUP PAC",97276.86,0,0,1
"C00856385","Beehive Values PAC",97170.86,0,0,1
"C00716704","PROTECT AND SERVE PAC",96927.02,48463.5,50,6
"C90020058","RED WINE AND BLUE",96841.23,0,0,1
"C90012071","People For the American Way",96052,4000,4.2,3
"C00880815","GREATER GEORGIA ACTION",93672,79623.8,85,3
"C00758938","POLICE COALITION OF AMERICA PAC",93451.5,0,0,2
"C90022286","All in for Utah",92586.94,0,0,3
"C00868448","CLEAR CHOICE PAC, INC",92259.12,92259.12,100,1
"C90022567","SOMOS THE FUTURE",90020.33,0,0,2
"C00889535","DEFENDING NC PAC",89851,0,0,1
"C90022526","AMERICANS FOR CONSUMER PROTECTION",89561.5,89561.5,100,1
"C00348540","1199 SEIU United Healthcare Workers East Federal Political Action Fund",88874.58,0,0,4
"C00690867","Left of Center PAC",87985,87985,100,1
"C90016106","AFL-CIO COMMITTEE ON POLITICAL EDUCATION TREASURY FUND",87822.65,0,0,1
"C00850081","JERSEY DESERVES BETTER PAC",87469.75,43734.88,50,2
"C00710178","HONORING AMERICAN LAW ENFORCEMENT PAC",86000,12000,14,4
"C00832493","Youth Save Democracy PAC",86000,26000,30.2,2
"C00754242","They See Blue",85936.42,0,0,26
"C00831248","UNLEASH AMERICA PAC",85755.48,0,0,1
"C00868976","Hold the Line PAC",85500,85500,100,1
"C00852996","BETTER AMERICA UNDER CONSERVATIVES PAC, INC.",82050,82050,100,1
"C00877753","AMERICAN FREEDOM PAC (AFPAC)",81767.1,81767.1,100,1
"C90014101","Immigrants' List Civic Action, Inc.",81635,81635,100,1
"C00850487","Conservative Leaders of America",81500,0,0,1
"C00787671","FIREFIGHTERS COALITION OF AMERICA PAC",81316.35,0,0,3
"C00845693","COMMITTEE FOR A BETTER RHODE ISLAND",81000,81000,100,1
"C90022740","March For Our Lives Action Fund",80554.38,0,0,2
"C00826412","COLORADO UNITED PAC",80000,80000,100,1
"C00748228","March On PAC",80000,40000,50,4
"C00883405","AD ASTRA PAC",79659.4,0,0,1
"C90022617","California Conference of Carpenters",78550,0,0,1
"C00860106","Southern Ohio Conservatives PAC",78257.96,4150.75,5.3,4
"C00879312","AZ PROGRESSIVE FUTURE",77994.96,0,0,1
"C00782847","Keeping America Strong PAC",77956.38,0,0,2
"C00824821","UNITED BREAST CANCER SUPPORT PAC",77415.88,0,0,3
"C00876656","A SAFER STRONGER OREGON PAC",77040,77040,100,1
"C00866673","ALABAMA FAMILIES PAC",75818.9,64532.06,85.1,4
"C00829903","Democratic Values PAC",75000,75000,100,1
"C00842575","OPERATION SAVING DEMOCRACY",75000,0,0,1
"C00872838","PRINCIPLED LEADERS PAC",75000,75000,100,1
"C00858100","PRO PAC",75000,0,0,2
"C00880518","BITCOIN VOTER PAC",74939.04,0,0,3
"C00855577","DEFEND ALABAMA",74379.08,0,0,1
"C00872457","RESTORING STANDARDS PAC",74330.15,74330.15,100,1
"C00865352","New Leaders 2024",73418.5,0,0,16
"C00872879","Stand Up PAC",72740,72740,100,1
"C00889287","COLUMBIA NEIGHBORS PAC",72279.08,72279.08,100,1
"C00877886","1000 Women Strong PAC",72000,0,0,1
"C00082925","Nevada Republican Central Committee",71777.02,0,0,1
"C00001636","SMART TD PAC",70000,0,0,1
"C00821611","Asian Americans For Change Fund",69890.98,0,0,3
"C00742205","SURJ PAC",69529.69,0,0,2
"C00887208","FTW PAC",69283.33,69283.33,100,1
"C00625566","VALOR AMERICA",69000,69000,100,3
"C00826743","COLORADO DAWN",68750,68750,100,1
"C00866731","Growth Democrats",68654.92,19410.92,28.3,2
"C00809467","AMERICAN POLICE AND TROOPERS COALITION PAC",67748,0,0,3
"C00662072","DRAIN THE DC SWAMP PAC",67600.37,67600.37,100,1
"C00870717","COMMON SENSE ALABAMA",67001.35,0,0,1
"C90022757","WORKING FOR AMERICA POLICY INC.",66506.7,0,0,2
"C00891895","FORWARD 24",65885.91,65885.91,100,2
"C00853119","VICTORY INCLUDES ACCOUNTABILITY BELIEVABILITY LEADERSHIP AND ELECTABILITY PAC (VIABLE PAC)",65000,58500,90,2
"C90022054","Casey Family Farms",64106.7,0,0,1
"C00839407","Get Out The Vote PAC",63133.66,0,0,6
"C90022765","Engage Miami",62466.34,0,0,2
"C90013582","INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES LEGISLATIVE EDUCATIONAL COMMITTEE",62423.83,0,0,2
"C99002396","AMERICAN POLITICAL ACTION COMMITTEE",60000,0,0,1
"C00885640","NEW HAMPSHIRE 1ST",60000,0,0,1
"C00299396","ITALIAN AMERICAN DEMOCRATIC LEADERSHIP COUNCIL",59150,0,0,6
"C00849877","UNIFY COLORADO",58000,0,0,1
"C00772848","No Vote Left Behind PAC",57282.25,38471.16,67.2,3
"C90021643","PA STANDS UP POWER",57146.46,0,0,1
"C00856807","TEXAS DEMOCRATIC ALLIANCE POLITICAL ACTION COMMITTEE",56384.74,0,0,2
"C00878215","KANSAS CONSERVATIVE FUND",56183.71,56183.71,100,1
"C00886747","Restoring Liberty PAC",56042.12,31924.91,57,2
"C00824607","TOMORROW'S JOBS",55076.92,0,0,2
"C00821348","Progressive Victory PAC",55073.89,0,0,1
"C90022112","THE ACT NOW PROJECT (DBA THE CENTER FOR U.S. VOTERS ABROAD)",54663.83,36845.17,67.4,2
"C00556274","USW Works",53583.18,0,0,4
"C00740126","UNITEDemocrats PAC",52880.53,0,0,1
"C00843714","Fight Like A Flynn",52500,50000,95.2,2
"C00720540","Stand America PAC",51764.97,0,0,1
"C00865238","FED UP TAXPAYERS AGAINST WOKENESS",51656.37,32418.88,62.8,2
"C90023268","VoterBridge",51423.94,0,0,1
"C00807958","PATRIOTS PAC LLC",51416.84,0,0,1
"C00879072","OKLAHOMA VICTORY COMMITTEE",51050,50000,97.9,2
"C00130658","CPAC ACTION PAC",50812.39,0,0,1
"C90019407","FIGHT CORPORATE MONOPOLIES",50470,32345,64.1,2
"C00710160","AMERICAN ALLIANCE FOR DISABLED CHILDREN PAC",50000,0,0,1
"C00728360","Movement Voter PAC",50000,0,0,1
"C00891887","RED STATE NEBRASKA",50000,25000,50,2
"C00679316","Committee To Build The Economy",49304,0,0,3
"C00864173","Virginians for Conservative Leaders",48253.77,48253.77,100,1
"C00631903","PA Values",48000,48000,100,1
"C00752576","Our Voice Our Vote Arizona PAC",47997.76,0,0,1
"C00521013","Florida Freedom PAC",47024.41,47024.41,100,1
"C00528901","HOMETOWN FREEDOM ACTION NETWORK",45961.64,40815.25,88.8,3
"C00731133","Make Liberty Win",44887,0,0,1
"C00797332","TEXANS FOR FREEDOM",44388.44,44388.44,100,1
"C90017989","CARE ACTION",44200,0,0,2
"C00874404","AMERICAN DEMOCRACY LAB",44149.57,27221.67,61.7,2
"C00756056","Protect The Vote",44000,0,0,12
"C00886317","ASIANS MAKING AMERICA GREAT AGAIN",43253.29,0,0,1
"C00891234","Claiming Our Voices",43184.45,11754.32,27.2,2
"C00774323","POLICE AND TROOPER SUPPORT PAC",42776.43,0,0,2
"C90023037","Population Connection Action Fund",42462.68,0,0,7
"C00827063","BeHeard PAC",42304.4,42304.4,100,1
"C00624890","THE PEOPLE'S CAMPAIGN",41260.63,41260.63,100,1
"C00826800","PROFESSIONAL FIREFIGHTERS FOR ARIZONA",41030.5,0,0,3
"C00754218","Texas Alliance for Life Fed PAC",40950,40950,100,2
"C00879080","Citizens Against AIPAC Corruption",40676.37,40676.37,100,1
"C00882779","NORTH STAR VALUES",40265.6,5247.46,13,2
"C00872226","BUCKEYE PATRIOT ALLIANCE",40000,35000,87.5,2
"C00889196","SAVE CENTRAL NEW YORK PAC",40000,20000,50,2
"C00872200","VIRGINIA PATRIOTS FOR FREEDOM",40000,10000,25,2
"C00883660","CATHOLICS FOR THE FUTURE, INC.",39871.87,0,0,1
"C00023580","National Association of Letter Carriers of U.S.A. Political Fund (Letter Carrier Political Fund)",39327.73,0,0,1
"C90021619","Ruralorganizing.org Inc.",39095.13,0,0,1
"C00827626","Protecting Our Demoncracy",39000,0,0,1
"C00779314","THE FREEDOM FORWARD FUND",38853.58,27039.34,69.6,2
"C00874941","HOOSIER CONSERVATIVE ACTION PAC",38799.98,0,0,1
"C90012956","Patriot Majority USA",38500,19250,50,2
"C00847574","TO FORM A MORE PERFECT UNION",38000,19000,50,2
"C00844548","Citizens for Virginia",37500,0,0,1
"C90021668","Black Ohio Leaders for Democracy",37491.1,0,0,2
"C00758003","Rural GroundGame",37370.83,0,0,6
"C00860312","AMERICA FIRST NORTH CAROLINA",37276.53,0,0,2
"C00814202","NEW SOUTHERN MAJORITY IE PAC",37266.24,0,0,1
"C00786517","NORTHWEST OHIO FREEDOM FUND PAC",36755.46,34755.46,94.6,2
"C90022641","Southeast Asian Action",36333,0,0,1
"C00835066","Rural USA PAC",36255.4,36255.4,100,1
"C00882944","Pass The Torch",36085,36085,100,1
"C90022807","Renaissance Action Fund",35820,11243,31.4,3
"C00874784","RISE UNITED",35450.88,17725.44,50,2
"C00709691","New Journey PAC, Inc.",35045,0,0,1
"C00875609","Cavalry PAC",35000,0,0,1
"C00637041","Fund for a Working Congress",35000,35000,100,1
"C90022815","Texas for All",34842.66,0,0,2
"C90015322","UNIDOSUS ACTION FUND",34074.51,19712,57.8,2
"C00863456","VIRGINIANS UNITED FOR PROGRESS",34000,0,0,1
"C90018391","The Family Foundation Action",33892.12,31000,91.5,2
"C00871327","VOTE UNCOMMITTED MN",33823.94,33823.94,100,1
"C00815381","LIMITGOV PAC",33692.44,9174.61,27.2,2
"C00824714","PEOPLE WHO LOVE AMERICA",33500,0,0,1
"C00887901","Make America Healthy Again (MAHA) PAC",32847.6,0,0,1
"C00836783","REAL LEADERSHIP FOR COLORADO",32467.72,32467.72,100,1
"C00889907","ELEVEN5",32162.25,17299.67,53.8,2
"C00867945","PROGRESSIVE SOURCE PAC",31775.34,31775.34,100,1
"C00607556","The Great Task",31365.65,31365.65,100,1
"C90022799","All In Action Fund",31248.66,0,0,1
"C00816843","VOLUNTEERS FOR FREEDOM PAC",30200,15100,50,2
"C00623421","AMERICAN LIBERTY FUND",30000,0,0,1
"C00327189","VALUE IN ELECTING WOMEN POLITICAL ACTION COMMITTEE",30000,0,0,1
"C00728386","DEFEATING COMMUNISM PAC",29416.21,0,0,2
"C90020033","FAITHFUL AMERICA",29028.82,29028.82,100,1
"C00003590","United Steelworkers Political Action Fund",28688.96,0,0,19
"C00891382","MOTHERING JUSTICE PAC",28380,0,0,1
"C00833103","VOTERS OF TOMORROW PAC",28000,0,0,1
"C00877027","The Seneca Project Inc",27825,11412.5,41,3
"C00875625","WIN FOR DEMOCRACY PAC",27655,0,0,1
"C00559740","GOPAC Election Fund",27475,0,0,1
"C00476978","LGBTQ Victory Fund Federal PAC",27140,0,0,1
"C00736140","HOLD THE LINE PAC",26800,5300,19.8,2
"C00869305","UNITE HERE Local 11 PAC Federal",26601.75,15981,60.1,4
"C00403741","UA PROGRESSIVE ACTION",25451.44,0,0,1
"C00893198","CONSERVATIVE FIGHTER PAC",25278.89,0,0,1
"C00509463","PROTECTING OUR VOTE PAC",24524.5,0,0,1
"C00879189","PROTECT OUR CHILDREN PAC",24000,24000,100,1
"C00594507","Middle Class Values PAC",23988.24,0,0,1
"C00887042","WORKERS EN ACCION PAC",23914.59,0,0,1
"C00483693","Sierra Club Independent Action",23674.89,0,0,1
"C00756791","VOTEBLUE",23397.83,0,0,2
"C00613489","Missouri Farm Bureau Federation Federal PAC",23144,0,0,2
"C00866640","RESOLUTE COURAGE PAC",23076,0,0,1
"C00802389","GiveGreen United Action",22873.7,160,0.7,2
"C00836395","Actions Speak Louder than Tweets PAC",22800,22800,100,1
"C00638528","LOUISIANA LEGACY PAC",22390,0,0,1
"C00829424","TEAMSTERS 769 POLITICAL COMMITTEE FUND",22081.08,0,0,1
"C00870642","AMERICA FIRST PRIORITIES PAC",21910,21910,100,1
"C00454942","WILLIAMSON COUNTY REPUBLICAN PARTY FEDERAL PAC",21825.61,0,0,1
"C00563254","DEMOCRATIC JEWISH OUTREACH PA",21802,0,0,2
"C00877936","BLUE HORIZON ACTION",21378,0,0,1
"C00785568","SECURE ARIZONA'S FUTURE",21270,0,0,1
"C90019969","Garden State Forward",21058.44,0,0,1
"C00668517","Black Americans to Re-elect the President",20600,3032,14.7,2
"C00161786","FEDERAL: Colorado Democratic Party",20500,10000,48.8,3
"C90016973","Greenpeace, Inc.",20419.86,10896.48,53.4,11
"C00823468","America Upheld",20000,0,0,1
"C90022237","Blue Horizon",20000,0,0,1
"C00567396","Change Campaign Super PAC",20000,0,0,1
"C00836031","GREEN BERET POLITICAL ACTION COMMITTEE",20000,0,0,1
"C90022245","Reproductive Freedom for All",20000,20000,100,1
"C00772244","Upset the Setup",20000,5000,25,2
"C00872275","SOUTHERN ILLINOIS WORKING FAMILIES PAC",19640.38,19640.38,100,1
"C00874529","AMERICANS FOR PARENTAL RIGHTS",19000,19000,100,1
"C00879676","AMERICAN FREEDOM COALITION PAC",18500,0,0,1
"C90022880","Poderosx",18071.67,18071.67,100,1
"C00611202","FREEDOM FOR ALL PAC",18068.96,0,0,5
"C90022138","Better Leaders Stronger Future Inc.",18063.7,0,0,2
"C00379479","The Hawkeye PAC",17608.35,0,0,1
"C00871566","Moving Michigan Forward",17500,0,0,1
"C00813006","BETTER ACCESS TO CHIROPRACTIC PAC (CHIROPRACTIC FUTURE, LLC)",16500,0,0,1
"C90021866","New Rural Project",15570.69,0,0,1
"C00695981","House Conservatives PAC",15000,0,0,3
"C00866418","IMPACT 65",15000,0,0,1
"C00885145","INSPIRE COLORADO",14950,0,0,1
"C00821942","Pink is the new BLUE!",14930,0,0,1
"C00752154","WNY Democratic Unity Fund",14327,0,0,1
"C00654608","SPIRIT OF 1776",14319.97,0,0,1
"C00886846","POINT OF FRICTION",14049.33,14049.33,100,1
"C00886242","MUST WIN. CAN WIN.",14000,14000,100,1
"C00454751","5TH CONGRESSIONAL DISTRICT OF VIRGINIA REPUBLICAN COMMITTEE",13999.69,0,0,1
"C00880849","VIRGINIANS AGAINST SEXUAL ASSAULT PAC",13673.4,13673.4,100,1
"C00888792","PATRIOT LEADERSHIP FUND",13631.49,0,0,1
"C00853887","Energized For Change Federal PAC",13612,0,0,1
"C00880559","WORKING CLASS ACTION FUND",13400,13400,100,1
"C00525824","PEACE THROUGH STRENGTH PAC",13357.78,0,0,3
"C90020041","EQUALITY FLORIDA ACTION INC.",13130.32,0,0,1
"C90020322","OHIO WOMENS ALLIANCE ACTION FUND",12489.72,0,0,2
"C00854810","MARGIN OF VICTORY EMPOWERMENT FUND",12300,0,0,1
"C00888768","THE FIGHT FOR MICHIGAN 1 PAC",12000,0,0,1
"C90021841","Financial Services Stakeholder Action NFP d.b.a. Private Equity Stakeholder Action",11479,0,0,1
"C00856559","CONSERVATIVES FOR ACTION PAC",11183.78,4121.53,36.9,2
"C00799502","Daughters Defend Democracy PAC",11094.12,0,0,1
"C90011974","Citizen Action of Wisconsin",10994.36,0,0,3
"C90022831","Mia Bonta for Assembly 2024",10900,0,0,2
"C00346239","Arab American Political Action Committee",10750.3,8074.36,75.1,6
"C00864017","NEVADA FIRST",10750,0,0,1
"C00884023","AAPI Forward",10564.63,0,0,1
"C00212787","Democratic Party Of Hawaii",10084.5,0,0,3
"C00839977","HISPANIC LEADERSHIP PAC",10000.84,0,0,1
"C00832550","Action Nevada PAC",10000,0,0,1
"C90016577","MAKE THE ROAD ACTION INC.",10000,0,0,1
"C00743682","STRAIGHT TALK POLITICS PAC",10000,10000,100,1
"C00332296","Susan B. Anthony List. Inc. Candidate Fund (DBA Susan B. Anthony Pro-Life America Candidate Fund)",10000,5000,50,2
"C00792028","WAKE UP NEW YORK",10000,0,0,1
"C00832626","WOMEN FOR AMERICA'S FREEDOM",10000,0,0,2
"C00878728","Democracy Wins",9904.8,9904.8,100,1
"C00772194","DEFEND THE AMERICAN DREAM PAC",9598.55,0,0,1
"C00520122","PRO-LIFE PAC",9528.34,0,0,1
"C00628115","Missouri Right to Life Victory Fund",9392,0,0,1
"C00717710","Just Good Government PAC",9162.73,0,0,1
"C00866517","Go America PAC",9000,0,0,1
"C00882936","MAKING MISSOURI BETTER",9000,0,0,1
"C00570416","GATORPAC",8900,0,0,2
"C90022583","BillMari Inc",8801.96,0,0,1
"C00879601","TEXANS FIGHTING CORRUPTION FEDERAL PAC",8685.6,6949.44,80,2
"C00260331","NEW JERSEY RIGHT TO  LIFE COMMITTEE FEDERAL PAC",8351.8,0,0,5
"C00300921","",8234.85,0,0,1
"C00760132","NYIC Political Action Fund",8133,3970.5,48.8,9
"C00162818","International Brotherhood of Electrical Workers Local 98 Committee on Political Education",8122.35,0,0,2
"C00488494","NEW PROSPERITY FOUNDATION; THE",8000,8000,100,1
"C00654764","American Values First",7858.48,0,0,3
"C90022146","Seattle DSA",7832.99,7832.99,100,1
"C00816173","TENNESSEE IMMIGRANT AND REFUGEE RIGHTS COALITION VOTES ACTION PAC",7753,0,0,2
"C00797084","Guardian Super PAC",7600,0,0,1
"C00748582","REALLY AMERICAN PAC",7500,7500,100,1
"C00739755","WATERFOWL PAC - FEDERAL",7350,7350,100,1
