"sid","cid","side","amount"
"C00866269","H4CA20181","S",757075.97
"C00786830","H4WI03169","S",756299.36
"C00687103","H2AZ02360","S",756249.24
"C00693531","P40014011","S",755197.72
"C00075820","H4IA03172","O",753840.5
"C00885400","H4AK00156","S",751075
"C00448696","S4OH00192","S",749166.55
"C00620971","S2WI00219","S",747824.51
"C90018300","P00009423","S",747371
"C90018367","P00009423","S",742989.55
"C00761064","P00009423","S",739607.12
"C00687103","H0CA48198","S",735369.63
"C00606962","H8MO01143","S",731170.43
"C00738674","P80001571","O",728250
"C90022328","H4MO03239","S",726974.7
"C00836221","H4WV02205","S",726377
"C00836221","H4TX12065","S",725091.41
"C00490375","S6PA00217","S",714908.6
"C00839159","S4WV00332","S",714375.12
"C00486845","P80000722","S",710851.6
"C00831404","H2NC02287","S",707966.48
"C90022716","P00009423","S",707268.75
"C00488742","H2OR05209","S",706715.05
"C00855924","S4WV00324","O",706336.87
"C00824292","S4IN00196","S",705326.61
"C90022575","P80001571","O",704234.04
"C00486845","H6NY03247","S",702721.01
"C90022864","P80001571","O",700400
"C00486845","H4CA49149","O",700000
"C00609388","P80001571","O",694077.85
"C00874503","H4WI08119","O",693192.98
"C90022542","S6MT00162","S",692007.42
"C00687103","H2AK01083","S",687782.26
"C00530766","P80001571","S",687043.02
"C00872119","H0VA05160","O",685889.67
"C00490375","S4MI00470","S",683717.66
"C90011826","P00009423","S",682794.05
"C00514125","H4NC13140","O",678085.7
"C00486845","H4NY22085","S",677961.76
"C00486845","H2AZ02311","S",676312.37
"C00000935","H2CT05222","O",676179.27
"C00864363","H8PA15195","O",673916
"C00884817","P00009423","S",670978.81
"C00495028","H2CA13115","S",670902.35
"C00889931","P00009423","O",668558.9
"C00528554","H2CO08020","O",668153.04
"C00889931","P20003984","S",668142.57
"C00760124","S0TN00169","S",667500
"C00698936","H4MI08259","S",665690
"C00495028","H4MN02177","O",665251.17
"C90022310","P80001571","O",663679.06
"C00738039","P80001571","O",658000
"C00794396","H0AL01055","O",655285.54
"C00630665","H4MO01134","O",655005.14
"C00835967","H8AL02171","O",652620.73
"C00698936","H4SC01339","S",652288.9
"C00495028","H2CT05222","O",649601.94
