"id","kind","name","total","pct_against","degree","office","party","x","y"
"H4OH13153","candidate","COUGHLIN, KEVIN",10996160.77,93.2,3,"H","REPUBLICAN PARTY",421.8,373.2
"H4OR05304","candidate","BYNUM, JANELLE",6357196.95,37,2,"H","DEMOCRATIC PARTY",289.2,405
"H4PA08124","candidate","BRESNAHAN, ROB",14155665.19,94.7,2,"H","REPUBLICAN PARTY",342.7,422.7
"H4PA10104","candidate","STELSON, JANELLE",5099866.94,82.4,1,"H","DEMOCRATIC PARTY",478.6,179
"H4SC01339","candidate","TEMPLETON, CATHERINE",3492531.13,48,1,"H","REPUBLICAN PARTY",440.3,191.6
"H4TX23120","candidate","HERRERA, BRANDON",3884766.72,97.2,1,"H","REPUBLICAN PARTY",348.4,96.7
"H4WA06117","candidate","RANDALL, EMILY",2861122.88,0,1,"H","DEMOCRATIC PARTY",487.2,44.6
"H6NE02125","candidate","BACON, DON",12196216.8,70.9,2,"H","REPUBLICAN PARTY",449,524.7
"H6NY03247","candidate","SUOZZI, THOMAS",8149861.08,36.3,1,"H","DEMOCRATIC PARTY",501.9,498.8
"H6TX15162","candidate","GONZALEZ, VICENTE",2693846.07,50.4,1,"H","DEMOCRATIC PARTY",230.5,224
"H8CA10126","candidate","HARDER, JOSH",1460468.7,94.3,1,"H","DEMOCRATIC PARTY",203.1,245.4
"H8CA34266","candidate","GOMEZ, JIMMY",2387647.02,0,1,"H","DEMOCRATIC PARTY",378.4,112.1
"H8CA39240","candidate","KIM, YOUNG",2353381.02,0,1,"H","REPUBLICAN PARTY",317.1,308.5
"H8IA02043","candidate","MILLER-MEEKS, MARIANNETTE",10786427.13,78.1,2,"H","REPUBLICAN PARTY",299.6,464.9
"H8ME02185","candidate","GOLDEN, JARED",8080911.64,80.1,2,"H","DEMOCRATIC PARTY",354.7,235.3
"H8MO01143","candidate","BUSH, CORI",9985079.86,73.5,2,"H","DEMOCRATIC PARTY",406.4,233
"H8NM02156","candidate","HERRELL, STELLA",11159733.76,93.4,2,"H","REPUBLICAN PARTY",398.2,403
"H8NY19223","candidate","RYAN, PATRICK",2477377.55,2.9,1,"H","DEMOCRATIC PARTY",435.9,254.9
"H8NY22177","candidate","RILEY, JOSH",9156634.83,35.4,2,"H","DEMOCRATIC PARTY",322.4,387.2
"H8PA15195","candidate","MACKENZIE, RYAN",13623229.76,96,2,"H","REPUBLICAN PARTY",321,474.6
"H8PA15229","candidate","WILD, SUSAN",6251845.97,23.9,1,"H","DEMOCRATIC PARTY",266.2,225.2
"H8SC04250","candidate","TIMMONS, WILLIAM R",1938396.66,0,1,"H","REPUBLICAN PARTY",832.3,185.3
"H8VA10080","candidate","HELMER, DANIEL",4133673.16,0.3,1,"H","DEMOCRATIC PARTY",521.6,48.2
"P00009423","candidate","HARRIS, KAMALA",966596406.64,26.8,9,"P","DEMOCRATIC PARTY",556.3,184.6
"P40010977","candidate","HALEY, NIKKI",122189231.46,16.3,3,"P","REPUBLICAN PARTY",601.2,185
"P40011991","candidate","DESANTIS, RONALD",9208387.42,100,1,"P","REPUBLICAN PARTY",640.2,30.7
"P40013039","candidate","DESANTIS, RON",36471012.67,86.7,2,"P","REPUBLICAN PARTY",578.4,30
"P80000722","candidate","HARRIS, KAMALA",337422894.99,87.2,2,"P","DEMOCRATIC PARTY",668.1,160.2
"P80001571","candidate","TRUMP, DONALD",322163608.76,57.4,7,"P","REPUBLICAN PARTY",532.5,181.9
"P80005816","candidate","BIDEN, JOSEPH",8412381.71,100,1,"P","",666.5,216.4
"P80006665","candidate","TRUMP, DONALD",9023940.42,100,1,"P","",640.9,204.7
"S2NV00308","candidate","BROWN, SAM",58977528.13,79.2,3,"S","REPUBLICAN PARTY",596,219.7
"S2PA00661","candidate","MCCORMICK, DAVE",110875978.39,72.8,5,"S","REPUBLICAN PARTY",562.9,276
"S2TX00312","candidate","CRUZ, RAFAEL",11779427.76,23.6,2,"S","REPUBLICAN PARTY",739.1,299.6
"S2WI00219","candidate","BALDWIN, TAMMY",59914538.59,86.1,5,"S","DEMOCRATIC PARTY",543.5,260.9
"S2WI00268","candidate","HOVDE, ERIC",10928544.74,69.8,2,"S","REPUBLICAN PARTY",709.8,250.1
"S4AZ00139","candidate","GALLEGO, RUBEN",46362620.76,49.6,4,"S","DEMOCRATIC PARTY",543.2,215.3
"S4AZ00220","candidate","LAKE, KARI",32342167.07,93.5,2,"S","REPUBLICAN PARTY",587,311.6
"S4CA00522","candidate","PORTER, KATHERINE",10534813.01,95.3,1,"S","DEMOCRATIC PARTY",484,332.6
"S4IN00196","candidate","BANKS, JAMES E. HON.",4021248.2,0,1,"S","REPUBLICAN PARTY",867.4,219.6
"S4MD00319","candidate","TRONE, DAVID",2602227.88,99.2,1,"S","DEMOCRATIC PARTY",690.1,94.2
"S4MD00327","candidate","ALSOBROOKS, ANGELA",35207691.23,88.7,2,"S","DEMOCRATIC PARTY",717.4,331.5
"S4MD00483","candidate","HOGAN, LARRY",17519309.38,92.2,2,"S","REPUBLICAN PARTY",702.1,195.7
"S4MI00470","candidate","SLOTKIN, ELISSA",79233747.52,68.5,6,"S","DEMOCRATIC PARTY",560.1,234.9
"S4MI00595","candidate","ROGERS, MICHAEL",65158566.79,63,3,"S","REPUBLICAN PARTY",711.7,305.9
"S4MT00183","candidate","SHEEHY, TIM",84774892.5,77,5,"S","REPUBLICAN PARTY",644.7,369.5
"S4NE00207","candidate","OSBORN, DAN",22247078.42,39.8,1,"S","INDEPENDENT",682.9,400.3
"S4NV00288","candidate","BROWN, SAM",6454902.73,0,1,"S","",685.1,339.6
"S4OH00192","candidate","MORENO, BERNIE",153138089.91,56.1,4,"S","REPUBLICAN PARTY",710.8,278
"S4TX00722","candidate","ALLRED, COLIN",48730909.26,76.1,3,"S","DEMOCRATIC PARTY",594.8,338.4
"S4UT00217","candidate","STAGGS, TRENT",2809503.72,68.1,1,"S","REPUBLICAN PARTY",876.8,273.4
"S4UT00282","candidate","CURTIS, JOHN",9348899.31,1.4,1,"S","REPUBLICAN PARTY",815.6,338.1
"S4WI00256","candidate","HOVDE, ERIC",47417214.53,84.6,4,"S","REPUBLICAN PARTY",688.3,227.1
"S4WV00332","candidate","JUSTICE, JAMES CONLEY II",6124623.16,34.8,1,"S","REPUBLICAN PARTY",855.2,317.8
"S6MT00162","candidate","TESTER, R. JON",83585895.43,80.1,5,"S","DEMOCRATIC PARTY",655.6,386.4
"S6OH00163","candidate","BROWN, SHERROD",143746931.52,82.1,6,"S","DEMOCRATIC PARTY",562.1,320
"S6PA00217","candidate","CASEY, ROBERT",131841572.19,84.3,8,"S","DEMOCRATIC PARTY",558.9,298.9
"S8NV00156","candidate","ROSEN, JACKY",39023303.49,80.4,4,"S","DEMOCRATIC PARTY",543.2,334.4
