"from_2020","to_2024","weight"
"BERRIEN|WEST BERRIEN","BERRIEN|WEST BERRIEN",0.999999
"BIBB|EAST MACON 1","BIBB|EAST MACON 1",0.999708
"BIBB|EAST MACON 1","BIBB|EAST MACON 2",0.000185
"BIBB|EAST MACON 1","BIBB|EAST MACON 5",0.000107
"BIBB|EAST MACON 2","BIBB|EAST MACON 2",0.9997
"BIBB|EAST MACON 2","BIBB|EAST MACON 1",0.000184
"BIBB|EAST MACON 2","BIBB|EAST MACON 4",0.000115
"BIBB|EAST MACON 3","BIBB|EAST MACON 3",0.999979
"BIBB|EAST MACON 3","BIBB|EAST MACON 1",2.1e-05
"BIBB|EAST MACON 4","BIBB|EAST MACON 4",0.999921
"BIBB|EAST MACON 4","BIBB|EAST MACON 2",7.9e-05
"BIBB|EAST MACON 5","BIBB|EAST MACON 5",1
"BIBB|GODFREY 1","BIBB|GODFREY 1",0.999989
"BIBB|GODFREY 1","BIBB|GODFREY 2",9e-06
"BIBB|GODFREY 1","BIBB|VINEVILLE 1",2e-06
"BIBB|GODFREY 2","BIBB|GODFREY 2",0.999999
"BIBB|GODFREY 3","BIBB|GODFREY 3",0.997326
"BIBB|GODFREY 3","BIBB|HAZZARD 1",0.002674
"BIBB|GODFREY 4","BIBB|GODFREY 4",1
"BIBB|GODFREY 5","BIBB|GODFREY 5",0.999994
"BIBB|GODFREY 5","BIBB|GODFREY 3",5e-06
"BIBB|HAZZARD 1","BIBB|HAZZARD 1",0.997022
"BIBB|HAZZARD 1","BIBB|GODFREY 3",0.002397
"BIBB|HAZZARD 1","BIBB|GODFREY 5",0.000581
"BIBB|HAZZARD 2","BIBB|HAZZARD 2",0.999999
"BIBB|HAZZARD 3","BIBB|HAZZARD 3",0.999313
"BIBB|HAZZARD 3","BIBB|GODFREY 1",0.000612
"BIBB|HAZZARD 3","BIBB|VINEVILLE 4",7.5e-05
"BIBB|HAZZARD 4","BIBB|HAZZARD 4",0.967352
"BIBB|HAZZARD 4","MONROE|BURGAYS",0.027571
"BIBB|HAZZARD 4","MONROE|KELSEYS",0.005036
"BIBB|HAZZARD 4","BIBB|HOWARD 2",4.1e-05
"BIBB|HOWARD 1","BIBB|HOWARD 1",0.999864
"BIBB|HOWARD 1","BIBB|HAZZARD 4",0.000114
"BIBB|HOWARD 1","MONROE|BURGAYS",2.1e-05
"BIBB|HOWARD 2","BIBB|HOWARD 2",0.983512
"BIBB|HOWARD 2","BIBB|HOWARD 1",0.011604
