county,precinct,registered,ballots_cast,Joseph R. Biden,Donald J. Trump,Jo Jorgensen,total,dem_two_party_pct
Clayton,Lake City,3217,1715,1443,248,13,1704,85.33
Clayton,Lovejoy 1,4061,2643,2249,352,24,2625,86.47
Clayton,Lovejoy 2,3611,2065,1771,266,19,2056,86.94
Clayton,Lovejoy 3,1666,1283,1064,196,9,1269,84.44
Clayton,Lovejoy 4,4149,2714,2429,253,28,2710,90.57
Clayton,Lovejoy 5,3451,2002,1800,179,11,1990,90.96
Clayton,Lovejoy 6,3708,2362,2087,249,18,2354,89.34
Clayton,Lovejoy 7,2779,1471,1201,255,11,1467,82.49
Clayton,Morrow 1,3328,1703,1478,202,17,1697,87.98
Clayton,Morrow 10,2342,1446,1183,247,12,1442,82.73
Clayton,Morrow 11,2295,1364,1179,167,11,1357,87.59
Clayton,Morrow 2,2081,1286,789,468,10,1267,62.77
Clayton,Morrow 3,2407,1475,1064,390,15,1469,73.18
Clayton,Morrow 4,2112,1172,892,260,14,1166,77.43
Clayton,Morrow 5,3056,2184,1906,241,23,2170,88.78
Clayton,Morrow 6,3030,1952,1597,335,15,1947,82.66
Clayton,Morrow 7,2142,1168,928,218,16,1162,80.98
Clayton,Morrow 8,3185,2099,1888,173,24,2085,91.61
Clayton,Morrow 9,1509,875,718,139,13,870,83.78
Clayton,Oak 1,2635,1430,1332,76,14,1422,94.6
Clayton,Oak 2,1974,972,885,78,9,972,91.9
Clayton,Oak 3,2731,1456,1364,65,12,1441,95.45
Clayton,Oak 4,4233,2198,2031,137,16,2184,93.68
Clayton,Oak 5,1795,719,657,53,5,715,92.54
Clayton,Panhandle 1,2895,2075,1817,228,17,2062,88.85
Clayton,Panhandle 2,3382,2377,1852,490,19,2361,79.08
Clayton,Riverdale 1,2330,1581,1440,124,9,1573,92.07
Clayton,Riverdale 10,3176,1403,1321,59,14,1394,95.72
Clayton,Riverdale 11,1881,1193,1101,71,10,1182,93.94
Clayton,Riverdale 12,3065,1905,1694,175,21,1890,90.64
Clayton,Riverdale 2,3431,1927,1772,124,20,1916,93.46
Clayton,Riverdale 3,3650,2211,2033,145,19,2197,93.34
Clayton,Riverdale 4,4362,2316,2058,225,22,2305,90.14
Clayton,Riverdale 5,2970,1743,1552,163,16,1731,90.5
Clayton,Riverdale 6,3661,1623,1357,235,22,1614,85.24
Clayton,Riverdale 7,3020,1357,1122,213,17,1352,84.04
Clayton,Riverdale 8,2895,1944,1722,205,12,1939,89.36
Clayton,Riverdale 9,2653,1562,1355,194,7,1556,87.48
Clinch,Arabia,108,81,12,68,1,81,15.0
Clinch,Argyle,367,262,39,220,0,259,15.06
Clinch,Dupont,338,240,54,184,0,238,22.69
Clinch,Fargo,270,192,22,169,1,192,11.52
Clinch,Homerville,3262,2101,620,1464,10,2094,29.75
Cobb,Acworth 1A,5458,4030,2037,1919,48,4004,51.49
Cobb,Acworth 1B,5214,3700,1682,1941,55,3678,46.43
Cobb,Acworth 1C,5110,3497,2249,1183,59,3491,65.53
Cobb,Addison 01,2444,1968,990,930,36,1956,51.56
Cobb,Austell 1A,5329,3346,2683,638,17,3338,80.79
Cobb,Baker 01,4773,3385,1984,1319,65,3368,60.07
Cobb,Bells Ferry 02,3127,2328,1127,1127,51,2305,50.0
Cobb,Bells Ferry 03,2436,1696,871,768,42,1681,53.14
Cobb,Bells Ferry 04,3646,2710,1180,1446,67,2693,44.94
Cobb,Big Shanty 01,2385,1619,747,827,30,1604,47.46
Cobb,Big Shanty 02,3236,2509,1229,1231,38,2498,49.96
Cobb,Birney 01,2727,1830,1152,641,28,1821,64.25
Cobb,Birney 02,3894,2949,1970,929,27,2926,67.95
Cobb,Blackwell 01,2698,2077,1113,908,42,2063,55.07
Cobb,Bryant 01,2142,1494,1377,101,10,1488,93.17
Cobb,Bryant 02,6209,3110,2816,244,31,3091,92.03
Cobb,Chalker 01,6065,3907,2467,1349,67,3883,64.65
Cobb,Chattahoochee 01,5969,3960,2860,986,77,3923,74.36
Cobb,Cheatham Hill 02,3085,2534,1062,1408,45,2515,43.0
Cobb,Cheatham Hill 03,4029,3329,1645,1599,50,3294,50.71
Cobb,Chestnut Ridge 01,3162,2722,1215,1446,40,2701,45.66
Cobb,Clarkdale 01,1937,1264,764,478,16,1258,61.51
Cobb,Clarkdale 02,5372,3686,2596,1030,41,3667,71.59
Cobb,Cooper 01,5252,3352,2611,694,28,3333,79.0
Cobb,Davis 01,2093,1713,807,857,40,1704,48.5
Cobb,Dickerson 01,2828,2419,1149,1209,34,2392,48.73
Cobb,Dobbins 01,3024,1441,1043,366,26,1435,74.02
Cobb,Dobbins 02,3984,2465,1796,611,43,2450,74.62
Cobb,Dodgen 01,2100,1789,810,921,41,1772,46.79
Cobb,Dowell 01,3197,2530,1385,1071,54,2510,56.39
Cobb,Durham 01,4256,3533,1179,2283,53,3515,34.06
Cobb,East Piedmont 01,2627,1900,1077,782,27,1886,57.93
Cobb,Eastside 01,3040,2594,1200,1335,34,2569,47.34
Cobb,Eastside 02,4074,3401,1601,1698,73,3372,48.53
Cobb,Elizabeth 01,4065,2501,1721,722,38,2481,70.45
Cobb,Elizabeth 02,2434,1923,864,1022,26,1912,45.81
Cobb,Elizabeth 03,2767,2291,1014,1226,40,2280,45.27
Cobb,Elizabeth 04,3011,2088,1317,715,37,2069,64.81
Cobb,Elizabeth 05,2884,2321,1168,1103,32,2303,51.43
Cobb,Fair Oaks 02,5779,3560,2551,956,32,3539,72.74
Cobb,Fair Oaks 04,5322,2744,1825,856,38,2719,68.07
Cobb,Ford 01,3161,2584,866,1664,34,2564,34.23
Cobb,Frey 01,2582,2055,732,1287,26,2045,36.26
Cobb,Fullers Park 01,3452,2879,1374,1436,38,2848,48.9
Cobb,Garrison Mill 01,2872,2367,1105,1211,37,2353,47.71
Cobb,Gritters 01,4033,3033,1359,1578,73,3010,46.27
Cobb,Harmony-Leland 01,6394,4595,3817,705,44,4566,84.41
Cobb,Harrison 01,3122,2545,816,1665,47,2528,32.89
Cobb,Hayes 01,4111,3296,1216,2014,49,3279,37.65
Cobb,Hightower 01,4262,3600,1640,1858,78,3576,46.88
Cobb,Kell 01,2006,1592,690,853,44,1587,44.72
Cobb,Kemp 01,1960,1611,546,1023,28,1597,34.8
Cobb,Kemp 02,4049,3267,1429,1765,58,3252,44.74
Cobb,Kemp 03,3955,3273,1005,2187,55,3247,31.48
Cobb,Kennesaw 1A,2499,1679,876,750,42,1668,53.87
Cobb,Kennesaw 2A,3944,2768,1379,1329,44,2752,50.92
Cobb,Kennesaw 3A,6477,4331,2665,1554,86,4305,63.17
Cobb,Kennesaw 4A,3783,2717,1396,1251,52,2699,52.74
Cobb,Kennesaw 5A,5855,4532,2509,1936,63,4508,56.45
Cobb,Lassiter 01,3647,3021,1316,1613,68,2997,44.93
Cobb,Lindley 01,4797,3788,2942,769,58,3769,79.28
Cobb,Lost Mountain 01,3604,3035,1259,1711,40,3010,42.39
Cobb,Lost Mountain 02,4121,3597,1227,2305,48,3580,34.74
Cobb,Lost Mountain 03,5387,4408,1735,2588,67,4390,40.13
Cobb,Lost Mountain 04,2629,2150,794,1313,27,2134,37.68
Cobb,Mableton 01,5127,3622,2498,1045,51,3594,70.51
Cobb,Mableton 02,3330,1983,1416,534,19,1969,72.62
Cobb,Mableton 03,3010,2186,1247,890,30,2167,58.35
Cobb,Mableton 04,1581,1289,710,549,23,1282,56.39
Cobb,Mabry 01,1656,1412,538,833,26,1397,39.24
Cobb,Macland 01,4213,2984,2183,759,30,2972,74.2
Cobb,Marietta 1A,4468,2413,1624,706,57,2387,69.7
Cobb,Marietta 2A,2059,1756,755,943,39,1737,44.46
Cobb,Marietta 2B,4447,3146,1921,1145,57,3123,62.65
Cobb,Marietta 3A,4388,3272,1735,1455,55,3245,54.39
Cobb,Marietta 3B,2218,1379,1119,241,8,1368,82.28
Cobb,Marietta 4A,1956,1711,568,1080,39,1687,34.47
Cobb,Marietta 4B,2056,1565,831,683,35,1549,54.89
Cobb,Marietta 4C,2781,2297,950,1294,34,2278,42.34
Cobb,Marietta 5A,3324,2110,1479,589,34,2102,71.52
Cobb,Marietta 5B,3084,1669,1240,385,29,1654,76.31
Cobb,Marietta 6A,2647,1580,1184,374,17,1575,75.99
Cobb,Marietta 6B,2910,2325,1283,970,51,2304,56.95
Cobb,Marietta 7A,3745,1860,1461,359,32,1852,80.27
Cobb,Mars Hill 01,3633,2785,743,1983,47,2773,27.26
Cobb,Mars Hill 02,2916,2133,943,1119,59,2121,45.73
Cobb,McCleskey 01,1736,1459,609,810,28,1447,42.92
Cobb,McClure 01,3290,2640,991,1593,51,2635,38.35
Cobb,McEachern 01,3549,2720,1636,1053,18,2707,60.84
Cobb,Mt Bethel 01,4125,3488,1626,1760,64,3450,48.02
Cobb,Mt Bethel 03,3294,2701,1344,1299,38,2681,50.85
Cobb,Mt Bethel 04,2981,2468,1094,1305,42,2441,45.6
Cobb,Murdock 01,4059,3414,1598,1722,62,3382,48.13
Cobb,Nicholson 01,2455,1867,843,969,44,1856,46.52
Cobb,Nickajack 01,4889,3552,2706,781,43,3530,77.6
Cobb,North Cobb 01,2317,1704,864,796,34,1694,52.05
Cobb,Norton Park 01,4922,3225,1980,1142,75,3197,63.42
Cobb,Oakdale 01,3944,3091,1891,1130,43,3064,62.6
Cobb,Oregon 01,1614,1365,567,767,19,1353,42.5
Cobb,Oregon 02,5671,3880,2812,989,56,3857,73.98
Cobb,Oregon 03,5713,3210,2274,868,48,3190,72.37
Cobb,Oregon 04,4673,3269,2325,895,30,3250,72.2
Cobb,Oregon 05,3846,3111,1835,1217,38,3090,60.12
Cobb,Palmer 01,2760,2061,859,1138,57,2054,43.01
Cobb,Pebblebrook 01,5218,3361,2673,629,38,3340,80.95
Cobb,Pine Mountain 01,3491,2879,1041,1779,41,2861,36.91
Cobb,Pine Mountain 02,3127,2660,859,1750,29,2638,32.92
Cobb,Pitner 01,2814,2144,966,1111,51,2128,46.51
Cobb,Pope 01,3153,2596,1173,1349,53,2575,46.51
Cobb,Post Oak 01,3660,3030,1289,1680,47,3016,43.42
Cobb,Powders Springs 1A,4755,3657,2592,987,45,3624,72.42
Cobb,Powders Springs 2A,3536,2322,1806,463,36,2305,79.59
Cobb,Powders Springs 3A,3991,2750,1972,731,33,2736,72.96
Cobb,Powers Ferry 01,3504,2582,1287,1213,62,2562,51.48
Cobb,Riverside 01,2133,1137,997,119,14,1130,89.34
Cobb,Rocky Mount 01,3390,2742,1234,1441,46,2721,46.13
Cobb,Roswell 01,5374,4622,2141,2387,61,4589,47.28
Cobb,Roswell 02,3701,3147,1518,1545,54,3117,49.56
Cobb,Sandy Plains 01,2933,2383,1192,1117,53,2362,51.62
Cobb,Sewell Mill 01,3493,2872,1481,1334,36,2851,52.61
Cobb,Sewell Mill 03,4759,3198,1859,1249,58,3166,59.81
Cobb,Shallowford Falls 01,3387,2866,1294,1487,55,2836,46.53
Cobb,Simpson 01,1868,1529,756,738,22,1516,50.6
Cobb,Smyrna 1A,4152,2539,1931,554,37,2522,77.71
Cobb,Smyrna 2A,5539,3737,2791,849,67,3707,76.68
Cobb,Smyrna 3A,4573,3227,2208,925,63,3196,70.48
Cobb,Smyrna 3B,2496,1964,1166,750,38,1954,60.86
Cobb,Smyrna 4A,5842,4806,2815,1853,93,4761,60.3
Cobb,Smyrna 5A,4319,2894,2006,811,56,2873,71.21
Cobb,Smyrna 6A,5936,4647,2808,1706,95,4609,62.21
Cobb,Smyrna 7A,6378,5267,3785,1367,73,5225,73.47
Cobb,Sope Creek 01,2163,1855,835,970,37,1842,46.26
Cobb,Sope Creek 02,4729,3702,1963,1632,68,3663,54.6
Cobb,Sope Creek 03,2886,2335,1089,1213,21,2323,47.31
Cobb,Sweetwater 01,3235,2352,1439,867,40,2346,62.4
Cobb,Sweetwater 02,3367,2002,1517,444,28,1989,77.36
Cobb,Terrell Mill 01,5816,3604,2477,1030,62,3569,70.63
Cobb,Timber Ridge 01,2448,2091,1016,1025,34,2075,49.78
Cobb,Vaughan 01,3146,2579,877,1630,59,2566,34.98
Cobb,Vinings 01,3260,2362,1598,700,40,2338,69.54
Cobb,Vinings 02,6400,4506,2962,1441,74,4477,67.27
Cobb,Vinings 03,4407,3298,2236,1002,32,3270,69.05
Cobb,Vinings 04,3405,2692,1350,1296,29,2675,51.02
Cobb,Wade Green 02,4718,3559,1859,1605,70,3534,53.67
Cobb,Willeo 01,2836,2416,1079,1270,45,2394,45.93
Coffee,Ambrose,2053,1380,264,1104,6,1374,19.3
Coffee,Bridgetown,344,254,60,190,3,253,24.0
Coffee,Broxton,2398,1600,378,1200,11,1589,23.95
Coffee,Douglas,17243,10128,3485,6510,91,10086,34.87
Coffee,Nicholls,2115,1263,288,963,10,1261,23.02
Coffee,West Green,961,652,36,611,4,651,5.56
Colquitt,Autreyville,1512,957,202,746,8,956,21.31
Colquitt,Bridgecreek,1191,903,99,795,2,896,11.07
Colquitt,Crosland,289,189,51,137,0,188,27.13
Colquitt,Doerun,619,440,140,294,3,437,32.26
Colquitt,Funston,1030,732,107,613,10,730,14.86
Colquitt,Hamilton,784,571,55,512,4,571,9.7
Colquitt,Hartsfield,408,320,27,291,2,320,8.49
Colquitt,Hopewell,1670,1175,187,971,14,1172,16.15
Colquitt,Lee,1094,671,108,558,3,669,16.22
Colquitt,Millcreek,422,311,27,281,2,310,8.77
Colquitt,Monk,1555,1067,170,888,6,1064,16.07
Colquitt,Moultrie,4809,3013,1169,1799,28,2996,39.39
Colquitt,Murphy,973,778,96,676,6,778,12.44
Colquitt,Norman Park,2586,1616,372,1226,15,1613,23.28
Colquitt,Robinson,860,579,93,480,3,576,16.23
Colquitt,Shaw,3487,1600,1152,429,9,1590,72.87
Colquitt,Thigpen,251,176,17,159,0,176,9.66
Colquitt,Tyty,543,363,31,328,3,362,8.64
Colquitt,Warrior,971,680,84,594,1,679,12.39
Columbia,Abilene Baptist,2046,1448,464,963,17,1444,32.52
Columbia,Augusta Christian,2179,1640,605,1003,24,1632,37.62
Columbia,Belair Baptist Church,2440,1830,677,1109,36,1822,37.91
Columbia,Bessie Thomas Center,799,629,88,531,10,629,14.22
Columbia,Blanchard Park,2026,1421,596,796,19,1411,42.82
Columbia,Blue Ridge Elementary,2301,1680,618,1018,31,1667,37.78
Columbia,Christ Church Presbyterian,2081,1678,499,1138,28,1665,30.48
Columbia,Christ Sanctified,2521,1876,570,1268,31,1869,31.01
Columbia,Christ The King Luth Church,2148,1771,565,1186,15,1766,32.27
Columbia,Church of Our Savior,2310,1666,649,984,25,1658,39.74
Columbia,Col Cty Bd of Edu,2143,1661,570,1068,16,1654,34.8
Columbia,Col Cty Main Library,2106,1580,559,1003,14,1576,35.79
Columbia,Damascus Baptist Church,1023,828,99,720,5,824,12.09
Columbia,Eubank-Blanchard Center,1576,1236,277,947,11,1235,22.63
Columbia,G A Apostolic Church,1701,1233,471,737,21,1229,38.99
Columbia,Genesis Church,1830,1443,478,937,22,1437,33.78
Columbia,Gold Cross EMS,1889,1412,378,1007,19,1404,27.29
Columbia,Gospel Water Branch,2096,1697,654,1012,18,1684,39.26
Columbia,Grace Baptist Church,3558,2756,1171,1526,50,2747,43.42
Columbia,Greenbrier High,3369,2731,793,1871,46,2710,29.77
Columbia,Grove First Baptist Church,2954,1987,1163,782,35,1980,59.79
Columbia,Grovetown Methodist Church,2736,1688,1051,607,28,1686,63.39
Columbia,Grovetown Public Safety Station 2,3696,2522,1423,1021,63,2507,58.22
Columbia,Harlem Branch Library,2642,1902,460,1405,28,1893,24.66
Columbia,Harlem Senior Center,1819,1393,540,827,24,1391,39.5
Columbia,Journey Comm Church,1268,1069,238,808,15,1061,22.75
Columbia,Kiokee Baptist Church,2541,2107,295,1782,23,2100,14.2
Columbia,Lakeside Middle,1923,1384,512,825,35,1372,38.29
Columbia,Lewis Methodist Church,3737,2910,1116,1721,57,2894,39.34
Columbia,Liberty Park-Grovetown,3410,2260,1149,1064,39,2252,51.92
Columbia,Martinez Baptist,1962,1329,528,767,28,1323,40.77
Columbia,Marvin Methodist,1937,1396,532,832,27,1391,39.0
Columbia,Mtz Col Fire Hdqtr,1291,851,321,507,19,847,38.77
Columbia,New Life Church,4438,3225,1692,1433,85,3210,54.14
Columbia,Parkway Baptist Church,4596,3671,1269,2324,60,3653,35.32
Columbia,Patriots Park,4046,3075,1148,1834,71,3053,38.5
Columbia,Philadelphia Church,2355,1735,739,935,55,1729,44.15
Columbia,Riverview Church,1320,1084,378,683,17,1078,35.63
Columbia,Savannah Rapids Pavilion,1549,1400,380,998,12,1390,27.58
Columbia,Second Mt Carmel Baptist Church,731,560,284,268,4,556,51.45
Columbia,Second Mt Moriah Baptist Church,1027,801,159,623,17,799,20.33
Columbia,Stevens Creek Church,2760,2323,736,1543,25,2304,32.29
Columbia,Trinity Baptist Church,2836,2093,573,1483,28,2084,27.87
Columbia,Wesley Methodist,2434,1921,578,1304,29,1911,30.71
Columbia,West Acres Baptist,2424,1832,570,1232,20,1822,31.63
Columbia,Westside Baptist Church,1516,1221,346,855,17,1218,28.81
Columbia,Woodlawn Baptist Church,1290,1018,275,726,11,1012,27.47
Cook,Cecil,1899,1175,514,637,15,1166,44.66
Cook,Delle Beamguard,2446,1678,404,1249,19,1672,24.44
Cook,Elm Pine,531,282,260,17,5,282,93.86
Cook,Lenox,1275,893,180,702,8,890,20.41
Cook,Massee,919,645,119,521,5,645,18.59
Cook,New Life Baptist Church,1233,888,113,761,11,885,12.93
Cook,Riverbend,1280,935,127,799,7,933,13.71
Cook,Sparks,1049,562,342,214,6,562,61.51
Coweta,Cannongate,3653,2955,689,2188,58,2935,23.95
Coweta,Cedar Creek,5330,4353,1025,3258,51,4334,23.93
Coweta,Central,4395,2485,1559,868,44,2471,64.24
Coweta,Coweta Central Library,1723,1390,327,1038,17,1382,23.96
Coweta,Dresden,839,643,119,513,8,640,18.83
Coweta,Expo Center,1974,1545,478,1028,26,1532,31.74
Coweta,Fischer Road,4328,3446,951,2423,46,3420,28.19
Coweta,Grantville,2572,1776,524,1219,25,1768,30.06
Coweta,Greentop,2846,2061,795,1227,29,2051,39.32
Coweta,Haralson,2339,1814,322,1465,26,1813,18.02
Coweta,Madras,4462,3575,1225,2282,53,3560,34.93
Coweta,Moreland,2758,2216,420,1768,21,2209,19.2
Coweta,Newnan,3478,2205,1317,846,25,2188,60.89
Coweta,Newnan Centre,20465,15209,6428,8479,227,15134,43.12
Coweta,Northside,2285,1772,602,1119,34,1755,34.98
Coweta,Panther Creek,3028,2189,516,1644,25,2185,23.89
Coweta,Pine Road,2095,1559,263,1276,16,1555,17.09
Coweta,Raymond,2492,1941,394,1524,15,1933,20.54
Coweta,Senoia,5838,4686,1183,3423,62,4668,25.68
Coweta,Sharpsburg,4526,3580,713,2795,52,3560,20.32
Coweta,Smokey Road,2559,1744,769,949,20,1738,44.76
Coweta,Thomas Crossroads,4962,3915,904,2945,49,3898,23.49
Coweta,Turin,4477,3648,764,2807,50,3621,21.39
Coweta,Welcome,3212,2378,494,1849,32,2375,21.08
Coweta,Westside,838,543,343,189,7,539,64.47
Coweta,White Oak,4636,3554,1086,2379,70,3535,31.34
Crawford,District 1A,516,332,138,190,2,330,42.07
Crawford,District 1B,1025,727,411,308,3,722,57.16
Crawford,District 2,1659,1244,535,691,14,1240,43.64
Crawford,District 3,1738,1249,184,1043,16,1243,15.0
Crawford,District 4,1805,1303,161,1125,11,1297,12.52
Crawford,District 5,1769,1273,186,1071,13,1270,14.8
Crisp,Arabi,785,573,112,459,1,572,19.61
Crisp,Coney,859,718,88,624,3,715,12.36
Crisp,Cordele,8897,5223,2649,2488,56,5193,51.57
Crisp,Jamestown,1196,949,108,832,3,943,11.49
Crisp,Listonia,817,616,29,584,3,616,4.73
Dade,Davis,2012,1344,108,1216,15,1339,8.16
Dade,New Home,711,481,60,414,6,480,12.66
Dade,New Salem,1255,942,198,729,11,938,21.36
Dade,North Dade,1903,1254,283,946,18,1247,23.03
Dade,South Dade,969,665,121,533,8,662,18.5
Dade,Trenton,3573,1935,300,1599,29,1928,15.8
Dade,West Brow,1237,858,191,629,20,840,23.29
Dawson,Central,9891,7158,849,6203,80,7132,12.04
Dawson,East,8915,6812,1133,5561,93,6787,16.93
Dawson,West,2723,2176,504,1634,24,2162,23.57
DeKalb,Allgood Elem,2858,1948,1718,201,12,1931,89.53
DeKalb,Ashford Dunwoody Rd,2966,2520,1469,987,37,2493,59.81
DeKalb,Ashford Park Elem,2432,2024,1075,890,39,2004,54.71
DeKalb,Ashford Parkside,3664,2826,1715,1048,33,2796,62.07
DeKalb,Austin,2538,2230,1077,1104,31,2212,49.38
DeKalb,Austin Drive,2536,1411,1280,97,21,1398,92.96
DeKalb,Avondale,2906,2562,1970,538,41,2549,78.55
DeKalb,Avondale High,3151,2523,2197,278,37,2512,88.77
DeKalb,Bethune Middle,4838,2870,2698,138,17,2853,95.13
DeKalb,Bouldercrest Road,2004,1362,1289,57,8,1354,95.77
DeKalb,Boulevard,4675,3657,3341,256,44,3641,92.88
DeKalb,Briar Vista Elem,2965,2274,1784,447,33,2264,79.96
DeKalb,Briarcliff,3122,2377,1573,745,30,2348,67.86
DeKalb,Briarlake Elem,1752,1507,994,476,24,1494,67.62
DeKalb,Briarwood,2428,1820,1160,615,30,1805,65.35
DeKalb,Brockett,2681,1966,1361,565,30,1956,70.66
DeKalb,Brockett Elem,2752,1984,1387,549,28,1964,71.64
DeKalb,Brookhaven,3444,2814,1631,1112,50,2793,59.46
DeKalb,Browns Mill Elem,3829,2797,2660,107,17,2784,96.13
DeKalb,Burgess Elem,3493,2653,2432,180,24,2636,93.11
DeKalb,Canby Lane Elem,2004,1279,1191,64,14,1269,94.9
DeKalb,Candler,3537,2017,1845,136,21,2002,93.13
DeKalb,Candler Park,4018,3483,3123,300,39,3462,91.24
DeKalb,Candler-Murphey Candler Elem,3712,2531,2320,181,17,2518,92.76
DeKalb,Cedar Grove Elem,4097,2678,2532,96,34,2662,96.35
DeKalb,Cedar Grove Middle,1896,948,884,51,5,940,94.55
DeKalb,Cedar Grove South,3962,2739,2586,105,29,2720,96.1
DeKalb,Chamblee,2231,1665,1124,495,33,1652,69.43
DeKalb,Chamblee 2,3137,2542,1652,831,37,2520,66.53
DeKalb,Chapel Hill Elem,3349,2281,2161,79,20,2260,96.47
DeKalb,Chesnut Elem,2363,1708,1262,420,16,1698,75.03
DeKalb,Clairemont East,3226,2753,2370,332,36,2738,87.71
DeKalb,Clairemont West,3264,2816,2404,363,28,2795,86.88
DeKalb,Clairmont Road,3223,2403,1918,455,20,2393,80.83
DeKalb,Clarkston,3878,1993,1750,195,25,1970,89.97
DeKalb,Clarkston Community Center,2495,1443,1202,213,15,1430,84.95
DeKalb,Clifton,1731,1059,1000,48,7,1055,95.42
DeKalb,Coan Recreation Center,4230,2996,2680,236,47,2963,91.91
DeKalb,Columbia Drive,2526,1362,1280,61,10,1351,95.45
DeKalb,Columbia Elem,1794,773,730,28,7,765,96.31
DeKalb,Columbia Middle,2178,1169,1102,57,5,1164,95.08
DeKalb,Coralwood,3153,2719,1961,699,39,2699,73.72
DeKalb,Covington,2376,1336,1157,143,25,1325,89.0
DeKalb,Covington Hwy,995,238,220,12,4,236,94.83
DeKalb,Cross Keys High,2260,1633,1107,479,41,1627,69.8
DeKalb,Crossroads,2898,1857,1738,91,17,1846,95.02
DeKalb,Decatur,1937,1639,1480,137,12,1629,91.53
DeKalb,Doraville North,3065,1908,1398,473,25,1896,74.72
DeKalb,Doraville South,1255,847,589,240,12,841,71.05
DeKalb,Dresden Elem,5141,3403,2466,866,50,3382,74.01
DeKalb,Druid Hills High,2725,1749,1431,285,18,1734,83.39
DeKalb,Dunaire Elem,2268,1416,1215,178,11,1404,87.22
DeKalb,Dunwoody,3003,2248,1497,705,31,2233,67.98
DeKalb,Dunwoody 2,2044,1777,936,794,27,1757,54.1
DeKalb,Dunwoody Library,2570,2248,1129,1071,26,2226,51.32
DeKalb,East Lake,4139,3024,2679,260,54,2993,91.15
DeKalb,Embry Hills,1721,1389,917,434,26,1377,67.88
DeKalb,Emory Road,2290,1364,1206,148,5,1359,89.07
DeKalb,Emory South,3241,2525,2031,436,42,2509,82.33
DeKalb,Evansdale Elem,3441,2546,1723,759,40,2522,69.42
DeKalb,Fairington Elem,5455,2834,2692,103,20,2815,96.31
DeKalb,Fernbank Elem,2125,1896,1523,340,26,1889,81.75
DeKalb,Flakes Mill Fire Station,2103,1385,1292,71,11,1374,94.79
DeKalb,Flat Rock Elem,3142,2225,2098,95,15,2208,95.67
DeKalb,Flat Shoals,2649,1375,1300,56,8,1364,95.87
DeKalb,Flat Shoals Elem,2409,1335,1276,45,9,1330,96.59
DeKalb,Flat Shoals Library,2788,1469,1391,55,16,1462,96.2
DeKalb,Flat Shoals Parkway,3449,2394,2283,77,20,2380,96.74
DeKalb,Freedom Middle,3227,1901,1683,193,13,1889,89.71
DeKalb,Georgetown Sq,4155,2898,1939,893,45,2877,68.47
DeKalb,Glenhaven,1880,1147,999,123,12,1134,89.04
DeKalb,Glennwood,2715,2032,1764,227,28,2019,88.6
DeKalb,Glenwood Road,2293,1245,1122,101,14,1237,91.74
DeKalb,Gresham Road,3601,2335,2181,115,28,2324,94.99
DeKalb,Hambrick Elem,3776,2358,1947,374,22,2343,83.89
DeKalb,Harris-Margaret Harris ED,1462,1084,896,168,15,1079,84.21
DeKalb,Harris-Narvie J Harris Elem,4031,2676,2537,91,26,2654,96.54
DeKalb,Hawthorne Elem,3884,2714,2034,624,40,2698,76.52
DeKalb,Henderson Mill,3104,2409,1671,687,41,2399,70.87
DeKalb,Hugh Howell,1773,1460,910,516,27,1453,63.81
DeKalb,Huntley Hills Elem,3508,2483,1819,595,49,2463,75.35
DeKalb,Idlewood Elem,2472,1668,1307,332,13,1652,79.74
DeKalb,Indian Creek,2318,1255,1005,215,21,1241,82.38
DeKalb,Johnson Estates,1600,1416,1122,269,22,1413,80.66
DeKalb,Jolly Elem,3679,2216,1753,427,22,2202,80.41
DeKalb,Kelley Chapel Road,1337,954,897,41,5,943,95.63
DeKalb,Kelley Lake Elem,3015,1737,1627,78,17,1722,95.43
DeKalb,Kingsley Elem,2490,2155,1043,1067,26,2136,49.43
DeKalb,Kittredge Elem,2161,1857,1079,734,32,1845,59.51
DeKalb,Knollwood,2546,1520,1387,105,15,1507,92.96
DeKalb,Lakeside High,3216,2656,1765,819,49,2633,68.3
DeKalb,Lavista,3223,2183,1626,514,26,2166,75.98
DeKalb,Lavista Road,2223,1753,1275,432,22,1729,74.69
DeKalb,Lin-Mary Lin Elem,3009,2461,2100,310,33,2443,87.14
DeKalb,Lithonia,1730,924,828,74,15,917,91.8
DeKalb,Lithonia High,3610,2073,1955,80,25,2060,96.07
DeKalb,Livsey Elem,1350,1139,719,391,16,1126,64.77
DeKalb,Marbut Elem,4234,2495,2377,81,21,2479,96.7
DeKalb,Mathis-Bob Mathis Elem,2789,1975,1852,90,11,1953,95.37
DeKalb,McLendon,3607,2516,2025,423,43,2491,82.72
DeKalb,McNair,2794,1743,1623,80,20,1723,95.3
DeKalb,McNair Academy,1900,1290,1213,53,14,1280,95.81
DeKalb,McNair High,4160,2882,2667,163,34,2864,94.24
DeKalb,McWilliams,2517,1755,1673,63,14,1750,96.37
DeKalb,Meadowview,3511,2101,1959,102,22,2083,95.05
DeKalb,Medlock,2208,1816,1471,308,26,1805,82.69
DeKalb,Memorial South,3138,1517,1346,150,10,1506,89.97
DeKalb,Metropolitan,3405,2526,2304,161,43,2508,93.47
DeKalb,Midvale Elem,2747,2350,1333,963,31,2327,58.06
DeKalb,Midvale Road,1832,1300,1060,210,16,1286,83.46
