county,precinct,contest,candidate,party,method,votes
Emanuel,Garfield,President of the US,Jill Stein,OTH,Election Day,0
Emanuel,Garfield,President of the US,Jill Stein,OTH,Absentee by Mail,0
Emanuel,Garfield,President of the US,Jill Stein,OTH,Provisional,0
Emanuel,Garfield,President of the US,Jill Stein,OTH,Advanced Voting,0
Emanuel,Nunez,President of the US,Jill Stein,OTH,Election Day,0
Emanuel,Nunez,President of the US,Jill Stein,OTH,Absentee by Mail,0
Emanuel,Nunez,President of the US,Jill Stein,OTH,Provisional,0
Emanuel,Nunez,President of the US,Jill Stein,OTH,Advanced Voting,0
Emanuel,Oak Park,President of the US,Jill Stein,OTH,(not reported),0
Emanuel,Stillmore,President of the US,Jill Stein,OTH,(not reported),0
Emanuel,Summertown,President of the US,Jill Stein,OTH,Election Day,0
Emanuel,Summertown,President of the US,Jill Stein,OTH,Absentee by Mail,0
Emanuel,Summertown,President of the US,Jill Stein,OTH,Provisional,0
Emanuel,Summertown,President of the US,Jill Stein,OTH,Advanced Voting,0
Emanuel,Swainsboro,President of the US,Jill Stein,OTH,Election Day,1
Emanuel,Swainsboro,President of the US,Jill Stein,OTH,Absentee by Mail,0
Emanuel,Swainsboro,President of the US,Jill Stein,OTH,Provisional,0
Emanuel,Swainsboro,President of the US,Jill Stein,OTH,Advanced Voting,2
Emanuel,Twin City,President of the US,Jill Stein,OTH,(not reported),1
Douglas,Golden Methodist Church,President of the US,Donald J. Trump,REP,Election Day,141
Douglas,Golden Methodist Church,President of the US,Donald J. Trump,REP,Absentee by Mail,16
Douglas,Golden Methodist Church,President of the US,Donald J. Trump,REP,Provisional,0
Douglas,Golden Methodist Church,President of the US,Donald J. Trump,REP,Advanced Voting,324
Douglas,Old Courthouse,President of the US,Donald J. Trump,REP,(not reported),943
Douglas,Beulah Baptist Church,President of the US,Donald J. Trump,REP,(not reported),1017
Douglas,Stewart,President of the US,Donald J. Trump,REP,Election Day,89
Douglas,Stewart,President of the US,Donald J. Trump,REP,Absentee by Mail,5
Douglas,Stewart,President of the US,Donald J. Trump,REP,Provisional,0
Douglas,Stewart,President of the US,Donald J. Trump,REP,Advanced Voting,205
Douglas,Arbor Station,President of the US,Donald J. Trump,REP,Election Day,146
Douglas,Arbor Station,President of the US,Donald J. Trump,REP,Absentee by Mail,19
Douglas,Arbor Station,President of the US,Donald J. Trump,REP,Provisional,0
Douglas,Arbor Station,President of the US,Donald J. Trump,REP,Advanced Voting,349
Douglas,Elizabeth Baptist Church,President of the US,Donald J. Trump,REP,Election Day,219
Douglas,Elizabeth Baptist Church,President of the US,Donald J. Trump,REP,Absentee by Mail,30
Douglas,Elizabeth Baptist Church,President of the US,Donald J. Trump,REP,Provisional,0
Douglas,Elizabeth Baptist Church,President of the US,Donald J. Trump,REP,Advanced Voting,657
Douglas,Dorsett Shoals,President of the US,Donald J. Trump,REP,Election Day,280
Douglas,Dorsett Shoals,President of the US,Donald J. Trump,REP,Absentee by Mail,41
Douglas,Dorsett Shoals,President of the US,Donald J. Trump,REP,Provisional,2
Douglas,Dorsett Shoals,President of the US,Donald J. Trump,REP,Advanced Voting,843
Douglas,Chapel Hill Middle School,President of the US,Donald J. Trump,REP,(not reported),673
Douglas,Chapel Hill High School,President of the US,Donald J. Trump,REP,(not reported),1246
Douglas,Chestnut Log,President of the US,Donald J. Trump,REP,(not reported),661
Douglas,St Julians Episcopal,President of the US,Donald J. Trump,REP,(not reported),613
Douglas,Lutheran Church,President of the US,Donald J. Trump,REP,Election Day,190
Douglas,Lutheran Church,President of the US,Donald J. Trump,REP,Absentee by Mail,25
Douglas,Lutheran Church,President of the US,Donald J. Trump,REP,Provisional,0
Douglas,Lutheran Church,President of the US,Donald J. Trump,REP,Advanced Voting,662
Douglas,St. Theresa's,President of the US,Donald J. Trump,REP,(not reported),613
Douglas,Factory Shoals Middle School,President of the US,Donald J. Trump,REP,(not reported),768
Douglas,Boundary Waters,President of the US,Donald J. Trump,REP,(not reported),450
Douglas,Mirror Lake Elementary,President of the US,Donald J. Trump,REP,(not reported),1997
Douglas,Winston Elementary School,President of the US,Donald J. Trump,REP,Election Day,143
Douglas,Winston Elementary School,President of the US,Donald J. Trump,REP,Absentee by Mail,19
Douglas,Winston Elementary School,President of the US,Donald J. Trump,REP,Provisional,0
Douglas,Winston Elementary School,President of the US,Donald J. Trump,REP,Advanced Voting,372
Douglas,Dog River Library,President of the US,Donald J. Trump,REP,(not reported),2772
Douglas,Atlanta West,President of the US,Donald J. Trump,REP,(not reported),283
Douglas,Ephesus Baptist Church,President of the US,Donald J. Trump,REP,(not reported),2216
Douglas,Prays Mill,President of the US,Donald J. Trump,REP,(not reported),2007
Douglas,Turner Middle School,President of the US,Donald J. Trump,REP,(not reported),974
Douglas,First Baptist Lithia Springs,President of the US,Donald J. Trump,REP,(not reported),554
Douglas,Lithia Springs High School,President of the US,Donald J. Trump,REP,(not reported),718
Douglas,Deer Lick Park,President of the US,Donald J. Trump,REP,Election Day,157
Douglas,Deer Lick Park,President of the US,Donald J. Trump,REP,Absentee by Mail,19
Douglas,Deer Lick Park,President of the US,Donald J. Trump,REP,Provisional,0
Douglas,Deer Lick Park,President of the US,Donald J. Trump,REP,Advanced Voting,538
Douglas,Golden Methodist Church,President of the US,Kamala D. Harris,DEM,Election Day,731
Douglas,Golden Methodist Church,President of the US,Kamala D. Harris,DEM,Absentee by Mail,124
Douglas,Golden Methodist Church,President of the US,Kamala D. Harris,DEM,Provisional,0
Douglas,Golden Methodist Church,President of the US,Kamala D. Harris,DEM,Advanced Voting,2214
Douglas,Old Courthouse,President of the US,Kamala D. Harris,DEM,(not reported),2228
Douglas,Beulah Baptist Church,President of the US,Kamala D. Harris,DEM,(not reported),1299
Douglas,Stewart,President of the US,Kamala D. Harris,DEM,Election Day,412
Douglas,Stewart,President of the US,Kamala D. Harris,DEM,Absentee by Mail,83
Douglas,Stewart,President of the US,Kamala D. Harris,DEM,Provisional,0
Douglas,Stewart,President of the US,Kamala D. Harris,DEM,Advanced Voting,1159
Douglas,Arbor Station,President of the US,Kamala D. Harris,DEM,Election Day,394
Douglas,Arbor Station,President of the US,Kamala D. Harris,DEM,Absentee by Mail,83
Douglas,Arbor Station,President of the US,Kamala D. Harris,DEM,Provisional,0
Douglas,Arbor Station,President of the US,Kamala D. Harris,DEM,Advanced Voting,899
Douglas,Elizabeth Baptist Church,President of the US,Kamala D. Harris,DEM,Election Day,205
Douglas,Elizabeth Baptist Church,President of the US,Kamala D. Harris,DEM,Absentee by Mail,48
Douglas,Elizabeth Baptist Church,President of the US,Kamala D. Harris,DEM,Provisional,0
Douglas,Elizabeth Baptist Church,President of the US,Kamala D. Harris,DEM,Advanced Voting,586
Douglas,Dorsett Shoals,President of the US,Kamala D. Harris,DEM,Election Day,290
Douglas,Dorsett Shoals,President of the US,Kamala D. Harris,DEM,Absentee by Mail,79
Douglas,Dorsett Shoals,President of the US,Kamala D. Harris,DEM,Provisional,3
Douglas,Dorsett Shoals,President of the US,Kamala D. Harris,DEM,Advanced Voting,853
Douglas,Chapel Hill Middle School,President of the US,Kamala D. Harris,DEM,(not reported),2208
Douglas,Chapel Hill High School,President of the US,Kamala D. Harris,DEM,(not reported),3373
Douglas,Chestnut Log,President of the US,Kamala D. Harris,DEM,(not reported),2186
Douglas,St Julians Episcopal,President of the US,Kamala D. Harris,DEM,(not reported),884
Douglas,Lutheran Church,President of the US,Kamala D. Harris,DEM,Election Day,382
Douglas,Lutheran Church,President of the US,Kamala D. Harris,DEM,Absentee by Mail,145
Douglas,Lutheran Church,President of the US,Kamala D. Harris,DEM,Provisional,0
Douglas,Lutheran Church,President of the US,Kamala D. Harris,DEM,Advanced Voting,1680
Douglas,St. Theresa's,President of the US,Kamala D. Harris,DEM,(not reported),1239
Douglas,Factory Shoals Middle School,President of the US,Kamala D. Harris,DEM,(not reported),2906
Douglas,Boundary Waters,President of the US,Kamala D. Harris,DEM,(not reported),2602
Douglas,Mirror Lake Elementary,President of the US,Kamala D. Harris,DEM,(not reported),2897
Douglas,Winston Elementary School,President of the US,Kamala D. Harris,DEM,Election Day,203
Douglas,Winston Elementary School,President of the US,Kamala D. Harris,DEM,Absentee by Mail,33
Douglas,Winston Elementary School,President of the US,Kamala D. Harris,DEM,Provisional,0
Douglas,Winston Elementary School,President of the US,Kamala D. Harris,DEM,Advanced Voting,488
Douglas,Dog River Library,President of the US,Kamala D. Harris,DEM,(not reported),1555
Douglas,Atlanta West,President of the US,Kamala D. Harris,DEM,(not reported),1736
Douglas,Ephesus Baptist Church,President of the US,Kamala D. Harris,DEM,(not reported),962
Douglas,Prays Mill,President of the US,Kamala D. Harris,DEM,(not reported),2062
Douglas,Turner Middle School,President of the US,Kamala D. Harris,DEM,(not reported),1509
Douglas,First Baptist Lithia Springs,President of the US,Kamala D. Harris,DEM,(not reported),721
Douglas,Lithia Springs High School,President of the US,Kamala D. Harris,DEM,(not reported),3638
Douglas,Deer Lick Park,President of the US,Kamala D. Harris,DEM,Election Day,232
Douglas,Deer Lick Park,President of the US,Kamala D. Harris,DEM,Absentee by Mail,60
Douglas,Deer Lick Park,President of the US,Kamala D. Harris,DEM,Provisional,0
Douglas,Deer Lick Park,President of the US,Kamala D. Harris,DEM,Advanced Voting,849
Douglas,Golden Methodist Church,President of the US,Chase Oliver,OTH,Election Day,5
Douglas,Golden Methodist Church,President of the US,Chase Oliver,OTH,Absentee by Mail,1
Douglas,Golden Methodist Church,President of the US,Chase Oliver,OTH,Provisional,0
Douglas,Golden Methodist Church,President of the US,Chase Oliver,OTH,Advanced Voting,1
Douglas,Old Courthouse,President of the US,Chase Oliver,OTH,(not reported),13
Douglas,Beulah Baptist Church,President of the US,Chase Oliver,OTH,(not reported),14
Douglas,Stewart,President of the US,Chase Oliver,OTH,Election Day,3
Douglas,Stewart,President of the US,Chase Oliver,OTH,Absentee by Mail,1
Douglas,Stewart,President of the US,Chase Oliver,OTH,Provisional,0
Douglas,Stewart,President of the US,Chase Oliver,OTH,Advanced Voting,5
Douglas,Arbor Station,President of the US,Chase Oliver,OTH,Election Day,2
Douglas,Arbor Station,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Douglas,Arbor Station,President of the US,Chase Oliver,OTH,Provisional,0
Douglas,Arbor Station,President of the US,Chase Oliver,OTH,Advanced Voting,5
Douglas,Elizabeth Baptist Church,President of the US,Chase Oliver,OTH,Election Day,1
Douglas,Elizabeth Baptist Church,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Douglas,Elizabeth Baptist Church,President of the US,Chase Oliver,OTH,Provisional,0
Douglas,Elizabeth Baptist Church,President of the US,Chase Oliver,OTH,Advanced Voting,4
Douglas,Dorsett Shoals,President of the US,Chase Oliver,OTH,Election Day,7
Douglas,Dorsett Shoals,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Douglas,Dorsett Shoals,President of the US,Chase Oliver,OTH,Provisional,0
Douglas,Dorsett Shoals,President of the US,Chase Oliver,OTH,Advanced Voting,3
Douglas,Chapel Hill Middle School,President of the US,Chase Oliver,OTH,(not reported),10
Douglas,Chapel Hill High School,President of the US,Chase Oliver,OTH,(not reported),11
Douglas,Chestnut Log,President of the US,Chase Oliver,OTH,(not reported),9
Douglas,St Julians Episcopal,President of the US,Chase Oliver,OTH,(not reported),5
Douglas,Lutheran Church,President of the US,Chase Oliver,OTH,Election Day,4
Douglas,Lutheran Church,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Douglas,Lutheran Church,President of the US,Chase Oliver,OTH,Provisional,0
Douglas,Lutheran Church,President of the US,Chase Oliver,OTH,Advanced Voting,4
Douglas,St. Theresa's,President of the US,Chase Oliver,OTH,(not reported),4
Douglas,Factory Shoals Middle School,President of the US,Chase Oliver,OTH,(not reported),16
Douglas,Boundary Waters,President of the US,Chase Oliver,OTH,(not reported),7
Douglas,Mirror Lake Elementary,President of the US,Chase Oliver,OTH,(not reported),15
Douglas,Winston Elementary School,President of the US,Chase Oliver,OTH,Election Day,1
Douglas,Winston Elementary School,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Douglas,Winston Elementary School,President of the US,Chase Oliver,OTH,Provisional,0
Douglas,Winston Elementary School,President of the US,Chase Oliver,OTH,Advanced Voting,2
Douglas,Dog River Library,President of the US,Chase Oliver,OTH,(not reported),13
Douglas,Atlanta West,President of the US,Chase Oliver,OTH,(not reported),6
Douglas,Ephesus Baptist Church,President of the US,Chase Oliver,OTH,(not reported),15
Douglas,Prays Mill,President of the US,Chase Oliver,OTH,(not reported),10
Douglas,Turner Middle School,President of the US,Chase Oliver,OTH,(not reported),11
Douglas,First Baptist Lithia Springs,President of the US,Chase Oliver,OTH,(not reported),5
Douglas,Lithia Springs High School,President of the US,Chase Oliver,OTH,(not reported),16
Douglas,Deer Lick Park,President of the US,Chase Oliver,OTH,Election Day,3
Douglas,Deer Lick Park,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Douglas,Deer Lick Park,President of the US,Chase Oliver,OTH,Provisional,0
Douglas,Deer Lick Park,President of the US,Chase Oliver,OTH,Advanced Voting,1
Douglas,Golden Methodist Church,President of the US,Jill Stein,OTH,Election Day,2
Douglas,Golden Methodist Church,President of the US,Jill Stein,OTH,Absentee by Mail,1
Douglas,Golden Methodist Church,President of the US,Jill Stein,OTH,Provisional,0
Douglas,Golden Methodist Church,President of the US,Jill Stein,OTH,Advanced Voting,3
Douglas,Old Courthouse,President of the US,Jill Stein,OTH,(not reported),14
Douglas,Beulah Baptist Church,President of the US,Jill Stein,OTH,(not reported),5
Douglas,Stewart,President of the US,Jill Stein,OTH,Election Day,0
Douglas,Stewart,President of the US,Jill Stein,OTH,Absentee by Mail,0
Douglas,Stewart,President of the US,Jill Stein,OTH,Provisional,0
Douglas,Stewart,President of the US,Jill Stein,OTH,Advanced Voting,3
Douglas,Arbor Station,President of the US,Jill Stein,OTH,Election Day,4
Douglas,Arbor Station,President of the US,Jill Stein,OTH,Absentee by Mail,1
Douglas,Arbor Station,President of the US,Jill Stein,OTH,Provisional,0
Douglas,Arbor Station,President of the US,Jill Stein,OTH,Advanced Voting,3
Douglas,Elizabeth Baptist Church,President of the US,Jill Stein,OTH,Election Day,1
Douglas,Elizabeth Baptist Church,President of the US,Jill Stein,OTH,Absentee by Mail,0
Douglas,Elizabeth Baptist Church,President of the US,Jill Stein,OTH,Provisional,0
Douglas,Elizabeth Baptist Church,President of the US,Jill Stein,OTH,Advanced Voting,0
Douglas,Dorsett Shoals,President of the US,Jill Stein,OTH,Election Day,1
Douglas,Dorsett Shoals,President of the US,Jill Stein,OTH,Absentee by Mail,0
Douglas,Dorsett Shoals,President of the US,Jill Stein,OTH,Provisional,0
Douglas,Dorsett Shoals,President of the US,Jill Stein,OTH,Advanced Voting,8
Douglas,Chapel Hill Middle School,President of the US,Jill Stein,OTH,(not reported),13
Douglas,Chapel Hill High School,President of the US,Jill Stein,OTH,(not reported),26
Douglas,Chestnut Log,President of the US,Jill Stein,OTH,(not reported),12
Douglas,St Julians Episcopal,President of the US,Jill Stein,OTH,(not reported),3
Douglas,Lutheran Church,President of the US,Jill Stein,OTH,Election Day,10
Douglas,Lutheran Church,President of the US,Jill Stein,OTH,Absentee by Mail,0
Douglas,Lutheran Church,President of the US,Jill Stein,OTH,Provisional,0
Douglas,Lutheran Church,President of the US,Jill Stein,OTH,Advanced Voting,12
Douglas,St. Theresa's,President of the US,Jill Stein,OTH,(not reported),9
Douglas,Factory Shoals Middle School,President of the US,Jill Stein,OTH,(not reported),11
Douglas,Boundary Waters,President of the US,Jill Stein,OTH,(not reported),11
Douglas,Mirror Lake Elementary,President of the US,Jill Stein,OTH,(not reported),19
Douglas,Winston Elementary School,President of the US,Jill Stein,OTH,Election Day,2
Douglas,Winston Elementary School,President of the US,Jill Stein,OTH,Absentee by Mail,1
Douglas,Winston Elementary School,President of the US,Jill Stein,OTH,Provisional,0
Douglas,Winston Elementary School,President of the US,Jill Stein,OTH,Advanced Voting,2
Douglas,Dog River Library,President of the US,Jill Stein,OTH,(not reported),6
Douglas,Atlanta West,President of the US,Jill Stein,OTH,(not reported),7
Douglas,Ephesus Baptist Church,President of the US,Jill Stein,OTH,(not reported),3
Douglas,Prays Mill,President of the US,Jill Stein,OTH,(not reported),15
Douglas,Turner Middle School,President of the US,Jill Stein,OTH,(not reported),10
Douglas,First Baptist Lithia Springs,President of the US,Jill Stein,OTH,(not reported),6
Douglas,Lithia Springs High School,President of the US,Jill Stein,OTH,(not reported),17
Douglas,Deer Lick Park,President of the US,Jill Stein,OTH,Election Day,6
Douglas,Deer Lick Park,President of the US,Jill Stein,OTH,Absentee by Mail,0
Douglas,Deer Lick Park,President of the US,Jill Stein,OTH,Provisional,0
Douglas,Deer Lick Park,President of the US,Jill Stein,OTH,Advanced Voting,5
Evans,Veteran's Community Center,President of the US,Donald J. Trump,REP,(not reported),3011
Evans,Veteran's Community Center,President of the US,Kamala D. Harris,DEM,(not reported),1214
Evans,Veteran's Community Center,President of the US,Chase Oliver,OTH,(not reported),12
Evans,Veteran's Community Center,President of the US,Jill Stein,OTH,(not reported),7
Oglethorpe,Beaverdam,President of the US,Donald J. Trump,REP,Election Day,627
Oglethorpe,Beaverdam,President of the US,Donald J. Trump,REP,Absentee by Mail,73
Oglethorpe,Beaverdam,President of the US,Donald J. Trump,REP,Provisional,0
Oglethorpe,Beaverdam,President of the US,Donald J. Trump,REP,Advanced Voting,1372
Oglethorpe,Crawford,President of the US,Donald J. Trump,REP,(not reported),1625
Oglethorpe,Lexington,President of the US,Donald J. Trump,REP,(not reported),2558
Oglethorpe,Beaverdam,President of the US,Kamala D. Harris,DEM,Election Day,252
Oglethorpe,Beaverdam,President of the US,Kamala D. Harris,DEM,Absentee by Mail,55
Oglethorpe,Beaverdam,President of the US,Kamala D. Harris,DEM,Provisional,0
Oglethorpe,Beaverdam,President of the US,Kamala D. Harris,DEM,Advanced Voting,507
Oglethorpe,Crawford,President of the US,Kamala D. Harris,DEM,(not reported),761
Oglethorpe,Lexington,President of the US,Kamala D. Harris,DEM,(not reported),940
Oglethorpe,Beaverdam,President of the US,Chase Oliver,OTH,Election Day,8
Oglethorpe,Beaverdam,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Oglethorpe,Beaverdam,President of the US,Chase Oliver,OTH,Provisional,0
Oglethorpe,Beaverdam,President of the US,Chase Oliver,OTH,Advanced Voting,6
Oglethorpe,Crawford,President of the US,Chase Oliver,OTH,(not reported),6
Oglethorpe,Lexington,President of the US,Chase Oliver,OTH,(not reported),6
Oglethorpe,Beaverdam,President of the US,Jill Stein,OTH,Election Day,1
Oglethorpe,Beaverdam,President of the US,Jill Stein,OTH,Absentee by Mail,1
Oglethorpe,Beaverdam,President of the US,Jill Stein,OTH,Provisional,0
Oglethorpe,Beaverdam,President of the US,Jill Stein,OTH,Advanced Voting,7
Oglethorpe,Crawford,President of the US,Jill Stein,OTH,(not reported),3
Oglethorpe,Lexington,President of the US,Jill Stein,OTH,(not reported),14
Newton,02-Town,President of the US,Donald J. Trump,REP,(not reported),980
Newton,03-Almon,President of the US,Donald J. Trump,REP,(not reported),686
Newton,04-Alcovy,President of the US,Donald J. Trump,REP,Election Day,355
Newton,04-Alcovy,President of the US,Donald J. Trump,REP,Absentee by Mail,75
Newton,04-Alcovy,President of the US,Donald J. Trump,REP,Provisional,0
Newton,04-Alcovy,President of the US,Donald J. Trump,REP,Advanced Voting,1136
Newton,05-Covington Mills,President of the US,Donald J. Trump,REP,(not reported),1354
Newton,06-Brewers,President of the US,Donald J. Trump,REP,(not reported),1622
Newton,07-Brick Store,President of the US,Donald J. Trump,REP,Election Day,535
Newton,07-Brick Store,President of the US,Donald J. Trump,REP,Absentee by Mail,48
Newton,07-Brick Store,President of the US,Donald J. Trump,REP,Provisional,0
Newton,07-Brick Store,President of the US,Donald J. Trump,REP,Advanced Voting,904
Newton,09-Livingston,President of the US,Donald J. Trump,REP,Election Day,256
Newton,09-Livingston,President of the US,Donald J. Trump,REP,Absentee by Mail,31
Newton,09-Livingston,President of the US,Donald J. Trump,REP,Provisional,0
Newton,09-Livingston,President of the US,Donald J. Trump,REP,Advanced Voting,706
Newton,10-Downs,President of the US,Donald J. Trump,REP,Election Day,277
Newton,10-Downs,President of the US,Donald J. Trump,REP,Absentee by Mail,25
Newton,10-Downs,President of the US,Donald J. Trump,REP,Provisional,0
Newton,10-Downs,President of the US,Donald J. Trump,REP,Advanced Voting,1203
Newton,12-Gum Creek,President of the US,Donald J. Trump,REP,(not reported),2301
Newton,13-Beaverdam,President of the US,Donald J. Trump,REP,(not reported),941
Newton,14-Leguinn,President of the US,Donald J. Trump,REP,Election Day,608
Newton,14-Leguinn,President of the US,Donald J. Trump,REP,Absentee by Mail,52
Newton,14-Leguinn,President of the US,Donald J. Trump,REP,Provisional,0
Newton,14-Leguinn,President of the US,Donald J. Trump,REP,Advanced Voting,1207
Newton,15-Mansfield,President of the US,Donald J. Trump,REP,Election Day,905
Newton,15-Mansfield,President of the US,Donald J. Trump,REP,Absentee by Mail,36
Newton,15-Mansfield,President of the US,Donald J. Trump,REP,Provisional,0
Newton,15-Mansfield,President of the US,Donald J. Trump,REP,Advanced Voting,848
Newton,17-Oxford,President of the US,Donald J. Trump,REP,(not reported),1951
Newton,18-Rocky Plains,President of the US,Donald J. Trump,REP,(not reported),1604
Newton,19-Buck Creek,President of the US,Donald J. Trump,REP,Election Day,339
Newton,19-Buck Creek,President of the US,Donald J. Trump,REP,Absentee by Mail,46
Newton,19-Buck Creek,President of the US,Donald J. Trump,REP,Provisional,0
Newton,19-Buck Creek,President of the US,Donald J. Trump,REP,Advanced Voting,957
Newton,20-Stansells,President of the US,Donald J. Trump,REP,Election Day,214
Newton,20-Stansells,President of the US,Donald J. Trump,REP,Absentee by Mail,42
Newton,20-Stansells,President of the US,Donald J. Trump,REP,Provisional,0
Newton,20-Stansells,President of the US,Donald J. Trump,REP,Advanced Voting,476
Newton,23-Fairview,President of the US,Donald J. Trump,REP,Election Day,57
Newton,23-Fairview,President of the US,Donald J. Trump,REP,Absentee by Mail,11
Newton,23-Fairview,President of the US,Donald J. Trump,REP,Provisional,0
Newton,23-Fairview,President of the US,Donald J. Trump,REP,Advanced Voting,141
Newton,24-Crowell,President of the US,Donald J. Trump,REP,(not reported),319
Newton,25-Hub,President of the US,Donald J. Trump,REP,Election Day,561
Newton,25-Hub,President of the US,Donald J. Trump,REP,Absentee by Mail,72
Newton,25-Hub,President of the US,Donald J. Trump,REP,Provisional,0
Newton,25-Hub,President of the US,Donald J. Trump,REP,Advanced Voting,1012
Newton,02-Town,President of the US,Kamala D. Harris,DEM,(not reported),2678
Newton,03-Almon,President of the US,Kamala D. Harris,DEM,(not reported),2222
Newton,04-Alcovy,President of the US,Kamala D. Harris,DEM,Election Day,402
Newton,04-Alcovy,President of the US,Kamala D. Harris,DEM,Absentee by Mail,141
Newton,04-Alcovy,President of the US,Kamala D. Harris,DEM,Provisional,0
Newton,04-Alcovy,President of the US,Kamala D. Harris,DEM,Advanced Voting,1399
Newton,05-Covington Mills,President of the US,Kamala D. Harris,DEM,(not reported),2471
Newton,06-Brewers,President of the US,Kamala D. Harris,DEM,(not reported),970
Newton,07-Brick Store,President of the US,Kamala D. Harris,DEM,Election Day,212
Newton,07-Brick Store,President of the US,Kamala D. Harris,DEM,Absentee by Mail,66
Newton,07-Brick Store,President of the US,Kamala D. Harris,DEM,Provisional,0
Newton,07-Brick Store,President of the US,Kamala D. Harris,DEM,Advanced Voting,477
Newton,09-Livingston,President of the US,Kamala D. Harris,DEM,Election Day,579
Newton,09-Livingston,President of the US,Kamala D. Harris,DEM,Absentee by Mail,192
Newton,09-Livingston,President of the US,Kamala D. Harris,DEM,Provisional,0
Newton,09-Livingston,President of the US,Kamala D. Harris,DEM,Advanced Voting,1867
Newton,10-Downs,President of the US,Kamala D. Harris,DEM,Election Day,405
Newton,10-Downs,President of the US,Kamala D. Harris,DEM,Absentee by Mail,121
Newton,10-Downs,President of the US,Kamala D. Harris,DEM,Provisional,0
Newton,10-Downs,President of the US,Kamala D. Harris,DEM,Advanced Voting,1620
Newton,12-Gum Creek,President of the US,Kamala D. Harris,DEM,(not reported),1438
Newton,13-Beaverdam,President of the US,Kamala D. Harris,DEM,(not reported),3129
Newton,14-Leguinn,President of the US,Kamala D. Harris,DEM,Election Day,191
Newton,14-Leguinn,President of the US,Kamala D. Harris,DEM,Absentee by Mail,74
Newton,14-Leguinn,President of the US,Kamala D. Harris,DEM,Provisional,0
Newton,14-Leguinn,President of the US,Kamala D. Harris,DEM,Advanced Voting,452
Newton,15-Mansfield,President of the US,Kamala D. Harris,DEM,Election Day,145
Newton,15-Mansfield,President of the US,Kamala D. Harris,DEM,Absentee by Mail,37
Newton,15-Mansfield,President of the US,Kamala D. Harris,DEM,Provisional,0
Newton,15-Mansfield,President of the US,Kamala D. Harris,DEM,Advanced Voting,181
Newton,17-Oxford,President of the US,Kamala D. Harris,DEM,(not reported),1587
Newton,18-Rocky Plains,President of the US,Kamala D. Harris,DEM,(not reported),1728
Newton,19-Buck Creek,President of the US,Kamala D. Harris,DEM,Election Day,427
Newton,19-Buck Creek,President of the US,Kamala D. Harris,DEM,Absentee by Mail,132
Newton,19-Buck Creek,President of the US,Kamala D. Harris,DEM,Provisional,0
Newton,19-Buck Creek,President of the US,Kamala D. Harris,DEM,Advanced Voting,1456
Newton,20-Stansells,President of the US,Kamala D. Harris,DEM,Election Day,660
Newton,20-Stansells,President of the US,Kamala D. Harris,DEM,Absentee by Mail,167
Newton,20-Stansells,President of the US,Kamala D. Harris,DEM,Provisional,5
Newton,20-Stansells,President of the US,Kamala D. Harris,DEM,Advanced Voting,2123
Newton,23-Fairview,President of the US,Kamala D. Harris,DEM,Election Day,204
Newton,23-Fairview,President of the US,Kamala D. Harris,DEM,Absentee by Mail,56
Newton,23-Fairview,President of the US,Kamala D. Harris,DEM,Provisional,0
Newton,23-Fairview,President of the US,Kamala D. Harris,DEM,Advanced Voting,645
Newton,24-Crowell,President of the US,Kamala D. Harris,DEM,(not reported),2780
Newton,25-Hub,President of the US,Kamala D. Harris,DEM,Election Day,111
Newton,25-Hub,President of the US,Kamala D. Harris,DEM,Absentee by Mail,31
Newton,25-Hub,President of the US,Kamala D. Harris,DEM,Provisional,0
Newton,25-Hub,President of the US,Kamala D. Harris,DEM,Advanced Voting,258
Newton,02-Town,President of the US,Chase Oliver,OTH,(not reported),14
Newton,03-Almon,President of the US,Chase Oliver,OTH,(not reported),7
Newton,04-Alcovy,President of the US,Chase Oliver,OTH,Election Day,5
Newton,04-Alcovy,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Newton,04-Alcovy,President of the US,Chase Oliver,OTH,Provisional,0
Newton,04-Alcovy,President of the US,Chase Oliver,OTH,Advanced Voting,7
Newton,05-Covington Mills,President of the US,Chase Oliver,OTH,(not reported),12
Newton,06-Brewers,President of the US,Chase Oliver,OTH,(not reported),8
Newton,07-Brick Store,President of the US,Chase Oliver,OTH,Election Day,2
Newton,07-Brick Store,President of the US,Chase Oliver,OTH,Absentee by Mail,1
Newton,07-Brick Store,President of the US,Chase Oliver,OTH,Provisional,0
Newton,07-Brick Store,President of the US,Chase Oliver,OTH,Advanced Voting,2
Newton,09-Livingston,President of the US,Chase Oliver,OTH,Election Day,4
Newton,09-Livingston,President of the US,Chase Oliver,OTH,Absentee by Mail,1
Newton,09-Livingston,President of the US,Chase Oliver,OTH,Provisional,0
Newton,09-Livingston,President of the US,Chase Oliver,OTH,Advanced Voting,5
Newton,10-Downs,President of the US,Chase Oliver,OTH,Election Day,5
Newton,10-Downs,President of the US,Chase Oliver,OTH,Absentee by Mail,2
