"GEOID20","pop","precinct_2020","precinct_2024"
"130210110011012",77,"BIBB|EAST MACON 3","BIBB|EAST MACON 3"
"130210137012053",0,"BIBB|GODFREY 1","BIBB|GODFREY 1"
"130210101001019",0,"BIBB|VINEVILLE 1","BIBB|VINEVILLE 1"
"130339501012035",13,"BURKE|FOUR POINTS","BURKE|FOUR POINTS"
"130339502001043",13,"BURKE|ST. CLAIR","BURKE|ST. CLAIR"
"131930003001117",0,"MACON|OGLETHORPE","MACON|OGLETHORPE"
"131230805002016",75,"GILMER|EAST ELLIJAY","GILMER|EAST ELLIJAY"
"131230803023040",0,"GILMER|ELLIJAY SOUTH","GILMER|ELLIJAY SOUTH"
"131230802001042",3,"GILMER|CHERRY LOG","GILMER|CHERRY LOG"
"130159603022061",0,"BARTOW|KINGSTON","BARTOW|KINGSTON"
"132731205001044",0,"TERRELL|SASSER","TERRELL|SASSER"
"132299602002068",45,"PIERCE|ALABAHA","PIERCE|ALABAHA"
"130019505002054",14,"APPLING|5B","APPLING|5B"
"132250401041003",15,"PEACH|BYRON #2","PEACH|BYRON #2"
"132330101004017",16,"POLK|FISH CREEK","POLK|FISH CREEK"
"130199705002021",4,"BERRIEN|NASHVILLE","BERRIEN|NASHVILLE"
"131030301001056",0,"EFFINGHAM|3A","EFFINGHAM|3A"
"131030302091009",19,"EFFINGHAM|3C","EFFINGHAM|4A"
"131030303092025",78,"EFFINGHAM|2B","EFFINGHAM|2B"
"131030303071043",0,"EFFINGHAM|2C","EFFINGHAM|4B"
"131390011022026",0,"HALL|CHICOPEE","HALL|CHICOPEE"
"131390013042000",0,"HALL|GAINESVILLE IV","HALL|GAINESVILLE IV"
"131390012031009",0,"HALL|GAINESVILLE II","HALL|GAINESVILLE II"
"130530202061154",0,"NA|NA","NA|NA"
"130299203072047",20,"BRYAN|HWY 144 EAST","BRYAN|DEVAUL HENDERSON PARK GYM"
"130299800001030",0,"NA|NA","NA|NA"
"130810104002017",10,"CRISP|CORDELE","CRISP|CORDELE"
"131390002032012",0,"HALL|CLERMONT","HALL|CLERMONT"
"131390015021060",0,"HALL|ROBERTS","HALL|ROBERTS"
"131030303071001",0,"EFFINGHAM|5B","EFFINGHAM|5B"
"131030302092003",9,"EFFINGHAM|4B","EFFINGHAM|4C"
"131030301003006",9,"EFFINGHAM|3C","EFFINGHAM|3B"
"131390007032000",202,"HALL|GLADE","HALL|GLADE"
"131390008002003",0,"HALL|GAINESVILLE II","HALL|GAINESVILLE II"
"132231201103004",103,"PAULDING|SHELTON ELEMENTARY SCHOOL","PAULDING|SHELTON ELEMENTARY SCHOOL"
"131150004021004",23,"FLOYD|GARDEN LAKES","FLOYD|GARDEN LAKES"
"130390101003013",9,"CAMDEN|WAVERLY","CAMDEN|WAVERLY"
"132250404002032",23,"PEACH|FORT VALLEY #3","PEACH|FORT VALLEY #3"
"132250404003007",16,"PEACH|FORT VALLEY #3","PEACH|FORT VALLEY #3"
"133039503003002",34,"WASHINGTON|SANDERSVILLE","WASHINGTON|SANDERSVILLE"
"132299603011009",68,"PIERCE|HACKLEBARNEY/CASON","PIERCE|HACKLEBARNEY/CASON"
"130490101013044",9,"CHARLTON|WINOKUR","CHARLTON|WINOKUR"
"131210113105008",17,"FULTON|EP03B","FULTON|EP03D"
"131210116433007",0,"NA|NA","FULTON|ML06A"
"131210091033002",0,"FULTON|08L","FULTON|08L"
"131210079004003",0,"FULTON|10B","FULTON|10B1"
"131210066021008",47,"FULTON|04M","FULTON|04M"
"131210017021003",255,"FULTON|02D","FULTON|02D"
"131210110003028",69,"FULTON|EP02A","FULTON|EP02A"
"131210078053010",0,"FULTON|FC02","FULTON|FC02"
"130099708012002",34,"BALDWIN|WEST BALDWIN","BALDWIN|WEST BALDWIN"
"130099705022028",16,"BALDWIN|WEST BALDWIN","BALDWIN|WEST BALDWIN"
