"year","st","district","party","candidates","leader","leader_share","second","second_share","runoff_winner","leader_won_runoff"
2010,"NC","12","R",3,"Cumbie, Scott",39.47,"Dority, Greg",34.32,"Dority, Greg",FALSE
2010,"NC","13","R",4,"Randall, William (Bill)",32.59,"Reeves, Bernie",31.83,"Randall, William (Bill)",TRUE
2010,"NC","8","R",6,"D'Annunzio, Tim",36.85,"Johnson, Harold",33.07,"Johnson, Harold",FALSE
2010,"OK","2","R",6,"Thompson, Charles",33.56,"Edmonds, Daniel",28.32,"Thompson, Charles",TRUE
2010,"OK","5","R",7,"Lankford, James",33.58,"Calvey, Kevin",32.48,"Lankford, James",TRUE
2010,"SC","1","R",9,"Scott, Tim",31.49,"Thurmond, Paul",16.26,"Scott, Tim",TRUE
2010,"SC","3","R",6,"Cash, Richard",25.35,"Duncan, Jeff",23.08,"Duncan, Jeff",FALSE
2010,"SC","4","R",5,"Gowdy, Trey",39.22,"Inglis, Bob",27.46,"Gowdy, Trey",TRUE
2010,"SC","6","R",3,"Pratt, Jim",48.93,"Harrelson, Nancy",42.01,"Pratt, Jim",TRUE
2010,"TX","14","D",3,"Pruett, Robert",41.59,"Cochran, Winston",31.07,"Pruett, Robert",TRUE
2010,"TX","15","R",3,"Haring, Paul B.",41.83,"Zamora, Eddie",32.54,"Zamora, Eddie",FALSE
2010,"TX","17","R",5,"Flores, Bill",33.04,"Curnock, Rob",28.74,"Flores, Bill",TRUE
2010,"TX","20","R",4,"Trotter, Clayton",32.46,"Martinez, Joseph ""Jamie""",29.69,"Trotter, Clayton",TRUE
2010,"TX","23","R",5,"Hurd, Will",33.71,"Canseco, Francisco ""Quico""",32.16,"Canseco, Francisco ""Quico""",FALSE
2010,"TX","27","R",4,"Duerr, James",32.4,"Farenthold, R. Blake",30.13,"Farenthold, R. Blake",FALSE
2010,"TX","30","R",3,"Broden, Stephen E.",49.52,"Goldstein, Sheldon",37.79,"Broden, Stephen E.",TRUE
2012,"AR","1","D",3,"Ellington, Scott",49.53,"Hall, Clark M.",38.76,"Ellington, Scott",TRUE
2012,"AR","4","D",3,"Jeffress, Gene",43.02,"Hurst, Q. Byrum",35.74,"Jeffress, Gene",TRUE
2012,"GA","12","R",4,"Anderson, Lee",34.22,"Allen, Rick W.",25.71,"Anderson, Lee",TRUE
2012,"GA","2","R",3,"Allen, Rick",41.94,"House, John",31.94,"House, John",FALSE
2012,"GA","9","R",3,"Collins, Doug",41.8,"Zoller, Martha",41.14,"Collins, Doug",TRUE
2012,"NC","11","R",8,"Meadows, Mark",37.83,"Patterson, Vance",23.61,"Meadows, Mark",TRUE
2012,"NC","8","R",5,"Hudson, Richard",32.07,"Keadle, Scott",21.96,"Hudson, Richard",TRUE
2012,"NC","9","R",11,"Pittenger, Robert",32.45,"Pendergraph, Jim",25.31,"Pittenger, Robert",TRUE
2012,"OK","2","D",3,"Wallace, Rob",46.14,"Herriman, Wayne",41.55,"Wallace, Rob",TRUE
2012,"OK","2","R",6,"Mullin, Markwayne",42.4,"Faught, George",23.24,"Mullin, Markwayne",TRUE
2012,"SC","7","D",5,"Tinubu, Gloria Bromell",48.73,"Brittain, Preston",36.67,"Tinubu, Gloria Bromell",TRUE
2012,"SC","7","R",9,"Bauer, Andre",32.13,"Rice, Tom",27.36,"Rice, Tom",FALSE
2012,"TX","14","R",9,"Weber, Randy",27.6,"Harris, Felicia",18.92,"Weber, Randy",TRUE
2012,"TX","15","R",4,"Zamora, Eddie",33.06,"Brueggemann, Dale A.",31.68,"Brueggemann, Dale A.",FALSE
2012,"TX","23","D",3,"Rodriguez, Ciro D.",45.96,"Gallego, Pete P.",40.83,"Gallego, Pete P.",FALSE
2012,"TX","25","R",12,"Williams, Roger",25.11,"Riddle, Wes",14.57,"Williams, Roger",TRUE
2012,"TX","27","D",4,"Trevino, Jerry J.",39.77,"Harrison, Rose Meza",30.7,"Harrison, Rose Meza",FALSE
2012,"TX","33","D",11,"Veasey, Marc",36.77,"Garcia, Domingo",24.99,"Veasey, Marc",TRUE
2012,"TX","34","D",8,"Vela, Filemon",40.46,"Blanchard, Denise Saenz",12.89,"Vela, Filemon",TRUE
2012,"TX","34","R",3,"Garza, Adela",36.33,"Bradshaw, Jessica Puente",34.58,"Bradshaw, Jessica Puente",FALSE
2012,"TX","36","R",12,"Takach, Stephen",22.43,"Stockman, Steve",21.78,"Stockman, Steve",FALSE
2012,"TX","5","D",3,"Mrosko, Linda S.",39.16,"Berry, Tom",31.28,"Mrosko, Linda S.",TRUE
2012,"TX","7","D",3,"Squiers, Lissa",39.92,"Cargas, James",33.78,"Cargas, James",FALSE
2014,"AL","6","R",7,"DeMarco, Paul",32.68,"Palmer, Gary",19.73,"Palmer, Gary",FALSE
2014,"GA","1","D",3,"Tavio, Amy L.",33.96,"Reese, Brian Corwin",33.81,"Reese, Brian Corwin",FALSE
2014,"GA","1","R",6,"Carter, E. L. ""Buddy""",36.22,"Johnson, Robert E. ""Bob""",22.7,"Carter, E. L. ""Buddy""",TRUE
2014,"GA","10","R",7,"Hice, Jody B.",33.5,"Collins, M. A. ""Mike""",32.99,"Hice, Jody B.",TRUE
2014,"GA","11","R",6,"Loudermilk, Barry D.",36.59,"Barr, R. L. ""Bob""",25.79,"Loudermilk, Barry D.",TRUE
2014,"MS","3","D",3,"Magee, Douglas MacArthur (Doug)",48.22,"Quinn, Dennis C.",36.27,"Magee, Douglas MacArthur (Doug)",TRUE
2014,"NC","5","D",4,"Brannon, Joshua (Josh)",33.05,"Henley, Gardenia",26.48,"Brannon, Joshua (Josh)",TRUE
2014,"NC","6","R",9,"Berger, Phil, Jr.",34.27,"Walker, Mark",25.2,"Walker, Mark",FALSE
2014,"OK","5","D",3,"Guild, Tom",42.13,"McAffrey, Al",30.89,"McAffrey, Al",FALSE
2014,"OK","5","R",6,"Russell, Steve",26.57,"Douglas, Patrice",24.46,"Russell, Steve",TRUE
2014,"TX","23","R",3,"Hurd, Will",40.96,"Canseco, Francisco ""Quico""",40.32,"Hurd, Will",TRUE
2014,"TX","36","R",12,"Babin, Brian",33.37,"Streusand, Ben",23.33,"Babin, Brian",TRUE
2014,"TX","4","R",6,"Hall, Ralph M.",45.42,"Ratcliffe, John",28.78,"Ratcliffe, John",FALSE
2016,"GA","3","R",7,"Crane, Mike",26.93,"Ferguson, Drew",26.77,"Ferguson, Drew",FALSE
2016,"OK","5","D",3,"McAffrey, Al",36.81,"Guild, Tom",36.76,"McAffrey, Al",TRUE
2016,"TX","15","D",6,"Gonzalez, Vicente",42.21,"Palacios, Juan ""Sonny,"" Jr.",18.89,"Gonzalez, Vicente",TRUE
2016,"TX","15","R",3,"Westley, Tim",45.01,"Villarreal, Ruben O.",31.97,"Westley, Tim",TRUE
2016,"TX","18","R",4,"Bartley, Lori",33.68,"Gonzales, Reggie",33.07,"Bartley, Lori",TRUE
2016,"TX","19","R",9,"Robertson, Glen",26.76,"Arrington, Jodey",25.94,"Arrington, Jodey",FALSE
2018,"AL","2","R",5,"Roby, Martha",38.98,"Bright, Bobby",28.12,"Roby, Martha",TRUE
2018,"GA","6","D",4,"McBath, Lucy",36.27,"Abel, Kevin",30.54,"McBath, Lucy",TRUE
2018,"GA","7","D",6,"Bourdeaux, Carolyn",27.28,"Kim, David",25.98,"Bourdeaux, Carolyn",TRUE
2018,"MS","3","R",6,"Guest, Michael",44.84,"Hughes, Whit",22.24,"Guest, Michael",TRUE
2018,"OK","1","D",5,"Gilpin, Tim",34.48,"Douglas, Amanda",32.41,"Gilpin, Tim",TRUE
2018,"OK","1","R",5,"Harris, Tim",27.48,"Hern, Kevin",22.68,"Hern, Kevin",FALSE
2018,"OK","2","D",4,"Nichols, Jason",37.88,"Padgett, Clay",24.23,"Nichols, Jason",TRUE
