"year","st","district","party","candidates","total_votes","leader","leader_votes","leader_share","second","second_share","runoff","runoff_winner","leader_won_runoff","top_two_state"
2006,"IN","5","R",3,72841,"Burton, Dan",61150,83.95,"Alfred, Clayton L. (C.L. Jim)",9.43,FALSE,NA,NA,FALSE
2006,"IN","6","D",2,33849,"Welsh, Barry A.",23525,69.5,"Spelbring, Ralph",30.5,FALSE,NA,NA,FALSE
2006,"IN","6","R",2,60594,"Pence, Mike",52188,86.13,"Holland, George T.",13.87,FALSE,NA,NA,FALSE
2006,"IN","7","D",5,36281,"Carson, Julia M.",29503,81.32,"Kiser, Kris",11.17,FALSE,NA,NA,FALSE
2006,"IN","7","R",4,20959,"Dickerson, Eric",11336,54.09,"Franklin, Ronald V.",21.55,FALSE,NA,NA,FALSE
2006,"IN","9","D",4,68066,"Hill, Baron P.",53883,79.16,"Clearwater, Gretchen",13.83,FALSE,NA,NA,FALSE
2006,"IN","9","R",2,37636,"Sodrel, Michael E.",30273,80.44,"Schultz, Sam",19.56,FALSE,NA,NA,FALSE
2006,"KS","3","R",4,41816,"Ahner, Chuck ",21716,51.93,"Schwab, Scott ",32.53,FALSE,NA,NA,FALSE
2006,"KS","4","D",4,15895,"McGinn, Garth J.",4382,27.57,"Voth, Ronald ",27.35,FALSE,NA,NA,FALSE
2006,"KY","1","D",3,104582,"Barlow, Tom",80594,77.06,"Streit, Eric",15.6,FALSE,NA,NA,FALSE
2006,"KY","2","D",2,67537,"Weaver, Mike",49067,72.65,"Rice, James E.",27.35,FALSE,NA,NA,FALSE
2006,"KY","3","D",4,57528,"Yarmuth, John",30962,53.82,"Horne, Andrew",32.44,FALSE,NA,NA,FALSE
2006,"KY","5","D",2,67290,"Stepp, Kenneth",47362,70.38,"Tapley, James W.",29.62,FALSE,NA,NA,FALSE
2006,"MA","9","D",2,97371,"Lynch, Stephen F.",75323,77.36,"Dunkelbarger, Philip",22.64,FALSE,NA,NA,FALSE
2006,"MD","1","D",3,50606,"Corwin, Jim",22021,43.51,"Robinson, Christopher R.",33.29,FALSE,NA,NA,FALSE
2006,"MD","2","D",2,68568,"Ruppersberger, C. A. Dutch",56450,82.33,"Boardman, Christopher C.",17.67,FALSE,NA,NA,FALSE
2006,"MD","2","R",3,16846,"Mathis, Jimmy",6858,40.71,"Hodges, Dee",38.21,FALSE,NA,NA,FALSE
2006,"MD","3","D",8,84454,"Sarbanes, John P.",26954,31.92,"Beilenson, Peter",25.44,FALSE,NA,NA,FALSE
2006,"MD","3","R",8,23674,"White, John",8969,37.89,"Applebaum, Gary",33.31,FALSE,NA,NA,FALSE
2006,"MD","4","D",3,82183,"Wynn, Albert R.",40857,49.71,"Edwards, Donna",46.39,FALSE,NA,NA,FALSE
2006,"MD","6","D",2,38683,"Duck, Andrew",22903,59.21,"Kissin, Barry J.C.",40.79,FALSE,NA,NA,FALSE
