"district","election","year","share_old","share_new"
21,"trea-2022",2022,0.352201,0.365686
22,"trea-2022",2022,0.36542,0.353434
23,"trea-2022",2022,0.421281,0.42077
24,"trea-2022",2022,0.377171,0.378796
25,"trea-2022",2022,0.295461,0.362865
26,"trea-2022",2022,0.349923,0.349995
27,"trea-2022",2022,0.337139,0.367659
28,"trea-2022",2022,0.515161,0.55246
29,"trea-2022",2022,0.673152,0.691358
30,"trea-2022",2022,0.761026,0.766275
31,"trea-2022",2022,0.354286,0.357201
32,"trea-2022",2022,0.613066,0.390913
33,"trea-2022",2022,0.720536,0.690583
34,"trea-2022",2022,0.562222,0.483807
35,"trea-2022",2022,0.713644,0.444157
36,"trea-2022",2022,0.300347,0.360139
37,"trea-2022",2022,0.743645,0.801614
38,"trea-2022",2022,0.3508,0.352162
