"GEOID20","boe5","pop","pop_black","pop_white","vap","vap_black","vap_white","reg","reg_black","x_km","y_km","area_km2"
"131530201122000",1,0,0,0,0,0,0,0,0,15.5086,37.2288,0.28723
"131530201122001",1,0,0,0,0,0,0,0,0,15.1773,37.3549,0.01884
"131530201122002",1,0,0,0,0,0,0,0,0,14.7024,37.6136,0.00165
"131530201122003",1,0,0,0,0,0,0,0,0,14.5511,37.6207,0.00168
"131530201122004",1,0,0,0,0,0,0,0,0,14.3537,37.6168,0.00301
"131530201122005",1,73,36,23,50,25,13,19,4,14.5504,37.52,0.02846
"131530201122006",1,103,69,18,63,36,16,25,17,14.6947,37.5467,0.01766
"131530201122007",1,26,0,16,17,0,12,2,2,14.6987,37.4638,0.00877
"131530201122008",1,586,273,210,471,196,175,160,70,14.9596,37.2052,0.40531
"131530201122010",1,34,4,24,28,2,24,5,4,14.7191,37.2574,0.01575
"131530201122011",1,424,165,191,347,133,164,118,54,14.1191,37.0062,0.55847
"131530201122013",1,24,4,18,17,2,15,0,0,13.5416,37.2213,0.04268
"131530201122014",1,0,0,0,0,0,0,0,0,14.0062,37.4428,0.00553
"131530201122016",1,9,3,4,4,0,4,1,0,13.5379,38.3283,0.026
"131530201122018",1,0,0,0,0,0,0,0,0,13.572,37.3355,0.00335
"131530201122019",1,202,75,99,169,60,85,67,17,14.289,37.3532,0.16163
"131530201122021",1,0,0,0,0,0,0,0,0,15.57,36.9668,0.00789
"131530201123000",1,595,175,286,445,138,200,198,65,14.6799,38.4218,0.85229
"131530201123001",1,52,16,7,35,11,5,11,2,14.4445,38.4939,0.03691
"131530201123002",1,25,11,7,18,6,7,2,1,14.9247,38.413,0.00894
"131530201123004",1,130,18,100,117,17,92,43,3,14.1877,38.1713,0.11363
"131530201123005",1,27,13,10,20,8,10,4,3,14.9622,38.3218,0.00819
"131530201123006",1,14,0,7,11,0,5,2,1,15.0332,38.4078,0.00636
"131530201123007",1,122,22,56,87,17,39,42,9,14.1031,38.4686,0.06913
"131530201123008",1,63,16,40,50,12,35,20,9,13.65,38.6357,0.04916
"131530201131003",1,56,31,14,31,18,7,14,5,13.0993,38.333,0.02241
"131530201131005",1,1013,486,420,734,329,325,289,122,12.96,37.7142,0.56148
"131530201131006",1,126,57,48,86,35,39,32,10,12.6659,37.8759,0.04621
"131530201131008",1,31,24,7,19,12,7,2,1,12.8838,37.8604,0.02083
"131530201131011",1,100,75,15,67,50,14,40,24,12.7293,38.2963,0.03093
"131530201131013",1,41,18,10,31,16,7,15,12,12.9415,38.3617,0.01437
"131530201131019",1,0,0,0,0,0,0,16,9,13.1708,37.1978,0.01688
"131530201131021",1,15,11,4,13,11,2,2,2,13.3571,37.1552,0.01325
"131530201132008",1,91,13,62,69,9,50,23,5,12.0299,39.0353,0.09101
"131530201132010",1,88,12,58,63,6,44,28,5,12.5732,39.4188,0.11724
"131530201133001",1,0,0,0,0,0,0,3,0,13.5295,39.7281,0.0168
"131530201133004",1,35,27,1,23,18,1,21,16,13.2008,39.9289,0.01396
"131530201133006",1,0,0,0,0,0,0,0,0,13.5005,39.0067,0.00408
"131530201133008",1,43,36,7,23,23,0,11,8,12.8244,39.9422,0.01336
"131530201133009",1,32,12,9,30,12,9,6,0,12.8834,40.3265,0.0386
"131530201133011",1,92,19,73,71,16,55,21,1,12.8953,39.5652,0.0957
"131530201133019",1,25,2,17,20,2,16,15,0,12.2747,40.1915,0.06016
"131530201133021",1,35,10,19,28,9,19,14,3,12.3727,40.442,0.04067
"131530201131000",1,0,0,0,0,0,0,0,0,13.375,38.8,0.04086
"131530201131001",1,84,17,56,52,10,36,66,27,13.0123,38.6642,0.30834
"131530201131002",1,10,5,4,7,4,3,0,0,12.7335,38.8189,0.00871
"131530201131004",1,93,64,17,62,41,13,27,17,12.8374,38.4691,0.02134
"131530201131007",1,24,5,13,14,4,8,11,3,12.8465,37.7145,0.01775
"131530201131009",1,38,10,20,21,2,14,5,3,12.8608,37.6358,0.0149
"131530201131010",1,0,0,0,0,0,0,0,0,13.403,37.6812,0.00927
"131530201131012",1,95,44,37,55,21,24,15,4,12.9291,38.0058,0.04612
"131530201131014",1,69,41,17,47,25,13,12,3,13.1857,38.0888,0.02131
"131530201131015",1,186,110,69,130,72,52,46,20,13.3307,38.1611,0.19948
"131530201131016",1,0,0,0,0,0,0,0,0,13.4557,37.6798,0.00175
"131530201131017",1,96,54,39,61,33,26,28,19,12.6947,38.3901,0.02748
"131530201131018",1,43,38,1,33,29,0,132,59,12.9762,36.9779,0.55737
"131530201131020",1,0,0,0,0,0,0,0,0,13.2967,36.6991,0.00273
"131530201132000",1,225,36,178,192,20,164,64,4,11.9617,40.3142,0.26762
"131530201132001",1,72,22,40,66,19,40,30,5,12.0271,40.3927,0.06867
"131530201132002",1,384,55,270,304,40,224,110,27,12.1481,39.5119,0.45513
"131530201132003",1,33,7,18,25,7,13,16,4,11.9252,39.4793,0.03308
"131530201132004",1,49,1,33,36,0,26,17,4,11.923,39.3705,0.03392
"131530201132005",1,45,16,11,39,11,10,0,0,12.2469,39.4999,0.03134
"131530201132006",1,53,11,31,41,8,27,21,5,11.9316,39.5961,0.03891
"131530201132007",1,71,36,23,39,19,11,18,8,11.9513,39.7199,0.04082
"131530201132009",1,82,11,40,64,11,32,17,0,11.8821,39.2153,0.05207
"131530201132011",1,80,13,58,68,9,50,22,7,12.6716,39.138,0.05283
"131530201132012",1,102,18,74,71,13,50,24,4,12.9755,39.0535,0.14207
"131530201132013",1,76,23,41,53,10,36,20,2,12.5663,38.9954,0.06972
"131530201133000",1,0,0,0,0,0,0,0,0,13.5549,40.5589,0.00544
"131530201133002",1,770,317,383,559,220,285,221,99,13.0997,39.7437,0.92204
"131530201133003",1,33,22,0,19,12,0,11,9,13.1051,39.9325,0.01374
"131530201133005",1,44,26,10,34,19,8,10,5,12.9179,39.939,0.01366
"131530201133007",1,46,38,8,24,18,6,9,9,12.7319,39.9454,0.01343
"131530201133010",1,35,28,3,19,14,1,12,10,13.0115,39.9357,0.01335
"131530201133012",1,84,42,30,52,28,15,18,9,13.345,39.9237,0.02742
"131530201133013",1,36,15,12,32,13,12,14,5,12.8827,40.1951,0.03726
"131530201133014",1,74,7,52,48,6,38,30,4,12.4512,40.5926,0.1116
"131530201133015",1,32,16,5,24,9,5,26,5,12.8536,40.6658,0.02481
"131530201133016",1,119,16,91,83,16,66,25,1,13.1947,40.5093,0.21239
"131530201133017",1,54,6,43,48,4,39,20,4,12.8515,40.5767,0.0408
"131530201133018",1,23,0,11,18,0,9,3,0,12.3695,40.0579,0.02132
"131530201133020",1,44,22,20,29,7,20,13,1,12.355,40.2569,0.05167
"131530202001021",4,86,64,19,63,43,18,26,10,20.1819,37.4214,0.19785
"131530202003007",4,41,4,27,27,1,19,14,5,18.4832,37.5277,0.09041
"131530202004025",1,12,8,2,7,3,2,0,0,17.3606,37.394,0.28578
"131530202004030",1,0,0,0,0,0,0,0,0,18.026,36.9115,0.00169
"131530202004038",1,16,0,15,12,0,11,2,1,18.3029,37.5073,0.01703
"131530202004040",1,37,10,19,26,8,14,7,2,18.1514,37.2058,0.04684
"131530202001002",4,71,46,23,44,26,17,12,8,20.6817,38.6038,0.02969
"131530202001004",4,94,56,33,74,42,27,19,12,20.0982,38.321,0.02429
"131530202001006",4,32,8,22,24,8,16,15,4,20.4442,38.0398,0.01952
"131530202001009",4,37,10,16,37,10,16,11,8,20.102,38.0748,0.02041
"131530202001011",4,48,13,14,35,12,11,10,4,19.8773,37.984,0.06478
"131530202001012",4,56,29,24,31,10,21,12,7,20.2902,37.8261,0.0312
"131530202001014",4,32,4,25,20,3,15,10,9,20.0679,37.7964,0.02749
"131530202001024",4,43,2,38,32,2,30,12,3,20.4337,37.2781,0.0403
"131530202001025",4,53,23,27,40,19,20,15,5,19.9429,37.584,0.03436
"131530202001027",4,53,21,26,36,12,18,11,4,19.9353,37.1726,0.03523
"131530202002003",1,4,0,0,3,0,0,1,0,18.8149,38.2651,0.00216
"131530202002008",1,68,14,42,58,13,35,24,5,19.1972,37.941,0.04771
"131530202003008",4,53,27,20,42,21,17,15,8,19.4859,37.4176,0.02616
"131530202004001",1,9,0,1,6,0,1,0,0,18.363,38.6709,0.006
"131530202004006",1,36,11,20,29,10,17,17,4,18.1069,38.6028,0.01439
"131530202004008",1,52,30,19,38,22,15,10,9,17.7598,38.5621,0.03669
"131530202001017",4,55,24,20,43,20,16,15,5,20.5071,37.6723,0.02538
"131530202001018",4,38,13,24,23,6,16,12,6,20.557,37.7828,0.02738
"131530202001019",4,62,29,21,44,17,19,13,9,20.5633,37.8781,0.02638
"131530202001020",4,41,23,11,28,12,10,7,6,20.6013,37.979,0.02501
"131530202001022",4,45,23,15,26,13,8,6,3,20.5045,37.5419,0.02621
"131530202001023",4,31,23,0,27,19,0,10,5,19.8854,37.2925,0.0211
"131530202001026",4,32,18,9,22,8,9,16,7,20.1083,38.1661,0.02013
"131530202001028",4,27,4,18,26,4,18,3,0,20.1697,37.1646,0.01492
"131530202001029",4,21,4,7,18,3,7,10,4,20.4155,37.1617,0.04146
"131530202001030",4,24,14,8,24,14,8,12,4,20.4112,37.0422,0.04414
"131530202002000",4,85,76,3,52,45,3,24,23,19.6994,38.1537,0.04921
"131530202002001",1,56,26,28,43,17,24,27,10,19.3942,38.1988,0.1043
"131530202002002",1,92,41,48,79,32,46,21,4,18.9446,38.051,0.1342
"131530202002004",1,37,7,28,26,5,20,10,5,19.0382,38.0222,0.03116
"131530202002005",1,15,9,6,15,9,6,12,10,19.0551,38.2171,0.01794
