"from_state","to_state","est","moe","lo","hi","sig","flag"
"Pennsylvania","Florida",33530,6458,27072,39988,TRUE,""
"Rhode Island","Florida",2205,1011,1194,3216,TRUE,""
"South Carolina","Florida",9304,2219,7085,11523,TRUE,""
"South Dakota","Florida",955,753,202,1708,TRUE,""
"Tennessee","Florida",16211,4653,11558,20864,TRUE,""
"Texas","Florida",45259,12219,33040,57478,TRUE,""
"Utah","Florida",5748,2973,2775,8721,TRUE,""
"Vermont","Florida",872,476,396,1348,TRUE,""
"Virginia","Florida",28901,6694,22207,35595,TRUE,""
"Washington","Florida",10574,3473,7101,14047,TRUE,""
"West Virginia","Florida",3114,1550,1564,4664,TRUE,""
"Wisconsin","Florida",8210,2433,5777,10643,TRUE,""
"Wyoming","Florida",1777,1104,673,2881,TRUE,""
"Puerto Rico","Florida",9395,2450,6945,11845,TRUE,""
"Alabama","Georgia",15804,5475,10329,21279,TRUE,""
"Alaska","Georgia",1367,1158,209,2525,TRUE,""
"Arizona","Georgia",5085,3014,2071,8099,TRUE,""
"Arkansas","Georgia",1452,954,498,2406,TRUE,""
"California","Georgia",14052,3801,10251,17853,TRUE,""
"Colorado","Georgia",4594,1813,2781,6407,TRUE,""
"Connecticut","Georgia",3760,1767,1993,5527,TRUE,""
"Delaware","Georgia",485,380,105,865,TRUE,""
"District of Columbia","Georgia",802,673,129,1475,TRUE,""
"Florida","Georgia",52371,8290,44081,60661,TRUE,""
"Hawaii","Georgia",620,592,28,1212,TRUE,""
"Idaho","Georgia",319,369,0,688,FALSE,""
"Illinois","Georgia",6392,2157,4235,8549,TRUE,""
"Indiana","Georgia",2189,1082,1107,3271,TRUE,""
"Iowa","Georgia",1004,687,317,1691,TRUE,""
"Kansas","Georgia",2411,1521,890,3932,TRUE,""
"Kentucky","Georgia",2791,1535,1256,4326,TRUE,""
"Louisiana","Georgia",6487,2221,4266,8708,TRUE,""
"Maine","Georgia",,,,,FALSE,"N"
"Maryland","Georgia",6199,1461,4738,7660,TRUE,""
"Massachusetts","Georgia",4877,2140,2737,7017,TRUE,""
"Michigan","Georgia",3434,1408,2026,4842,TRUE,""
"Minnesota","Georgia",859,556,303,1415,TRUE,""
"Mississippi","Georgia",3304,1354,1950,4658,TRUE,""
"Missouri","Georgia",3386,1520,1866,4906,TRUE,""
"Montana","Georgia",746,615,131,1361,TRUE,""
"Nebraska","Georgia",597,537,60,1134,TRUE,""
"Nevada","Georgia",2001,1269,732,3270,TRUE,""
"New Hampshire","Georgia",404,459,0,863,FALSE,""
"New Jersey","Georgia",6770,2580,4190,9350,TRUE,""
"New Mexico","Georgia",1718,1205,513,2923,TRUE,""
"New York","Georgia",12771,3304,9467,16075,TRUE,""
"North Carolina","Georgia",15283,2967,12316,18250,TRUE,""
"North Dakota","Georgia",0,232,0,232,FALSE,""
"Ohio","Georgia",5300,1570,3730,6870,TRUE,""
"Oklahoma","Georgia",1261,1097,164,2358,TRUE,""
"Oregon","Georgia",1162,699,463,1861,TRUE,""
"Pennsylvania","Georgia",7365,2340,5025,9705,TRUE,""
"Rhode Island","Georgia",0,232,0,232,FALSE,""
"South Carolina","Georgia",16878,4012,12866,20890,TRUE,""
"South Dakota","Georgia",,,,,FALSE,"N"
"Tennessee","Georgia",10017,2556,7461,12573,TRUE,""
"Texas","Georgia",20968,3871,17097,24839,TRUE,""
"Utah","Georgia",160,175,0,335,FALSE,""
"Vermont","Georgia",721,726,0,1447,FALSE,""
"Virginia","Georgia",10298,3734,6564,14032,TRUE,""
"Washington","Georgia",3488,1075,2413,4563,TRUE,""
"West Virginia","Georgia",1195,974,221,2169,TRUE,""
"Wisconsin","Georgia",3019,1980,1039,4999,TRUE,""
"Wyoming","Georgia",,,,,FALSE,"N"
"Puerto Rico","Georgia",1580,911,669,2491,TRUE,""
"Alabama","Hawaii",466,636,0,1102,FALSE,""
"Alaska","Hawaii",618,524,94,1142,TRUE,""
"Arizona","Hawaii",1594,885,709,2479,TRUE,""
"Arkansas","Hawaii",0,193,0,193,FALSE,""
"California","Hawaii",10516,2445,8071,12961,TRUE,""
"Colorado","Hawaii",1054,492,562,1546,TRUE,""
"Connecticut","Hawaii",285,332,0,617,FALSE,""
"Delaware","Hawaii",0,193,0,193,FALSE,""
"District of Columbia","Hawaii",0,193,0,193,FALSE,""
"Florida","Hawaii",4002,1825,2177,5827,TRUE,""
"Georgia","Hawaii",1810,1496,314,3306,TRUE,""
"Idaho","Hawaii",345,319,26,664,TRUE,""
"Illinois","Hawaii",652,603,49,1255,TRUE,""
"Indiana","Hawaii",,,,,FALSE,"N"
"Iowa","Hawaii",385,369,16,754,TRUE,""
"Kansas","Hawaii",535,564,0,1099,FALSE,""
"Kentucky","Hawaii",265,268,0,533,FALSE,""
"Louisiana","Hawaii",0,193,0,193,FALSE,""
"Maine","Hawaii",528,541,0,1069,FALSE,""
"Maryland","Hawaii",276,258,18,534,TRUE,""
"Massachusetts","Hawaii",386,322,64,708,TRUE,""
"Michigan","Hawaii",345,241,104,586,TRUE,""
"Minnesota","Hawaii",230,261,0,491,FALSE,""
"Mississippi","Hawaii",264,280,0,544,FALSE,""
"Missouri","Hawaii",1025,705,320,1730,TRUE,""
"Montana","Hawaii",194,178,16,372,TRUE,""
"Nebraska","Hawaii",,,,,FALSE,"N"
"Nevada","Hawaii",1355,782,573,2137,TRUE,""
"New Hampshire","Hawaii",420,556,0,976,FALSE,""
"New Jersey","Hawaii",952,663,289,1615,TRUE,""
"New Mexico","Hawaii",,,,,FALSE,"N"
"New York","Hawaii",1595,700,895,2295,TRUE,""
"North Carolina","Hawaii",2289,1348,941,3637,TRUE,""
"North Dakota","Hawaii",0,193,0,193,FALSE,""
"Ohio","Hawaii",1287,971,316,2258,TRUE,""
"Oklahoma","Hawaii",613,497,116,1110,TRUE,""
"Oregon","Hawaii",821,426,395,1247,TRUE,""
"Pennsylvania","Hawaii",1741,1380,361,3121,TRUE,""
"Rhode Island","Hawaii",184,310,0,494,FALSE,""
"South Carolina","Hawaii",1213,1054,159,2267,TRUE,""
"South Dakota","Hawaii",,,,,FALSE,"N"
"Tennessee","Hawaii",530,486,44,1016,TRUE,""
"Texas","Hawaii",5174,2026,3148,7200,TRUE,""
"Utah","Hawaii",1407,671,736,2078,TRUE,""
"Vermont","Hawaii",0,193,0,193,FALSE,""
"Virginia","Hawaii",3143,1389,1754,4532,TRUE,""
"Washington","Hawaii",4329,1535,2794,5864,TRUE,""
"West Virginia","Hawaii",265,275,0,540,FALSE,""
"Wisconsin","Hawaii",,,,,FALSE,"N"
"Wyoming","Hawaii",,,,,FALSE,"N"
"Puerto Rico","Hawaii",,,,,FALSE,"N"
"Alabama","Idaho",82,125,0,207,FALSE,""
"Alaska","Idaho",938,650,288,1588,TRUE,""
"Arizona","Idaho",4511,1645,2866,6156,TRUE,""
"Arkansas","Idaho",,,,,FALSE,"N"
"California","Idaho",15385,2919,12466,18304,TRUE,""
"Colorado","Idaho",2295,1050,1245,3345,TRUE,""
"Connecticut","Idaho",0,198,0,198,FALSE,""
"Delaware","Idaho",0,198,0,198,FALSE,""
"District of Columbia","Idaho",0,198,0,198,FALSE,""
"Florida","Idaho",1522,742,780,2264,TRUE,""
"Georgia","Idaho",458,429,29,887,TRUE,""
"Hawaii","Idaho",424,247,177,671,TRUE,""
"Illinois","Idaho",544,484,60,1028,TRUE,""
"Indiana","Idaho",852,962,0,1814,FALSE,""
"Iowa","Idaho",309,282,27,591,TRUE,""
"Kansas","Idaho",250,253,0,503,FALSE,""
"Kentucky","Idaho",249,225,24,474,TRUE,""
"Louisiana","Idaho",506,847,0,1353,FALSE,""
"Maine","Idaho",0,198,0,198,FALSE,""
"Maryland","Idaho",186,215,0,401,FALSE,""
"Massachusetts","Idaho",,,,,FALSE,"N"
"Michigan","Idaho",437,347,90,784,TRUE,""
"Minnesota","Idaho",805,440,365,1245,TRUE,""
"Mississippi","Idaho",0,198,0,198,FALSE,""
"Missouri","Idaho",1065,901,164,1966,TRUE,""
"Montana","Idaho",2214,1018,1196,3232,TRUE,""
"Nebraska","Idaho",388,411,0,799,FALSE,""
"Nevada","Idaho",3270,1674,1596,4944,TRUE,""
"New Hampshire","Idaho",0,198,0,198,FALSE,""
"New Jersey","Idaho",383,563,0,946,FALSE,""
"New Mexico","Idaho",595,476,119,1071,TRUE,""
"New York","Idaho",335,252,83,587,TRUE,""
"North Carolina","Idaho",643,517,126,1160,TRUE,""
"North Dakota","Idaho",188,244,0,432,FALSE,""
"Ohio","Idaho",634,451,183,1085,TRUE,""
"Oklahoma","Idaho",146,166,0,312,FALSE,""
"Oregon","Idaho",4206,1226,2980,5432,TRUE,""
"Pennsylvania","Idaho",935,655,280,1590,TRUE,""
"Rhode Island","Idaho",0,198,0,198,FALSE,""
"South Carolina","Idaho",,,,,FALSE,"N"
"South Dakota","Idaho",461,383,78,844,TRUE,""
"Tennessee","Idaho",88,105,0,193,FALSE,""
"Texas","Idaho",2169,1185,984,3354,TRUE,""
"Utah","Idaho",5417,1302,4115,6719,TRUE,""
"Vermont","Idaho",,,,,FALSE,"N"
"Virginia","Idaho",600,372,228,972,TRUE,""
"Washington","Idaho",17837,3554,14283,21391,TRUE,""
"West Virginia","Idaho",,,,,FALSE,"N"
"Wisconsin","Idaho",416,455,0,871,FALSE,""
"Wyoming","Idaho",699,504,195,1203,TRUE,""
"Puerto Rico","Idaho",0,198,0,198,FALSE,""
"Alabama","Illinois",859,465,394,1324,TRUE,""
"Alaska","Illinois",367,385,0,752,FALSE,""
"Arizona","Illinois",6130,1899,4231,8029,TRUE,""
"Arkansas","Illinois",1361,697,664,2058,TRUE,""
"California","Illinois",15128,2843,12285,17971,TRUE,""
"Colorado","Illinois",3917,1424,2493,5341,TRUE,""
"Connecticut","Illinois",2116,1513,603,3629,TRUE,""
"Delaware","Illinois",868,1115,0,1983,FALSE,""
"District of Columbia","Illinois",761,432,329,1193,TRUE,""
"Florida","Illinois",12751,2882,9869,15633,TRUE,""
"Georgia","Illinois",5242,1896,3346,7138,TRUE,""
"Hawaii","Illinois",375,330,45,705,TRUE,""
"Idaho","Illinois",1371,808,563,2179,TRUE,""
"Indiana","Illinois",14098,3099,10999,17197,TRUE,""
"Iowa","Illinois",6721,1744,4977,8465,TRUE,""
"Kansas","Illinois",3693,1865,1828,5558,TRUE,""
"Kentucky","Illinois",2394,710,1684,3104,TRUE,""
"Louisiana","Illinois",2737,1315,1422,4052,TRUE,""
"Maine","Illinois",199,212,0,411,FALSE,""
"Maryland","Illinois",2462,1794,668,4256,TRUE,""
"Massachusetts","Illinois",4239,1561,2678,5800,TRUE,""
"Michigan","Illinois",9418,2605,6813,12023,TRUE,""
"Minnesota","Illinois",4471,1583,2888,6054,TRUE,""
"Mississippi","Illinois",722,430,292,1152,TRUE,""
"Missouri","Illinois",10892,2510,8382,13402,TRUE,""
"Montana","Illinois",,,,,FALSE,"N"
"Nebraska","Illinois",1312,599,713,1911,TRUE,""
"Nevada","Illinois",2130,976,1154,3106,TRUE,""
"New Hampshire","Illinois",95,136,0,231,FALSE,""
"New Jersey","Illinois",2490,788,1702,3278,TRUE,""
"New Mexico","Illinois",486,415,71,901,TRUE,""
"New York","Illinois",11082,3600,7482,14682,TRUE,""
"North Carolina","Illinois",4493,1498,2995,5991,TRUE,""
"North Dakota","Illinois",164,173,0,337,FALSE,""
"Ohio","Illinois",7372,2025,5347,9397,TRUE,""
"Oklahoma","Illinois",1644,1331,313,2975,TRUE,""
"Oregon","Illinois",1114,770,344,1884,TRUE,""
"Pennsylvania","Illinois",4420,1679,2741,6099,TRUE,""
"Rhode Island","Illinois",,,,,FALSE,"N"
"South Carolina","Illinois",683,550,133,1233,TRUE,""
"South Dakota","Illinois",343,284,59,627,TRUE,""
"Tennessee","Illinois",3992,1354,2638,5346,TRUE,""
"Texas","Illinois",18189,3474,14715,21663,TRUE,""
"Utah","Illinois",311,332,0,643,FALSE,""
"Vermont","Illinois",809,850,0,1659,FALSE,""
"Virginia","Illinois",4974,2291,2683,7265,TRUE,""
"Washington","Illinois",4302,1779,2523,6081,TRUE,""
"West Virginia","Illinois",1335,1153,182,2488,TRUE,""
"Wisconsin","Illinois",14131,2749,11382,16880,TRUE,""
"Wyoming","Illinois",833,549,284,1382,TRUE,""
"Puerto Rico","Illinois",1392,1478,0,2870,FALSE,""
"Alabama","Indiana",1933,1062,871,2995,TRUE,""
"Alaska","Indiana",0,211,0,211,FALSE,""
"Arizona","Indiana",1483,644,839,2127,TRUE,""
"Arkansas","Indiana",340,317,23,657,TRUE,""
"California","Indiana",9740,2396,7344,12136,TRUE,""
"Colorado","Indiana",3265,1577,1688,4842,TRUE,""
"Connecticut","Indiana",760,588,172,1348,TRUE,""
"Delaware","Indiana",0,211,0,211,FALSE,""
"District of Columbia","Indiana",,,,,FALSE,"N"
"Florida","Indiana",9264,2655,6609,11919,TRUE,""
"Georgia","Indiana",5140,2513,2627,7653,TRUE,""
"Hawaii","Indiana",408,381,27,789,TRUE,""
"Idaho","Indiana",1357,890,467,2247,TRUE,""
"Illinois","Indiana",25727,3764,21963,29491,TRUE,""
"Iowa","Indiana",1199,953,246,2152,TRUE,""
"Kansas","Indiana",305,271,34,576,TRUE,""
"Kentucky","Indiana",10166,2125,8041,12291,TRUE,""
"Louisiana","Indiana",1984,1198,786,3182,TRUE,""
"Maine","Indiana",,,,,FALSE,"N"
"Maryland","Indiana",426,329,97,755,TRUE,""
"Massachusetts","Indiana",469,387,82,856,TRUE,""
"Michigan","Indiana",7283,1726,5557,9009,TRUE,""
"Minnesota","Indiana",2221,1094,1127,3315,TRUE,""
"Mississippi","Indiana",277,297,0,574,FALSE,""
"Missouri","Indiana",2463,1301,1162,3764,TRUE,""
"Montana","Indiana",174,155,19,329,TRUE,""
"Nebraska","Indiana",,,,,FALSE,"N"
"Nevada","Indiana",677,586,91,1263,TRUE,""
"New Hampshire","Indiana",537,403,134,940,TRUE,""
"New Jersey","Indiana",4409,2646,1763,7055,TRUE,""
"New Mexico","Indiana",218,223,0,441,FALSE,""
"New York","Indiana",3091,1419,1672,4510,TRUE,""
"North Carolina","Indiana",2158,1339,819,3497,TRUE,""
"North Dakota","Indiana",0,211,0,211,FALSE,""
"Ohio","Indiana",11600,2893,8707,14493,TRUE,""
"Oklahoma","Indiana",556,398,158,954,TRUE,""
"Oregon","Indiana",549,650,0,1199,FALSE,""
"Pennsylvania","Indiana",3772,1932,1840,5704,TRUE,""
"Rhode Island","Indiana",,,,,FALSE,"N"
"South Carolina","Indiana",766,630,136,1396,TRUE,""
"South Dakota","Indiana",515,566,0,1081,FALSE,""
"Tennessee","Indiana",4460,1890,2570,6350,TRUE,""
"Texas","Indiana",5637,1796,3841,7433,TRUE,""
"Utah","Indiana",706,643,63,1349,TRUE,""
"Vermont","Indiana",0,211,0,211,FALSE,""
"Virginia","Indiana",2679,1256,1423,3935,TRUE,""
"Washington","Indiana",2430,1082,1348,3512,TRUE,""
"West Virginia","Indiana",121,208,0,329,FALSE,""
"Wisconsin","Indiana",2107,897,1210,3004,TRUE,""
"Wyoming","Indiana",,,,,FALSE,"N"
"Puerto Rico","Indiana",,,,,FALSE,"N"
"Alabama","Iowa",323,371,0,694,FALSE,""
"Alaska","Iowa",0,174,0,174,FALSE,""
"Arizona","Iowa",2187,942,1245,3129,TRUE,""
"Arkansas","Iowa",646,540,106,1186,TRUE,""
"California","Iowa",2485,1155,1330,3640,TRUE,""
"Colorado","Iowa",2866,1605,1261,4471,TRUE,""
"Connecticut","Iowa",287,349,0,636,FALSE,""
"Delaware","Iowa",0,174,0,174,FALSE,""
"District of Columbia","Iowa",,,,,FALSE,"N"
"Florida","Iowa",2158,854,1304,3012,TRUE,""
"Georgia","Iowa",289,261,28,550,TRUE,""
"Hawaii","Iowa",0,174,0,174,FALSE,""
"Idaho","Iowa",449,318,131,767,TRUE,""
"Illinois","Iowa",10691,2090,8601,12781,TRUE,""
"Indiana","Iowa",751,487,264,1238,TRUE,""
"Kansas","Iowa",2460,1764,696,4224,TRUE,""
"Kentucky","Iowa",356,304,52,660,TRUE,""
"Louisiana","Iowa",314,393,0,707,FALSE,""
"Maine","Iowa",0,174,0,174,FALSE,""
"Maryland","Iowa",,,,,FALSE,"N"
"Massachusetts","Iowa",282,241,41,523,TRUE,""
"Michigan","Iowa",825,482,343,1307,TRUE,""
"Minnesota","Iowa",5086,1099,3987,6185,TRUE,""
"Mississippi","Iowa",83,103,0,186,FALSE,""
"Missouri","Iowa",3254,970,2284,4224,TRUE,""
"Montana","Iowa",,,,,FALSE,"N"
"Nebraska","Iowa",4800,1250,3550,6050,TRUE,""
"Nevada","Iowa",224,174,50,398,TRUE,""
"New Hampshire","Iowa",0,174,0,174,FALSE,""
"New Jersey","Iowa",,,,,FALSE,"N"
"New Mexico","Iowa",505,589,0,1094,FALSE,""
"New York","Iowa",924,635,289,1559,TRUE,""
"North Carolina","Iowa",500,349,151,849,TRUE,""
"North Dakota","Iowa",148,110,38,258,TRUE,""
"Ohio","Iowa",782,487,295,1269,TRUE,""
"Oklahoma","Iowa",319,227,92,546,TRUE,""
"Oregon","Iowa",177,218,0,395,FALSE,""
"Pennsylvania","Iowa",936,651,285,1587,TRUE,""
"Rhode Island","Iowa",0,174,0,174,FALSE,""
"South Carolina","Iowa",149,155,0,304,FALSE,""
"South Dakota","Iowa",2231,878,1353,3109,TRUE,""
"Tennessee","Iowa",733,475,258,1208,TRUE,""
"Texas","Iowa",5861,2811,3050,8672,TRUE,""
"Utah","Iowa",318,342,0,660,FALSE,""
"Vermont","Iowa",,,,,FALSE,"N"
"Virginia","Iowa",409,295,114,704,TRUE,""
"Washington","Iowa",652,304,348,956,TRUE,""
"West Virginia","Iowa",,,,,FALSE,"N"
"Wisconsin","Iowa",3739,964,2775,4703,TRUE,""
"Wyoming","Iowa",,,,,FALSE,"N"
"Puerto Rico","Iowa",897,973,0,1870,FALSE,""
"Alabama","Kansas",1239,903,336,2142,TRUE,""
"Alaska","Kansas",,,,,FALSE,"N"
"Arizona","Kansas",4068,2270,1798,6338,TRUE,""
"Arkansas","Kansas",1494,896,598,2390,TRUE,""
"California","Kansas",5217,1468,3749,6685,TRUE,""
"Colorado","Kansas",6987,2091,4896,9078,TRUE,""
"Connecticut","Kansas",306,237,69,543,TRUE,""
"Delaware","Kansas",269,432,0,701,FALSE,""
"District of Columbia","Kansas",0,189,0,189,FALSE,""
"Florida","Kansas",2512,1065,1447,3577,TRUE,""
"Georgia","Kansas",1547,1040,507,2587,TRUE,""
"Hawaii","Kansas",672,583,89,1255,TRUE,""
"Idaho","Kansas",157,205,0,362,FALSE,""
"Illinois","Kansas",1466,525,941,1991,TRUE,""
"Indiana","Kansas",537,358,179,895,TRUE,""
"Iowa","Kansas",1184,452,732,1636,TRUE,""
"Kentucky","Kansas",611,466,145,1077,TRUE,""
"Louisiana","Kansas",432,577,0,1009,FALSE,""
"Maine","Kansas",,,,,FALSE,"N"
"Maryland","Kansas",1754,1286,468,3040,TRUE,""
"Massachusetts","Kansas",223,275,0,498,FALSE,""
"Michigan","Kansas",396,432,0,828,FALSE,""
"Minnesota","Kansas",427,269,158,696,TRUE,""
"Mississippi","Kansas",349,348,1,697,TRUE,""
"Missouri","Kansas",21660,3165,18495,24825,TRUE,""
"Montana","Kansas",381,553,0,934,FALSE,""
"Nebraska","Kansas",3236,1585,1651,4821,TRUE,""
"Nevada","Kansas",1103,866,237,1969,TRUE,""
"New Hampshire","Kansas",225,362,0,587,FALSE,""
"New Jersey","Kansas",,,,,FALSE,"N"
"New Mexico","Kansas",454,338,116,792,TRUE,""
"New York","Kansas",1110,807,303,1917,TRUE,""
"North Carolina","Kansas",1807,999,808,2806,TRUE,""
"North Dakota","Kansas",0,189,0,189,FALSE,""
"Ohio","Kansas",804,540,264,1344,TRUE,""
"Oklahoma","Kansas",5414,2204,3210,7618,TRUE,""
"Oregon","Kansas",761,544,217,1305,TRUE,""
"Pennsylvania","Kansas",930,806,124,1736,TRUE,""
"Rhode Island","Kansas",0,189,0,189,FALSE,""
"South Carolina","Kansas",167,185,0,352,FALSE,""
"South Dakota","Kansas",,,,,FALSE,"N"
"Tennessee","Kansas",2515,1468,1047,3983,TRUE,""
"Texas","Kansas",6355,1985,4370,8340,TRUE,""
"Utah","Kansas",782,684,98,1466,TRUE,""
"Vermont","Kansas",0,189,0,189,FALSE,""
"Virginia","Kansas",845,524,321,1369,TRUE,""
"Washington","Kansas",1979,1052,927,3031,TRUE,""
"West Virginia","Kansas",,,,,FALSE,"N"
"Wisconsin","Kansas",708,559,149,1267,TRUE,""
"Wyoming","Kansas",,,,,FALSE,"N"
"Puerto Rico","Kansas",1034,1073,0,2107,FALSE,""
"Alabama","Kentucky",758,451,307,1209,TRUE,""
"Alaska","Kentucky",295,365,0,660,FALSE,""
"Arizona","Kentucky",1167,791,376,1958,TRUE,""
"Arkansas","Kentucky",459,424,35,883,TRUE,""
"California","Kentucky",6856,2902,3954,9758,TRUE,""
"Colorado","Kentucky",2206,1246,960,3452,TRUE,""
"Connecticut","Kentucky",,,,,FALSE,"N"
"Delaware","Kentucky",0,208,0,208,FALSE,""
"District of Columbia","Kentucky",,,,,FALSE,"N"
"Florida","Kentucky",7326,1925,5401,9251,TRUE,""
"Georgia","Kentucky",5106,1679,3427,6785,TRUE,""
"Hawaii","Kentucky",,,,,FALSE,"N"
"Idaho","Kentucky",232,201,31,433,TRUE,""
"Illinois","Kentucky",3102,1145,1957,4247,TRUE,""
"Indiana","Kentucky",7756,1564,6192,9320,TRUE,""
"Iowa","Kentucky",497,587,0,1084,FALSE,""
"Kansas","Kentucky",813,530,283,1343,TRUE,""
"Louisiana","Kentucky",503,242,261,745,TRUE,""
"Maine","Kentucky",0,208,0,208,FALSE,""
"Maryland","Kentucky",1413,764,649,2177,TRUE,""
"Massachusetts","Kentucky",637,501,136,1138,TRUE,""
"Michigan","Kentucky",2226,984,1242,3210,TRUE,""
"Minnesota","Kentucky",405,412,0,817,FALSE,""
"Mississippi","Kentucky",545,380,165,925,TRUE,""
"Missouri","Kentucky",2671,1520,1151,4191,TRUE,""
"Montana","Kentucky",547,855,0,1402,FALSE,""
"Nebraska","Kentucky",485,370,115,855,TRUE,""
"Nevada","Kentucky",204,145,59,349,TRUE,""
"New Hampshire","Kentucky",,,,,FALSE,"N"
"New Jersey","Kentucky",1083,1079,4,2162,TRUE,""
"New Mexico","Kentucky",141,61,80,202,TRUE,""
"New York","Kentucky",2294,1070,1224,3364,TRUE,""
"North Carolina","Kentucky",3509,2868,641,6377,TRUE,""
"North Dakota","Kentucky",0,208,0,208,FALSE,""
"Ohio","Kentucky",14376,3608,10768,17984,TRUE,""
"Oklahoma","Kentucky",300,498,0,798,FALSE,""
"Oregon","Kentucky",304,399,0,703,FALSE,""
"Pennsylvania","Kentucky",1388,730,658,2118,TRUE,""
"Rhode Island","Kentucky",274,317,0,591,FALSE,""
"South Carolina","Kentucky",430,292,138,722,TRUE,""
"South Dakota","Kentucky",263,340,0,603,FALSE,""
"Tennessee","Kentucky",14181,4150,10031,18331,TRUE,""
"Texas","Kentucky",2807,1153,1654,3960,TRUE,""
"Utah","Kentucky",319,247,72,566,TRUE,""
"Vermont","Kentucky",148,217,0,365,FALSE,""
"Virginia","Kentucky",2797,1159,1638,3956,TRUE,""
"Washington","Kentucky",1028,575,453,1603,TRUE,""
"West Virginia","Kentucky",2915,1687,1228,4602,TRUE,""
"Wisconsin","Kentucky",236,186,50,422,TRUE,""
"Wyoming","Kentucky",450,386,64,836,TRUE,""
"Puerto Rico","Kentucky",726,759,0,1485,FALSE,""
"Alabama","Louisiana",2085,1033,1052,3118,TRUE,""
"Alaska","Louisiana",468,787,0,1255,FALSE,""
"Arizona","Louisiana",297,359,0,656,FALSE,""
"Arkansas","Louisiana",3011,1213,1798,4224,TRUE,""
"California","Louisiana",3544,1536,2008,5080,TRUE,""
"Colorado","Louisiana",2633,1997,636,4630,TRUE,""
"Connecticut","Louisiana",129,168,0,297,FALSE,""
"Delaware","Louisiana",,,,,FALSE,"N"
"District of Columbia","Louisiana",145,147,0,292,FALSE,""
"Florida","Louisiana",4570,1864,2706,6434,TRUE,""
"Georgia","Louisiana",3919,1695,2224,5614,TRUE,""
"Hawaii","Louisiana",337,304,33,641,TRUE,""
"Idaho","Louisiana",0,224,0,224,FALSE,""
"Illinois","Louisiana",1715,1094,621,2809,TRUE,""
"Indiana","Louisiana",834,487,347,1321,TRUE,""
"Iowa","Louisiana",698,457,241,1155,TRUE,""
"Kansas","Louisiana",805,541,264,1346,TRUE,""
"Kentucky","Louisiana",396,304,92,700,TRUE,""
"Maine","Louisiana",0,224,0,224,FALSE,""
"Maryland","Louisiana",815,852,0,1667,FALSE,""
"Massachusetts","Louisiana",,,,,FALSE,"N"
"Michigan","Louisiana",1703,2149,0,3852,FALSE,""
"Minnesota","Louisiana",,,,,FALSE,"N"
"Mississippi","Louisiana",5108,1973,3135,7081,TRUE,""
"Missouri","Louisiana",2795,2481,314,5276,TRUE,""
"Montana","Louisiana",0,224,0,224,FALSE,""
"Nebraska","Louisiana",,,,,FALSE,"N"
"Nevada","Louisiana",268,318,0,586,FALSE,""
"New Hampshire","Louisiana",0,224,0,224,FALSE,""
"New Jersey","Louisiana",197,181,16,378,TRUE,""
"New Mexico","Louisiana",695,524,171,1219,TRUE,""
"New York","Louisiana",1836,1055,781,2891,TRUE,""
"North Carolina","Louisiana",1358,974,384,2332,TRUE,""
"North Dakota","Louisiana",497,501,0,998,FALSE,""
"Ohio","Louisiana",217,206,11,423,TRUE,""
"Oklahoma","Louisiana",1461,1073,388,2534,TRUE,""
"Oregon","Louisiana",178,169,9,347,TRUE,""
"Pennsylvania","Louisiana",2577,1456,1121,4033,TRUE,""
"Rhode Island","Louisiana",98,92,6,190,TRUE,""
"South Carolina","Louisiana",967,661,306,1628,TRUE,""
"South Dakota","Louisiana",,,,,FALSE,"N"
"Tennessee","Louisiana",1241,882,359,2123,TRUE,""
"Texas","Louisiana",19850,3560,16290,23410,TRUE,""
"Utah","Louisiana",1105,732,373,1837,TRUE,""
"Vermont","Louisiana",,,,,FALSE,"N"
"Virginia","Louisiana",2002,1366,636,3368,TRUE,""
"Washington","Louisiana",402,488,0,890,FALSE,""
"West Virginia","Louisiana",36,44,0,80,FALSE,""
"Wisconsin","Louisiana",0,224,0,224,FALSE,""
"Wyoming","Louisiana",,,,,FALSE,"N"
"Puerto Rico","Louisiana",,,,,FALSE,"N"
"Alabama","Maine",505,299,206,804,TRUE,""
"Alaska","Maine",1091,975,116,2066,TRUE,""
"Arizona","Maine",731,1060,0,1791,FALSE,""
"Arkansas","Maine",119,142,0,261,FALSE,""
"California","Maine",1784,875,909,2659,TRUE,""
"Colorado","Maine",680,391,289,1071,TRUE,""
"Connecticut","Maine",1219,640,579,1859,TRUE,""
"Delaware","Maine",129,111,18,240,TRUE,""
"District of Columbia","Maine",341,333,8,674,TRUE,""
"Florida","Maine",3192,1282,1910,4474,TRUE,""
"Georgia","Maine",121,135,0,256,FALSE,""
"Hawaii","Maine",273,300,0,573,FALSE,""
"Idaho","Maine",0,179,0,179,FALSE,""
"Illinois","Maine",,,,,FALSE,"N"
"Indiana","Maine",142,169,0,311,FALSE,""
"Iowa","Maine",0,179,0,179,FALSE,""
"Kansas","Maine",338,301,37,639,TRUE,""
"Kentucky","Maine",0,179,0,179,FALSE,""
"Louisiana","Maine",466,265,201,731,TRUE,""
"Maryland","Maine",916,777,139,1693,TRUE,""
"Massachusetts","Maine",6723,2509,4214,9232,TRUE,""
"Michigan","Maine",83,143,0,226,FALSE,""
"Minnesota","Maine",104,183,0,287,FALSE,""
"Mississippi","Maine",0,179,0,179,FALSE,""
