"state","fips","piece","is_state","pop1","pop_total","in_est","in_moe","out_est","out_moe","net","net_moe","net_sig","in_per1k","out_per1k","net_per1k","sig_in_n","sig_out_n","within_est","abroad_est","abroad_moe","abroad_per1k","foreignorigin_est","born_state_est","born_state_moe","born_state_pct","born_otherstate_est","born_otherstate_pct","born_foreign_est","born_foreign_moe","born_foreign_pct","born_pr_est","born_pr_pct","born_island_est","lat","lon","mx","my"
"Rhode Island","44","conus",TRUE,1103757,1112308,36203,4735,32711,4923,3492,6830.53,FALSE,32.7998,29.6361,3.16374,15,16,77019,11889,2713,10.7714,9974,578852,12779,52.0406,319774,28.7487,186322,11620,16.7509,26583,2.3899,,41.7557,-71.4505,867.015,450.679
"South Carolina","45","conus",TRUE,5420109,5478831,189333,11927,134657,8992,54676,14936.8,TRUE,34.9316,24.844,10.0876,39,37,450451,28233,5889,5.20894,27104,2776719,28553,50.6809,2278843,41.5936,403411,15331,7.36309,18374,0.335364,1484,34.0225,-80.9965,753.704,268.036
"South Dakota","46","conus",TRUE,914745,924669,23419,3342,30718,4635,-7299,5714.21,TRUE,25.6017,33.5809,-7.97927,24,21,86238,6078,1504,6.64447,5256,572002,8963,61.8602,308147,33.3251,43361,4060,4.68935,941,0.101766,139,43.9865,-98.9223,467.066,449.507
"Tennessee","47","conus",TRUE,7151202,7227750,192215,11673,156435,13458,35780,17815.1,TRUE,26.8787,21.8753,5.00335,39,41,639087,39360,7578,5.50397,38159,4042513,27511,55.9304,2639220,36.5151,532046,17305,7.36116,10730,0.148456,3241,35.8212,-86.3325,663.319,292.676
"Texas","48","conus",TRUE,30944767,31290831,556156,23072,483476,23279,72680,32775.4,TRUE,17.9725,15.6238,2.3487,50,51,3414070,319607,21877,10.3283,314614,17872259,73010,57.1166,7106178,22.7101,6188296,54304,19.7767,104615,0.334331,19483,30.9096,-97.3287,486.153,186.458
"Utah","49","conus",TRUE,3458792,3503613,95218,8920,85952,8041,9266,12009.3,FALSE,27.5293,24.8503,2.67897,37,33,341424,22573,3717,6.52627,22213,2085454,20131,59.523,1036432,29.5818,374302,13567,10.6833,3563,0.101695,3862,40.3858,-111.948,269.997,396.72
"Vermont","50","conus",TRUE,644261,648493,24503,4002,15366,2296,9137,4613.85,TRUE,38.0327,23.8506,14.1821,20,16,46413,1856,829,2.88082,1856,306020,7714,47.1894,307038,47.3464,34920,2946,5.38479,405,0.0624525,110,44.102,-72.8242,836.03,491.268
"Virginia","51","conus",TRUE,8721999,8811195,265514,10659,263931,16614,1583,19739.3,FALSE,30.4419,30.2604,0.181495,47,46,746795,73539,8646,8.43144,72599,4263640,28969,48.3889,3172609,36.0066,1330768,24305,15.1032,35354,0.40124,8824,37.8502,-77.7656,791.176,352.8
"Washington","53","conus",TRUE,7877923,7958180,222059,12169,204352,10306,17707,15946.7,TRUE,28.1875,25.9398,2.24767,43,44,776714,82568,9474,10.4809,81846,3683148,29885,46.2813,2842972,35.7239,1401957,23970,17.6166,9198,0.115579,20905,47.3295,-121.633,164.811,562.105
"West Virginia","54","conus",TRUE,1754442,1769979,43945,4712,36791,4611,7154,6592.74,TRUE,25.0478,20.9702,4.07765,21,16,128652,2696,980,1.53667,2696,1176444,11065,66.4666,547153,30.913,44624,4104,2.52116,1379,0.0779105,379,38.8233,-80.6713,743.463,364.174
"Wisconsin","55","conus",TRUE,5902903,5960975,116355,7856,107081,8746,9274,11756.2,FALSE,19.7115,18.1404,1.57109,36,34,509163,20033,3717,3.39375,19069,4138206,19097,69.4216,1437317,24.1121,360664,10608,6.05042,22956,0.385105,1832,43.7237,-89.0314,608.641,447.268
"Wyoming","56","conus",TRUE,582041,587618,25548,4267,20247,3269,5301,5375.28,FALSE,43.8938,34.7862,9.10761,18,16,45263,1681,1003,2.88811,1681,237179,6601,40.3628,324326,55.1933,24965,3740,4.24851,821,0.139717,327,42.6948,-106.985,349.256,432.229
