"fips","spread_pct"
"31017",0.479124
"38049",0.476281
"39093",0.47561
"08099",0.475158
"06053",0.475133
"02060",0.475059
"47027",0.474246
"31107",0.474158
"08027",0.473466
"42127",0.472478
"48253",0.472291
"13183",0.472248
"42015",0.471949
"51600",0.471485
"51109",0.471408
"18071",0.470995
"28027",0.470927
"45049",0.47082
"02105",0.470286
"22107",0.469948
"53043",0.46965
"37153",0.469166
"48085",0.468741
"20153",0.468567
"18161",0.468284
"48017",0.468178
"29221",0.468045
"30075",0.467836
"05031",0.466057
"33003",0.465781
"39057",0.465525
"30073",0.464962
"13307",0.464723
"44005",0.464617
"27011",0.464306
"12049",0.46411
"28137",0.46398
"48179",0.463839
"51179",0.4628
"16009",0.46273
"06115",0.462713
"46091",0.462535
"47055",0.461659
"27073",0.461653
"29079",0.460829
"30017",0.459444
"48087",0.458891
"46067",0.458777
"42029",0.458669
"29005",0.45854
"47171",0.457679
"31157",0.45671
"27155",0.456343
"38015",0.455799
"40011",0.455501
"22027",0.455386
"54007",0.455174
"06091",0.454821
"36065",0.453807
"28051",0.453145
"41049",0.453111
"16065",0.452648
"02158",0.452489
"12057",0.452082
"37019",0.451442
"46033",0.450971
"22111",0.450429
"20035",0.45019
"27107",0.449961
"47139",0.449843
"24041",0.449783
"51173",0.449173
"20117",0.448923
"31051",0.448833
"28099",0.448384
"17039",0.447761
"33015",0.446964
"28057",0.446857
"08021",0.446663
"54101",0.446536
"17099",0.44611
"55035",0.444332
"40127",0.443828
"40025",0.443459
"05091",0.443152
"31125",0.442478
"51043",0.44156
"20109",0.440852
"08047",0.440753
"08057",0.440205
"47037",0.439376
"17139",0.439168
"28091",0.43892
"27001",0.438679
"06085",0.438621
"51760",0.438485
"38097",0.437336
"16035",0.436535
"22003",0.436373
"51735",0.435506
"29185",0.435383
"20003",0.435228
"37075",0.435161
"48115",0.435028
"02180",0.433993
"31007",0.433526
"45053",0.433412
"04001",0.432775
"54093",0.432771
"55031",0.432097
"13147",0.431671
"12033",0.431456
"31097",0.431115
"31063",0.430528
"27125",0.430489
"02063",0.430354
"04009",0.430218
"51103",0.429498
"54033",0.429408
"42091",0.429025
"05045",0.428986
"20141",0.428816
"48441",0.428642
"08115",0.428082
"38029",0.428004
"48053",0.42796
"51101",0.427421
"22083",0.42735
"55025",0.427165
"47013",0.427005
"17125",0.426985
"55017",0.426232
"41071",0.425881
"48229",0.425661
"38063",0.425532
"46043",0.425381
"13091",0.425123
"53023",0.424809
"29171",0.424448
"21067",0.423253
"30105",0.422777
"26133",0.422359
"02164",0.422238
"47083",0.420825
"36021",0.420703
"53065",0.419939
"01017",0.419791
"46111",0.419639
"48175",0.418819
"37111",0.418185
"13055",0.417135
"24019",0.416858
"33013",0.416779
"17173",0.416747
