"mode","house","senate","n","share"
"separate",256,39,1,0.00005
"separate",224,40,1,0.00005
"separate",268,40,1,0.00005
"separate",272,40,1,0.00005
"separate",276,40,1,0.00005
"separate",192,41,1,0.00005
"separate",224,41,2,0.0001
"separate",228,41,1,0.00005
"separate",232,41,1,0.00005
"separate",236,41,1,0.00005
"separate",240,41,1,0.00005
"separate",244,41,2,0.0001
"separate",248,41,1,0.00005
"separate",260,41,1,0.00005
"separate",264,41,1,0.00005
"separate",268,41,1,0.00005
"separate",276,41,1,0.00005
"separate",284,41,1,0.00005
"separate",192,42,1,0.00005
"separate",196,42,1,0.00005
"separate",208,42,1,0.00005
"separate",212,42,3,0.00015
"separate",216,42,2,0.0001
"separate",220,42,1,0.00005
"separate",224,42,2,0.0001
"separate",228,42,6,0.0003
"separate",232,42,2,0.0001
"separate",236,42,4,0.0002
"separate",240,42,1,0.00005
"separate",244,42,2,0.0001
"separate",248,42,5,0.00025
"separate",252,42,7,0.00035
"separate",260,42,2,0.0001
"separate",264,42,1,0.00005
"separate",268,42,2,0.0001
"separate",272,42,3,0.00015
"separate",276,42,2,0.0001
"separate",284,42,3,0.00015
"separate",288,42,1,0.00005
"separate",292,42,1,0.00005
"separate",304,42,1,0.00005
"separate",316,42,1,0.00005
"separate",192,43,1,0.00005
"separate",196,43,1,0.00005
"separate",200,43,1,0.00005
"separate",204,43,2,0.0001
"separate",208,43,5,0.00025
"separate",212,43,1,0.00005
"separate",216,43,2,0.0001
"separate",220,43,6,0.0003
"separate",224,43,2,0.0001
"separate",228,43,8,0.0004
"separate",232,43,11,0.00055
"separate",236,43,5,0.00025
"separate",240,43,9,0.00045
"separate",244,43,7,0.00035
"separate",248,43,5,0.00025
"separate",252,43,9,0.00045
"separate",256,43,6,0.0003
"separate",260,43,6,0.0003
"separate",264,43,6,0.0003
"separate",268,43,3,0.00015
"separate",272,43,6,0.0003
"separate",276,43,1,0.00005
"separate",280,43,2,0.0001
"separate",284,43,2,0.0001
"separate",288,43,2,0.0001
"separate",292,43,1,0.00005
"separate",296,43,2,0.0001
"separate",168,44,1,0.00005
"separate",192,44,3,0.00015
"separate",196,44,2,0.0001
"separate",200,44,2,0.0001
"separate",204,44,8,0.0004
"separate",208,44,4,0.0002
"separate",212,44,6,0.0003
"separate",216,44,8,0.0004
"separate",220,44,13,0.00065
"separate",224,44,11,0.00055
"separate",228,44,14,0.0007
"separate",232,44,4,0.0002
"separate",236,44,20,0.001
"separate",240,44,15,0.00075
"separate",244,44,12,0.0006
"separate",248,44,10,0.0005
"separate",252,44,20,0.001
"separate",256,44,10,0.0005
"separate",260,44,16,0.0008
"separate",264,44,13,0.00065
"separate",268,44,9,0.00045
"separate",272,44,10,0.0005
"separate",276,44,7,0.00035
"separate",280,44,3,0.00015
"separate",284,44,4,0.0002
"separate",288,44,3,0.00015
"separate",292,44,4,0.0002
"separate",296,44,2,0.0001
"separate",300,44,1,0.00005
"separate",304,44,2,0.0001
"separate",308,44,1,0.00005
"separate",320,44,1,0.00005
"separate",184,45,1,0.00005
"separate",188,45,1,0.00005
"separate",192,45,2,0.0001
"separate",196,45,3,0.00015
"separate",200,45,3,0.00015
"separate",204,45,4,0.0002
"separate",208,45,9,0.00045
"separate",212,45,11,0.00055
"separate",216,45,15,0.00075
"separate",220,45,10,0.0005
"separate",224,45,26,0.0013
"separate",228,45,22,0.0011
"separate",232,45,27,0.00135
"separate",236,45,33,0.00165
"separate",240,45,32,0.0016
"separate",244,45,20,0.001
"separate",248,45,26,0.0013
"separate",252,45,30,0.0015
"separate",256,45,25,0.00125
"separate",260,45,20,0.001
"separate",264,45,18,0.0009
"separate",268,45,13,0.00065
"separate",272,45,11,0.00055
"separate",276,45,8,0.0004
"separate",280,45,12,0.0006
"separate",284,45,5,0.00025
"separate",288,45,7,0.00035
"separate",292,45,3,0.00015
"separate",296,45,4,0.0002
"separate",300,45,1,0.00005
"separate",308,45,1,0.00005
"separate",312,45,1,0.00005
"separate",316,45,1,0.00005
"separate",164,46,1,0.00005
"separate",176,46,1,0.00005
"separate",180,46,1,0.00005
"separate",184,46,1,0.00005
"separate",188,46,1,0.00005
"separate",192,46,2,0.0001
"separate",196,46,1,0.00005
"separate",200,46,7,0.00035
"separate",204,46,10,0.0005
"separate",208,46,17,0.00085
"separate",212,46,17,0.00085
"separate",216,46,26,0.0013
"separate",220,46,32,0.0016
"separate",224,46,45,0.00225
"separate",228,46,43,0.00215
"separate",232,46,38,0.0019
"separate",236,46,48,0.0024
"separate",240,46,50,0.0025
"separate",244,46,48,0.0024
"separate",248,46,48,0.0024
"separate",252,46,32,0.0016
"separate",256,46,37,0.00185
"separate",260,46,36,0.0018
"separate",264,46,25,0.00125
"separate",268,46,21,0.00105
"separate",272,46,15,0.00075
"separate",276,46,11,0.00055
"separate",280,46,5,0.00025
"separate",284,46,9,0.00045
"separate",288,46,9,0.00045
"separate",292,46,9,0.00045
"separate",296,46,6,0.0003
"separate",300,46,6,0.0003
"separate",304,46,2,0.0001
"separate",308,46,1,0.00005
"separate",312,46,2,0.0001
"separate",316,46,1,0.00005
"separate",324,46,1,0.00005
"separate",328,46,1,0.00005
"separate",332,46,1,0.00005
"separate",176,47,1,0.00005
"separate",180,47,2,0.0001
"separate",184,47,2,0.0001
"separate",192,47,7,0.00035
"separate",196,47,1,0.00005
"separate",200,47,8,0.0004
"separate",204,47,8,0.0004
"separate",208,47,18,0.0009
"separate",212,47,34,0.0017
"separate",216,47,42,0.0021
"separate",220,47,36,0.0018
"separate",224,47,46,0.0023
"separate",228,47,62,0.0031
"separate",232,47,81,0.00405
"separate",236,47,54,0.0027
"separate",240,47,86,0.0043
"separate",244,47,75,0.00375
"separate",248,47,80,0.004
"separate",252,47,59,0.00295
"separate",256,47,68,0.0034
"separate",260,47,57,0.00285
"separate",264,47,43,0.00215
"separate",268,47,40,0.002
"separate",272,47,31,0.00155
"separate",276,47,33,0.00165
"separate",280,47,16,0.0008
"separate",284,47,16,0.0008
"separate",288,47,8,0.0004
"separate",292,47,11,0.00055
"separate",296,47,5,0.00025
"separate",300,47,4,0.0002
"separate",304,47,3,0.00015
"separate",308,47,1,0.00005
"separate",312,47,1,0.00005
"separate",316,47,2,0.0001
"separate",320,47,1,0.00005
"separate",332,47,1,0.00005
"separate",184,48,2,0.0001
"separate",188,48,3,0.00015
"separate",192,48,4,0.0002
"separate",196,48,10,0.0005
"separate",200,48,11,0.00055
"separate",204,48,19,0.00095
"separate",208,48,19,0.00095
"separate",212,48,41,0.00205
"separate",216,48,55,0.00275
"separate",220,48,76,0.0038
"separate",224,48,87,0.00435
"separate",228,48,92,0.0046
"separate",232,48,104,0.0052
"separate",236,48,89,0.00445
"separate",240,48,133,0.00665
"separate",244,48,121,0.00605
"separate",248,48,107,0.00535
"separate",252,48,95,0.00475
"separate",256,48,77,0.00385
"separate",260,48,68,0.0034
"separate",264,48,58,0.0029
"separate",268,48,46,0.0023
"separate",272,48,42,0.0021
"separate",276,48,27,0.00135
"separate",280,48,38,0.0019
"separate",284,48,14,0.0007
"separate",288,48,16,0.0008
"separate",292,48,18,0.0009
"separate",296,48,14,0.0007
"separate",300,48,8,0.0004
"separate",304,48,5,0.00025
"separate",308,48,4,0.0002
"separate",312,48,2,0.0001
"separate",316,48,2,0.0001
"separate",320,48,2,0.0001
"separate",324,48,5,0.00025
"separate",336,48,1,0.00005
"separate",360,48,1,0.00005
"separate",164,49,1,0.00005
"separate",168,49,2,0.0001
"separate",172,49,1,0.00005
"separate",176,49,1,0.00005
"separate",184,49,2,0.0001
"separate",188,49,7,0.00035
"separate",192,49,9,0.00045
"separate",196,49,13,0.00065
"separate",200,49,24,0.0012
"separate",204,49,26,0.0013
"separate",208,49,26,0.0013
"separate",212,49,44,0.0022
"separate",216,49,74,0.0037
"separate",220,49,85,0.00425
"separate",224,49,99,0.00495
"separate",228,49,128,0.0064
"separate",232,49,139,0.00695
"separate",236,49,126,0.0063
"separate",240,49,151,0.00755
"separate",244,49,159,0.00795
"separate",248,49,142,0.0071
"separate",252,49,106,0.0053
"separate",256,49,120,0.006
