"first","last","state","district","senate","party_raw","party","party_side","faction_code","incumbent","open_seat","contested","prim_result","prim_share","experience","female","immigration","the Affordable Care Act","Benghazi","taxes","the minimum wage","gun control","abortion","climate change","the NSA","same-sex marriage","the debt and deficit","the Keystone pipeline","regulation","defense spending","silent_on"
"Frederica","Wilson","FL","24",FALSE,"D","D","Democrat",77,TRUE,0,TRUE,"won",80.4,TRUE,TRUE,4,1,4,4,4,4,4,4,4,4,4,4,4,4,13
"Dufirstson Julio","Neree","FL","24",FALSE,"R","R","Republican",100,FALSE,0,FALSE,"won",100,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Mario","Diaz-Balart","FL","25",FALSE,"R","R","Republican",11,TRUE,0,FALSE,"won",100,TRUE,FALSE,1,2,4,2,4,4,4,4,4,4,2,1,2,4,8
"Lorenzo","Palamares-Starbuck","FL","26",FALSE,"R","R","Republican",100,FALSE,0,TRUE,"lost",2.8,FALSE,FALSE,2,2,4,3,4,2,3,4,4,4,2,4,2,1,6
"Joe A.","Martinez","FL","26",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",17.4,TRUE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Joe","Garcia","FL","26",FALSE,"D","D","Democrat",77,TRUE,0,FALSE,"won",100,TRUE,FALSE,1,3,4,4,1,4,4,4,4,1,2,4,4,4,9
"Ed","MacDougall","FL","26",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",25.3,TRUE,FALSE,2,2,4,3,4,4,4,4,4,4,2,4,4,4,10
"David","Rivera","FL","26",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",7.5,TRUE,FALSE,4,4,4,4,4,4,4,4,4,4,2,4,2,4,12
"Carlos","Curbelo","FL","26",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"won",47,TRUE,FALSE,3,2,4,3,4,4,4,4,4,4,2,4,2,4,9
"Ileana","Ros-Lehtinen","FL","27",FALSE,"R","R","Republican",11,TRUE,0,FALSE,"won",100,TRUE,TRUE,1,2,2,2,4,4,2,3,4,1,2,1,2,4,4
"Jake","Rush","FL","3",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",20.6,FALSE,FALSE,2,2,4,3,4,2,2,4,4,4,2,4,2,2,6
"Marihelen","Wheeler","FL","3",FALSE,"D","D","Democrat",77,FALSE,0,FALSE,"won",100,FALSE,TRUE,1,3,4,4,1,4,4,4,4,4,4,4,4,4,11
"Ted","Yoho","FL","3",FALSE,"R","R","Republican",22,TRUE,0,TRUE,"won",79.4,TRUE,FALSE,2,2,2,3,4,2,2,2,2,2,2,1,2,2,1
"Ander","Crenshaw","FL","4",FALSE,"R","R","Republican",22,TRUE,0,TRUE,"won",70.9,TRUE,FALSE,2,2,2,3,4,2,2,2,4,4,2,1,2,2,3
"Ryman","Shoaf","FL","4",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"lost",29.1,FALSE,FALSE,2,2,4,3,4,4,4,4,4,4,2,4,2,2,8
"Corrine","Brown","FL","5",FALSE,"D","D","Democrat",66,TRUE,0,FALSE,"won",100,TRUE,FALSE,1,1,1,1,1,1,1,3,4,4,2,3,4,4,4
"Thuy","Lowe","FL","5",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"lost",37,FALSE,TRUE,2,2,4,4,2,4,4,4,4,4,2,4,4,4,10
"Glo","Smith","FL","5",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"won",63,FALSE,TRUE,4,2,4,3,4,2,4,4,4,4,2,4,4,2,9
"David","Cox","FL","6",FALSE,"D","D","Democrat",77,FALSE,0,FALSE,"won",100,FALSE,FALSE,4,1,4,4,4,4,4,1,4,1,4,4,4,4,11
"Ron","DeSantis","FL","6",FALSE,"R","R","Republican",11,TRUE,0,FALSE,"won",100,TRUE,FALSE,2,2,2,2,4,2,2,2,4,2,2,1,2,2,2
"Wes","Neuman","FL","7",FALSE,"D","D","Democrat",66,FALSE,0,FALSE,"won",100,FALSE,FALSE,1,1,1,3,1,1,1,1,2,1,4,2,4,4,3
"Kelly","Shirley","FL","7",FALSE,"R","R","Republican",100,FALSE,0,TRUE,"lost",4,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Don","Oehlrich","FL","7",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",5.1,FALSE,FALSE,4,2,4,3,2,2,4,4,4,4,2,4,2,4,8
"John","Mica","FL","7",FALSE,"R","R","Republican",44,TRUE,0,TRUE,"won",72.2,TRUE,FALSE,2,2,2,2,4,2,2,2,2,4,2,1,2,4,3
"David","Smith","FL","7",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",18.7,FALSE,FALSE,2,2,2,3,4,2,4,3,2,4,2,1,4,2,4
"Bill","Posey","FL","8",FALSE,"R","R","Republican",11,TRUE,0,FALSE,"won",100,TRUE,FALSE,2,2,2,3,4,2,4,2,4,2,2,1,4,1,4
"Gabriel","Rothblatt","FL","8",FALSE,"D","D","Democrat",66,FALSE,0,FALSE,"won",100,FALSE,FALSE,1,3,4,1,1,4,1,4,4,1,4,4,4,4,8
"Alan","Grayson","FL","9",FALSE,"D","D","Democrat",66,TRUE,0,TRUE,"won",74.3,TRUE,FALSE,1,3,4,1,1,1,1,1,2,1,2,2,4,4,3
"Carol","Platt","FL","9",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"won",54.6,FALSE,TRUE,4,4,4,4,4,2,4,4,4,4,4,4,4,4,13
"Jorge","Bonilla","FL","9",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",29.8,FALSE,FALSE,1,2,2,3,2,2,2,2,2,4,2,1,4,4,3
"Peter","Vivaldi","FL","9",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",15.6,FALSE,FALSE,4,4,4,3,4,4,2,2,4,4,2,1,2,2,7
"Nick","Ruiz","FL","9",FALSE,"D","D","Democrat",66,FALSE,0,TRUE,"lost",25.7,FALSE,FALSE,1,3,4,4,1,4,1,4,4,1,4,4,4,4,9
"Darwin","Carter","GA","1",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",5.37,FALSE,FALSE,4,4,4,2,4,4,4,4,4,4,2,4,2,2,10
"Earl","Martin","GA","1",FALSE,"R","R","Republican",100,FALSE,1,TRUE,"lost",2.03,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Marc","Smith","GA","1",FALSE,"D","D","Democrat",88,FALSE,1,TRUE,"lost",32.24,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Bob","Johnson","GA","1",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"runoff",22.71,FALSE,FALSE,2,2,4,4,4,4,4,4,4,4,4,4,4,2,11
"Amy","Tavio","GA","1",FALSE,"D","D","Democrat",66,FALSE,1,TRUE,"runoff",33.94,FALSE,TRUE,4,1,4,1,1,4,4,4,4,4,4,4,4,4,11
"Brian","Reese","GA","1",FALSE,"D","D","Democrat",100,FALSE,1,TRUE,"runoff",33.82,FALSE,FALSE,4,4,4,4,4,4,1,4,4,1,4,4,4,4,12
"Jeff","Chapman","GA","1",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",13.19,TRUE,FALSE,2,2,4,2,4,2,2,4,4,4,2,4,2,2,6
"Earl (Buddy)","Carter","GA","1",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"runoff",36.23,TRUE,FALSE,2,2,4,2,4,4,2,4,2,4,2,4,2,4,7
"John","McCallum","GA","1",FALSE,"R","R","Republican",11,FALSE,1,TRUE,"lost",20.47,FALSE,FALSE,4,2,4,4,4,4,4,4,4,4,2,4,2,2,10
"Brian","Slowinski","GA","10",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",1.97,FALSE,FALSE,2,2,4,4,4,2,2,4,4,2,2,4,2,2,6
"Mike","Collins","GA","10",FALSE,"R","R","Republican",11,FALSE,1,TRUE,"runoff",32.98,FALSE,FALSE,2,2,4,2,4,2,2,3,4,2,2,1,2,2,3
"Mitchell","Swan","GA","10",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",4.17,FALSE,FALSE,3,2,4,2,4,2,2,2,4,4,2,1,2,3,4
"Stephen","Simpson","GA","10",FALSE,"R","R","Republican",11,FALSE,1,TRUE,"lost",4.66,FALSE,FALSE,2,2,4,2,4,2,2,4,2,4,2,1,2,2,4
"Jody","Hice","GA","10",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"runoff",33.5,FALSE,FALSE,2,2,4,2,4,2,2,4,4,4,2,4,2,4,7
"Donna","Sheldon","GA","10",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"lost",15.34,TRUE,TRUE,2,2,4,2,4,2,2,4,3,4,2,1,2,4,5
"Ken","Dious","GA","10",FALSE,"D","D","Democrat",88,FALSE,1,FALSE,"won",100,FALSE,FALSE,1,1,4,1,4,4,4,4,4,4,3,4,4,4,10
"Gary","Gerrard","GA","10",FALSE,"R","R","Republican",11,FALSE,1,TRUE,"lost",7.38,FALSE,FALSE,2,2,4,2,4,2,4,4,4,4,2,4,2,2,7
"Edward","Lindsey","GA","11",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",14.83,TRUE,FALSE,2,2,4,2,4,4,4,4,4,4,2,1,2,2,7
"Larry","Mrozinski","GA","11",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",4.02,FALSE,FALSE,3,2,2,2,4,2,2,4,4,4,2,1,2,2,4
"Tricia","Pridemore","GA","11",FALSE,"R","R","Republican",11,FALSE,1,TRUE,"lost",17.06,FALSE,TRUE,2,2,4,2,4,2,2,4,4,4,2,4,4,4,8
"Barry","Loudermilk","GA","11",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"runoff",36.6,TRUE,FALSE,4,2,4,2,4,2,2,4,2,4,2,4,2,4,7
"Allan","Levene","GA","11",FALSE,"R","R","Republican",55,FALSE,1,TRUE,"lost",1.69,FALSE,FALSE,4,2,4,2,4,4,4,4,4,4,2,4,4,4,11
"Bob","Barr","GA","11",FALSE,"R","R","Republican",55,FALSE,1,TRUE,"runoff",25.8,TRUE,FALSE,2,2,4,2,4,2,4,4,4,4,2,4,2,2,7
"Diane","Vann","GA","12",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",2.66,FALSE,TRUE,4,4,4,4,4,4,4,3,4,4,2,1,4,4,11
"Eugene","Yu","GA","12",FALSE,"R","R","Republican",55,FALSE,0,TRUE,"lost",16.53,FALSE,FALSE,4,2,4,2,4,2,4,4,2,4,2,4,2,4,8
"John","Barrow","GA","12",FALSE,"D","D","Democrat",77,TRUE,0,FALSE,"won",100,TRUE,FALSE,4,1,4,4,4,2,4,3,4,4,3,1,4,4,9
"Rick","Allen","GA","12",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"won",53.99,FALSE,FALSE,2,2,4,2,4,2,2,4,4,2,2,4,2,2,5
"John","Stone","GA","12",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",12.55,FALSE,FALSE,2,2,4,2,4,2,4,4,4,4,2,4,2,4,8
"Delvis","Dutton","GA","12",FALSE,"R","R","Republican",33,FALSE,0,TRUE,"lost",14.28,TRUE,FALSE,2,2,4,4,4,2,4,4,4,4,2,4,4,4,10
"David","Scott","GA","13",FALSE,"D","D","Democrat",77,TRUE,0,TRUE,"won",82.26,TRUE,FALSE,3,1,4,1,1,3,1,1,4,3,3,4,3,3,3
"Michael","Owens","GA","13",FALSE,"D","D","Democrat",77,FALSE,0,TRUE,"lost",17.74,FALSE,FALSE,1,4,4,3,1,3,4,1,4,1,4,4,4,4,8
"Ken","Herron","GA","14",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",25.94,FALSE,FALSE,2,2,2,3,4,4,4,4,2,4,2,4,2,4,7
"Tom","Graves","GA","14",FALSE,"R","R","Republican",22,TRUE,0,TRUE,"won",74.06,TRUE,FALSE,2,2,4,2,4,4,4,4,2,4,2,4,2,4,8
"Sanford D","Bishop","GA","2",FALSE,"D","D","Democrat",88,TRUE,0,FALSE,"won",100,TRUE,FALSE,4,3,4,2,4,4,4,1,4,4,4,4,4,2,10
"Greg","Duke","GA","2",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"won",69.37,FALSE,FALSE,2,4,4,2,4,4,4,4,4,4,4,4,2,2,10
"Vivian","Childs","GA","2",FALSE,"R","R","Republican",100,FALSE,0,TRUE,"lost",30.63,FALSE,TRUE,4,4,4,2,4,2,2,4,4,4,2,4,2,2,8
"Chip","Flanegan","GA","3",FALSE,"R","R","Republican",55,FALSE,0,TRUE,"lost",30.53,FALSE,FALSE,2,2,4,2,4,2,2,4,4,4,2,4,2,4,7
"Lynn","Westmoreland","GA","3",FALSE,"R","R","Republican",22,TRUE,0,TRUE,"won",69.47,TRUE,FALSE,2,2,2,2,4,2,2,4,4,2,2,4,2,2,4
"Thomas","Brown","GA","4",FALSE,"D","D","Democrat",77,FALSE,0,TRUE,"lost",45.24,FALSE,FALSE,4,1,4,4,4,4,4,4,4,1,2,3,4,4,10
"Hank","Johnson","GA","4",FALSE,"D","D","Democrat",77,TRUE,0,TRUE,"won",54.76,TRUE,FALSE,1,1,4,1,1,4,1,1,4,1,3,4,1,3,4
"John","Lewis","GA","5",FALSE,"D","D","Democrat",77,TRUE,0,FALSE,"won",100,TRUE,FALSE,4,1,4,1,1,4,4,1,4,1,3,4,4,4,8
"Robert","Montigel","GA","6",FALSE,"D","D","Democrat",88,FALSE,0,FALSE,"won",100,FALSE,FALSE,4,4,4,4,1,4,4,4,4,4,3,4,4,3,11
"Tom","Price","GA","6",FALSE,"R","R","Republican",22,TRUE,0,FALSE,"won",100,TRUE,FALSE,4,2,4,2,4,2,4,4,4,4,2,4,4,4,10
"Thomas","Wight","GA","7",FALSE,"D","D","Democrat",100,FALSE,0,FALSE,"won",100,FALSE,FALSE,4,2,4,4,4,4,3,4,4,4,4,4,4,4,12
"Rob","Woodall","GA","7",FALSE,"R","R","Republican",44,TRUE,0,FALSE,"won",100,TRUE,FALSE,4,2,4,3,4,2,4,2,4,4,2,4,4,2,8
"Austin","Scott","GA","8",FALSE,"R","R","Republican",22,TRUE,0,FALSE,"won",100,TRUE,FALSE,3,2,4,3,4,2,4,4,4,4,2,4,4,2,8
"Doug","Collins","GA","9",FALSE,"R","R","Republican",11,TRUE,0,TRUE,"won",80.23,TRUE,FALSE,2,2,4,2,4,2,4,4,4,4,2,1,2,2,6
"David","Vogel","GA","9",FALSE,"D","D","Democrat",100,FALSE,0,FALSE,"won",100,FALSE,FALSE,4,4,4,1,4,4,3,4,4,3,3,4,3,4,9
"Bernard","Fontaine","GA","9",FALSE,"R","R","Republican",55,FALSE,0,TRUE,"lost",19.77,FALSE,FALSE,2,2,4,2,4,2,3,4,4,3,2,4,2,4,6
"Phil","Gingrey","GA","SEN",TRUE,"R","R","Republican",22,FALSE,NA,TRUE,"lost",10.03,TRUE,FALSE,2,2,4,2,4,2,2,4,4,2,2,1,2,2,4
"Steen","Miles","GA","SEN",TRUE,"D","D","Democrat",77,FALSE,NA,TRUE,"lost",11.99,TRUE,TRUE,1,1,4,1,1,1,1,1,4,1,3,4,1,4,4
"Derrick","Grayson","GA","SEN",TRUE,"R","R","Republican",22,FALSE,NA,TRUE,"lost",1,FALSE,FALSE,2,2,4,2,4,2,2,4,2,3,2,4,2,1,4
"Michelle","Nunn","GA","SEN",TRUE,"D","D","Democrat",88,FALSE,NA,TRUE,"won",74.96,FALSE,TRUE,4,3,4,3,1,4,1,1,4,4,2,4,2,3,6
"Paul","Broun","GA","SEN",TRUE,"R","R","Republican",22,FALSE,NA,TRUE,"lost",9.64,TRUE,FALSE,2,2,4,2,4,2,4,4,4,4,2,1,2,4,7
"Art","Gardner","GA","SEN",TRUE,"R","R","Republican",55,FALSE,NA,TRUE,"lost",0.94,FALSE,FALSE,3,2,4,2,4,2,1,4,2,1,2,4,2,3,4
"Todd","Robinson","GA","SEN",TRUE,"D","D","Democrat",100,FALSE,NA,TRUE,"lost",9.67,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"David","Perdue","GA","SEN",TRUE,"R","R","Republican",11,FALSE,NA,TRUE,"runoff",30.64,FALSE,FALSE,2,2,4,2,4,2,2,4,4,2,2,4,2,4,6
"Branko","Radulovacki","GA","SEN",TRUE,"D","D","Democrat",66,FALSE,NA,TRUE,"lost",3.38,FALSE,FALSE,1,1,4,1,1,1,1,1,3,1,1,2,1,1,1
"Jack","Kingston","GA","SEN",TRUE,"R","R","Republican",11,FALSE,NA,TRUE,"runoff",25.79,TRUE,FALSE,4,2,4,2,4,2,2,4,4,2,2,4,2,2,6
"Karen","Handel","GA","SEN",TRUE,"R","R","Republican",22,FALSE,NA,TRUE,"lost",21.96,TRUE,TRUE,3,2,4,2,4,2,2,4,4,4,2,4,2,4,7
"Stanley","Chang","HI","1",FALSE,"D","D","Democrat",66,FALSE,1,TRUE,"lost",9.8,TRUE,FALSE,1,4,4,1,1,1,1,1,4,1,2,2,4,4,5
"Allan","Levene","HI","1",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"lost",3.4,FALSE,FALSE,2,2,2,2,4,2,4,4,2,4,2,4,2,1,5
"Will","Espero","HI","1",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",3.7,TRUE,FALSE,1,4,4,4,4,1,4,1,4,1,4,4,4,4,10
"Kathryn","Xian","HI","1",FALSE,"D","D","Democrat",66,FALSE,1,TRUE,"lost",2.5,FALSE,TRUE,1,1,4,1,1,1,1,1,2,1,2,4,4,1,3
"Charles","Djou","HI","1",FALSE,"R","R","Republican",11,FALSE,1,TRUE,"won",91,TRUE,FALSE,4,2,4,2,4,2,4,4,4,2,2,4,4,4,9
"Mark","Takai","HI","1",FALSE,"D","D","Democrat",66,FALSE,1,TRUE,"won",42.6,TRUE,FALSE,4,4,4,1,1,1,1,1,4,1,2,4,4,1,6
"Joey","Manahan","HI","1",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",3.6,TRUE,FALSE,1,3,4,1,1,4,1,1,4,1,4,4,4,4,7
"Ikaika","Anderson","HI","1",FALSE,"D","D","Democrat",66,FALSE,1,TRUE,"lost",6.4,TRUE,FALSE,1,3,4,1,1,4,1,1,2,1,2,3,4,4,4
"Donna Mercado","Kim","HI","1",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",27.2,TRUE,TRUE,1,3,4,4,4,4,1,1,4,4,2,4,4,4,9
"Kawika","Crowley","HI","2",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"won",42.7,FALSE,FALSE,4,2,4,4,4,4,2,4,4,1,2,4,2,2,8
"Tulsi","Gabbard","HI","2",FALSE,"D","D","Democrat",66,TRUE,0,FALSE,"won",80.6,TRUE,TRUE,1,3,4,1,1,4,1,1,2,1,2,4,2,2,3
"Marisa Dipasupil","Capeluto","HI","2",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",32.5,FALSE,TRUE,4,4,4,2,4,4,4,4,4,4,4,4,2,4,12
"Brian","Schatz","HI","SSN",TRUE,"D","D","Democrat",66,TRUE,NA,TRUE,"won",48.5,TRUE,FALSE,1,1,4,1,1,1,1,1,2,1,2,2,4,4,3
"Cam","Cavasso","HI","SSN",TRUE,"R","R","Republican",11,FALSE,NA,TRUE,"won",58.6,TRUE,FALSE,4,4,4,3,4,4,2,4,2,2,2,4,4,2,8
"Eddie","Pirkowski","HI","SSN",TRUE,"R","R","Republican",44,FALSE,NA,TRUE,"lost",4.6,FALSE,FALSE,1,2,4,3,1,1,3,1,2,3,2,4,4,4,4
"John","Roco","HI","SSN",TRUE,"R","R","Republican",33,FALSE,NA,TRUE,"lost",10,FALSE,FALSE,4,4,4,4,4,4,4,4,4,2,4,4,4,4,13
"Brian","Evans","HI","SSN",TRUE,"D","D","Democrat",100,FALSE,NA,TRUE,"lost",2,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Colleen","Hanabusa","HI","SSN",TRUE,"D","D","Democrat",77,FALSE,NA,TRUE,"lost",47.8,TRUE,TRUE,4,1,4,4,1,1,1,1,4,1,4,3,4,2,6
"Harry","Friel","HI","SSN",TRUE,"R","R","Republican",100,FALSE,NA,TRUE,"lost",7.9,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Monica","Vernon","IA","1",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",23.6,TRUE,TRUE,4,3,4,4,1,4,1,1,4,1,4,4,4,4,9
"Pat","Murphy","IA","1",FALSE,"D","D","Democrat",66,FALSE,1,TRUE,"won",36.7,TRUE,FALSE,4,1,4,4,1,1,1,1,4,1,4,2,4,4,7
"Steve","Rathje","IA","1",FALSE,"R","R","Republican",11,FALSE,1,TRUE,"lost",37.2,FALSE,FALSE,2,2,4,2,4,2,2,2,4,2,2,4,4,4,6
"Dave","O'Brien","IA","1",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",6.7,FALSE,FALSE,4,1,4,1,1,4,4,1,2,4,4,4,4,4,9
"Swati","Dandekar","IA","1",FALSE,"D","D","Democrat",77,FALSE,1,TRUE,"lost",18.3,TRUE,TRUE,1,1,4,4,1,4,1,1,4,1,4,4,4,4,8
"Anesa","Kajtazovic","IA","1",FALSE,"D","D","Democrat",66,FALSE,1,TRUE,"lost",14.7,TRUE,TRUE,4,1,4,4,1,4,1,4,4,4,4,2,4,4,10
"Rod","Blum","IA","1",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"won",55,FALSE,FALSE,4,2,4,4,4,4,2,4,2,4,2,4,2,4,9
"Gail","Boliver","IA","1",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"lost",7.9,TRUE,FALSE,1,3,4,4,4,4,4,4,4,3,2,4,4,4,10
"Matthew","Waldren","IA","2",FALSE,"R","R","Republican",33,FALSE,0,TRUE,"lost",12.3,FALSE,FALSE,2,2,4,3,4,2,2,2,4,2,2,4,2,4,5
"Dave","Loebsack","IA","2",FALSE,"D","D","Democrat",66,TRUE,0,FALSE,"won",100,TRUE,FALSE,4,1,4,2,1,4,1,1,4,1,3,1,1,3,4
"Mariannette","Miller-Meeks","IA","2",FALSE,"R","R","Republican",44,FALSE,0,TRUE,"won",49.4,FALSE,TRUE,4,2,4,4,4,4,4,4,4,4,4,4,4,4,13
"Mark","Lofgren","IA","2",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",38.2,TRUE,FALSE,4,4,4,4,4,4,2,4,4,2,2,4,4,4,11
"Monte","Shaw","IA","3",FALSE,"R","R","Republican",11,FALSE,1,TRUE,"lost",17,FALSE,FALSE,4,2,4,2,4,2,2,3,4,4,2,1,2,4,6
"Robert","Cramer","IA","3",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"lost",21.3,TRUE,FALSE,4,2,4,2,4,2,2,4,4,2,2,4,2,4,7
"Staci","Appel","IA","3",FALSE,"D","D","Democrat",88,FALSE,1,FALSE,"won",100,TRUE,TRUE,4,1,4,4,1,4,1,1,4,1,1,4,2,4,7
"Joe","Grandanette","IA","3",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"lost",1.6,FALSE,FALSE,2,2,4,4,4,2,2,4,2,2,4,4,4,4,8
"Brad","Zaun","IA","3",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"lost",24.8,TRUE,FALSE,4,2,4,2,4,4,4,4,4,4,2,4,2,4,10
"David","Young","IA","3",FALSE,"R","R","Republican",44,FALSE,1,TRUE,"won",15.5,FALSE,FALSE,4,2,4,3,4,4,4,4,4,4,2,4,4,4,11
"Matt","Schultz","IA","3",FALSE,"R","R","Republican",22,FALSE,1,TRUE,"lost",19.9,TRUE,FALSE,4,2,4,2,4,2,4,4,2,4,2,4,4,4,9
"Steve","King","IA","4",FALSE,"R","R","Republican",22,TRUE,0,FALSE,"won",100,TRUE,FALSE,2,2,4,2,2,2,2,4,4,2,2,1,2,4,4
"Jim","Mowrer","IA","4",FALSE,"D","D","Democrat",77,FALSE,0,FALSE,"won",100,FALSE,FALSE,4,4,4,4,1,4,4,4,4,4,4,4,4,1,12
"Scott","Schaben","IA","SEN",TRUE,"R","R","Republican",44,FALSE,NA,TRUE,"lost",1.4,FALSE,FALSE,2,2,4,4,4,2,2,3,4,1,2,4,4,4,7
"Matt","Whitaker","IA","SEN",TRUE,"R","R","Republican",44,FALSE,NA,TRUE,"lost",7.5,FALSE,FALSE,4,2,4,4,4,2,2,4,4,4,2,4,4,4,10
"Joni","Ernst","IA","SEN",TRUE,"R","R","Republican",44,FALSE,NA,TRUE,"won",56.2,TRUE,TRUE,4,2,4,2,4,2,2,4,4,2,2,4,2,2,6
"Sam","Clovis","IA","SEN",TRUE,"R","R","Republican",22,FALSE,NA,TRUE,"lost",18,FALSE,FALSE,2,2,4,3,4,2,2,4,4,2,2,4,2,2,5
"Mark","Jacobs","IA","SEN",TRUE,"R","R","Republican",11,FALSE,NA,TRUE,"lost",16.8,FALSE,FALSE,4,2,4,3,4,2,2,4,4,2,2,4,2,2,6
"Bruce","Braley","IA","SEN",TRUE,"D","D","Democrat",77,FALSE,NA,FALSE,"won",100,TRUE,FALSE,4,1,4,4,1,4,1,1,4,1,2,1,2,1,5
"Lisa","Marie","ID","1",FALSE,"R","R","Republican",100,FALSE,0,TRUE,"lost",7.2,FALSE,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Ryan","Barone","ID","1",FALSE,"D","D","Democrat",100,FALSE,0,TRUE,"lost",18,FALSE,FALSE,4,4,4,4,1,2,1,1,4,1,4,4,4,4,9
"Michael","Greenway","ID","1",FALSE,"R","R","Republican",11,FALSE,0,TRUE,"lost",4.9,FALSE,FALSE,4,3,4,2,4,2,4,2,4,4,2,1,2,4,7
"Reed","McCandless","ID","1",FALSE,"R","R","Republican",100,FALSE,0,TRUE,"lost",4.7,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Raul","Labrador","ID","1",FALSE,"R","R","Republican",22,TRUE,0,TRUE,"won",78.6,TRUE,FALSE,2,2,4,2,4,2,2,4,4,2,2,4,2,4,6
"Shirley","Ringo","ID","1",FALSE,"D","D","Democrat",66,FALSE,0,TRUE,"won",82,TRUE,TRUE,1,3,4,1,1,4,4,3,4,4,4,4,1,4,8
"Sean","Blackwell","ID","1",FALSE,"R","R","Republican",55,FALSE,0,TRUE,"lost",4.6,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,2,4,4,4,13
"Richard","Stallings","ID","2",FALSE,"D","D","Democrat",77,FALSE,0,FALSE,"won",100,TRUE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Michael","Simpson","ID","2",FALSE,"R","R","Republican",11,TRUE,0,TRUE,"won",61.6,TRUE,FALSE,2,2,4,2,4,2,4,2,4,4,2,4,2,4,7
"Bryan","Smith","ID","2",FALSE,"R","R","Republican",22,FALSE,0,TRUE,"lost",38.4,FALSE,FALSE,3,4,4,2,4,2,2,4,4,4,2,4,2,4,8
"Jim","Risch","ID","SEN",TRUE,"R","R","Republican",11,TRUE,NA,TRUE,"won",79.9,TRUE,FALSE,4,2,2,2,4,2,2,4,4,2,2,1,2,2,4
"William","Bryk","ID","SEN",TRUE,"D","D","Democrat",100,FALSE,NA,TRUE,"lost",30.4,FALSE,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14
"Nels","Mitchell","ID","SEN",TRUE,"D ","D","Democrat",77,FALSE,NA,TRUE,"won",69.6,FALSE,FALSE,4,4,4,1,1,4,4,4,4,4,4,4,3,4,11
