"bioguide","name","last","state","cd","party","start","end","black","hisp","both"
"R000305","Deborah K. Ross","Ross","NC",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001210","Gregory F. Murphy","Murphy","NC",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"F000477","Valerie P. Foushee","Foushee","NC",4,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"F000450","Virginia Foxx","Foxx","NC",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001135","Kathy E. Manning","Manning","NC",6,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"R000603","David Rouzer","Rouzer","NC",7,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001311","Dan Bishop","Bishop","NC",8,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001067","Richard Hudson","Hudson","NC",9,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001156","Patrick T. McHenry","McHenry","NC",10,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"E000246","Chuck Edwards","Edwards","NC",11,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"A000370","Alma S. Adams","Adams","NC",12,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"N000194","Wiley Nickel","Nickel","NC",13,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000308","Jeff Jackson","Jackson","NC",14,"Democrat",2023-01-03,2024-12-31,FALSE,FALSE,FALSE
"A000377","Kelly Armstrong","Armstrong","ND",0,"Republican",2023-01-03,2024-12-14,FALSE,FALSE,FALSE
"F000474","Mike Flood","Flood","NE",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001298","Don Bacon","Bacon","NE",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001172","Adrian Smith","Smith","NE",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000614","Chris Pappas","Pappas","NH",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000382","Ann M. Kuster","Kuster","NH",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"N000188","Donald Norcross","Norcross","NJ",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"V000133","Jefferson Van Drew","Van Drew","NJ",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000394","Andy Kim","Kim","NJ",3,"Democrat",2023-01-03,2024-12-08,FALSE,FALSE,FALSE
"S000522","Christopher H. Smith","Smith","NJ",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000583","Josh Gottheimer","Gottheimer","NJ",5,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000034","Frank Pallone, Jr.","Pallone","NJ",6,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000398","Thomas H. Kean, Jr.","Kean","NJ",7,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001226","Robert Menendez","Menendez","NJ",8,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"P000096","Bill Pascrell, Jr.","Pascrell","NJ",9,"Democrat",2023-01-03,2024-08-21,FALSE,FALSE,FALSE
"P000604","Donald M. Payne, Jr.","Payne","NJ",10,"Democrat",2023-01-03,2024-04-24,TRUE,FALSE,FALSE
"M001229","LaMonica McIver","McIver","NJ",10,"Democrat",2024-09-18,2025-01-03,TRUE,FALSE,FALSE
"S001207","Mikie Sherrill","Sherrill","NJ",11,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000822","Bonnie Watson Coleman","Watson Coleman","NJ",12,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"S001218","Melanie A. Stansbury","Stansbury","NM",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"V000136","Gabe Vasquez","Vasquez","NM",2,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"L000273","Teresa Leger Fernandez","Leger Fernandez","NM",3,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"T000468","Dina Titus","Titus","NV",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"A000369","Mark E. Amodei","Amodei","NV",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000590","Susie Lee","Lee","NV",3,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001066","Steven Horsford","Horsford","NV",4,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"L000598","Nick LaLota","LaLota","NY",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000597","Andrew R. Garbarino","Garbarino","NY",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001222","George Santos","Santos","NY",3,"Republican",2023-01-03,2023-12-01,FALSE,TRUE,FALSE
"S001201","Thomas R. Suozzi","Suozzi","NY",3,"Democrat",2024-02-13,2025-01-03,FALSE,FALSE,FALSE
"D000632","Anthony D’Esposito","D'Esposito","NY",4,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"M001137","Gregory W. Meeks","Meeks","NY",5,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"M001188","Grace Meng","Meng","NY",6,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"V000081","Nydia M. Velázquez","Velázquez","NY",7,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"J000294","Hakeem S. Jeffries","Jeffries","NY",8,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"C001067","Yvette D. Clarke","Clarke","NY",9,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"G000599","Daniel S. Goldman","Goldman","NY",10,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M000317","Nicole Malliotakis","Malliotakis","NY",11,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"N000002","Jerrold Nadler","Nadler","NY",12,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"E000297","Adriano Espaillat","Espaillat","NY",13,"Democrat",2023-01-03,2025-01-03,TRUE,TRUE,TRUE
"O000172","Alexandria Ocasio-Cortez","Ocasio-Cortez","NY",14,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"T000486","Ritchie Torres","Torres","NY",15,"Democrat",2023-01-03,2025-01-03,TRUE,TRUE,TRUE
"B001223","Jamaal Bowman","Bowman","NY",16,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"L000599","Michael Lawler","Lawler","NY",17,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"R000579","Patrick Ryan","Ryan","NY",18,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001221","Marcus J. Molinaro","Molinaro","NY",19,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000469","Paul Tonko","Tonko","NY",20,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001196","Elise M. Stefanik","Stefanik","NY",21,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000828","Brandon Williams","Williams","NY",22,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000600","Nicholas A. Langworthy","Langworthy","NY",23,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000478","Claudia Tenney","Tenney","NY",24,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001206","Joseph D. Morelle","Morelle","NY",25,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001038","Brian Higgins","Higgins","NY",26,"Democrat",2023-01-03,2024-02-02,FALSE,FALSE,FALSE
"K000402","Timothy M. Kennedy","Kennedy","NY",26,"Democrat",2024-05-06,2025-01-03,FALSE,FALSE,FALSE
"L000601","Greg Landsman","Landsman","OH",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000815","Brad R. Wenstrup","Wenstrup","OH",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001281","Joyce Beatty","Beatty","OH",3,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"J000289","Jim Jordan","Jordan","OH",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000566","Robert E. Latta","Latta","OH",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000292","Bill Johnson","Johnson","OH",6,"Republican",2023-01-03,2024-01-21,FALSE,FALSE,FALSE
"R000619","Michael A. Rulli","Rulli","OH",6,"Republican",2024-06-11,2025-01-03,FALSE,FALSE,FALSE
"M001222","Max L. Miller","Miller","OH",7,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000626","Warren Davidson","Davidson","OH",8,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000009","Marcy Kaptur","Kaptur","OH",9,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000463","Michael R. Turner","Turner","OH",10,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001313","Shontel M. Brown","Brown","OH",11,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"B001306","Troy Balderson","Balderson","OH",12,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001223","Emilia Strong Sykes","Sykes","OH",13,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"J000295","David P. Joyce","Joyce","OH",14,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001126","Mike Carey","Carey","OH",15,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001082","Kevin Hern","Hern","OK",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001317","Josh Brecheen","Brecheen","OK",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000491","Frank D. Lucas","Lucas","OK",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001053","Tom Cole","Cole","OK",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B000740","Stephanie I. Bice","Bice","OK",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001278","Suzanne Bonamici","Bonamici","OR",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B000668","Cliff Bentz","Bentz","OR",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B000574","Earl Blumenauer","Blumenauer","OR",3,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001094","Val T. Hoyle","Hoyle","OR",4,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001135","Lori Chavez-DeRemer","Chavez-DeRemer","OR",5,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"S001226","Andrea Salinas","Salinas","OR",6,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"F000466","Brian K. Fitzpatrick","Fitzpatrick","PA",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001296","Brendan F. Boyle","Boyle","PA",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"E000296","Dwight Evans","Evans","PA",3,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"D000631","Madeleine Dean","Dean","PA",4,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001205","Mary Gay Scanlon","Scanlon","PA",5,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001085","Chrissy Houlahan","Houlahan","PA",6,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000826","Susan Wild","Wild","PA",7,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001090","Matt Cartwright","Cartwright","PA",8,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001204","Daniel Meuser","Meuser","PA",9,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000605","Scott Perry","Perry","PA",10,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001199","Lloyd Smucker","Smucker","PA",11,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000602","Summer L. Lee","Lee","PA",12,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"J000302","John Joyce","Joyce","PA",13,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"R000610","Guy Reschenthaler","Reschenthaler","PA",14,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000467","Glenn Thompson","Thompson","PA",15,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000376","Mike Kelly","Kelly","PA",16,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000530","Christopher R. Deluzio","Deluzio","PA",17,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001084","David N. Cicilline","Cicilline","RI",1,"Democrat",2023-01-03,2023-05-31,FALSE,FALSE,FALSE
"A000380","Gabe Amo","Amo","RI",1,"Democrat",2023-11-07,2025-01-03,TRUE,FALSE,FALSE
"M001223","Seth Magaziner","Magaziner","RI",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M000194","Nancy Mace","Mace","SC",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000795","Joe Wilson","Wilson","SC",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000615","Jeff Duncan","Duncan","SC",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000480","William R. Timmons IV","Timmons","SC",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"N000190","Ralph Norman","Norman","SC",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C000537","James E. Clyburn","Clyburn","SC",6,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"F000478","Russell Fry","Fry","SC",7,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000301","Dusty Johnson","Johnson","SD",0,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001086","Diana Harshbarger","Harshbarger","TN",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001309","Tim Burchett","Burchett","TN",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"F000459","Charles J. ""Chuck"" Fleischmann","Fleischmann","TN",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000616","Scott DesJarlais","DesJarlais","TN",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"O000175","Andrew Ogles","Ogles","TN",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"R000612","John W. Rose","Rose","TN",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000590","Mark E. Green","Green","TN",7,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000392","David Kustoff","Kustoff","TN",8,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001068","Steve Cohen","Cohen","TN",9,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001224","Nathaniel Moran","Moran","TX",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001120","Dan Crenshaw","Crenshaw","TX",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001224","Keith Self","Self","TX",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"F000246","Pat Fallon","Fallon","TX",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000589","Lance Gooden","Gooden","TX",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"E000071","Jake Ellzey","Ellzey","TX",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"F000468","Lizzie Fletcher","Fletcher","TX",7,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000603","Morgan Luttrell","Luttrell","TX",8,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000553","Al Green","Green","TX",9,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"M001157","Michael T. McCaul","McCaul","TX",10,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000048","August Pfluger","Pfluger","TX",11,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000377","Kay Granger","Granger","TX",12,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000304","Ronny Jackson","Jackson","TX",13,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000814","Randy K. Weber, Sr.","Weber","TX",14,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000594","Monica De La Cruz","De La Cruz","TX",15,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"E000299","Veronica Escobar","Escobar","TX",16,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"S000250","Pete Sessions","Sessions","TX",17,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000032","Sheila Jackson Lee","Jackson Lee","TX",18,"Democrat",2023-01-03,2024-07-19,TRUE,FALSE,FALSE
"L000605","Erica Lee Carter","Lee Carter","TX",18,"Democrat",2024-11-05,2025-01-03,TRUE,FALSE,FALSE
"A000375","Jodey C. Arrington","Arrington","TX",19,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001091","Joaquin Castro","Castro","TX",20,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"R000614","Chip Roy","Roy","TX",21,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"N000026","Troy E. Nehls","Nehls","TX",22,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000594","Tony Gonzales","Gonzales","TX",23,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"V000134","Beth Van Duyne","Van Duyne","TX",24,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000816","Roger Williams","Williams","TX",25,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001248","Michael C. Burgess","Burgess","TX",26,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001115","Michael Cloud","Cloud","TX",27,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001063","Henry Cuellar","Cuellar","TX",28,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"G000587","Sylvia R. Garcia","Garcia","TX",29,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"C001130","Jasmine Crockett","Crockett","TX",30,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"C001051","John R. Carter","Carter","TX",31,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"A000376","Colin Z. Allred","Allred","TX",32,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"V000131","Marc A. Veasey","Veasey","TX",33,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"G000581","Vicente Gonzalez","Gonzalez","TX",34,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"C001131","Greg Casar","Casar","TX",35,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"B001291","Brian Babin","Babin","TX",36,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000399","Lloyd Doggett","Doggett","TX",37,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"H001095","Wesley Hunt","Hunt","TX",38,"Republican",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"M001213","Blake D. Moore","Moore","UT",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001192","Chris Stewart","Stewart","UT",2,"Republican",2023-01-03,2023-09-15,FALSE,FALSE,FALSE
"M001228","Celeste Maloy","Maloy","UT",2,"Republican",2023-11-21,2025-01-03,FALSE,FALSE,FALSE
"C001114","John R. Curtis","Curtis","UT",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"O000086","Burgess Owens","Owens","UT",4,"Republican",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"W000804","Robert J. Wittman","Wittman","VA",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000399","Jennifer A. Kiggans","Kiggans","VA",2,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S000185","Robert C. ""Bobby"" Scott","Scott","VA",3,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"M001227","Jennifer L. McClellan","McClellan","VA",4,"Democrat",2023-03-07,2025-01-03,TRUE,FALSE,FALSE
"G000595","Bob Good","Good","VA",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001118","Ben Cline","Cline","VA",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001209","Abigail Davis Spanberger","Spanberger","VA",7,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001292","Donald S. Beyer, Jr.","Beyer","VA",8,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000568","H. Morgan Griffith","Griffith","VA",9,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"W000825","Jennifer Wexton","Wexton","VA",10,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"C001078","Gerald E. Connolly","Connolly","VA",11,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"B001318","Becca Balint","Balint","VT",0,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"D000617","Suzan K. DelBene","DelBene","WA",1,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"L000560","Rick Larsen","Larsen","WA",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000600","Marie Gluesenkamp Perez","Gluesenkamp Perez","WA",3,"Democrat",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"N000189","Dan Newhouse","Newhouse","WA",4,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001159","Cathy McMorris Rodgers","McMorris Rodgers","WA",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"K000381","Derek Kilmer","Kilmer","WA",6,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"J000298","Pramila Jayapal","Jayapal","WA",7,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001216","Kim Schrier","Schrier","WA",8,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S000510","Adam Smith","Smith","WA",9,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"S001159","Marilyn Strickland","Strickland","WA",10,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"S001213","Bryan Steil","Steil","WI",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"P000607","Mark Pocan","Pocan","WI",2,"Democrat",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"V000135","Derrick Van Orden","Van Orden","WI",3,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001160","Gwen Moore","Moore","WI",4,"Democrat",2023-01-03,2025-01-03,TRUE,FALSE,FALSE
"F000471","Scott Fitzgerald","Fitzgerald","WI",5,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000576","Glenn Grothman","Grothman","WI",6,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"T000165","Thomas P. Tiffany","Tiffany","WI",7,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"G000579","Mike Gallagher","Gallagher","WI",8,"Republican",2023-01-03,2024-04-24,FALSE,FALSE,FALSE
"W000829","Tony Wied","Wied","WI",8,"Republican",2024-11-05,2025-01-03,FALSE,FALSE,FALSE
"M001205","Carol D. Miller","Miller","WV",1,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
"M001195","Alexander X. Mooney","Mooney","WV",2,"Republican",2023-01-03,2025-01-03,FALSE,TRUE,FALSE
"H001096","Harriet M. Hageman","Hageman","WY",0,"Republican",2023-01-03,2025-01-03,FALSE,FALSE,FALSE
