"key","stfips","geoid","state","cd","geoname","pop_total","pop_black_low","pop_black_high","pop_hisp","pop_total_moe","pop_black_low_moe","pop_hisp_moe","vap_total","vap_black_low","vap_black_high","vap_hisp","vap_total_moe","vap_black_low_moe","vap_hisp_moe","cvap_total","cvap_black_low","cvap_black_high","cvap_hisp","cvap_total_moe","cvap_black_low_moe","cvap_hisp_moe","r_white","r_black","r_api","r_aian","r_2prace","r_hisp","state_abb","bioguide","name","party","black","hisp","both","dem_pct","rep_pct","dpres","pop_black_low_pct","pop_black_high_pct","pop_hisp_pct","pop_black_low_pct_moe","pop_hisp_pct_moe","vap_black_low_pct","vap_black_high_pct","vap_hisp_pct","vap_black_low_pct_moe","vap_hisp_pct_moe","cvap_black_low_pct","cvap_black_high_pct","cvap_hisp_pct","cvap_black_low_pct_moe","cvap_hisp_pct_moe","minority_pct"
"CA-15","06","5001800US0615","California",15,"Congressional District 15 (118th Congress), California",742870,18565,27075,193525,4002,788,2362,597920,16165,21380,144665,3503,631,1649,490190,15405,20245,100885,4493,639,2282,216960,18565,286225,1085,26510,193525,"CA","M001225","Kevin Mullin","Democrat",FALSE,FALSE,FALSE,77.7,20.4,79.2,2.49909,3.64465,26.051,0.105217,0.285307,2.70354,3.57573,24.1947,0.104337,0.236574,3.14266,4.13003,20.5808,0.127135,0.425601,26.8982
"CA-16","06","5001800US0616","California",16,"Congressional District 16 (118th Congress), California",745880,15425,24830,145200,5212,1305,4101,584590,12725,18555,101865,4794,964,2950,483135,11265,16555,73305,4897,832,2483,323960,15425,228335,925,32040,145200,"CA","E000215","Anna G. Eshoo","Democrat",FALSE,FALSE,FALSE,75.4,22.4,77.1,2.06803,3.32895,19.4669,0.174363,0.532727,2.17674,3.17402,17.425,0.163933,0.483972,2.33165,3.42658,15.1728,0.170579,0.490386,19.6018
"CA-17","06","5001800US0617","California",17,"Congressional District 17 (118th Congress), California",745400,15810,23800,119790,5095,1696,4210,598660,12760,17920,88025,4255,1224,2946,422775,11600,16425,66365,4479,1179,2396,159030,15810,424930,1565,24270,119790,"CA","K000389","Ro Khanna","Democrat",FALSE,FALSE,FALSE,72.7,25.3,74.18,2.12101,3.19292,16.0706,0.227066,0.554013,2.13143,2.99335,14.7037,0.203895,0.480874,2.74378,3.88505,15.6975,0.277353,0.541782,16.8351
"CA-18","06","5001800US0618","California",18,"Congressional District 18 (118th Congress), California",756540,15735,21960,495340,4697,1543,4812,563055,13070,16925,342065,3867,1204,3411,415605,12215,15895,218140,4844,1065,3718,140400,15735,87290,1130,16645,495340,"CA","L000397","Zoe Lofgren","Democrat",FALSE,FALSE,FALSE,71,26.9,72.52,2.07986,2.90269,65.4744,0.203546,0.489206,2.32127,3.00592,60.7516,0.213238,0.439216,2.93909,3.82454,52.4873,0.253953,0.652735,63.0729
"CA-19","06","5001800US0619","California",19,"Congressional District 19 (118th Congress), California",747225,14430,25740,184855,5029,1259,3448,601750,12475,19435,132530,4181,1036,2481,539100,12010,18730,101980,4611,1043,2562,373130,14430,143145,915,30760,184855,"CA","P000613","Jimmy Panetta","Democrat",FALSE,FALSE,FALSE,68.7,29.1,70.25,1.93115,3.44475,24.7389,0.167988,0.430355,2.07312,3.22975,22.0241,0.171561,0.382848,2.22779,3.47431,18.9167,0.19253,0.446846,24.0972
"CA-20","06","5001800US0620","California",20,"Congressional District 20 (118th Congress), California",770765,26870,37900,268500,6526,2154,5876,564690,19280,24820,175655,4878,1588,4128,528390,18770,24230,152115,4751,1595,3831,382855,26870,60245,3265,29030,268500,"CA","M001165","Kevin McCarthy","Republican",FALSE,FALSE,FALSE,36.4,61.3,37.26,3.48615,4.91719,34.8355,0.277899,0.702991,3.41426,4.39533,31.1064,0.279665,0.679843,3.5523,4.58563,28.7884,0.300166,0.677251,34.5207
"CA-21","06","5001800US0621","California",21,"Congressional District 21 (118th Congress), California",757750,34310,42710,487435,5199,1565,5287,533045,25030,29055,325195,4046,1033,3691,446335,24825,28780,250420,4212,1053,3669,146080,34310,72430,2880,14620,487435,"CA","C001059","Jim Costa","Democrat",FALSE,TRUE,FALSE,59.1,38.8,60.37,4.52788,5.63642,64.3266,0.204183,0.540395,4.69566,5.45076,61.007,0.190487,0.51482,5.56197,6.44807,56.1058,0.230009,0.628808,65.7027
"CA-22","06","5001800US0622","California",22,"Congressional District 22 (118th Congress), California",781420,32475,37965,579235,6227,2041,4930,543000,24765,27640,383120,4616,1521,3839,416825,24170,27025,265320,4594,1485,4053,126790,32475,29380,3225,10315,579235,"CA","V000129","David G. Valadao","Republican",FALSE,TRUE,FALSE,55.3,42.3,56.66,4.1559,4.85846,74.126,0.259083,0.22162,4.56077,5.09024,70.5562,0.277414,0.374293,5.7986,6.48354,63.6526,0.350486,0.673279,75.1169
"CA-23","06","5001800US0623","California",23,"Congressional District 23 (118th Congress), California",765035,61570,79245,330785,4406,3219,5936,560120,44135,52730,220920,4153,2199,4184,513555,43320,51820,185355,4709,2219,3975,304780,61570,35080,3180,29645,330785,"CA","O000019","Jay Obernolte","Republican",FALSE,FALSE,FALSE,43.9,53.7,44.98,8.048,10.3583,43.2379,0.418204,0.734868,7.87956,9.41405,39.4415,0.388223,0.687359,8.43532,10.0904,36.0925,0.425107,0.699696,47.3211
"CA-24","06","5001800US0624","California",24,"Congressional District 24 (118th Congress), California",758510,11015,19230,295875,2418,698,2225,605645,10080,15295,205360,2211,537,1563,535195,9915,14895,150550,3159,546,2556,389115,11015,36700,1525,24280,295875,"CA","C001112","Salud O. Carbajal","Democrat",FALSE,TRUE,FALSE,63.3,34.3,64.86,1.45219,2.53523,39.0074,0.091906,0.265678,1.66434,2.52541,33.9077,0.0884574,0.226447,1.8526,2.7831,28.1299,0.101431,0.447791,35.572
"CA-25","06","5001800US0625","California",25,"Congressional District 25 (118th Congress), California",773255,33390,41345,510830,4524,2885,5241,577585,26050,30910,357750,3992,2020,3856,486750,25660,30330,276015,3949,2030,4109,186675,33390,23490,4890,13980,510830,"CA","R000599","Raul Ruiz","Democrat",FALSE,TRUE,FALSE,56.7,41.4,57.8,4.31811,5.34688,66.0623,0.372242,0.556782,4.51016,5.35159,61.9389,0.34834,0.512285,5.2717,6.23112,56.7057,0.414853,0.707796,66.4491
"CA-26","06","5001800US0626","California",26,"Congressional District 26 (118th Congress), California",753065,13805,22470,329840,1609,703,1884,582485,11335,16800,233465,1825,584,1376,506210,11075,16490,173235,3316,560,2572,322610,13805,60740,1185,24890,329840,"CA","B001285","Julia Brownley","Democrat",FALSE,FALSE,FALSE,58.9,39,60.16,1.83318,2.98381,43.7997,0.0932696,0.232015,1.94597,2.88419,40.0809,0.100075,0.200086,2.18783,3.25754,34.222,0.109694,0.455961,42.0268
"CA-27","06","5001800US0627","California",27,"Congressional District 27 (118th Congress), California",744880,77890,90115,324695,4303,4061,5793,553390,56320,62630,223240,4010,2833,4048,498505,55300,61540,184675,4459,2767,3820,249130,77890,68630,1930,22600,324695,"CA","G000061","Mike Garcia","Republican",FALSE,TRUE,FALSE,55.1,42.7,56.34,10.4567,12.0979,43.5902,0.541832,0.735814,10.1773,11.3175,40.3404,0.506596,0.670545,11.0932,12.3449,37.0458,0.546119,0.690941,50.5177
"CA-28","06","5001800US0628","California",28,"Congressional District 28 (118th Congress), California",745250,28915,37955,199175,3604,2227,4387,603990,24900,30670,151350,3159,1793,3502,517865,24145,29710,127590,3915,1713,3071,205490,28915,284960,1570,25135,199175,"CA","C001080","Judy Chu","Democrat",FALSE,FALSE,FALSE,66.1,31.9,67.45,3.87991,5.09292,26.7259,0.298236,0.574298,4.12258,5.0779,25.0584,0.296075,0.564804,4.66241,5.73702,24.6377,0.328898,0.563002,29.1809
