"bioguide","black","hisp","matched","pop_total","pop_black_low_pct","r_white","r_black","r_api","r_aian","r_2prace","r_hisp","truth","bisg","surname","geo"
"M001159",FALSE,FALSE,TRUE,780505,1.67392,634345,13065,21875,8105,35400,67715,"other","other","other","other"
"M001160",TRUE,FALSE,TRUE,727085,31.8931,301275,231890,34535,2770,24445,132175,"black","black","other","other"
"M001163",FALSE,FALSE,TRUE,757895,9.98885,246615,75705,185050,1730,42745,206055,"other","other","other","other"
"M001165",FALSE,FALSE,TRUE,770765,3.48615,382855,26870,60245,3265,29030,268500,"other","other","other","other"
"M001177",FALSE,FALSE,TRUE,764590,2.2293,465035,17045,47220,4230,29105,201945,"other","other","other","other"
"M001184",FALSE,FALSE,TRUE,756120,3.23692,670235,24475,9100,465,19590,32250,"other","other","other","other"
"M001188",FALSE,FALSE,TRUE,738060,4.24694,195095,31345,308090,1655,17240,184645,"other","other","other","other"
"M001194",FALSE,FALSE,TRUE,780290,2.01656,697165,15735,4565,4375,20915,37535,"other","other","other","other"
"M001195",FALSE,TRUE,TRUE,899420,3.02695,815575,27225,8415,560,22800,24850,"hisp","other","other","other"
"M001196",FALSE,FALSE,TRUE,778170,3.36302,611585,26170,37290,525,16535,86065,"other","other","other","other"
"M001199",FALSE,TRUE,TRUE,791700,12.7277,510995,100765,17505,680,18495,143260,"hisp","other","other","other"
"M001204",FALSE,FALSE,TRUE,764855,2.29651,679695,17565,6985,305,13005,47295,"other","other","other","other"
"M001205",FALSE,FALSE,TRUE,885040,3.57103,813195,31605,5635,605,22720,11275,"other","other","other","other"
"M001206",FALSE,FALSE,TRUE,771435,13.7283,538840,105905,28545,630,23045,74475,"other","other","other","other"
"M001208",TRUE,FALSE,TRUE,769545,29.2322,233270,224955,105985,1070,24075,180190,"black","black","other","other"
"M001210",FALSE,FALSE,TRUE,752730,17.4458,490965,131320,10245,3215,29615,87370,"other","other","other","other"
"M001211",FALSE,FALSE,TRUE,749695,3.12861,681855,23455,6525,745,15320,21790,"other","other","other","other"
"M001212",FALSE,FALSE,TRUE,717020,30.8708,430430,221350,12530,1380,18920,32405,"other","black","other","other"
"M001213",FALSE,FALSE,TRUE,833455,0.966459,667505,8055,20420,2600,22545,112330,"other","other","other","other"
"M001215",FALSE,FALSE,TRUE,798570,4.17935,676895,33375,18570,680,22710,46345,"other","other","other","other"
"M001216",FALSE,FALSE,TRUE,780070,9.48697,490525,74005,30085,790,19185,165480,"other","other","other","other"
"M001217",FALSE,FALSE,TRUE,767250,13.4207,443325,102970,27525,715,19245,173465,"other","other","other","other"
"M001218",FALSE,FALSE,TRUE,776225,9.09401,505590,70590,94375,525,22525,82610,"other","other","other","other"
"M001220",FALSE,FALSE,TRUE,742760,22.5053,469745,167160,21000,320,25920,58610,"other","other","other","other"
"M001221",FALSE,FALSE,TRUE,773745,3.76158,643815,29105,27110,620,20715,52380,"other","other","other","other"
"M001222",FALSE,FALSE,TRUE,782340,3.25114,681890,25435,24030,535,18070,32380,"other","other","other","other"
"M001223",FALSE,FALSE,TRUE,551930,4.33569,412595,23930,18650,655,13115,82985,"other","other","other","other"
"M001224",FALSE,FALSE,TRUE,773655,17.3165,472150,133970,9255,1550,22255,134470,"other","other","other","other"
"M001225",FALSE,FALSE,TRUE,742870,2.49909,216960,18565,286225,1085,26510,193525,"other","other","other","other"
"M001226",FALSE,TRUE,TRUE,758850,8.36595,204460,63485,87000,940,12990,389970,"hisp","hisp","hisp","hisp"
"M001227",TRUE,FALSE,TRUE,790075,41.8916,333990,330975,16855,1285,27360,79610,"black","other","other","other"
"N000002",FALSE,FALSE,TRUE,716965,4.6111,484815,33060,95260,610,21920,81300,"other","other","other","other"
"N000015",FALSE,FALSE,TRUE,776065,5.42931,550920,42135,17035,500,18015,147460,"other","other","other","other"
"N000026",FALSE,FALSE,TRUE,807870,11.807,338210,95385,113985,1025,22950,236310,"other","other","other","other"
"N000179",FALSE,TRUE,TRUE,741055,2.60237,107505,19285,148425,2230,12820,450790,"hisp","other","other","hisp"
"N000188",FALSE,FALSE,TRUE,773785,15.6394,470750,121015,39595,260,23325,118835,"other","other","other","other"
"N000189",FALSE,FALSE,TRUE,775995,1.1714,405880,9090,13920,12355,20890,313865,"other","other","other","other"
"N000190",FALSE,FALSE,TRUE,745995,23.6268,486910,176255,15000,1880,22380,43570,"other","other","other","other"
"N000191",TRUE,FALSE,TRUE,721105,0.861178,565370,6210,25270,1735,20560,101965,"black","black","black","other"
"N000193",FALSE,FALSE,TRUE,806700,5.1847,645505,41825,31665,610,20075,67020,"other","other","other","other"
"N000194",FALSE,FALSE,TRUE,774070,21.0556,461390,162985,21850,2135,22585,103125,"other","other","other","other"
"O000086",TRUE,FALSE,TRUE,843270,1.03526,636810,8730,30805,3155,25585,138195,"black","other","other","other"
"O000172",FALSE,TRUE,TRUE,720140,16.9717,129895,122220,81865,1530,11105,373520,"hisp","hisp","hisp","hisp"
"O000173",TRUE,FALSE,TRUE,707120,17.1817,437085,121495,38900,4030,31480,74125,"black","black","black","other"
"O000175",FALSE,FALSE,TRUE,780165,12.5377,550455,97815,29090,495,22620,79695,"other","other","other","other"
"P000034",FALSE,FALSE,TRUE,773495,11.1177,343055,85995,139775,565,17140,186970,"other","other","other","other"
"P000048",FALSE,FALSE,TRUE,768775,11.1892,340265,86020,16185,1140,21780,303380,"other","other","other","other"
"P000197",FALSE,FALSE,TRUE,723465,5.15367,308460,37285,231910,1480,38775,105560,"other","other","other","other"
"P000597",FALSE,FALSE,TRUE,689680,1.90886,632750,13165,10030,1040,16610,16080,"other","other","other","other"
"P000599",FALSE,FALSE,TRUE,786240,9.26498,574440,72845,17985,1015,25160,94800,"other","other","other","other"
"P000604",TRUE,FALSE,TRUE,765980,49.6886,155285,380605,50270,1220,15465,163140,"black","black","other","black"
"P000605",FALSE,FALSE,TRUE,772420,10.0036,559915,77270,35000,380,23205,76650,"other","other","other","other"
"P000607",FALSE,FALSE,TRUE,740255,4.08373,598875,30230,35185,1405,22450,52110,"other","other","other","other"
"P000608",FALSE,FALSE,TRUE,746295,2.7067,415780,20200,106960,1545,35780,166030,"other","other","other","other"
"P000609",FALSE,FALSE,TRUE,714715,20.2039,497400,144400,12540,785,13745,45845,"other","other","other","other"
"P000613",FALSE,FALSE,TRUE,747225,1.93115,373130,14430,143145,915,30760,184855,"other","other","other","other"
"P000614",FALSE,FALSE,TRUE,694195,1.50462,617590,10445,18225,425,15305,32210,"other","other","other","other"
"P000615",FALSE,FALSE,TRUE,757250,4.77253,617210,36140,39545,420,21675,42255,"other","other","other","other"
"P000616",FALSE,FALSE,TRUE,706970,9.66236,510405,68310,61115,1725,28095,37325,"other","other","other","other"
"P000617",TRUE,FALSE,TRUE,768505,22.7455,310430,174800,86425,740,26015,170095,"black","black","other","other"
"P000618",FALSE,FALSE,TRUE,753480,1.50037,389350,11305,185900,1285,37205,128430,"other","other","other","other"
"P000619",FALSE,FALSE,TRUE,733970,3.02942,436920,22235,57810,100000,64540,52475,"other","other","other","other"
"P000620",FALSE,FALSE,TRUE,721625,1.20769,556895,8715,22030,2580,20365,111035,"other","other","other","other"
"Q000023",FALSE,FALSE,TRUE,746505,2.82115,532030,21060,80245,475,20340,92360,"other","other","other","other"
"R000103",FALSE,FALSE,TRUE,548450,0.586197,459385,3215,3860,38715,18500,24770,"other","other","other","other"
"R000305",FALSE,FALSE,TRUE,753585,17.6974,436810,133365,75620,1120,22825,83845,"other","other","other","other"
"R000395",FALSE,FALSE,TRUE,745870,1.38831,707830,10355,3305,690,12299,11380,"other","other","other","other"
"R000575",FALSE,FALSE,TRUE,721040,24.292,488540,175155,10595,1045,18090,27615,"other","other","other","other"
"R000579",FALSE,FALSE,TRUE,781060,10.1746,509095,79470,23275,670,21130,147425,"other","other","other","other"
"R000599",FALSE,TRUE,TRUE,773255,4.31811,186675,33390,23490,4890,13980,510830,"hisp","hisp","hisp","hisp"
"R000603",FALSE,FALSE,TRUE,765880,17.8161,482090,136450,8790,50940,25565,62045,"other","other","other","other"
"R000606",FALSE,FALSE,TRUE,767585,17.1225,349145,131430,104855,985,28635,152540,"other","other","other","other"
"R000609",FALSE,FALSE,TRUE,791830,11.9129,525490,94330,45640,660,29140,96570,"other","other","other","other"
"R000612",FALSE,FALSE,TRUE,780365,9.2162,619620,71920,9790,810,18160,60065,"other","other","other","other"
"R000614",FALSE,FALSE,TRUE,793550,3.37093,475765,26750,18710,1040,20515,250760,"other","other","other","other"
"R000617",FALSE,TRUE,TRUE,739855,5.05572,299550,37405,49245,860,13720,339075,"hisp","hisp","hisp","hisp"
"S000168",FALSE,TRUE,TRUE,751135,5.21611,136035,39180,16170,655,8980,550120,"hisp","hisp","hisp","hisp"
"S000185",TRUE,FALSE,TRUE,776670,43.3189,311680,336445,23175,1505,37745,66120,"black","black","other","black"
"S000250",FALSE,FALSE,TRUE,784810,14.5902,423070,114505,17470,1145,22830,205795,"other","other","other","other"
"S000344",FALSE,FALSE,TRUE,763455,4.33686,405030,33110,96505,1405,32610,194795,"other","other","other","other"
"S000510",FALSE,FALSE,TRUE,765850,12.2211,316810,93595,185750,2780,53215,113695,"other","other","other","other"
"S000522",FALSE,FALSE,TRUE,780620,3.41139,635620,26630,19695,225,12450,86000,"other","other","other","other"
"S000929",FALSE,FALSE,TRUE,764120,5.19683,632140,39710,29045,745,25830,36650,"other","other","other","other"
"S001135",FALSE,FALSE,TRUE,750565,2.16037,197385,16215,282670,825,22855,230610,"other","other","other","other"
"S001148",FALSE,FALSE,TRUE,935595,0.727345,745305,6805,16140,7510,23595,136240,"other","other","other","other"
"S001150",FALSE,FALSE,TRUE,744925,3.84602,415180,28650,96310,1150,28625,175010,"other","other","other","other"
"S001156",FALSE,TRUE,TRUE,744870,2.01243,107375,14990,163070,1770,12320,445340,"hisp","hisp","hisp","hisp"
"S001157",TRUE,FALSE,TRUE,775125,64.8025,129605,502300,26935,640,20295,95350,"black","black","other","black"
"S001159",TRUE,FALSE,TRUE,771915,6.97421,475270,53835,70270,6105,63775,102665,"black","other","other","other"
"S001172",FALSE,FALSE,TRUE,652055,1.42013,535515,9260,5220,7895,11725,82435,"other","other","other","other"
"S001176",FALSE,FALSE,TRUE,765530,12.5998,533640,96455,18355,6545,22560,87970,"other","other","other","other"
"S001183",FALSE,FALSE,TRUE,800545,3.59005,564670,28740,37095,10975,24795,134260,"other","other","other","other"
"S001185",TRUE,FALSE,TRUE,723155,55.9479,264845,404590,8665,630,11930,32500,"black","black","other","black"
"S001189",FALSE,FALSE,TRUE,768870,29.7248,447140,228545,12595,745,21445,58405,"other","black","other","other"
"S001190",FALSE,FALSE,TRUE,752195,6.34942,440985,47760,61410,620,17205,184215,"other","other","other","other"
"S001192",FALSE,FALSE,TRUE,836120,1.47527,600765,12335,33420,5475,23055,161070,"other","other","other","other"
"S001193",FALSE,FALSE,TRUE,743390,5.55092,194205,41265,293480,1660,29770,183000,"other","other","other","other"
"S001195",FALSE,FALSE,TRUE,771880,3.99609,691420,30845,6710,1280,22650,18975,"other","other","other","other"
"S001196",FALSE,FALSE,TRUE,772320,2.15714,694345,16660,8435,4315,15025,33535,"other","other","other","other"
"S001199",FALSE,FALSE,TRUE,768325,3.34168,636665,25675,15925,370,17220,72470,"other","other","other","other"
"S001200",FALSE,TRUE,TRUE,778760,9.95685,241475,77540,30720,505,16715,411805,"hisp","hisp","hisp","hisp"
"S001205",FALSE,FALSE,TRUE,762830,24.5022,452615,186910,51820,550,23335,47610,"other","other","other","other"
"S001207",FALSE,FALSE,TRUE,771660,5.77521,485830,44565,90870,410,18705,131280,"other","other","other","other"
"S001208",FALSE,FALSE,TRUE,774470,5.56703,634615,43115,25760,1605,24495,44885,"other","other","other","other"
"S001211",FALSE,FALSE,TRUE,803745,5.4215,458630,43575,46365,14665,30110,210400,"other","other","other","other"
"S001212",FALSE,FALSE,TRUE,719060,1.24051,639175,8920,7775,24515,23425,15255,"other","other","other","other"
"S001213",FALSE,FALSE,TRUE,732330,5.98432,557095,43825,14540,1265,21170,94430,"other","other","other","other"
"S001214",FALSE,FALSE,TRUE,805605,5.59021,615575,45035,13475,830,14450,116245,"other","other","other","other"
"S001215",FALSE,FALSE,TRUE,773605,13.1857,536155,102005,67940,1025,24185,42295,"other","other","other","other"
"S001216",FALSE,FALSE,TRUE,773535,1.83185,544905,14170,83540,5425,39370,86125,"other","other","other","other"
"S001218",FALSE,FALSE,TRUE,709245,2.47728,331955,17570,19365,26350,20105,293890,"other","other","other","other"
"S001220",FALSE,FALSE,TRUE,732520,17.5954,514815,128890,13495,2575,23480,49260,"other","other","other","other"
"S001221",FALSE,FALSE,TRUE,774755,10.6692,557265,82660,21540,1650,28805,82835,"other","other","other","other"
"S001222",FALSE,TRUE,TRUE,773155,3.22574,441120,24940,180455,1485,13085,112065,"hisp","other","hisp","other"
"S001223",TRUE,FALSE,TRUE,783865,12.3873,607015,97100,24820,480,31945,22500,"black","other","other","other"
"S001224",FALSE,FALSE,TRUE,809670,10.4092,462010,84280,106395,1620,25125,130235,"other","other","other","other"
"S001225",FALSE,FALSE,TRUE,746640,13.2266,521050,98755,15945,715,25610,84565,"other","other","other","other"
"S001226",FALSE,TRUE,TRUE,708605,1.13815,485975,8065,30775,3770,30145,149870,"hisp","hisp","hisp","other"
"T000165",FALSE,FALSE,TRUE,740210,0.675484,673570,5000,11505,10985,19075,20065,"other","other","other","other"
"T000193",TRUE,FALSE,TRUE,726690,64.1814,228575,466400,3570,1970,9775,16395,"black","black","other","black"
"T000460",FALSE,FALSE,TRUE,763130,2.84355,398200,21700,65255,3260,30435,244275,"other","other","other","other"
"T000463",FALSE,FALSE,TRUE,784850,16.6306,572100,130525,17210,570,34205,30240,"other","other","other","other"
"T000467",FALSE,FALSE,TRUE,760230,1.94415,704650,14780,13045,500,10410,16855,"other","other","other","other"
"T000468",FALSE,FALSE,TRUE,763215,8.95488,316930,68345,65495,2570,33090,276785,"other","other","other","other"
"T000472",FALSE,FALSE,TRUE,759640,8.9345,151270,67870,50130,1165,16320,472890,"other","other","other","hisp"
"T000474",FALSE,TRUE,TRUE,762560,6.24082,114500,47590,89910,1765,14715,494080,"hisp","hisp","hisp","hisp"
"T000478",FALSE,FALSE,TRUE,774290,2.60755,693405,20190,7215,1035,19670,32780,"other","other","other","other"
"T000480",FALSE,FALSE,TRUE,748540,18.303,490310,137005,19405,590,20140,81090,"other","other","other","other"
"T000482",FALSE,TRUE,TRUE,777950,4.08574,494070,31785,62180,505,16520,172890,"hisp","other","other","other"
"T000483",FALSE,FALSE,TRUE,784300,12.6826,478655,99470,70290,980,28150,106755,"other","other","other","other"
"T000486",TRUE,TRUE,TRUE,751610,31.7146,72650,238370,22820,1980,9330,406460,"black","hisp","hisp","hisp"
"T000487",FALSE,FALSE,TRUE,723300,1.6874,202680,12205,261235,1045,163190,82940,"other","other","other","other"
"U000040",TRUE,FALSE,TRUE,759545,9.3319,453500,70880,38620,485,18655,177405,"black","other","other","other"
"V000081",FALSE,TRUE,TRUE,745735,11.1957,280605,83490,96005,725,20880,264030,"hisp","hisp","hisp","other"
"V000129",FALSE,TRUE,TRUE,781420,4.1559,126790,32475,29380,3225,10315,579235,"hisp","other","other","hisp"
"V000130",FALSE,TRUE,TRUE,757410,7.65768,110785,58000,112950,1095,24030,450550,"hisp","hisp","hisp","hisp"
"V000131",TRUE,FALSE,TRUE,775185,18.2034,108895,141110,65105,1200,12435,446435,"black","black","other","hisp"
"V000133",FALSE,FALSE,TRUE,779490,10.8789,505690,84800,29500,1145,21955,136410,"other","other","other","other"
"V000134",FALSE,FALSE,TRUE,758535,7.41759,473450,56265,67200,1085,25025,135520,"other","other","other","other"
"V000135",FALSE,FALSE,TRUE,736690,1.18775,667445,8750,17295,2685,14735,25780,"other","other","other","other"
"V000136",FALSE,TRUE,TRUE,704880,1.87975,210940,13250,8005,35465,12790,424435,"hisp","hisp","hisp","hisp"
"W000187",TRUE,FALSE,TRUE,734450,23.3215,52825,171285,65240,1305,15830,427965,"black","black","other","hisp"
"W000788",TRUE,FALSE,TRUE,759665,48.4628,277310,368155,34275,1085,22050,56795,"black","black","black","black"
"W000795",FALSE,FALSE,TRUE,743300,26.1644,456075,194480,17210,940,21530,53065,"other","other","other","other"
"W000797",FALSE,FALSE,TRUE,768720,16.1346,256045,124030,36935,1035,17320,333350,"other","other","other","hisp"
"W000798",FALSE,FALSE,TRUE,773370,3.89982,671515,30160,5585,1395,23405,41310,"other","other","other","other"
"W000804",FALSE,FALSE,TRUE,796110,12.8569,573685,102355,46795,1040,28165,44070,"other","other","other","other"
"W000806",FALSE,FALSE,TRUE,796445,12.1019,483770,96385,32000,905,20905,162480,"other","other","other","other"
"W000808",TRUE,FALSE,TRUE,776655,41.4682,132465,322065,10605,875,9200,301445,"black","black","other","black"
"W000809",FALSE,FALSE,TRUE,770990,2.8003,547565,21590,35195,5020,31855,129765,"other","other","other","other"
"W000812",FALSE,FALSE,TRUE,765300,3.05174,662025,23355,35365,450,19085,25010,"other","other","other","other"
"W000814",FALSE,FALSE,TRUE,770390,15.4175,415830,118775,21770,1295,17175,195545,"other","other","other","other"
"W000815",FALSE,FALSE,TRUE,786700,1.93212,734465,15200,4940,590,19160,12345,"other","other","other","other"
"W000816",FALSE,FALSE,TRUE,793715,11.7473,471885,93240,26195,1340,19735,181325,"other","black","black","other"
"W000821",FALSE,FALSE,TRUE,753115,19.7062,516960,148410,6080,2515,20045,59105,"other","other","other","other"
"W000822",TRUE,FALSE,TRUE,771005,15.64,312220,120585,150455,695,16330,170725,"black","black","other","other"
"W000823",FALSE,FALSE,TRUE,796745,11.0838,574655,88310,12775,1020,20995,98990,"other","other","other","other"
"W000826",FALSE,FALSE,TRUE,770005,5.42983,533995,41810,23715,310,16245,153935,"other","other","other","other"
"W000828",FALSE,FALSE,TRUE,769230,8.06781,604880,62060,29520,2435,25920,44415,"other","other","black","other"
"Z000018",FALSE,FALSE,TRUE,556625,0.388053,485125,2160,5700,22230,17655,23750,"other","other","other","other"
