GEOID,state,city,grade,total,white,black,pct_black
06037183300,CA,Los Angeles,C,3083,895,14,0.45
06037183401,CA,Los Angeles,C,2226,741,37,1.66
06037183402,CA,Los Angeles,C,2997,872,56,1.87
06037183510,CA,Los Angeles,C,2368,726,20,0.84
06037183520,CA,Los Angeles,C,3450,970,64,1.86
06037183610,CA,Los Angeles,C,2813,843,39,1.39
06037183620,CA,Los Angeles,C,2912,889,36,1.24
06037183701,CA,Los Angeles,C,3838,1036,94,2.45
06037183702,CA,Los Angeles,C,2669,831,124,4.65
06037183810,CA,Los Angeles,C,4260,1120,84,1.97
06037183820,CA,Los Angeles,C,3626,777,67,1.85
06037185101,CA,Los Angeles,B,2830,1040,44,1.55
06037185102,CA,Los Angeles,B,2990,1647,96,3.21
06037185202,CA,Los Angeles,C,3682,1391,115,3.12
06037185203,CA,Los Angeles,D,2651,574,23,0.87
06037185310,CA,Los Angeles,D,2724,504,12,0.44
06037185320,CA,Los Angeles,D,2763,527,40,1.45
06037186100,CA,Los Angeles,B,4678,1911,63,1.35
06037186201,CA,Los Angeles,C,3085,805,85,2.76
06037186202,CA,Los Angeles,C,1985,610,55,2.77
06037186203,CA,Los Angeles,B,2751,1294,61,2.22
06037186302,CA,Los Angeles,B,5190,1682,107,2.06
06037186403,CA,Los Angeles,C,2521,596,38,1.51
06037186404,CA,Los Angeles,C,2266,604,30,1.32
06037187101,CA,Los Angeles,C,3011,1226,32,1.06
06037187200,CA,Los Angeles,D,2801,783,51,1.82
06037187300,CA,Los Angeles,B,3456,1981,81,2.34
06037188100,CA,Los Angeles,D,4070,1765,111,2.73
06037188201,CA,Los Angeles,B,3378,2193,145,4.29
06037188202,CA,Los Angeles,A,2460,1669,88,3.58
06037188300,CA,Los Angeles,C,3271,1495,38,1.16
06037189101,CA,Los Angeles,C,2589,1787,63,2.43
06037189102,CA,Los Angeles,A,3316,2380,86,2.59
06037189201,CA,Los Angeles,C,3256,2257,147,4.51
06037189202,CA,Los Angeles,A,2775,2048,43,1.55
06037189300,CA,Los Angeles,A,3216,2320,82,2.55
06037189400,CA,Los Angeles,B,3575,2775,102,2.85
06037189501,CA,Los Angeles,B,2183,1654,79,3.62
06037189502,CA,Los Angeles,B,2251,1528,132,5.86
06037189600,CA,Los Angeles,D,3738,2558,220,5.89
06037189704,CA,Los Angeles,A,2786,1859,173,6.21
06037189801,CA,Los Angeles,A,2302,1706,106,4.6
06037189802,CA,Los Angeles,B,2005,1453,131,6.53
06037189903,CA,Los Angeles,B,2228,1604,140,6.28
06037189904,CA,Los Angeles,B,2502,1673,139,5.56
06037189905,CA,Los Angeles,B,2462,1750,142,5.77
06037189906,CA,Los Angeles,C,2746,1870,204,7.43
06037189907,CA,Los Angeles,C,2434,1736,158,6.49
06037190302,CA,Los Angeles,C,2283,1396,177,7.75
06037190303,CA,Los Angeles,C,2470,1394,151,6.11
06037190401,CA,Los Angeles,C,2857,1780,128,4.48
06037190402,CA,Los Angeles,C,2388,1427,91,3.81
06037190510,CA,Los Angeles,C,4362,1699,377,8.64
06037190520,CA,Los Angeles,C,3489,1616,165,4.73
06037190702,CA,Los Angeles,C,1420,704,65,4.58
06037190801,CA,Los Angeles,D,2500,1045,168,6.72
06037190802,CA,Los Angeles,D,2794,1147,213,7.62
06037190901,CA,Los Angeles,C,4016,903,175,4.36
06037190902,CA,Los Angeles,D,3608,1277,182,5.04
06037191000,CA,Los Angeles,C,5893,2827,671,11.39
06037191110,CA,Los Angeles,C,3141,1645,110,3.5
06037191120,CA,Los Angeles,C,3801,1415,165,4.34
06037191201,CA,Los Angeles,C,4072,2394,118,2.9
06037191203,CA,Los Angeles,C,2531,897,129,5.1
06037191204,CA,Los Angeles,C,1862,774,62,3.33
06037191301,CA,Los Angeles,D,2076,590,102,4.91
06037191302,CA,Los Angeles,C,2192,699,104,4.74
06037191410,CA,Los Angeles,D,3924,873,134,3.41
06037191420,CA,Los Angeles,D,2837,743,91,3.21
06037191500,CA,Los Angeles,C,4980,1228,160,3.21
06037191610,CA,Los Angeles,C,4271,1071,148,3.47
06037191620,CA,Los Angeles,C,2628,692,94,3.58
06037191720,CA,Los Angeles,D,3534,736,105,2.97
06037191820,CA,Los Angeles,C,3279,1452,215,6.56
06037191902,CA,Los Angeles,C,2961,2001,119,4.02
06037192001,CA,Los Angeles,C,2574,1837,136,5.28
06037192002,CA,Los Angeles,C,2550,1956,60,2.35
06037192300,CA,Los Angeles,C,2863,1886,132,4.61
06037192410,CA,Los Angeles,C,3573,1790,158,4.42
06037192420,CA,Los Angeles,C,3645,774,155,4.25
06037192510,CA,Los Angeles,C,3508,393,76,2.17
06037192520,CA,Los Angeles,C,4326,684,108,2.5
06037192610,CA,Los Angeles,C,4149,872,184,4.43
06037192620,CA,Los Angeles,C,3260,456,112,3.44
06037192700,CA,Los Angeles,D,3550,789,194,5.46
06037194200,CA,Los Angeles,B,3596,2943,68,1.89
06037194300,CA,Los Angeles,A,2972,2377,90,3.03
06037194401,CA,Los Angeles,C,2559,1793,148,5.78
06037194402,CA,Los Angeles,C,3146,2455,74,2.35
06037194500,CA,Los Angeles,B,2347,1762,67,2.85
06037195100,CA,Los Angeles,B,4974,3239,121,2.43
06037195201,CA,Los Angeles,B,3080,2052,59,1.92
06037195202,CA,Los Angeles,B,3194,2216,81,2.54
06037195300,CA,Los Angeles,C,3070,1808,62,2.02
06037195400,CA,Los Angeles,B,4244,2564,139,3.28
06037195600,CA,Los Angeles,C,3056,1229,117,3.83
06037195710,CA,Los Angeles,D,3939,1132,138,3.5
06037195720,CA,Los Angeles,D,1896,749,50,2.64
06037195802,CA,Los Angeles,D,2744,601,116,4.23
06037195803,CA,Los Angeles,C,2457,1162,101,4.11
06037195804,CA,Los Angeles,D,2459,968,60,2.44
06037195901,CA,Los Angeles,D,2248,1132,63,2.8
06037195902,CA,Los Angeles,C,1848,1129,60,3.25
06037195903,CA,Los Angeles,D,1988,745,60,3.02
06037197200,CA,Los Angeles,D,3287,648,21,0.64
06037197300,CA,Los Angeles,C,3650,1717,80,2.19
06037197410,CA,Los Angeles,C,3707,2104,75,2.02
06037197420,CA,Los Angeles,C,3376,1362,92,2.73
06037197500,CA,Los Angeles,D,3973,1578,111,2.79
06037197600,CA,Los Angeles,D,2431,945,69,2.84
