"name","role","party","nominate","shares","media_score"
"Greg Walden","House","Republican",0.333,52,0.1284
"José Serrano","House","Democrat",-0.491,69,-0.2348
"Don Young","House","Republican",0.283,38,-0.0281
"Mac Thornberry","House","Republican",0.525,88,0.1473
"Doris Matsui","House","Democrat",-0.435,140,-0.2456
"Jerry McNerney","House","Democrat",-0.263,112,-0.2029
"Michael Doyle","House","Democrat",-0.331,333,-0.2213
"Rand Paul","Senate","Republican",0.889,1497,0.2853
"Richard Neal","House","Democrat",-0.417,149,-0.1515
"Guy Reschenthaler","House","Republican",0.377,218,0.2528
"Steve King","House","Republican",0.613,40,0.4517
"Mitt Romney","Senate","Republican",0.291,50,-0.0931
"Tom McClintock","House","Republican",0.688,34,0.4122
"Dave Loebsack","House","Democrat",-0.276,48,-0.1555
"Mike Turner","House","Republican",0.276,52,0.201
"Phil Roe","House","Republican",0.486,57,0.2316
"Devin Nunes","House","Republican",0.45,357,0.4546
"Hal Rogers","House","Republican",0.338,40,-0.0418
"Troy Balderson","House","Republican",0.425,51,0.1421
"Mike Simpson","House","Republican",0.301,36,-0.0059
"Robert Aderholt","House","Republican",0.384,46,0.0519
"Matt Cartwright","House","Democrat",-0.36,81,-0.1499
"Bennie Thompson","House","Democrat",-0.516,191,-0.2188
"James Comer","House","Republican",0.59,124,0.2653
"Mike Lee","Senate","Republican",0.891,277,0.2896
"Mazie Hirono","Senate","Democrat",-0.512,97,-0.244
"Mike Kelly","House","Republican",0.371,209,0.1844
"Andy Harris","House","Republican",0.674,156,0.0893
