client,registrant,client_state,amount,n_issues,n_lobbyists
ASSOCIATION OF HOME APPLIANCE MANUFACTURERS (AHAM),"MINTZ LEVIN COHN FERRIS GLOVSKY AND POPEO, P.C.",DC,0,2,1
INTERNATIONAL ASSOCIATION OF PLUMBING AND MECHANICAL OFFICIALS,HOLLAND & KNIGHT LLP,DC,20000,1,1
"OSCEOLA COUNTY, FL",HOLLAND & KNIGHT LLP,FL,30000,1,4
TOHOPEKALIGA WATER AUTHORITY,HOLLAND & KNIGHT LLP,FL,20000,1,2
CITY OF WEST PALM BEACH,HOLLAND & KNIGHT LLP,DC,30000,1,2
CITY OF WEST SACRAMENTO,HOLLAND & KNIGHT LLP,,30000,2,4
SACRAMENTO COUNTY,HOLLAND & KNIGHT LLP,CA,30000,1,2
POLK COUNTY,HOLLAND & KNIGHT LLP,FL,30000,1,3
COUNTY OF PLACER,HOLLAND & KNIGHT LLP,MO,40000,1,2
MCCLELLAN BUSINESS PARK LLC,HOLLAND & KNIGHT LLP,CA,10000,1,2
"DIGITALCM, LLC",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),FL,10000,2,4
"MERIT MEDICAL SYSTEMS, INC.","MERIT MEDICAL SYSTEMS, INC.",UT,10000,3,1
AMERICAN CANCER SOCIETY CANCER ACTION NETWORK,HOLLAND & KNIGHT LLP,DC,50000,2,5
ATLANTA PUBLIC SCHOOLS,HOLLAND & KNIGHT LLP,GA,20000,2,2
IMMERSICOM,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),CA,20000,1,4
"MIT45, INC.",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),UT,40000,2,2
BLACK WOMEN'S HEALTH IMPERATIVE,HOLLAND & KNIGHT LLP,GA,20000,1,2
CHARLES R. DREW UNIVERSITY OF MEDICINE AND SCIENCE,HOLLAND & KNIGHT LLP,CA,10000,1,2
PARAMOUNT TAX & ACCOUNTING,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),UT,60000,1,4
"CITY OF CINCINNATI, OH",HOLLAND & KNIGHT LLP,,50000,4,3
PARTNERS IN PERFORMANCE,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),GA,30000,2,3
CLARK ATLANTA UNIVERSITY,HOLLAND & KNIGHT LLP,GA,30000,1,2
"SINCLAIR BROADCAST GROUP, INC.",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),MD,20000,1,1
FORT VALLEY STATE UNIVERSITY,HOLLAND & KNIGHT LLP,GA,30000,2,2
MOREHOUSE COLLEGE,HOLLAND & KNIGHT LLP,GA,20000,3,2
MISSOURI HEMP TRADE ASSOCIATION,GREAT STATE STRATEGIES,MO,0,1,1
SHAMAN BOTANICALS,GREAT STATE STRATEGIES,MO,0,1,1
"NOVO NORDISK, INC.",HOLLAND & KNIGHT LLP,NJ,50000,2,2
SUBURBAN MOBILITY AUTHORITY FOR REGIONAL TRANSPORTATION (SMART),HOLLAND & KNIGHT LLP,MI,40000,2,3
SOUTHWEST OHIO REGIONAL TRANSIT AUTHORITY,HOLLAND & KNIGHT LLP,OH,20000,1,3
SPELMAN COLLEGE,HOLLAND & KNIGHT LLP,GA,20000,3,2
TUSKEGEE UNIVERSITY,HOLLAND & KNIGHT LLP,AL,30000,2,2
COIN CENTER,"RWC, INC",DC,100000,1,1
UNIVERSITY OF THE DISTRICT OF COLUMBIA FOUNDATION,HOLLAND & KNIGHT LLP,DC,30000,2,2
WILEY COLLEGE,HOLLAND & KNIGHT LLP,TX,20000,1,3
"CITY OF GREENSBORO, NC",HOLLAND & KNIGHT LLP,NC,40000,2,3
"CITY OF SAVANNAH, GA",HOLLAND & KNIGHT LLP,GA,20000,1,3
ASSOCIATION OF METROPOLITAN WATER AGENCIES,ASSOCIATION OF METROPOLITAN WATER AGENCIES,DC,80000,5,2
"THE PURPOSE BUILT COMMUNITIES FOUNDATION, INC.",HOLLAND & KNIGHT LLP,GA,30000,1,5
NATIONAL ASSOCIATION OF TRIBAL HISTORIC PRESERVATION OFFICERS,4TH ST COMMUNICATIONS,DC,30000,2,1
KOREA INTERNATIONAL TRADE ASSOCIATION,THOMAS CAPITOL PARTNERS INC.,DC,30000,1,1
NATIONAL ASSOCIATION OF EMS PHYSICIANS,HOLLAND & KNIGHT LLP,KS,50000,1,4
LURIE CHILDREN'S HOSPITAL OF CHICAGO,HOLLAND & KNIGHT LLP,,60000,2,2
FRONT LINE HOSPITAL ALLIANCE,HOLLAND & KNIGHT LLP,CO,80000,2,6
DENVER HEALTH AND HOSPITAL AUTHORITY,HOLLAND & KNIGHT LLP,CO,40000,2,4
"OKLAHOMA ARTHRITIS CENTER, P.C.","CSS PARTNERS, LLC",OK,10000,2,2
THE CATHOLIC CHURCH EXTENSION SOCIETY OF THE UNITED STATES OF AMERICA,HOLLAND & KNIGHT LLP,IL,60000,2,3
"THE CITY OF EDMOND, OKLAHOMA","CSS PARTNERS, LLC",OK,10000,3,2
MIAMI CLUB RUM,"GOVERNMENT RELATIONS GROUP, LLC",FL,0,1,1
CAMBRIDGE MOBILE TELEMATICS,"CSS PARTNERS, LLC",MA,30000,1,2
HEROES TO EDUCATION,"GOVERNMENT RELATIONS GROUP, LLC",NV,0,2,1
HEXTRONICS,"GOVERNMENT RELATIONS GROUP, LLC",FL,0,2,1
SAFETY BIOMETRICS LLC,"GOVERNMENT RELATIONS GROUP, LLC",DE,0,2,1
GUIDEHOUSE LLP,HOLLAND & KNIGHT LLP,DC,90000,2,3
"ISLAND SALES & DEVELOPMENT GROUP, LLC","GOVERNMENT RELATIONS GROUP, LLC",FL,0,2,1
"UNIVERSAL BALLISTIC SYSTEMS AMMUNITION, LLC","GOVERNMENT RELATIONS GROUP, LLC",FL,0,2,1
DANE CORP,"GOVERNMENT RELATIONS GROUP, LLC",FL,0,2,1
"US REAL ESTATE ENTERPRISES, LLC","GOVERNMENT RELATIONS GROUP, LLC",FL,0,1,1
TENANT EVALUATION LLC,"GOVERNMENT RELATIONS GROUP, LLC",FL,0,1,1
PREVENT-PLUS LLC,"GOVERNMENT RELATIONS GROUP, LLC",NY,0,3,1
"VPS DEVELOPMENT PARTNERS, LLC","GOVERNMENT RELATIONS GROUP, LLC",FL,0,2,1
PTC INC.,"COASPIRE, LLC",MA,20000,1,1
CURATED INVESTMENTS,"GOVERNMENT RELATIONS GROUP, LLC",FL,9000,4,1
U.S. NAVAL SEA CADET CORPS,"COASPIRE, LLC",VA,20000,1,1
BOEING COMPANY,"ETHERTON AND ASSOCIATES, INC.",VA,30000,2,1
ATHENA BITCOIN,"GOVERNMENT RELATIONS GROUP, LLC",FL,15000,2,1
"COASPIRE, LLC","COASPIRE, LLC",VA,0,1,1
UCARE,DENTONS US LLP,MN,20000,1,2
TOWN CENTER CID,DENTONS US LLP,GA,10000,1,1
GLOBAL LASER ENRICHMENT LLC,DENTONS US LLP,NC,80000,1,3
AVANT HEALTHCARE PROFESSIONALS,DENTONS US LLP,FL,15000,1,1
WAXMAN STRATEGIES ON BEHALF OF THE CHRISTOPHER AND DANA REEVE FOUNDATION,MR. JOHN SAWYER,DC,5000,3,1
CHANGE & IMPACT INC.,DENTONS US LLP,CA,0,1,2
"MIAMI CHILDRENS HEALTH SYSTEM, INC.",DENTONS US LLP,FL,40000,1,2
PHRMA,HORIZON GOVERNMENT AFFAIRS,DC,50000,1,1
CHILDREN'S HOSPITAL ASSOCIATION F/K/A NAT'L ASSOCIATION OF CHILDREN'S HOSPITALS,RED+BLUE STRATEGIES,VA,100000,2,2
GE HEALTHCARE,RED+BLUE STRATEGIES,DC,60000,1,2
PHARMACEUTICAL CARE MANAGEMENT ASSOCIATION (PCMA),RED+BLUE STRATEGIES,DC,70000,3,2
COMMUNITY CATALYST,RED+BLUE STRATEGIES,MA,20000,1,2
BUCKEYE PARTNERS,FJD STRATEGIES LLC,TX,16000,1,1
CAMBIA HEALTH SOLUTIONS (FORMERLY KNOWN AS THE REGENCE GROUP),RED+BLUE STRATEGIES,OR,80000,2,2
VICTIMS OF TERRORISM - EAST AFRICA,FJD STRATEGIES LLC,IL,0,1,1
DAVITA INC.,RED+BLUE STRATEGIES,DC,70000,2,2
"AIR-CONDITIONING, HEATING, AND REFRIGERATION INSTITUTE (AHRI)",GLENCOE STRATEGIES LLC,VA,15000,1,1
"CORVIAS MILITARY LIVING, LLC",HOLLAND & KNIGHT LLP,RI,70000,1,2
U.S. GLOBAL LEADERSHIP CAMPAIGN,HOLLAND & KNIGHT LLP,DC,30000,2,3
QWAKE TECHNOLOGIES INC.,HOLLAND & KNIGHT LLP,CA,30000,1,2
QUANTUM INDUSTRY COALITION,HOLLAND & KNIGHT LLP,DC,50000,1,1
LANTERIS SPACE SYTEMS F/K/A MAXAR SPACE LLC,HOLLAND & KNIGHT LLP,CA,50000,2,2
INTERLUNE CORPORATION,HOLLAND & KNIGHT LLP,WA,20000,1,1
INDUSTRIAL TECHNOLOGY INSTITUTE D/B/A MICHIGAN MANUFACTURING TECHNOLOGY CENTER,HOLLAND & KNIGHT LLP,MI,0,1,3
COMMERCIAL SPACE FEDERATION,HOLLAND & KNIGHT LLP,DC,0,2,1
BLUE ORIGIN LLC,HOLLAND & KNIGHT LLP,WA,60000,2,3
ASTRANIS SPACE TECHNOLOGIES CORP.,HOLLAND & KNIGHT LLP,CA,40000,2,5
AMERICAN SMALL MANUFACTURERS COALITION,HOLLAND & KNIGHT LLP,DC,50000,2,2
RAYUS RADIOLOGY,HOLLAND & KNIGHT LLP,MN,20000,1,2
COOPERATIVE OF AMERICAN PHYSICIANS - MUTUAL PROTECTION TRUST (CAP-MPT),HOLLAND & KNIGHT LLP,CA,20000,1,1
CHICAGO BOTANIC GARDEN,HOLLAND & KNIGHT LLP,IL,20000,2,1
BLUE CROSS AND BLUE SHIELD OF MINNESOTA,HOLLAND & KNIGHT LLP,,20000,2,1
"VIASAT, INC.",HOLLAND & KNIGHT LLP,DC,70000,2,3
FORENSICS CONSORTIUM,MS. ELIZABETH LAVACH,CA,18750,2,1
"VERISIGN, INC.",HOLLAND & KNIGHT LLP,VA,70000,2,5
LASERSHOT,MS. ELIZABETH LAVACH,TX,9000,1,1
"DETROIT DEFENSE (FKA) RICARDO, INC.",MS. ELIZABETH LAVACH,MI,21000,1,1
"ROAM ROBOTICS, INC.",MS. ELIZABETH LAVACH,CA,12000,2,1
RMA ARMAMENT,MS. ELIZABETH LAVACH,IA,6000,1,1
"SAMSUNG SDI AMERICA, INC.",HOLLAND & KNIGHT LLP,MI,10000,1,1
ASTRONETX,MS. ELIZABETH LAVACH,MA,18000,2,1
PILOT TRAVEL CENTERS LLC,HOLLAND & KNIGHT LLP,TN,60000,3,2
"ENTEGRIS, INC.",HOLLAND & KNIGHT LLP,MA,60000,4,7
COORSTEK,HOLLAND & KNIGHT LLP,CO,10000,3,4
TRANSOCEAN OFFSHORE DEEPWATER DRILLING INC.,HOLLAND & KNIGHT LLP,TX,40000,1,1
"HEXION, INC.",HOLLAND & KNIGHT LLP,OH,50000,3,1
"FREEPORT-MCMORAN, INC.",HOLLAND & KNIGHT LLP,AZ,30000,1,1
AMERICAN FACTORING ASSOCIATION,HOLLAND & KNIGHT LLP,CA,30000,2,1
CHAMBER OF SHIPPING OF AMERICA,CHAMBER OF SHIPPING OF AMERICA,DC,0,1,1
"STELLAR ENERGY AMERICAS, INC.",HOLLAND & KNIGHT LLP,FL,50000,1,3
CUBERG,HOLLAND & KNIGHT LLP,CA,50000,2,2
"ELECTRONIC RECYCLERS INTERNATIONAL, INC.",HOLLAND & KNIGHT LLP,CA,60000,1,1
"KORE POWER, INC.",HOLLAND & KNIGHT LLP,ID,60000,2,3
NANOGRAF CORPORATION,HOLLAND & KNIGHT LLP,IL,30000,2,2
NET POWER LLC,HOLLAND & KNIGHT LLP,NC,60000,1,1
"RETRIEV TECHNOLOGIES, INC.",HOLLAND & KNIGHT LLP,IN,30000,2,3
"UNITED STATES STRATEGIC METALS, LLC",HOLLAND & KNIGHT LLP,MO,50000,2,2
SILA NANOTECHNOLOGIES INC.,HOLLAND & KNIGHT LLP,CA,60000,4,3
UAW RETIREE MEDICAL BENEFITS TRUST,ALAN REUTHER,MI,18000,1,1
"MANDAN, HIDATSA & ARIKARA NATION",HOLLAND & KNIGHT LLP,ND,0,1,2
SHAKOPEE MDEWAKANTON DAKOTA (SIOUX) COMMUNITY,HOLLAND & KNIGHT LLP,MN,300000,1,6
CENTRAL COUNCIL OF TLINGIT AND HAIDA INDIAN TRIBES,HOLLAND & KNIGHT LLP,AK,0,1,1
CHOCTAW NATION OF OKLAHOMA,HOLLAND & KNIGHT LLP,OK,70000,1,5
MILLE LACS BAND OF OJIBWE INDIANS,HOLLAND & KNIGHT LLP,MN,60000,2,6
INUPIAT COMMUNITY OF THE ARCTIC SLOPE,HOLLAND & KNIGHT LLP,AK,30000,1,2
US INVENTOR INC.,MR. PAUL MORINVILLE,FL,30000,1,1
RED LAKE BAND OF CHIPPEWA INDIANS,HOLLAND & KNIGHT LLP,MN,0,1,2
OSAGE NATION,HOLLAND & KNIGHT LLP,OK,0,1,1
NORTHERN PONCA HOUSING AUTHORITY,HOLLAND & KNIGHT LLP,NE,0,2,1
UL LLC D/B/A UL SOLUTIONS,HOLLAND & KNIGHT LLP,IL,70000,1,3
INTEL CORPORATION,HOLLAND & KNIGHT LLP,DC,80000,4,5
TRICON RESIDENTIAL INC.,HOLLAND & KNIGHT LLP,ON,80000,2,5
"CONVATEC, INC. F/K/A TRIAD LIFE SCIENCES, INC.",HOLLAND & KNIGHT LLP,TN,70000,1,2
SOLIS MAMMOGRAPHY,HOLLAND & KNIGHT LLP,TX,20000,1,1
SKINCURE ONCOLOGY,HOLLAND & KNIGHT LLP,IL,30000,1,1
"JSW STEEL, USA",THE VOGEL GROUP,TX,15000,2,3
AMERICAN CATALOG MAILERS ASSOCIATION,THE VOGEL GROUP,RI,45000,3,5
ASSOCIATION OF ORGAN PROCUREMENT ORGANIZATIONS,HOLLAND & KNIGHT LLP,VA,60000,1,3
ZEBRA TECHNOLOGIES CORPORATION,"HEARTLAND SOLUTIONS GROUP, INC.",IL,35000,10,1
CASE WESTERN RESERVE UNIVERSITY,HOLLAND & KNIGHT LLP,OH,80000,1,4
"CERTIFIED FINANCIAL PLANNER BOARD OF STANDARDS, INC.",HOLLAND & KNIGHT LLP,DC,60000,2,2
MANAGEMENT & TRAINING CORPORATION,HOLLAND & KNIGHT LLP,UT,80000,3,1
"SUMMIT SCHOOL SERVICES LLC (FKA NATIONAL EXPRESS, LLC)","HEARTLAND SOLUTIONS GROUP, INC.",IL,5000,2,1
NATIONAL ASSOCIATION OF PERSONAL FINANCIAL ADVISORS,HOLLAND & KNIGHT LLP,IL,20000,1,2
"PARAGON SOLUTIONS (US), INC.",HOLLAND & KNIGHT LLP,VA,60000,2,1
"RIOT PLATFORMS, INC. (F/K/A RIOT BLOCKCHAIN, INC.)",HOLLAND & KNIGHT LLP,CO,80000,3,4
SUBCOM LLC,HOLLAND & KNIGHT LLP,NJ,0,2,2
U.S. IMMIGRATION FUND LLC,HOLLAND & KNIGHT LLP,FL,10000,1,1
CIGAR RIGHTS OF AMERICA,HOLLAND & KNIGHT LLP,VA,40000,1,2
CONSERVATION INTERNATIONAL,HOLLAND & KNIGHT LLP,VA,50000,2,3
ARTHUR J. GALLAGHER & CO.,THE VOGEL GROUP,IL,37500,1,3
MACQUARIE ASSET MANAGEMENT,HOLLAND & KNIGHT LLP,NY,30000,1,2
CORECIVIC,THE VOGEL GROUP,TN,90000,2,2
"DELOS LIVING, LLC",THE VOGEL GROUP,NY,66000,5,5
"NET-NEGATIVE CO2 BASELOAD POWER, INC.","NET-NEGATIVE CO2 BASELOAD POWER, INC.",WA,30000,1,2
"JRD LAW PLLC (ON BEHALF OF HAPPIEST BABY, INC)",THE VOGEL GROUP,DC,22500,3,3
"COHERUS BIOSCIENCES, INC",INLET STRATEGIES,CA,45000,2,1
VETERANS GUARDIAN VA CLAIM CONSULTING,THE VOGEL GROUP,NC,9200,1,2
SECURING AMERICA'S MEDICINES AND SUPPLY SAMS,INLET STRATEGIES,DC,37500,2,1
THE DOCTORS COMPANY,THE VOGEL GROUP,CA,27500,1,1
VITAS HEALTHCARE CORPORATION,INLET STRATEGIES,FL,37500,1,1
"CENCORA, INC.",INLET STRATEGIES,PA,30000,2,1
"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL, AND TRANSPORTATION WORKERS",THE VOGEL GROUP,DC,15000,2,2
SELLER FINANCE COALITION (SFC),THE VOGEL GROUP,TX,7500,2,4
BROWN-FORMAN CORPORATION,BECKER LAW FIRM PLLC,KY,0,3,1
CAPITAL RX INC.,"MASON STREET CONSULTING, LLC",NY,50000,1,1
"EMD SERONO, INC.","MASON STREET CONSULTING, LLC",DC,20000,1,1
BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,RED+BLUE STRATEGIES,MA,60000,2,2
GLOBAL MEDICAL RESPONSE,"MASON STREET CONSULTING, LLC",MO,30000,1,1
INNOVACCER INC.,"MASON STREET CONSULTING, LLC",CA,30000,1,1
CAREFIRST BLUECROSS BLUESHIELD,RED+BLUE STRATEGIES,DC,60000,1,2
PERIMETER MEDICAL IMAGING,"MASON STREET CONSULTING, LLC",TX,60000,1,1
VILLAGEMD,"MASON STREET CONSULTING, LLC",IL,50000,1,1
BOSTON MEDICAL CENTER,RED+BLUE STRATEGIES,MA,60000,2,2
THE GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,RED+BLUE STRATEGIES,DC,60000,2,2
QUEST DIAGNOSTICS INCORPORATED,RED+BLUE STRATEGIES,DC,80000,2,2
SUNSWEET GROWERS INC,HALEY & ASSOCIATES,CA,20000,3,1
CALIFORNIA STRAWBERRY COMMISSION,HALEY & ASSOCIATES,CA,20000,3,1
SYMBION POWER,QUINELLA GLOBAL LLC,NY,0,1,1
GERALD METALS LLC,QUINELLA GLOBAL LLC,CT,0,1,1
U.S. DIPLOMATIC STUDIES FOUNDATION,QUINELLA GLOBAL LLC,DC,6000,1,1
DEMAND PROGRESS ACTION,KATHERINE OH,MD,0,1,1
THE OCEAN CONSERVANCY,NO FLUKE FISHING LLC,DC,0,2,1
COUNCIL OF INFRASTRUCTURE FINANCING AUTHORITIES (CIFA),"FINN STRATEGIES, LLC",DC,20000,1,1
SAN ANTONIO WATER SYSTEMS,"MR. BALTAZAR SERNA, JR.",TX,21000,1,1
"BEXAR COUNTY, TEXAS","MR. BALTAZAR SERNA, JR.",TX,15000,3,1
CITY OF SAN ANTONIO,"MR. BALTAZAR SERNA, JR.",TX,11250,7,1
SILENCER CENTRAL,POTOMAC CONSULTING LLC,SD,20000,2,1
MANNED SPACE FLIGHT FOUNDATION INC,PAULEY MANAGEMENT INC.,TX,10000,2,1
VICTORY CASINO CRUISES,PAULEY MANAGEMENT INC.,FL,10000,2,1
"CITY OF COCOA, FLORIDA",PAULEY MANAGEMENT INC.,FL,10000,2,1
UNITED STATES LAW ENFORCEMENT - POLICE HALL OF FAME,PAULEY MANAGEMENT INC.,FL,10000,1,1
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,"YC CONSULTING, LLC",DC,30000,2,1
WILLIAMS & LAKE,"MWR STRATEGIES, INC.",NV,30000,1,1
MAUI ECONOMIC OPPORTUNITY,SR PARTNERS LLC,HI,15000,3,2
KAMEHAMEHA SCHOOLS,SR PARTNERS LLC,HI,12000,4,2
"COUNTY OF HAWAII, DEPARTMENT OF WATER SUPPLY",SR PARTNERS LLC,HI,17750,1,1
HAWAII ALLIANCE OF NONPROFIT ORGANIZATIONS,SR PARTNERS LLC,HI,0,1,1
HAWAII COMMUNITY FOUND. FRESH WATER INITIATIVE - CITY & COUNTY OF HONOLULU,SR PARTNERS LLC,HI,0,1,1
AMERICAN BANKERS ASSOCIATION,"MORRISON & FOERSTER, LLP",DC,50000,1,1
NATIONAL ASSOCIATION OF CHAIN DRUG STORES,NATIONAL ASSOCIATION OF CHAIN DRUG STORES,VA,1800000,2,10
AMERICAN OPTOMETRIC ASSOCIATION,HILLNORTH LLC,VA,30000,1,1
ANTENNA RESEARCH ASSOCIATES,DONOVAN STRATEGIES LLC,MD,15000,1,1
TERADYNE INC.,DONOVAN STRATEGIES LLC,MA,22500,1,1
SCHOOL NUTRITION ASSOCIATION,SCHOOL NUTRITION ASSOCIATION,VA,8775,1,1
KYNDRYL INC,HILLNORTH LLC,NY,30000,1,1
U.S. OCTG MANUFACTURERS ASSCOCIATION,SCHAGRIN ASSOCIATES,DC,0,2,1
UNITED MITOCHONDRIAL DISEASE FOUNDATION,HOLLAND & KNIGHT LLP,PA,20000,2,3
ASSOCIATION OF CRITICAL CARE TRANSPORT,HOLLAND & KNIGHT LLP,DC,30000,2,4
"ASPEN AEROGELS, INC.",HOLLAND & KNIGHT LLP,MA,30000,1,3
BMC,GRANT CONSULTING GROUP,TX,10000,2,2
"COWBOY SPACE CORPORATION F/K/A AETHERFLUX, INC.",HOLLAND & KNIGHT LLP,CA,20000,1,1
WALTONEN ENGINEERING,GRANT CONSULTING GROUP,MI,10000,1,2
ALLIANCE OF LICENSED MEDICARE INSURANCE AGENCIES (ALMIA),"MASON STREET CONSULTING, LLC",TX,30000,1,1
KINGSBERRY FUEL CELL POWER CORPORATION,GRANT CONSULTING GROUP,MI,10000,1,2
TRANS ASTRONAUTICA CORPORATION,HOLLAND & KNIGHT LLP,CA,20000,1,2
PHI HEALTH LLC,PHI HEALTH LLC,AZ,140000,2,1
"ORB AEROSPACE, INC.",GRANT CONSULTING GROUP,MI,0,1,2
"MOTOROLA SOLUTIONS, INC.",GRANT CONSULTING GROUP,IL,0,1,1
NATIONAL WASTE & RECYCLING ASSOCIATION,NATIONAL WASTE & RECYCLING ASSOCIATION,VA,10000,6,1
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,ATLAS ADVOCACY,TX,28000,2,2
"NST GLOBAL, LLC","ALPHA STRATEGIES, LLC",FL,60000,2,1
"FIREARMS REGULATORY ACCOUNTABILITY COALITION, INC. - FRAC","ALPHA STRATEGIES, LLC",DC,10000,5,1
TIGERSWAN,"ALPHA STRATEGIES, LLC",NC,20000,3,1
"RWE OFFSHORE WIND HOLDINGS, LLC","RWE OFFSHORE WIND HOLDINGS, LLC",MA,50000,1,1
"FRANKLIN ARMORY, INC.","ALPHA STRATEGIES, LLC",NV,30000,1,1
"LWRC INTERNATIONAL, LLC","ALPHA STRATEGIES, LLC",MD,30000,1,1
NIRON MAGNETICS,HOLLAND & KNIGHT LLP,MN,60000,3,4
TRUCK RENTING AND LEASING ASSOCIATION,TRUCK RENTING AND LEASING ASSOCIATION,VA,0,4,3
EASTEREALS NEW JERSEY,EASTERSEALS NEW JERSEY,NJ,20000,3,1
GENERAL DYNAMICS CORPORATION,"C. BAKER CONSULTING, INC.",VA,30000,1,1
"ENERGIZER HOLDINGS, INC.",HOLLAND & KNIGHT LLP,MO,60000,5,3
UNIVERSITIES SPACE RESEARCH ASSOCIATION,UNIVERSITIES SPACE RESEARCH ASSOCIATION,MD,0,2,1
"BALCONY TECHNOLOGY GROUP, INC.",HOLLAND & KNIGHT LLP,NJ,30000,4,5
"AVA LABS, INC.",HOLLAND & KNIGHT LLP,NY,50000,3,1
NATIONAL ASSOCIATION OF WOMEN BUSINESS OWNERS,COMMUNICATIONS PREFERRED LLC,DC,0,1,1
AMERICAN LAND TITLE ASSOCIATION,HOLLAND & KNIGHT LLP,DC,80000,2,6
POWER & COMMUNICATION CONTRACTORS ASSOCIATION,"GOVERNMENT AFFAIRS SOLUTIONS, LLC",MD,15000,2,2
HEALTHCARE INSTITUTE OF NEW JERSEY,HEALTHCARE INSTITUTE OF NEW JERSEY,NJ,47171,1,1
THE CITY & COUNTY OF DENVER ON BEHALF OF DENVER INTERNATIONAL AIRPORT,HOLLAND & KNIGHT LLP,CO,40000,2,5
CMFG LIFE INSURANCE COMPANY,CMFG LIFE INSURANCE COMPANY,WI,120000,5,2
COLORADO SCHOOL OF MINES,HOLLAND & KNIGHT LLP,CO,50000,5,5
HACKENSACK MERIDIAN HEALTH,HACKENSACK MERIDIAN HEALTH,NJ,180000,4,1
DOVETAIL SOLUTIONS INC. ON BEHALF OF AD HOC LENDER GROUP,HOLLAND & KNIGHT LLP,CO,80000,2,1
THE US CANNABIS ROUNDTABLE,HOLLAND & KNIGHT LLP,DC,50000,2,2
STRYTEN ENERGY,HOLLAND & KNIGHT LLP,GA,50000,1,5
GOODLEAP,MISSION STRATEGIES LLC (ENERGY),TX,30000,2,2
PAPER RECYCLING COALITION,MISSION STRATEGIES LLC (ENERGY),VA,40000,3,1
EDISON INTERNATIONAL,MISSION STRATEGIES LLC (ENERGY),CA,37500,3,3
"STEM, INC.",MISSION STRATEGIES LLC (ENERGY),CA,30000,3,3
EQUINOR US OPERATIONS LLC,MISSION STRATEGIES LLC (ENERGY),TX,37500,2,3
OKLAHOMA DEPARTMENT OF WILDLIFE CONSERVATION,"THE PRESTON GROUP, LLC",OK,10000,3,1
DOMINION RESOURCES INC,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),VA,100000,1,1
"SKINCURE ONCOLOGY, LLC",DENTONS US LLP,IL,60000,1,4
THE VIRGINIA FOUNDATION FOR COMMUNITY COLLEGE EDUCATION,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),VA,20000,1,1
JPMORGAN CHASE HOLDINGS LLC,DENTONS US LLP,NY,60000,1,5
PHRMA,DENTONS US LLP,DC,50000,1,2
COLONIAL WILLIAMSBURG FOUNDATION,MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),VA,20000,2,1
SYSCO,DENTONS US LLP,TX,50000,1,3
ALLISON TRANSMISSION INCORPORATED,"C. BAKER CONSULTING, INC.",VA,40000,1,1
NATIONAL GUARD ASSOCIATION OF THE U.S.,"OMEGA STRATEGIES, LLC.",DC,30000,1,1
RTX CORPORATION AND AFFILIATES (FKA RAYTHEON TECHNOLOGIES CORP. AND AFFILIATES),"C. BAKER CONSULTING, INC.",AZ,50000,1,1
"AM GENERAL, LLC","OMEGA STRATEGIES, LLC.",VA,30000,1,1
ENDOSEC LIMITED LIABILITY COMPANY,"C. BAKER CONSULTING, INC.",DC,15000,1,1
CHILD AND FAMILY SERVICE,DENTONS US LLP,HI,20000,1,2
WASHINGTON COMMANDERS,DENTONS US LLP,VA,60000,1,4
"SAAB, INCORPORATED FKA SAAB TRAINING AND SIMULATION","C. BAKER CONSULTING, INC.",FL,20000,1,1
NETCENTRICS CORPORATION,"OMEGA STRATEGIES, LLC.",VA,10000,1,1
XAVIER UNIVERSITY SCHOOL OF MEDICINE,DENTONS US LLP,NY,40000,1,3
MACK DEFENSE LLC,"C. BAKER CONSULTING, INC.",PA,30000,1,1
"AM GENERAL, LLC","C. BAKER CONSULTING, INC.",IN,10000,1,1
"HARDWIRE, LLC","C. BAKER CONSULTING, INC.",MD,20000,1,1
ASSOCIATION OF ART MUSEUM DIRECTORS,ASSOCIATION OF ART MUSEUM DIRECTORS,DC,20000,4,2
COALITION FOR GSP,PARK ROAD TRADE LLC,DC,100000,1,1
"NORTHERN VIRGINIA COMMUNITY COLLEGE EDUCATIONAL FOUNDATION, INC.",MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),VA,40000,1,1
ADVOCATE AURORA HEALTHCARE,MCDERMOTT+ LLC,DC,30000,2,2
MS INTERNATIONAL,PARK ROAD TRADE LLC,CA,15000,1,1
