geoid,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,entropy,largest,largest_pct
26163564300,2689,122,1862,223,4,355,0,20,103,1.0397,White,69.2451
26163564401,6131,175,4073,296,5,1346,0,24,212,0.996238,White,66.4329
26163564402,6452,263,2970,556,3,2386,0,12,262,1.21205,White,46.0322
26163564501,6122,231,4014,371,10,1207,0,27,262,1.05971,White,65.5668
26163564502,3670,108,2054,350,5,1019,0,9,125,1.14733,White,55.9673
26163564503,3498,105,1722,822,8,730,0,15,96,1.2574,White,49.2281
26163564504,8340,395,4154,1131,18,2259,3,41,339,1.28876,White,49.8082
26163564600,7112,232,4381,372,4,1788,0,33,302,1.07485,White,61.6001
26163564700,4849,206,2423,890,9,1078,1,17,225,1.30202,White,49.9691
26163564800,4819,199,3148,563,9,673,0,35,192,1.11143,White,65.3248
26163564900,2557,182,1528,607,6,20,2,7,205,1.11336,White,59.7575
26163565001,5194,169,2880,580,15,1316,0,16,218,1.19888,White,55.4486
26163565100,3691,152,1880,1050,8,412,0,16,173,1.25766,White,50.9347
26163565200,5239,185,2990,1096,12,738,0,26,192,1.20296,White,57.072
26163565301,1927,40,618,990,2,168,1,13,95,1.19318,Black,51.3752
26163565302,4478,175,1884,1667,8,517,0,41,186,1.29447,White,42.0724
26163565600,2088,88,1733,111,1,44,0,5,106,0.694883,White,82.9981
26163565700,3529,155,2398,531,8,236,0,11,190,1.0548,White,67.9513
26163565800,3751,214,2717,536,10,54,2,13,205,0.934368,White,72.434
26163565900,2626,125,1864,455,10,44,0,4,124,0.935715,White,70.9825
26163566400,1118,31,539,449,8,11,2,6,72,1.11435,White,48.2111
26163566500,2376,120,1347,666,13,72,0,26,132,1.17349,White,56.6919
26163566600,2036,73,1316,500,8,24,0,15,100,1.00453,White,64.6365
26163566700,3977,245,2823,495,18,75,1,19,301,0.996608,White,70.9832
26163566800,3057,185,1944,660,16,28,0,21,203,1.07335,White,63.5918
26163566900,5149,218,3000,1377,13,152,0,33,356,1.1375,White,58.2637
26163567000,3505,227,1149,1890,19,34,0,18,168,1.12185,Black,53.923
26163567100,3721,228,2645,586,13,58,2,16,173,0.959587,White,71.083
26163567201,3577,159,2981,191,10,39,0,23,174,0.691959,White,83.338
26163567202,3106,104,2151,651,9,73,0,17,101,0.940672,White,69.2531
26163567300,4643,180,3564,506,29,109,0,18,237,0.863751,White,76.7607
26163567400,2732,103,2308,167,8,57,1,12,76,0.661108,White,84.4802
26163567800,4992,210,3118,1234,17,132,2,24,255,1.06887,White,62.4599
26163567900,2905,164,2222,249,16,85,0,6,163,0.884228,White,76.4888
26163568000,2266,103,1593,342,15,116,1,4,92,1.00368,White,70.3001
26163568200,3838,158,2942,377,7,115,0,12,227,0.864949,White,76.6545
26163568300,4259,247,2679,864,31,59,2,14,363,1.10773,White,62.9021
26163568400,3799,141,2959,383,19,57,0,7,233,0.820512,White,77.8889
26163568500,4489,281,2523,1262,27,35,0,18,343,1.14126,White,56.2041
26163568700,3806,180,1994,1247,11,108,0,11,255,1.16456,White,52.391
26163568800,3756,151,1349,1804,4,249,1,28,170,1.2152,Black,48.0298
26163568900,2697,90,2012,315,10,143,0,4,123,0.909813,White,74.6014
26163569100,2504,111,2112,92,7,25,0,12,145,0.656122,White,84.345
26163569200,2747,163,2204,166,4,32,1,5,172,0.763116,White,80.233
26163569300,3688,146,3015,249,11,62,0,7,198,0.729476,White,81.7516
26163569400,2857,100,2324,233,11,37,2,19,131,0.747167,White,81.3441
26163569500,2791,119,2378,123,18,10,0,9,134,0.625535,White,85.2024
26163569600,3497,181,2948,127,8,44,3,17,169,0.664974,White,84.3008
26163569700,4328,170,3627,223,20,42,0,11,235,0.671235,White,83.8031
26163569800,2494,94,2062,169,8,24,0,5,132,0.694329,White,82.6784
26163569900,2474,109,1919,239,9,30,0,5,163,0.826055,White,77.5667
26163570100,4107,121,1206,2405,8,130,0,18,219,1.07861,Black,58.5586
26163570200,3043,90,851,1952,8,1,2,6,133,0.917441,Black,64.1472
26163570400,5360,197,1078,3690,18,17,1,55,304,0.949729,Black,68.8433
26163570500,3646,104,611,2688,23,20,0,21,179,0.863733,Black,73.7246
26163570600,2192,41,88,1922,8,12,0,11,110,0.544476,Black,87.6825
26163570800,2935,106,194,2444,8,9,0,14,160,0.669889,Black,83.2709
26163570900,2560,77,244,2099,5,4,0,21,110,0.689142,Black,81.9922
26163571000,2245,62,290,1784,5,4,0,7,93,0.72091,Black,79.4655
26163571500,5226,100,4335,522,5,64,1,18,181,0.659077,White,82.9506
26163571600,1929,72,1576,172,1,30,1,4,73,0.712708,White,81.7004
26163571700,2758,125,1859,608,1,47,0,15,103,0.962852,White,67.4039
26163571800,3640,218,2638,530,4,101,0,12,137,0.931731,White,72.4725
26163571900,3035,148,2309,412,7,52,0,3,104,0.832511,White,76.0791
26163572000,2213,74,1955,69,1,26,0,1,87,0.517661,White,88.3416
26163572100,7106,229,6220,267,11,92,0,39,248,0.56252,White,87.5317
26163572200,7155,153,6344,346,12,107,0,32,161,0.518509,White,88.6653
26163572400,1512,97,1136,171,10,9,0,4,85,0.878723,White,75.1323
26163572500,1906,116,1101,488,8,38,0,16,139,1.1683,White,57.765
26163572600,5439,520,3642,843,23,76,0,27,308,1.05367,White,66.9608
26163572700,4624,370,3516,404,24,51,0,35,224,0.883992,White,76.0381
26163572800,5929,560,4403,463,43,93,2,25,340,0.933567,White,74.2621
26163572900,2660,223,1985,224,9,18,2,11,188,0.903047,White,74.6241
26163573000,3340,60,3086,66,0,46,1,6,75,0.380873,White,92.3952
26163573100,4820,76,3841,506,3,205,0,13,176,0.758688,White,79.6888
26163573300,4463,57,4093,33,3,57,0,12,208,0.390753,White,91.7096
26163573400,5706,126,5045,274,8,27,0,34,192,0.518049,White,88.4157
26163573501,5119,44,4522,96,0,87,0,55,315,0.514529,White,88.3376
26163573600,7392,121,6727,182,4,48,1,47,262,0.432823,White,91.0038
26163573701,2070,32,1875,38,1,9,0,39,76,0.450954,White,90.5797
26163573702,7178,78,6682,65,4,40,0,41,268,0.343749,White,93.09
26163573800,5715,68,5214,89,0,50,0,17,277,0.406721,White,91.2336
26163573900,6018,120,5558,42,4,77,0,9,208,0.372819,White,92.3563
26163574000,6694,92,6058,94,3,66,1,48,332,0.443871,White,90.499
26163574100,4875,85,4176,355,0,46,0,22,191,0.58925,White,85.6615
26163574203,3265,95,1919,577,0,542,0,18,114,1.16548,White,58.7749
26163574301,3774,124,2822,187,7,521,0,33,80,0.886632,White,74.7748
26163574600,5352,260,4686,114,10,94,0,25,163,0.559405,White,87.5561
26163574700,4979,281,4368,78,1,70,2,23,156,0.540356,White,87.7285
26163574800,4588,229,4076,57,11,50,2,12,151,0.504253,White,88.8405
26163574900,1895,68,1582,115,3,73,0,10,44,0.690858,White,83.4828
26163575000,4702,343,3853,163,5,118,2,13,205,0.726635,White,81.9439
26163575100,2712,197,2152,175,7,55,0,3,123,0.793117,White,79.351
26163575200,4389,260,3347,449,3,112,1,19,198,0.871188,White,76.2588
26163575300,3804,275,3092,179,8,38,0,12,200,0.734191,White,81.2829
26163575401,3437,278,2775,174,10,47,3,9,141,0.75559,White,80.739
26163575500,4184,328,3333,240,1,62,0,21,199,0.780538,White,79.6606
26163575600,1861,128,1498,113,7,37,0,12,66,0.778723,White,80.4944
26163576001,1922,316,1154,274,4,53,0,7,114,1.1807,White,60.0416
26163576100,6260,1005,4546,293,17,113,5,13,268,0.911239,White,72.6198
26163576200,2566,270,2079,73,0,21,0,18,105,0.713618,White,81.021
26163576300,2383,259,1932,67,5,28,1,2,89,0.70886,White,81.0743
26163576400,3596,365,2981,67,19,19,0,11,134,0.657601,White,82.8977
26163576500,3901,403,3226,43,4,22,1,18,184,0.648564,White,82.6967
26163576600,4361,506,3479,167,12,25,2,0,170,0.730926,White,79.7753
26163576700,3649,358,2946,134,16,67,0,11,117,0.746901,White,80.7344
26163577000,4419,1351,1819,1011,18,26,0,23,171,1.27097,White,41.1632
26163577100,3251,1264,1436,356,19,17,0,20,139,1.19404,White,44.171
26163577200,3495,1143,1808,271,2,33,1,31,206,1.16417,White,51.731
26163577300,3386,862,2094,196,15,12,3,26,178,1.0529,White,61.8429
26163577400,3613,966,2190,281,3,11,6,4,152,1.02977,White,60.6144
26163577500,3591,962,2126,246,14,33,5,13,192,1.09767,White,59.2036
26163577600,4006,967,2450,302,26,10,1,18,232,1.0777,White,61.1583
26163577700,2437,474,1675,157,7,8,0,18,98,0.953907,White,68.732
26163577800,5173,1167,3433,259,20,17,6,17,254,0.972825,White,66.3638
26163577900,4206,773,2915,303,5,25,1,9,175,0.940835,White,69.3058
26163578000,2668,451,1706,311,7,16,1,21,155,1.08965,White,63.943
26163578500,6408,1165,4179,576,13,70,0,23,382,1.05551,White,65.2154
26163578600,6443,1316,3804,752,25,91,2,58,395,1.18403,White,59.0408
26163579100,1734,408,744,462,3,4,0,9,104,1.27698,White,42.9066
26163579200,3060,681,1201,931,22,6,0,18,201,1.32028,White,39.2484
26163579300,2430,165,54,2113,4,1,0,13,80,0.542898,Black,86.9547
26163579501,1520,364,656,360,19,5,0,12,104,1.34139,White,43.1579
26163579600,3318,235,135,2799,2,7,0,22,118,0.630662,Black,84.358
26163579700,2966,820,1204,725,11,13,0,13,180,1.30419,White,40.5934
26163579800,1494,278,710,366,3,6,0,13,118,1.28745,White,47.5234
26163579900,5789,249,4425,456,4,456,4,15,180,0.874461,White,76.4381
26163580100,1920,136,1584,80,10,9,0,6,95,0.697943,White,82.5
26163580200,2818,230,2377,60,12,12,1,14,112,0.633879,White,84.3506
26163580300,2765,224,2348,48,8,9,2,12,114,0.608649,White,84.9186
26163580400,2594,160,2244,32,3,14,1,8,132,0.559847,White,86.5073
26163580500,2953,185,2622,20,2,4,0,7,113,0.466023,White,88.7911
26163580600,3105,275,2601,41,14,19,0,7,148,0.634545,White,83.7681
26163580700,3484,239,2933,72,14,35,2,9,180,0.650052,White,84.1848
26163580800,1511,96,1305,31,6,9,0,6,58,0.580998,White,86.3666
26163580900,3908,246,3328,83,18,17,1,10,205,0.613153,White,85.1586
26163581101,3849,402,2573,521,8,144,0,13,188,1.07832,White,66.8485
26163581200,3736,296,2901,222,13,177,0,8,119,0.852179,White,77.6499
26163581500,2385,220,1896,93,1,25,0,11,139,0.770274,White,79.4969
26163581600,5811,546,3981,686,20,282,0,30,266,1.06826,White,68.508
26163581800,2665,239,2151,81,9,15,0,17,153,0.740062,White,80.7129
26163581900,4614,480,3718,129,19,21,5,14,228,0.730185,White,80.5808
26163582000,3049,247,2058,501,11,59,1,17,155,1.04531,White,67.4975
26163582100,3894,313,3257,50,28,36,0,12,198,0.656044,White,83.6415
26163583001,2568,245,1922,157,14,27,0,15,188,0.909636,White,74.8442
26163583101,3963,346,2870,403,14,41,0,11,278,0.948993,White,72.4199
26163583200,2924,231,2252,213,8,14,0,7,199,0.831527,White,77.0178
26163583300,2562,217,1997,143,14,28,2,7,154,0.832901,White,77.9469
26163583400,4987,451,3904,275,18,37,2,18,282,0.811346,White,78.2835
26163583500,2695,237,2109,152,10,31,2,0,154,0.808861,White,78.256
26163583600,2593,207,2049,138,8,28,6,14,143,0.81275,White,79.0204
26163583700,3705,310,2623,453,24,47,2,33,213,1.00739,White,70.7962
26163583800,4540,298,3230,666,12,115,1,11,207,0.968591,White,71.1454
26163583900,4056,240,2157,1303,11,105,4,25,211,1.17051,White,53.1805
26163584000,4670,344,2691,1286,13,68,0,22,246,1.12317,White,57.6231
26163584100,1822,153,1452,93,13,15,0,3,93,0.777968,White,79.6926
26163584200,3619,247,1996,1102,6,82,0,17,169,1.13819,White,55.1534
26163584300,2054,116,1075,645,6,89,2,12,109,1.21057,White,52.3369
26163584400,3166,313,1900,594,15,143,1,7,193,1.20102,White,60.0126
26163584501,2636,214,1693,496,8,95,0,12,118,1.1035,White,64.2261
26163584600,2014,158,897,666,2,188,0,3,100,1.31287,White,44.5382
26163584700,2511,217,1787,263,7,74,0,8,155,1.00049,White,71.1669
26163584801,3311,244,726,2104,14,44,0,15,164,1.06687,Black,63.5458
26163584802,2907,201,1073,1397,3,80,0,14,139,1.1818,Black,48.0564
26163585500,1822,88,1241,324,6,10,1,10,142,0.993983,White,68.112
26163585600,3948,114,577,2982,6,62,1,26,180,0.846436,Black,75.5319
26163585700,2095,94,705,1139,8,10,1,3,135,1.07359,Black,54.3675
26163585800,4955,218,1534,2842,12,34,1,29,285,1.06409,Black,57.3562
26163585900,3169,150,1735,1034,14,8,4,27,197,1.10041,White,54.7491
26163586201,7088,340,2857,3218,31,187,2,62,391,1.19369,Black,45.4007
26163586300,2056,98,1642,138,5,15,0,7,151,0.767616,White,79.8638
26163587000,4008,165,2822,737,12,36,0,5,231,0.922291,White,70.4092
26163587900,7015,221,3012,3075,10,266,0,45,386,1.15884,Black,43.8346
26163588001,3290,146,1494,1294,10,199,0,14,133,1.20397,White,45.4103
26163588002,2871,153,1767,676,14,43,4,5,209,1.09535,White,61.5465
26163588101,1370,119,955,167,8,11,0,3,107,1.00165,White,69.708
26163588102,1265,53,977,159,1,19,0,1,55,0.803798,White,77.2332
26163588200,3134,184,1545,1168,5,52,0,11,169,1.13857,White,49.298
26163588300,5708,237,4012,1008,14,74,2,38,323,0.955866,White,70.2873
26163588400,5722,180,3408,1675,14,95,0,22,328,1.04509,White,59.5596
26163589300,3609,102,2926,328,20,19,0,7,207,0.721316,White,81.0751
26163589401,2405,103,2004,123,8,2,0,5,160,0.656995,White,83.3264
26163589402,3646,175,2503,626,15,9,4,21,293,0.983716,White,68.6506
26163590401,7844,441,6502,387,33,41,0,27,413,0.690837,White,82.8914
26163590500,6570,345,5442,298,16,71,2,33,363,0.7037,White,82.8311
26163590600,2477,120,2124,75,2,46,0,13,97,0.618603,White,85.7489
26163591501,3912,263,2257,789,7,392,0,13,191,1.22996,White,57.6943
26163591502,3475,232,2103,497,10,473,0,18,142,1.20899,White,60.518
26163591600,2287,194,1419,383,0,155,1,19,116,1.1815,White,62.0463
26163591700,7337,460,5647,576,13,357,0,20,264,0.868942,White,76.9661
26163591800,6189,442,4324,673,11,404,0,10,325,1.03482,White,69.8659
26163591900,5305,342,4115,441,34,99,0,10,264,0.848353,White,77.5683
26163592000,4689,259,3732,280,11,135,1,16,255,0.805819,White,79.5905
26163593001,5451,338,4272,458,20,117,0,13,233,0.823689,White,78.3709
26163593200,3931,302,3045,254,7,138,0,10,175,0.854568,White,77.4612
26163593301,3541,292,2689,275,6,59,0,8,212,0.874618,White,75.939
26163594000,2532,145,2151,100,6,14,0,6,110,0.623594,White,84.9526
26163594100,4387,188,3948,26,15,29,0,15,166,0.456177,White,89.9932
26163594200,2520,108,2252,11,13,21,0,13,102,0.483245,White,89.3651
26163594300,3141,168,2781,23,13,21,0,12,123,0.50475,White,88.5387
26163594401,2857,174,2425,87,10,17,1,4,139,0.625261,White,84.8792
26163594500,3082,188,2588,126,12,34,0,10,124,0.667195,White,83.9714
26163595000,3790,223,3296,37,24,14,0,8,188,0.548078,White,86.9657
26163595100,5527,305,4464,358,13,127,0,30,230,0.77122,White,80.7671
26163595201,3164,151,2566,254,7,52,1,5,128,0.741119,White,81.0999
26163596100,3670,106,3362,19,8,54,0,19,102,0.412192,White,91.6076
26163596200,4321,205,3807,31,2,114,0,9,153,0.522227,White,88.1046
26163596300,2797,127,2486,11,4,59,0,6,104,0.493295,White,88.8809
26163597000,4997,222,4251,198,17,50,0,19,240,0.636214,White,85.071
26163598000,3240,120,2884,47,16,24,2,4,143,0.500197,White,89.0123
26163599001,5274,301,4272,332,18,51,2,27,271,0.754946,White,81.0011
26163599100,5247,323,4287,246,10,28,4,9,340,0.713757,White,81.7038
26163981700,0,0,0,0,0,0,0,0,0,,Black,0
26163981800,0,0,0,0,0,0,0,0,0,,Some Other Race,0
26163981901,0,0,0,0,0,0,0,0,0,,Some Other Race,0
26163981902,0,0,0,0,0,0,0,0,0,,White,0
26163982000,20,1,18,0,0,0,0,0,1,0.394398,White,90
26163982101,7,0,0,4,0,0,0,0,3,0.682908,Black,57.1429
26163982102,11,1,7,0,0,0,0,0,3,0.859967,White,63.6364
26163982200,9,0,7,0,0,0,0,0,2,0.529706,White,77.7778
26163982301,25,7,12,4,0,0,0,1,1,1.25946,White,48
26163982302,0,0,0,0,0,0,0,0,0,,Some Other Race,0
26163982400,99,16,57,18,0,0,0,2,6,1.17109,White,57.5758
26163982500,0,0,0,0,0,0,0,0,0,,Two or More,0
26163982600,7,1,4,0,0,0,0,0,2,0.9557,White,57.1429
26163982700,11,0,9,0,0,0,0,0,2,0.474139,White,81.8182
26163982900,0,0,0,0,0,0,0,0,0,,Black,0
26163983100,0,0,0,0,0,0,0,0,0,,Black,0
26163983200,0,0,0,0,0,0,0,0,0,,Black,0
26163983301,0,0,0,0,0,0,0,0,0,,Asian,0
26163983302,0,0,0,0,0,0,0,0,0,,White,0
26163983400,256,3,217,23,0,6,0,0,7,0.595092,White,84.7656
26163983600,9,0,5,0,3,0,0,0,1,0.936888,White,55.5556
26163983700,0,0,0,0,0,0,0,0,0,,White,0
26163983800,0,0,0,0,0,0,0,0,0,,Some Other Race,0
26163983901,6,2,1,1,0,1,0,0,1,1.56071,Hispanic,33.3333
26163983902,0,0,0,0,0,0,0,0,0,,Hispanic,0
26163983903,0,0,0,0,0,0,0,0,0,,Two or More,0
26163984100,4,2,0,0,0,0,0,0,2,0.693147,Two or More,50
26163984200,0,0,0,0,0,0,0,0,0,,AIAN,0
26163985000,19,9,0,10,0,0,0,0,0,0.691761,Black,52.6316
26163985100,154,4,63,79,0,2,0,2,4,1.01054,Black,51.2987
26163985200,3,1,1,0,0,0,0,0,1,1.09861,Hispanic,33.3333
26163985300,220,7,92,91,3,8,0,1,18,1.24784,White,41.8182
26163985400,16,0,16,0,0,0,0,0,0,0,White,100
26163985500,0,0,0,0,0,0,0,0,0,,Asian,0
26163985600,0,0,0,0,0,0,0,0,0,,NHPI,0
26163985700,0,0,0,0,0,0,0,0,0,,White,0
26163985800,0,0,0,0,0,0,0,0,0,,Some Other Race,0
26163985900,0,0,0,0,0,0,0,0,0,,NHPI,0
26163986100,3,0,1,0,0,0,0,0,2,0.636514,Two or More,66.6667
26163986200,0,0,0,0,0,0,0,0,0,,Asian,0
26163986300,29,8,11,7,0,0,0,0,3,1.30076,White,37.931
26163986400,50,0,48,0,0,0,0,0,2,0.167944,White,96
26163986501,0,0,0,0,0,0,0,0,0,,Hispanic,0
26163986502,0,0,0,0,0,0,0,0,0,,Black,0
26163986600,0,0,0,0,0,0,0,0,0,,Two or More,0
26163987000,7,0,0,3,0,0,1,1,2,1.27703,Black,42.8571
26163990100,0,0,0,0,0,0,0,0,0,,White,0
26163990200,0,0,0,0,0,0,0,0,0,,NHPI,0
