"r","cx","cy","n"
1.7,67.7232,51,27
1.7,67.7232,56.1,32
1.7,67.7232,61.2,27
1.7,67.7232,66.3,40
1.7,67.7232,71.4,33
1.7,67.7232,76.5,29
1.7,67.7232,81.6,26
1.7,67.7232,86.7,36
1.7,67.7232,91.8,59
1.7,67.7232,96.9,74
1.7,69.1954,12.75,120
1.7,69.1954,17.85,88
1.7,69.1954,2.55,220
1.7,69.1954,22.95,58
1.7,69.1954,28.05,53
1.7,69.1954,33.15,36
1.7,69.1954,38.25,37
1.7,69.1954,43.35,31
1.7,69.1954,48.45,35
1.7,69.1954,53.55,24
1.7,69.1954,58.65,23
1.7,69.1954,63.75,33
1.7,69.1954,68.85,27
1.7,69.1954,7.65,157
1.7,69.1954,73.95,28
1.7,69.1954,79.05,26
1.7,69.1954,84.15,29
1.7,69.1954,89.25,39
1.7,69.1954,94.35,65
1.7,69.1954,99.45,45
1.7,7.3612,99.45,509
1.7,70.6677,0,125
1.7,70.6677,10.2,115
1.7,70.6677,15.3,102
1.7,70.6677,20.4,68
1.7,70.6677,25.5,59
1.7,70.6677,30.6,37
1.7,70.6677,35.7,39
1.7,70.6677,40.8,22
1.7,70.6677,45.9,31
1.7,70.6677,5.1,141
1.7,70.6677,51,20
1.7,70.6677,56.1,25
1.7,70.6677,61.2,13
1.7,70.6677,66.3,16
1.7,70.6677,71.4,24
1.7,70.6677,76.5,19
1.7,70.6677,81.6,33
1.7,70.6677,86.7,26
1.7,70.6677,91.8,50
1.7,70.6677,96.9,55
1.7,72.1399,12.75,106
1.7,72.1399,17.85,70
1.7,72.1399,2.55,140
1.7,72.1399,22.95,55
1.7,72.1399,28.05,36
1.7,72.1399,33.15,41
1.7,72.1399,38.25,33
1.7,72.1399,43.35,32
1.7,72.1399,48.45,20
1.7,72.1399,53.55,24
1.7,72.1399,58.65,25
1.7,72.1399,63.75,19
1.7,72.1399,68.85,11
1.7,72.1399,7.65,117
1.7,72.1399,73.95,19
1.7,72.1399,79.05,22
1.7,72.1399,84.15,18
1.7,72.1399,89.25,41
1.7,72.1399,94.35,32
1.7,72.1399,99.45,32
1.7,73.6122,0,82
1.7,73.6122,10.2,88
1.7,73.6122,15.3,88
1.7,73.6122,20.4,49
1.7,73.6122,25.5,41
1.7,73.6122,30.6,31
1.7,73.6122,35.7,35
1.7,73.6122,40.8,36
1.7,73.6122,45.9,24
1.7,73.6122,5.1,134
1.7,73.6122,51,36
1.7,73.6122,56.1,16
1.7,73.6122,61.2,21
1.7,73.6122,66.3,17
1.7,73.6122,71.4,22
1.7,73.6122,76.5,16
1.7,73.6122,81.6,17
1.7,73.6122,86.7,24
1.7,73.6122,91.8,34
1.7,73.6122,96.9,47
1.7,75.0844,12.75,67
1.7,75.0844,17.85,45
1.7,75.0844,2.55,112
1.7,75.0844,22.95,53
1.7,75.0844,28.05,38
1.7,75.0844,33.15,37
1.7,75.0844,38.25,24
1.7,75.0844,43.35,27
1.7,75.0844,48.45,18
1.7,75.0844,53.55,13
1.7,75.0844,58.65,17
1.7,75.0844,63.75,25
1.7,75.0844,68.85,15
1.7,75.0844,7.65,91
1.7,75.0844,73.95,14
1.7,75.0844,79.05,17
1.7,75.0844,84.15,25
1.7,75.0844,89.25,22
1.7,75.0844,94.35,38
1.7,75.0844,99.45,21
1.7,76.5566,0,53
1.7,76.5566,10.2,68
1.7,76.5566,15.3,66
1.7,76.5566,20.4,50
1.7,76.5566,25.5,37
1.7,76.5566,30.6,29
1.7,76.5566,35.7,18
1.7,76.5566,40.8,20
1.7,76.5566,45.9,21
1.7,76.5566,5.1,90
1.7,76.5566,51,26
1.7,76.5566,56.1,19
1.7,76.5566,61.2,19
1.7,76.5566,66.3,13
1.7,76.5566,71.4,12
1.7,76.5566,76.5,16
1.7,76.5566,81.6,14
1.7,76.5566,86.7,14
1.7,76.5566,91.8,25
1.7,76.5566,96.9,46
1.7,78.0289,12.75,64
1.7,78.0289,17.85,51
1.7,78.0289,2.55,59
1.7,78.0289,22.95,43
1.7,78.0289,28.05,23
1.7,78.0289,33.15,19
1.7,78.0289,38.25,26
1.7,78.0289,43.35,16
1.7,78.0289,48.45,17
1.7,78.0289,53.55,29
1.7,78.0289,58.65,10
1.7,78.0289,63.75,15
1.7,78.0289,68.85,14
1.7,78.0289,7.65,67
1.7,78.0289,73.95,20
1.7,78.0289,79.05,17
1.7,78.0289,84.15,16
1.7,78.0289,89.25,17
1.7,78.0289,94.35,29
1.7,78.0289,99.45,15
1.7,79.5011,0,44
1.7,79.5011,10.2,46
1.7,79.5011,15.3,39
1.7,79.5011,20.4,36
1.7,79.5011,25.5,25
1.7,79.5011,30.6,20
1.7,79.5011,35.7,20
1.7,79.5011,40.8,16
1.7,79.5011,45.9,16
1.7,79.5011,5.1,61
1.7,79.5011,51,17
1.7,79.5011,56.1,15
1.7,79.5011,61.2,18
1.7,79.5011,66.3,15
1.7,79.5011,71.4,8
1.7,79.5011,76.5,9
1.7,79.5011,81.6,1
1.7,79.5011,86.7,14
1.7,79.5011,91.8,21
1.7,79.5011,96.9,33
1.7,8.8335,0,1787
1.7,8.8335,51,574
1.7,80.9734,12.75,45
1.7,80.9734,17.85,34
1.7,80.9734,2.55,62
1.7,80.9734,22.95,23
1.7,80.9734,28.05,22
1.7,80.9734,33.15,18
1.7,80.9734,38.25,18
1.7,80.9734,43.35,10
1.7,80.9734,48.45,9
1.7,80.9734,53.55,19
1.7,80.9734,58.65,16
1.7,80.9734,63.75,15
1.7,80.9734,68.85,7
1.7,80.9734,7.65,56
1.7,80.9734,73.95,15
1.7,80.9734,79.05,11
1.7,80.9734,84.15,15
1.7,80.9734,89.25,19
1.7,80.9734,94.35,31
1.7,80.9734,99.45,20
1.7,82.4456,0,13
1.7,82.4456,10.2,35
1.7,82.4456,15.3,42
1.7,82.4456,20.4,22
1.7,82.4456,25.5,23
1.7,82.4456,30.6,18
1.7,82.4456,35.7,9
1.7,82.4456,40.8,16
1.7,82.4456,45.9,13
1.7,82.4456,5.1,53
1.7,82.4456,51,18
1.7,82.4456,56.1,11
1.7,82.4456,61.2,8
1.7,82.4456,66.3,10
1.7,82.4456,71.4,5
1.7,82.4456,76.5,9
1.7,82.4456,81.6,9
1.7,82.4456,86.7,4
1.7,82.4456,91.8,15
1.7,82.4456,96.9,33
1.7,83.9179,12.75,33
1.7,83.9179,17.85,29
1.7,83.9179,2.55,34
1.7,83.9179,22.95,16
1.7,83.9179,28.05,11
1.7,83.9179,33.15,17
1.7,83.9179,38.25,15
1.7,83.9179,43.35,14
1.7,83.9179,48.45,15
1.7,83.9179,53.55,5
1.7,83.9179,58.65,7
1.7,83.9179,63.75,9
1.7,83.9179,68.85,10
1.7,83.9179,7.65,29
1.7,83.9179,73.95,4
1.7,83.9179,79.05,12
1.7,83.9179,84.15,7
1.7,83.9179,89.25,19
1.7,83.9179,94.35,14
1.7,83.9179,99.45,13
1.7,85.3901,0,10
1.7,85.3901,10.2,20
1.7,85.3901,15.3,23
1.7,85.3901,20.4,19
1.7,85.3901,25.5,21
1.7,85.3901,30.6,13
1.7,85.3901,35.7,12
1.7,85.3901,40.8,8
1.7,85.3901,45.9,11
1.7,85.3901,5.1,40
1.7,85.3901,51,6
1.7,85.3901,56.1,8
1.7,85.3901,61.2,7
1.7,85.3901,66.3,6
1.7,85.3901,71.4,5
1.7,85.3901,76.5,3
1.7,85.3901,81.6,3
1.7,85.3901,86.7,4
1.7,85.3901,91.8,11
1.7,85.3901,96.9,22
1.7,86.8623,12.75,13
1.7,86.8623,17.85,16
1.7,86.8623,2.55,25
1.7,86.8623,22.95,11
1.7,86.8623,28.05,10
1.7,86.8623,33.15,8
1.7,86.8623,38.25,9
1.7,86.8623,43.35,6
1.7,86.8623,48.45,10
1.7,86.8623,53.55,7
1.7,86.8623,58.65,8
1.7,86.8623,63.75,5
1.7,86.8623,68.85,3
1.7,86.8623,7.65,20
1.7,86.8623,73.95,3
1.7,86.8623,79.05,5
1.7,86.8623,84.15,3
1.7,86.8623,89.25,8
1.7,86.8623,94.35,9
1.7,86.8623,99.45,6
1.7,88.3346,0,1
1.7,88.3346,10.2,20
1.7,88.3346,15.3,14
1.7,88.3346,20.4,11
1.7,88.3346,25.5,13
1.7,88.3346,30.6,8
1.7,88.3346,35.7,5
1.7,88.3346,40.8,8
1.7,88.3346,45.9,5
1.7,88.3346,5.1,12
1.7,88.3346,51,5
1.7,88.3346,56.1,6
1.7,88.3346,61.2,1
1.7,88.3346,66.3,2
1.7,88.3346,71.4,4
1.7,88.3346,76.5,2
1.7,88.3346,81.6,5
1.7,88.3346,86.7,5
1.7,88.3346,91.8,3
1.7,88.3346,96.9,11
1.7,89.8068,12.75,4
1.7,89.8068,17.85,12
1.7,89.8068,2.55,15
1.7,89.8068,22.95,11
1.7,89.8068,28.05,7
1.7,89.8068,33.15,7
1.7,89.8068,38.25,4
1.7,89.8068,43.35,5
1.7,89.8068,48.45,3
1.7,89.8068,53.55,4
1.7,89.8068,58.65,4
1.7,89.8068,63.75,3
1.7,89.8068,68.85,2
1.7,89.8068,7.65,3
1.7,89.8068,73.95,4
1.7,89.8068,79.05,1
1.7,89.8068,84.15,4
1.7,89.8068,94.35,2
1.7,89.8068,99.45,5
1.7,91.2791,10.2,6
1.7,91.2791,15.3,4
1.7,91.2791,20.4,6
1.7,91.2791,25.5,3
1.7,91.2791,30.6,2
1.7,91.2791,35.7,2
1.7,91.2791,40.8,3
1.7,91.2791,45.9,3
1.7,91.2791,5.1,9
1.7,91.2791,51,2
1.7,91.2791,66.3,1
1.7,91.2791,71.4,3
1.7,91.2791,81.6,2
1.7,91.2791,86.7,7
1.7,91.2791,91.8,1
1.7,91.2791,96.9,6
1.7,92.7513,12.75,7
1.7,92.7513,17.85,4
1.7,92.7513,2.55,7
1.7,92.7513,22.95,3
1.7,92.7513,28.05,4
1.7,92.7513,33.15,2
1.7,92.7513,38.25,2
1.7,92.7513,43.35,3
1.7,92.7513,48.45,3
1.7,92.7513,53.55,3
1.7,92.7513,58.65,1
1.7,92.7513,63.75,1
1.7,92.7513,68.85,3
1.7,92.7513,7.65,2
1.7,92.7513,94.35,2
1.7,94.2236,15.3,4
1.7,94.2236,20.4,3
1.7,94.2236,25.5,2
1.7,94.2236,30.6,3
1.7,94.2236,35.7,2
1.7,94.2236,40.8,2
1.7,94.2236,5.1,5
1.7,94.2236,56.1,1
1.7,94.2236,71.4,1
1.7,94.2236,96.9,4
1.7,95.6958,17.85,1
1.7,95.6958,2.55,3
1.7,95.6958,22.95,1
1.7,95.6958,28.05,1
1.7,95.6958,58.65,2
1.7,95.6958,63.75,3
1.7,95.6958,99.45,1
1.7,97.168,20.4,1
1.7,97.168,25.5,1
1.7,97.168,51,1
1.7,98.6403,43.35,1
1.7,98.6403,79.05,1
1.7,98.6403,89.25,1
