"id","level","x","y"
8,0.0004,30.38,5.873
8,0.0004,30.775,6.329
8,0.0004,30.993,7.595
8,0.0004,31.432,8.861
8,0.0004,31.646,9.025
8,0.0004,32.911,9.61
8,0.0004,34.032,10.127
8,0.0004,34.177,10.217
8,0.0004,35.443,11.158
8,0.0004,35.824,11.392
8,0.0004,36.709,12.008
8,0.0004,37.975,12.48
8,0.0004,38.772,12.658
8,0.0004,39.241,12.769
8,0.0004,40.506,13.028
8,0.0004,41.772,13.268
8,0.0004,43.038,13.407
8,0.0004,44.304,13.348
8,0.0004,45.57,13.043
8,0.0004,46.461,12.658
8,0.0004,46.835,12.51
8,0.0004,48.101,11.817
8,0.0004,48.729,11.392
8,0.0004,49.367,11.001
8,0.0004,50.566,10.127
8,0.0004,50.633,10.083
8,0.0004,51.899,9.124
8,0.0004,52.211,8.861
8,0.0004,53.165,8.134
8,0.0004,53.82,7.595
8,0.0004,54.43,7.146
8,0.0004,55.439,6.329
8,0.0004,55.696,6.125
8,0.0004,56.868,5.063
8,0.0004,56.962,4.956
8,0.0004,57.896,3.797
8,0.0004,58.228,2.788
8,0.0004,58.313,2.532
8,0.0004,58.228,2.286
8,0.0004,57.906,1.266
8,0.0004,56.962,0.451
8,0.0004,56.436,0
9,0.0005,16.59,0
9,0.0005,17.675,1.266
9,0.0005,17.722,1.285
9,0.0005,18.987,1.768
9,0.0005,20.253,2.173
9,0.0005,21.519,2.528
9,0.0005,21.535,2.532
9,0.0005,22.785,2.787
9,0.0005,24.051,3.011
9,0.0005,25.316,3.218
9,0.0005,26.582,3.425
9,0.0005,27.848,3.645
9,0.0005,28.633,3.797
9,0.0005,29.114,3.938
9,0.0005,30.38,4.397
9,0.0005,31.646,4.967
9,0.0005,31.859,5.063
9,0.0005,32.911,6.039
9,0.0005,33.389,6.329
9,0.0005,34.177,6.944
9,0.0005,35.443,7.445
9,0.0005,36.052,7.595
9,0.0005,36.709,7.799
9,0.0005,37.975,8.099
9,0.0005,39.241,8.333
9,0.0005,40.506,8.562
9,0.0005,41.772,8.821
9,0.0005,41.976,8.861
9,0.0005,43.038,9.128
9,0.0005,44.304,9.286
9,0.0005,45.57,9.21
9,0.0005,46.835,8.899
9,0.0005,46.927,8.861
9,0.0005,48.101,8.467
9,0.0005,49.367,7.858
9,0.0005,49.793,7.595
9,0.0005,50.633,7.145
9,0.0005,51.864,6.329
9,0.0005,51.899,6.308
9,0.0005,53.165,5.449
9,0.0005,53.68,5.063
9,0.0005,54.43,4.411
9,0.0005,55.052,3.797
9,0.0005,55.666,2.532
9,0.0005,55.341,1.266
9,0.0005,54.43,0.492
9,0.0005,53.818,0
10,0.0006,18.927,0
10,0.0006,18.987,0.063
10,0.0006,20.229,1.266
10,0.0006,20.253,1.274
10,0.0006,21.519,1.699
10,0.0006,22.785,2.06
10,0.0006,24.051,2.365
10,0.0006,24.821,2.532
10,0.0006,25.316,2.62
10,0.0006,26.582,2.839
10,0.0006,27.848,3.053
10,0.0006,29.114,3.277
10,0.0006,30.38,3.539
10,0.0006,31.414,3.797
10,0.0006,31.646,3.891
10,0.0006,32.911,4.431
10,0.0006,34.177,4.929
10,0.0006,34.618,5.063
10,0.0006,35.443,5.43
10,0.0006,36.709,5.779
10,0.0006,37.975,6.006
10,0.0006,39.241,6.176
10,0.0006,40.473,6.329
10,0.0006,40.506,6.335
10,0.0006,41.772,6.561
10,0.0006,43.038,6.768
10,0.0006,44.304,6.889
10,0.0006,45.57,6.864
10,0.0006,46.835,6.663
10,0.0006,47.925,6.329
10,0.0006,48.101,6.282
10,0.0006,49.367,5.771
10,0.0006,50.62,5.063
10,0.0006,50.633,5.055
10,0.0006,51.899,4.14
10,0.0006,52.32,3.797
10,0.0006,53.165,2.565
10,0.0006,53.186,2.532
10,0.0006,53.165,2.422
10,0.0006,52.95,1.266
10,0.0006,51.899,0.44
10,0.0006,51.324,0
11,0.0007,21.227,0
11,0.0007,21.519,0.269
11,0.0007,22.708,1.266
11,0.0007,22.785,1.29
11,0.0007,24.051,1.641
11,0.0007,25.316,1.945
11,0.0007,26.582,2.214
11,0.0007,27.848,2.453
11,0.0007,28.31,2.532
11,0.0007,29.114,2.66
11,0.0007,30.38,2.874
11,0.0007,31.646,3.133
11,0.0007,32.911,3.444
11,0.0007,34.177,3.776
11,0.0007,34.27,3.797
11,0.0007,35.443,4.157
11,0.0007,36.709,4.443
11,0.0007,37.975,4.653
11,0.0007,39.241,4.814
11,0.0007,40.506,4.951
11,0.0007,41.59,5.063
11,0.0007,41.772,5.087
11,0.0007,43.038,5.225
11,0.0007,44.304,5.294
11,0.0007,45.57,5.239
11,0.0007,46.593,5.063
11,0.0007,46.835,5.022
11,0.0007,48.101,4.619
11,0.0007,49.367,3.974
11,0.0007,49.637,3.797
11,0.0007,50.633,2.714
11,0.0007,50.778,2.532
11,0.0007,50.637,1.266
11,0.0007,50.633,1.262
11,0.0007,49.367,0.295
11,0.0007,48.96,0
12,0.0008,23.54,0
12,0.0008,24.051,0.389
12,0.0008,25.316,1.24
12,0.0008,25.359,1.266
12,0.0008,26.582,1.547
12,0.0008,27.848,1.791
12,0.0008,29.114,1.993
12,0.0008,30.38,2.182
12,0.0008,31.646,2.395
12,0.0008,32.343,2.532
12,0.0008,32.911,2.645
12,0.0008,34.177,2.904
12,0.0008,35.443,3.147
12,0.0008,36.709,3.358
12,0.0008,37.975,3.536
12,0.0008,39.241,3.681
12,0.0008,40.502,3.797
12,0.0008,40.506,3.798
12,0.0008,41.772,3.891
12,0.0008,43.038,3.957
12,0.0008,44.304,3.956
12,0.0008,45.57,3.832
12,0.0008,45.723,3.797
12,0.0008,46.835,3.445
12,0.0008,48.101,2.689
12,0.0008,48.286,2.532
12,0.0008,48.332,1.266
12,0.0008,48.101,1.099
12,0.0008,46.835,0.281
12,0.0008,46.337,0
13,0.0009,26.096,0
13,0.0009,26.582,0.297
13,0.0009,27.848,0.92
13,0.0009,28.787,1.266
13,0.0009,29.114,1.315
13,0.0009,30.38,1.462
13,0.0009,31.646,1.608
13,0.0009,32.911,1.775
13,0.0009,34.177,1.956
13,0.0009,35.443,2.129
13,0.0009,36.709,2.291
13,0.0009,37.975,2.445
13,0.0009,38.853,2.532
13,0.0009,39.241,2.559
13,0.0009,40.506,2.603
13,0.0009,41.772,2.607
13,0.0009,43.038,2.563
13,0.0009,43.348,2.532
13,0.0009,44.304,2.197
13,0.0009,45.212,1.266
13,0.0009,44.304,0.875
13,0.0009,43.038,0.379
13,0.0009,42.152,0
14,0.001,32.072,0
14,0.001,32.911,0.038
14,0.001,33.441,0
