"id","part","x","y","tgt","pop"
22,1,16.3308,11.06,"PEC",0
22,1,16.4728,11.093,"PEC",0
22,1,16.4699,11.1144,"PEC",0
22,1,16.281,11.0708,"PEC",0
22,1,16.1045,11.0065,"PEC",0
22,1,15.9718,10.9397,"PEC",0
22,1,15.8244,10.8309,"PEC",0
23,1,11.1429,11.9677,"PEC",0
23,1,11.1174,11.2725,"PEC",0
23,1,11.1418,11.2719,"PEC",0
23,1,11.1634,12.0375,"PEC",0
23,1,11.1458,12.038,"PEC",0
23,1,11.1429,11.9677,"PEC",0
24,1,11.1546,12.4607,"PEC",0
24,1,11.1458,12.038,"PEC",0
24,1,11.1634,12.0375,"PEC",0
24,1,11.1762,12.4601,"PEC",0
24,1,11.2164,12.6662,"PEC",0
24,1,11.1893,12.6666,"PEC",0
24,1,11.1546,12.4607,"PEC",0
25,1,11.8232,13.8194,"PEC",0
25,1,11.6337,13.4797,"PEC",0
25,1,11.4598,13.1851,"PEC",0
25,1,11.2782,12.8675,"PEC",0
25,1,11.1893,12.6666,"PEC",0
25,1,11.2164,12.6662,"PEC",0
25,1,11.2743,12.8094,"PEC",0
25,1,11.397,13.0371,"PEC",0
25,1,11.6771,13.5196,"PEC",0
25,1,11.8478,13.8062,"PEC",0
25,1,11.8232,13.8194,"PEC",0
26,1,14.2644,12.1331,"PEC",32
26,1,14.2002,11.9852,"PEC",32
26,1,14.0199,11.6961,"PEC",32
26,1,13.9815,11.601,"PEC",32
26,1,13.9498,11.3079,"PEC",32
26,1,13.924,11.1936,"PEC",32
26,1,14.0091,11.1963,"PEC",32
26,1,14.5204,11.1793,"PEC",32
26,1,14.5406,11.1785,"PEC",32
26,1,14.5717,11.5081,"PEC",32
26,1,14.5052,11.5098,"PEC",32
26,1,14.5414,11.9021,"PEC",32
26,1,14.5677,11.9014,"PEC",32
26,1,14.5944,12.1232,"PEC",32
26,1,14.2644,12.1331,"PEC",32
27,1,12.7792,11.2279,"PEC",3
27,1,12.7869,11.3364,"PEC",3
27,1,12.6423,11.343,"PEC",3
27,1,12.6407,11.2321,"PEC",3
27,1,12.7283,11.2288,"PEC",3
27,1,12.7408,11.2285,"PEC",3
27,1,12.7792,11.2279,"PEC",3
28,1,13.0032,11.2255,"PEC",12
28,1,13.0095,11.3718,"PEC",12
28,1,12.9216,11.3736,"PEC",12
28,1,12.918,11.2256,"PEC",12
28,1,13.0032,11.2255,"PEC",12
29,1,12.0957,14.7448,"PEC",62
29,1,12.0213,14.426,"PEC",62
29,1,12.1442,14.4006,"PEC",62
29,1,12.2655,14.451,"PEC",62
29,1,12.5297,14.7268,"PEC",62
29,1,12.6771,14.818,"PEC",62
29,1,12.4829,14.7915,"PEC",62
29,1,12.335,14.845,"PEC",62
29,1,12.188,14.8832,"PEC",62
29,1,12.1591,14.7332,"PEC",62
29,1,12.0957,14.7448,"PEC",62
30,1,12.1079,14.7969,"PEC",0
30,1,12.0957,14.7448,"PEC",0
30,1,12.1591,14.7332,"PEC",0
30,1,12.188,14.8832,"PEC",0
30,1,12.1313,14.8957,"PEC",0
30,1,12.1079,14.7969,"PEC",0
31,1,12.1079,14.7969,"PEC",0
31,1,12.0939,14.8003,"PEC",0
31,1,12.0086,14.4287,"PEC",0
31,1,12.0213,14.426,"PEC",0
31,1,12.0957,14.7448,"PEC",0
31,1,12.1079,14.7969,"PEC",0
32,1,14.5204,11.1793,"PEC",0
32,1,14.5174,11.1033,"PEC",0
32,1,14.4768,11.1053,"PEC",0
32,1,14.4788,10.9394,"PEC",0
32,1,14.6939,10.9323,"PEC",0
32,1,14.6782,10.7403,"PEC",0
32,1,15.0846,10.5891,"PEC",0
32,1,15.1309,10.515,"PEC",0
32,1,15.1835,10.5134,"PEC",0
32,1,15.249,10.4367,"PEC",0
32,1,15.2527,10.3503,"PEC",0
32,1,15.3135,10.2918,"PEC",0
32,1,15.1275,10.1203,"PEC",0
32,1,14.959,9.9833,"PEC",0
32,1,14.9349,9.9825,"PEC",0
32,1,14.9359,9.9418,"PEC",0
32,1,15.1872,10.1521,"PEC",0
32,1,15.3631,10.3184,"PEC",0
32,1,15.7491,10.7221,"PEC",0
32,1,15.8483,10.808,"PEC",0
32,1,15.8244,10.8309,"PEC",0
32,1,15.7553,10.868,"PEC",0
32,1,15.4955,10.9551,"PEC",0
32,1,15.3424,11.0186,"PEC",0
32,1,15.1459,11.0892,"PEC",0
32,1,14.8443,11.1707,"PEC",0
32,1,14.7135,11.1716,"PEC",0
32,1,14.7027,11.0393,"PEC",0
32,1,14.6018,11.0432,"PEC",0
32,1,14.6105,11.1762,"PEC",0
32,1,14.5406,11.1785,"PEC",0
32,1,14.5204,11.1793,"PEC",0
33,1,14.6105,11.1762,"PEC",3
33,1,14.6018,11.0432,"PEC",3
33,1,14.7027,11.0393,"PEC",3
33,1,14.7135,11.1716,"PEC",3
33,1,14.6105,11.1762,"PEC",3
34,1,13.6866,9.412,"PEC",222
34,1,13.6597,9.2675,"PEC",222
34,1,13.6063,9.0489,"PEC",222
34,1,13.6227,8.9438,"PEC",222
34,1,14.5433,9.6331,"PEC",222
34,1,14.7308,9.7984,"PEC",222
34,1,14.913,9.9445,"PEC",222
34,1,14.9349,9.9825,"PEC",222
34,1,14.959,9.9833,"PEC",222
34,1,15.1275,10.1203,"PEC",222
34,1,15.3135,10.2918,"PEC",222
34,1,15.2527,10.3503,"PEC",222
34,1,15.249,10.4367,"PEC",222
34,1,15.1835,10.5134,"PEC",222
