"state","cd","district","democrat","republican","dem_share","pres_party","house_rep","house_rep_party"
"WA","10","WA-10",57.04,39.14,59.31,"democrat","Marilyn Strickland","democrat"
"WI","01","WI-01",46.89,51.39,47.71,"republican","Bryan Steil","republican"
"WI","02","WI-02",69.16,29.12,70.37,"democrat","Mark Pocan","democrat"
"WI","03","WI-03",45.46,52.84,46.25,"republican","Derrick Van Orden","republican"
"WI","04","WI-04",74.68,23.28,76.24,"democrat","Gwen Moore","democrat"
"WI","05","WI-05",38.15,60.24,38.77,"republican","Scott Fitzgerald","republican"
"WI","06","WI-06",41.02,57.46,41.65,"republican","Glenn Grothman","republican"
"WI","07","WI-07",37.94,60.4,38.58,"republican","Thomas P. Tiffany","republican"
"WI","08","WI-08",41.17,57.4,41.77,"republican","Tony Wied","republican"
"WV","01","WV-01",26.89,71.25,27.4,"republican","Carol D. Miller","republican"
"WV","02","WV-02",29.23,68.82,29.81,"republican","Riley Moore","republican"
"WY","00","WY-00",26.1,72.32,26.52,"republican","Harriet M. Hageman","republican"
