"rank","name","people","pct_female","pct_white","pct_black","pct_aian","pct_asian","pct_twoplus","pct_hispanic","also_a_last_name"
35,"SARAH",874127,99.8937,80.9531,4.34971,0.503703,3.29597,3.60176,7.29574,TRUE
36,"LISA",864251,99.9275,81.044,6.83609,0.604917,2.49939,2.78623,6.22932,TRUE
37,"JACOB",805737,0.145458,74.9287,2.88928,0.680371,2.074,4.19951,15.2282,TRUE
38,"TIMOTHY",802955,0.0905416,84.175,7.7226,0.567404,1.77856,2.8303,2.92619,TRUE
39,"SANDRA",780837,99.9097,68.9536,8.5676,0.506508,1.12251,1.83547,19.0143,TRUE
40,"NANCY",772570,99.9166,81.1454,2.28937,0.338869,2.68765,1.31134,12.2274,TRUE
41,"ERIC",767093,0.152132,66.6883,11.9871,0.527185,4.03458,2.77385,13.989,TRUE
42,"MICHELLE",757102,99.8312,68.3831,9.00486,0.64945,4.79526,3.443,13.7243,TRUE
43,"KENNETH",755676,0.108909,77.4818,13.3191,0.677936,2.10474,2.68369,3.73282,TRUE
44,"EMILY",755529,99.8769,75.6077,1.51139,0.39972,3.97854,3.14707,15.3556,TRUE
45,"ASHLEY",752328,98.5089,66.0559,10.5728,0.618081,2.0943,3.79954,16.8594,TRUE
46,"JEFFREY",735424,0.0818571,86.9235,4.50407,0.385628,2.27107,2.20553,3.71024,TRUE
47,"JONATHAN",717216,0.136083,59.739,7.88075,0.514629,4.29843,3.43913,24.128,TRUE
48,"DONALD",715630,0.107319,86.3984,8.39456,0.603943,0.690301,2.18688,1.72589,TRUE
49,"NICHOLAS",711310,0.131449,77.4827,4.74238,0.451702,1.96989,3.8983,11.4551,TRUE
50,"AMANDA",698992,99.9116,79.7433,3.01849,0.633198,1.76783,3.51649,11.3207,TRUE
51,"KIMBERLY",696172,99.7871,72.706,10.1146,0.595686,1.87324,3.12753,11.5829,TRUE
52,"RONALD",689835,0.0866864,80.2799,11.3256,0.676104,1.59922,2.14138,3.97776,TRUE
53,"LAURA",679854,99.9123,74.2924,2.73029,0.397291,1.20747,2.10942,19.2631,TRUE
54,"MELISSA",675225,99.9113,73.8828,4.1755,0.653412,1.81258,3.06683,16.4089,TRUE
55,"JUSTIN",668566,0.237075,70.99,9.00076,0.802464,4.46628,4.17296,10.5675,TRUE
56,"STEPHEN",665593,0.10577,86.5143,4.95979,0.388375,1.85624,2.4195,3.86182,TRUE
57,"STEPHANIE",657761,99.9074,66.2037,8.9046,0.58912,2.70843,3.01143,18.5827,TRUE
58,"GARY",656596,0.126106,87.4611,6.07192,0.688551,1.40421,2.08378,2.29045,TRUE
59,"SCOTT",655955,0.104428,93.1908,1.23789,0.374416,1.08925,2.19649,1.91111,TRUE
60,"JUAN",655686,0.643133,1.51643,1.14537,0.145649,0.743954,0.116062,96.3325,TRUE
61,"REBECCA",645355,99.9306,82.7029,2.75166,0.572088,1.9865,2.94613,9.04076,TRUE
62,"BRANDON",642617,0.284149,62.0233,14.1892,0.877817,3.29994,4.58064,15.0292,TRUE
63,"DONNA",635056,99.9113,87.8833,6.00451,0.594593,1.05125,2.26012,2.20626,TRUE
64,"GEORGE",631917,0.241168,73.0064,11.154,0.623183,2.65161,2.29286,10.2719,TRUE
65,"AMY",625124,99.9192,84.1409,1.409,0.428075,4.42552,2.37601,7.22049,TRUE
66,"DEBORAH",622212,99.9389,83.4642,9.71003,0.456115,0.764209,2.32027,3.28521,TRUE
67,"EDWARD",616125,0.117022,73.1957,10.3662,0.56547,2.80398,2.29239,10.7762,TRUE
68,"CAROL",614461,99.5585,88.7619,5.07372,0.526478,1.27705,1.56641,2.79448,TRUE
69,"BENJAMIN",606324,0.122707,73.8514,4.66038,0.463284,3.56542,3.88637,13.5731,TRUE
70,"ANGELA",600156,99.8607,63.652,14.0837,0.657329,3.41428,3.25865,14.9341,TRUE
71,"CYNTHIA",597777,99.9241,69.4824,11.3817,0.542845,2.16151,2.28296,14.1486,FALSE
72,"SHARON",583753,99.8057,79.3087,13.1835,0.634686,2.23159,2.16873,2.47279,TRUE
73,"SAMUEL",566084,0.175769,62.4593,11.1907,0.597438,3.15943,3.46309,19.13,TRUE
74,"ALEXANDER",556753,0.443281,59.4375,4.87308,0.405386,4.02315,5.05377,26.2071,TRUE
75,"PATRICK",551886,0.141334,81.224,8.0966,0.594688,2.65526,2.7522,4.67723,TRUE
76,"MARGARET",549715,99.8989,86.0344,6.41714,0.417125,1.35761,1.7238,4.04992,TRUE
77,"KATHLEEN",547317,99.9492,92.7157,1.65973,0.310241,1.27275,1.63507,2.40647,TRUE
78,"NICOLE",544074,99.8579,70.044,9.74077,0.558931,2.46566,3.92447,13.2662,TRUE
79,"TYLER",541533,2.67153,80.5914,6.65998,0.77613,2.08685,4.8359,5.04974,TRUE
80,"BRENDA",521401,99.8774,64.8844,14.1099,0.716915,0.960489,2.24664,17.0817,TRUE
81,"SAMANTHA",517507,99.8725,68.9678,3.97541,0.669556,2.66934,4.31859,19.3994,TRUE
82,"ANNA",512952,99.8719,74.7984,3.5054,0.529094,4.97201,2.80923,13.3859,TRUE
83,"LARRY",512453,0.135036,76.9737,15.572,0.815489,1.06312,2.25308,3.32265,TRUE
84,"GREGORY",503955,0.105169,77.5164,14.6952,0.459366,0.822693,2.47899,4.02734,TRUE
85,"KELLY",499226,87.6404,85.6119,3.30512,0.537031,2.81416,2.62366,5.10811,TRUE
86,"EMMA",498216,99.8422,71.7315,4.28509,0.499181,3.19038,4.09622,16.1976,TRUE
87,"ADAM",496298,0.157969,80.8611,2.93936,0.516424,1.99497,3.4574,10.2307,TRUE
88,"PAMELA",495984,99.9413,80.5044,11.2721,0.561913,1.13854,2.341,4.18199,FALSE
89,"AARON",494243,0.539417,62.9636,11.6791,0.852819,3.92054,4.19672,16.3873,TRUE
90,"RACHEL",493720,99.8841,78.1356,4.66621,0.568338,3.57044,3.76124,9.29819,TRUE
91,"LUIS",489967,0.298591,2.55956,0.453092,0.0979658,0.55718,0.107966,96.2242,TRUE
92,"CHRISTINE",482604,99.8844,80.5735,5.79896,0.466221,5.04264,2.43595,5.68271,TRUE
93,"NATHAN",481630,0.130185,72.2015,5.43342,0.67583,4.32178,4.23271,13.1348,TRUE
94,"HEATHER",473466,99.9314,90.1898,1.67995,0.656647,0.790131,3.47015,3.21332,TRUE
95,"CARLOS",473059,0.245219,4.35443,4.53707,0.207796,0.812161,0.365282,89.7233,TRUE
96,"KATHERINE",470579,99.9141,79.2094,3.03775,0.413958,3.13295,2.87752,11.3284,TRUE
97,"JULIE",467486,99.9099,85.9016,1.49887,0.453703,4.1167,2.22595,5.80317,TRUE
98,"DEBRA",465855,99.9356,84.753,8.75573,0.604909,0.467742,2.32969,3.08894,TRUE
99,"PETER",464400,0.105298,80.9184,3.74311,0.384367,6.50345,1.97244,6.47825,TRUE
100,"VICTORIA",452655,99.8515,55.2916,8.82747,0.631607,3.68095,3.47549,28.0929,TRUE
