"st","part","pts"
"38",1,"747 848 1 -10 0 -3 2 -9 4 -10 1 -6 0 -10 0 -3 0 -5 2 -3 -1 -4 0 -7 3 -9 2 -2 1 -9 -1 -2 0 -3 -17 0 -19 0 0 1 -19 0 -7 0 -18 1 -4 0 -16 1 -38 2 -24 2 -2 0 -26 2 1 12 1 10 0 3 2 25 0 3 2 21 1 15 1 8 1 14 27 -3 22 -1 13 -1 32 -2 16 0 13 -1 25 0 18 -1 0 -1 3 -10 -2 -5"
"39",1,"1166 642 6 5 6 3 13 5 3 -18 2 -12 0 -1 2 -13 1 -8 0 -2 2 -8 -4 -2 3 -4 -1 -3 1 -3 -1 -5 0 -1 -1 -5 1 -4 -2 -3 1 -4 -3 -5 -2 -3 -2 -3 -2 -3 -4 -3 -3 2 -5 -5 -1 -3 -1 -1 1 -3 0 -5 -4 -4 0 2 -3 3 -2 -3 -1 -4 -2 -2 2 -6 -1 -1 -2 -1 0 -5 -5 -2 -2 0 -3 3 -4 1 -4 7 -3 -2 -3 -4 -3 -1 -8 2 -3 -2 -2 0 -6 3 -4 0 -5 1 -1 2 -3 5 -5 2 -3 -1 -4 2 -2 -1 -1 7 -1 8 0 2 -1 5 0 7 -1 4 -1 11 0 1 -1 8 -1 6 0 7 -1 3 -1 9 0 1 -1 6 0 3 -1 6 11 2 1 0 13 2 3 1 9 2 7 9 4 -4 8 -4 2 -1 7 1 1 1 10 8 11 10"
"40",1,"818 394 0 -2 2 -13 1 -4 1 -9 0 -17 0 -8 0 -8 0 -11 0 -10 0 -11 -8 3 -4 1 -4 4 -5 3 -2 1 -2 -3 -7 0 -1 1 -6 -1 -3 -2 -3 1 -6 -1 -1 -3 -3 1 -3 -2 -3 2 -3 4 -3 -1 -5 0 -2 4 -1 -1 -4 -8 -2 0 -3 5 -4 -1 -3 3 -2 0 -3 3 -7 -5 -3 2 1 3 -4 1 -2 5 0 -1 -6 2 -2 -3 -2 -1 -4 4 -2 -1 -6 2 -2 1 -7 1 0 4 -2 3 -4 1 -2 -1 -3 1 -4 -2 -4 5 -5 2 0 7 1 11 0 5 1 9 0 7 0 10 0 6 1 17 -16 0 -12 1 -3 0 -16 1 -12 1 -4 0 -24 2 1 18 28 -2 14 -1 14 -1 4 0 9 0 15 -1 3 0 13 -1 3 0 13 0 13 0 6 -1 7 0 9 0 9 0 10 0 11 0 7 0 15 0 1 0 5 0 8 0 3 0 10 0 2 0 11 0 0 -9 0 -3 0 -7 2 -12"
"41",1,"220 820 10 -2 3 -1 14 -3 2 -6 4 -4 2 -7 -3 -3 -5 -8 -4 -6 -2 -1 -1 -4 -2 -3 -4 -2 -5 -7 -2 -2 -2 -6 3 -2 4 -5 -2 -2 0 -3 -2 -5 -2 -1 -1 -5 -13 -61 -31 7 -13 3 -17 5 -1 0 -16 4 -23 6 -15 4 -22 7 -24 7 -8 2 -8 2 -13 4 -1 3 0 5 1 7 -1 4 4 4 -4 8 6 4 5 8 1 5 3 2 4 6 5 9 5 14 3 6 3 11 5 9 3 7 0 3 6 13 -1 3 4 7 0 7 -1 3 5 -1 2 -2 4 0 6 -2 1 -5 4 0 3 0 4 -5 1 -5 -1 -4 0 -5 -1 -2 7 -6 4 -2 10 2 1 1 9 -1 2 -2 3 0 5 -4 4 -2 8 2 3 -2 8 -1 6 2 3 0 5 -1 3 2 4 -1 7 -2 4 2 25 -6"
"42",1,"1202 587 -1 6 -2 8 0 2 -1 8 -2 13 0 1 -2 12 -3 18 11 4 8 6 3 -19 4 1 14 2 4 1 17 3 2 1 12 2 4 1 17 3 1 0 10 2 11 3 1 0 16 3 4 1 4 -4 2 0 4 -3 0 -5 3 -3 7 -2 2 -2 -3 -4 0 -3 -2 -4 -3 -6 3 -3 -3 -4 1 -6 4 -2 1 -4 4 -2 8 -6 -6 -5 -2 -2 -2 -4 -1 -2 -5 -3 -5 0 -1 0 -4 -5 -9 -2 -3 -1 -9 -2 -6 -1 -6 -1 -6 -2 -7 -1 -17 -3 -7 -1 -1 -1 -12 -2 -3 0 -13 -3 -2 0 -8 -2 -4 0 -14 -3 -3 0 -1 9 -1 2 0 5 -2 9 0 2"
"44",1,"1438 667 1 -3 -2 -3 -3 2 1 4 3 0"
"44",2,"1435 669 -5 -3 1 -3 -4 3 2 5 -2 6 0 2 -1 3 -3 10 8 2 3 0 1 -3 3 -4 4 -2 2 -1 3 -8 -10 -7 -2 0"
"45",1,"1253 384 7 1 8 -5 13 -10 15 -10 6 -4 -6 -3 -5 -8 -4 -8 0 -5 1 -3 -4 -5 -1 -4 -4 0 -2 -4 -6 -6 -1 -2 -5 -5 -3 -1 -4 -3 -2 -4 -2 -5 -3 -2 -2 -3 -4 -4 -1 -3 -4 1 -3 2 -4 0 -1 4 0 4 -6 7 -4 1 -1 5 -1 4 -5 7 -2 1 -3 0 -2 3 -3 2 -3 2 -1 5 -3 2 0 1 -3 1 -4 3 -4 5 -7 3 -2 2 -5 7 -1 2 -4 6 -4 0 -2 1 -1 1 -8 5 -1 1 1 2 5 7 0 2 3 1 3 2 4 1 5 3 6 3 5 1 7 1 3 0 3 0 12 1 1 1 8 0 1 -3 4 1 2 -2 2 -2 0 -4 7 1 7 1 12 1"
"46",1,"764 677 0 -13 -4 0 2 -4 -1 -5 2 -1 1 -5 -2 -2 -1 -5 -2 -6 3 -4 0 -3 2 -2 -5 1 -5 7 -5 2 -4 1 -2 2 -7 0 -4 0 -6 1 -4 -4 -4 3 -4 2 -4 2 -1 2 -20 1 -7 0 -18 1 -27 1 -23 2 -19 1 -6 0 -13 1 -15 2 2 17 0 1 1 13 1 10 0 2 1 14 2 16 1 7 2 25 0 2 26 -2 2 0 24 -2 38 -2 16 -1 4 0 18 -1 7 0 19 0 0 -1 19 0 17 0 0 -4 -2 -3 -5 -3 0 -3 4 -6 6 -3 0 -2 0 -11 0 -6 0 -7 0 -3 0 -13 0 -12"
"47",1,"1103 370 0 -1 -8 -1 -3 0 -4 0 -3 -1 -8 0 -13 -2 -1 0 -13 -1 -2 0 -11 -1 -12 -1 -11 -1 -6 -1 -5 0 -1 0 -12 -1 -1 0 -6 -1 -5 0 -5 0 -8 -1 -3 0 -17 -1 3 1 1 4 3 1 -2 6 1 3 -2 1 3 -1 0 4 4 2 -1 4 -1 2 4 2 1 4 4 2 -3 3 2 7 3 3 -1 3 0 5 2 1 2 0 2 0 15 1 9 1 1 0 12 1 -1 6 11 0 2 0 9 1 6 0 2 1 8 1 6 0 5 1 6 0 6 0 6 1 10 1 4 0 1 0 8 1 6 0 15 2 1 0 7 1 2 0 7 1 6 1 14 2 4 0 7 1 9 1 1 1 3 0 9 2 5 1 0 -1 -1 -8 -5 -4 0 -1 -3 -7 -5 2 -5 -4 -2 -4 -3 2 -1 1 -7 -6 -1 -6 -4 0 -5 -4 1 0 -7 -6 -5 0 -3 -1 -5 -5 0 1 -2 -3 1 -4 -2 -2 -3 0 -3 -2 1 -8 -9 -1 -5 -1 -1 0 -5 0"
"48",1,"763 105 -7 -4 -7 -5 -4 -5 -1 -3 -1 -1 -5 -7 -4 -11 -2 -10 1 -6 2 -9 2 -6 2 -6 1 -10 -9 -2 -3 -3 -5 4 -2 3 -5 0 -2 2 -6 -1 -5 0 -6 4 -3 3 -4 1 -2 -1 -5 5 -3 0 -6 2 0 2 -3 4 -3 10 -5 7 1 5 -1 3 -2 3 1 5 -4 6 -3 1 -5 5 -1 4 -3 3 -3 6 -3 2 -3 3 -1 6 -5 8 -1 6 -3 3 -1 7 -3 6 -7 5 -1 3 -7 3 -1 4 -4 6 -6 -1 -4 1 -11 1 -2 3 -5 1 -3 -3 -8 -1 -1 -3 -7 -11 -1 -3 -8 -10 -8 2 -5 6 -5 1 -2 3 -6 2 -6 4 -1 3 -4 2 -5 5 -1 3 -3 7 0 5 1 5 -2 4 -3 4 -1 7 -2 2 -7 7 -5 2 -5 6 -2 5 -4 2 -2 5 -4 4 -2 0 -5 4 -4 10 -4 2 -3 3 1 5 8 -1 11 -1 34 -3 2 0 25 -3 1 0 8 0 13 -1 8 -1 0 3 1 16 1 16 2 16 0 6 1 10 2 17 0 1 1 15 0 8 1 8 1 17 1 4 0 11 2 17 1 0 24 -2 4 0 12 -1 16 -1 3 0 12 -1 16 0 -1 -17 0 -6 0 -10 0 -7 -1 -9 0 -5 -1 -11 0 -7 5 -2 4 -5 4 2 3 -1 2 1 4 -1 2 -3 0 -4 7 -1 2 -1 6 -2 2 1 4 -4 2 1 2 3 6 -2 0 1 2 -5 4 -1 -1 -3 3 -2 7 5 3 -3 2 0 3 -3 4 1 3 -5 2 0 4 8 1 1 2 -4 5 0 3 1 3 -4 3 -2 3 2 3 -1 1 3 6 1 3 -1 3 2 6 1 1 -1 7 0 2 3 2 -1 5 -3 4 -4 4 -1 8 -3 3 -3 7 1 3 -1 0 -10 1 -9 0 -5 0 -7 0 -11 0 -7 1 -8 5 -5 2 -5 -1 -5 5 -5 0 -5 2 -1 1 -3 1 0 1 -5 -1 -2 0 -5 -2 -7 -3 -5 0 -5 -1 -2 2 -4 0 -7 -4 -6 -2 -2 3 -5 0 -3 -7 1 -10 -5 -9 -4 -1 -4 -13 -8 0 -1 -8 -8 -5 -2 -8 -5 -14 -7 -5 -3 -2 -3"
"49",1,"358 643 13 -2 -3 -15 -2 -12 -1 -10 27 -4 1 0 26 -4 -2 -12 -2 -16 -3 -20 -1 -6 0 -5 -5 -32 -1 -12 -1 -10 -3 -15 -2 -18 -27 4 -22 4 -19 3 -32 5 -10 2 -33 6 4 22 4 20 3 15 1 4 6 31 2 13 2 8 6 32 7 36 6 -2 22 -3 22 -4 1 -1 16 -2"
"50",1,"1360 790 17 4 16 4 10 3 1 -4 -2 -7 3 -3 0 -6 -3 -4 -1 -2 -4 -2 -2 -2 2 -4 1 -3 -1 -4 0 -8 -2 -3 0 -4 -1 -1 1 -13 1 -2 1 -7 -2 -1 2 -6 2 -2 -12 -3 -2 0 -7 -1 -2 7 -2 13 -2 7 -2 4 -4 -1 1 5 -1 2 -3 8 0 5 1 3 -1 6 -2 4 -1 1 -1 1 0 7 -2 8 3 1"
"51",1,"1304 532 1 -5 1 -1 6 3 2 -3 4 -4 7 1 4 -3 9 -4 4 3 4 -1 4 1 4 4 13 4 -3 -7 -3 -2 -2 -8 0 -6 -2 -7 0 -4 -3 -5 0 -2 0 -3 6 -13 -9 -2 -5 -1 -5 -1 -2 0 -11 -2 1 -1 -8 -1 -3 -1 -14 -2 -4 -1 -4 -1 -8 -1 -4 -1 -7 -2 -2 0 -10 -2 -2 0 -4 -1 -4 -1 -1 0 -6 -1 -9 -1 -12 -2 -5 0 -6 -1 -2 -1 -13 -1 -9 -1 0 1 -5 -1 -9 -2 -3 0 -1 -1 -9 -1 -7 -1 -4 0 -14 -2 -6 -1 6 3 7 4 3 5 5 2 0 3 4 3 0 3 4 3 7 5 8 10 1 -1 -1 -1 5 -6 3 -2 6 0 4 5 5 -3 7 4 3 2 -1 3 3 -2 7 6 1 -2 5 4 -1 1 2 3 -2 2 2 8 3 3 2 4 1 5 2 3 2 7 0 6 4 -1 2 -3 5 -1 2 3 3 11 1 4 4 -3 1 5 3 2 3 5 1 2 2 3 -1 3 2 4 -1 4 3 -2 7 -3 6 -4 2 7 1 1 3 0 4 -3 -1 -3 2 -2 4 0 3 -2 3 -1 3 -3 1 -2 -1 -3 -3 -5 -1 -4"
"53",1,"93 860 -4 0 -1 5 -6 2 -4 0 -2 2 -5 1 2 6 3 13 0 4 2 7 0 5 -1 6 1 5 0 4 -3 10 -1 4 2 4 -1 4 3 3 0 4 3 3 15 -12 10 -6 8 0 5 4 -2 5 1 5 7 1 0 2 -5 8 36 -10 21 -6 20 -5 28 -7 15 -4 18 -4 10 -2 -1 -6 -7 -28 -1 -2 -4 -22 -1 -4 -1 -4 -5 -21 -1 -4 1 -10 -2 -2 1 -4 -14 3 -3 1 -10 2 -25 6 -4 -2 -7 2 -4 1 -3 -2 -5 1 -3 0 -6 -2 -8 1 -3 2 -8 -2 -4 2 -5 4 -3 0 -2 2 -9 1 -1 -1 -10 -2 -4 2 -7 6 1 2 0 5 1 4 -1 5 -4 5 -3 0"
"54",1,"1237 523 0 -6 -2 -7 -2 -3 -1 -5 -2 -4 -3 -3 -2 -8 2 -2 -2 -3 1 -1 -5 -4 -1 2 -7 -6 -3 2 1 -3 -3 -2 -7 -4 -5 3 -4 -5 -6 0 -3 2 -5 6 1 1 -1 1 -4 0 -7 6 -3 4 -3 3 -2 4 -3 2 0 4 0 7 2 0 5 2 0 5 2 1 1 1 -2 6 2 2 1 4 2 3 3 -3 0 -2 4 4 0 5 -1 3 1 1 1 3 5 5 3 -2 4 3 2 3 2 3 2 3 3 5 -1 4 2 3 -1 4 1 5 0 1 1 5 -1 3 1 3 -3 4 4 2 1 -6 0 -2 2 -9 0 -5 1 -2 1 -9 3 0 14 3 4 0 8 2 3 -19 5 6 5 6 3 -1 3 7 5 -2 5 0 3 5 4 3 5 -1 3 0 3 -4 4 -6 -2 -7 -6 4 -7 3 -3 2 1 -4 -2 -4 1 -3 -2 -3 -1 -2 -3 -5 -3 -2 -1 -5 -4 3 -1 -4 -3 -11 -2 -3 -5 1 -2 3 -4 1"
"55",1,"861 710 -2 1 1 4 -1 13 1 3 2 5 -6 8 1 3 3 6 2 1 7 4 1 5 0 9 -1 9 2 0 3 4 2 -2 6 4 6 3 16 13 2 1 3 3 18 0 -3 -9 -4 -9 -3 -9 5 -2 3 -6 5 -1 21 -4 3 -2 2 0 6 -2 5 1 2 -2 8 -1 0 -4 2 -1 5 -2 3 -4 -1 -4 -1 -5 6 0 -2 -6 2 -3 6 0 0 4 3 2 4 6 0 2 9 1 8 -4 6 -3 -6 -6 -4 -8 -1 -4 -1 -3 -1 -6 -1 -7 -1 -6 -2 -11 0 -2 0 -11 0 -2 2 -11 0 -2 2 -10 1 -3 0 -4 2 -6 -32 -2 -3 -1 -11 -1 -1 0 -5 0 -11 -1 -1 0 -12 0 -2 0 -14 -1 -5 -1 -3 5 -5 1 -4 2 -3 9 -1 4 0 2 3 4 -4 3 0 3 -1 3 -1 4 0 4 -1 5 -4 4 -4 2 -8 6 -2 5 -4 2 -4 2 -2 3 -8 2 -3 4"
"56",1,"374 660 3 18 1 11 1 6 3 18 3 18 1 7 2 12 9 -2 23 -3 30 -5 10 -1 8 -1 43 -5 6 -1 24 -2 1 0 26 -2 -2 -16 -1 -14 0 -2 -1 -10 -1 -13 0 -1 -2 -17 -1 -15 -2 -22 -1 -11 0 -5 -1 -6 -1 -15 -24 2 -9 1 -25 3 -4 0 -14 2 -13 1 -16 2 -31 4 -26 4 -1 0 -27 4 1 10 2 12 3 15 3 19"
"02",1,"69 15 2 -2 5 0 4 2 2 -2 -1 -1 6 -3 -2 -1 -7 3 -1 -1 -5 2 -3 0 -8 0 0 1 -4 1 -3 1 1 3 2 0 3 -3 5 1 2 -2 2 1"
"02",2,"137 19 -5 -2 -1 -2 -5 -2 -2 0 -3 -1 -3 1 -3 -2 -5 -2 1 3 8 4 2 -1 3 0 0 3 3 1 3 -1 1 2 3 1 3 -2"
"02",3,"150 19 0 1 3 -1 -2 -2 -1 2"
"02",4,"40 19 -2 -1 -2 5 3 -2 1 -2"
"02",5,"31 27 -2 2 3 1 1 -3 -2 0"
"02",6,"208 58 3 0 0 -2 2 -1 0 -2 -2 -2 1 -3 -1 -3 -2 0 -1 -3 -3 -1 -2 -3 -1 -2 -3 0 1 2 -2 3 0 2 -1 1 1 3 4 3 2 1 4 7"
"02",7,"12 50 1 -4 -1 0 -3 2 -1 3 4 -1"
"02",8,"145 75 -4 -1 -2 1 -3 3 -1 2 3 0 4 2 3 -3 0 -4"
"02",9,"332 53 3 -5 -1 -4 -1 -3 -6 -2 -10 -3 -2 3 1 2 -2 1 -1 3 -4 0 -2 3 -1 1 -8 6 -5 7 -3 3 -5 2 -2 2 -2 2 -7 2 -5 2 -2 0 -6 1 -4 0 -5 -2 -3 -2 -2 4 -5 1 -2 -1 -5 -3 0 -2 -3 -1 -2 1 -3 0 -2 -1 -1 -3 -7 -4 -2 -1 -8 -1 -1 -1 0 -1 -4 -3 -1 -4 -2 -1 -2 0 -2 -3 -5 -3 -1 -3 0 -3 -10 -11 -8 1 -4 -2 3 -4 -5 -2 1 2 -4 1 0 3 -4 -5 -5 -3 -1 5 -3 -1 0 -2 -6 0 -2 -1 -2 0 -1 3 3 2 9 2 8 6 4 1 3 0 1 2 3 2 6 4 5 15 -4 -1 -1 0 -2 4 -2 0 -3 1 -2 -3 -2 1 -2 -1 -2 1 1 3 -1 4 2 3 -1 3 -8 0 -2 -1 -1 4 -4 7 2 1 -1 2 -1 2 -2 5 2 5 3 3 4 6 2 1 2 1 4 -3 2 2 0 2 1 1 3 -2 2 0 2 2 0 5 -5 4 -2 -3 -4 3 -3 1 -3 -1 -5 2 0 4 -3 5 -3 3 1 1 12 6 4 0 3 0 4 2 -4 2 0 5 -5 6 -4 3 2 3 1 3 7 -1 3 2 2 2 1 4 3 3 1 2 3 -1 3 2 2 2 4 1 2 -1 2 2 3 4 6 -3 3 -2 2 0 4 -1 3 -4 5 2 4 -1 2 1 4 -2 3 -1 5 -1 2 2 2 0 7 -3 2 0 2 -12 5 -25 8 -39 3 -15 0 -1 5 0 1 2 3 1 0 -3 10 -6 1 -3 4 4 1 4 2 2 1 1 3 -2 0 -2 3 -1 2 -1 6 -4 2 -2 4 -5 5 -4 0 -1 7 -3 2 0 4 -1 1 -1 0 -2"
"02",10,"133 113 4 -1 -2 -2 -2 0 -1 -2 -3 3 -1 2 -2 2 -3 0 0 2 1 2 3 -2 4 0 1 -2 1 -2"
"15",1,"511 45 4 -6 5 -4 -1 -2 -4 -5 -7 -3 -3 0 -6 -5 -2 -4 -4 -2 -7 4 -1 3 0 7 -5 14 7 7 -2 7 3 2 7 -4 5 -1 8 -4 3 -4"
"15",2,"470 78 3 1 4 -1 8 -6 -2 -5 -8 -2 -5 0 -2 -3 -6 0 1 5 4 1 -1 3 -4 3 0 5 4 2 4 -3"
"15",3,"454 69 -3 7 2 2 6 -2 2 -3 -3 -4 -4 0"
"15",4,"464 82 -5 -3 -7 1 -7 0 0 6 9 0 4 0 4 -1 2 -3"
"15",5,"427 101 6 -7 2 -1 2 -6 -6 -3 -3 2 -6 -1 -6 10 5 3 3 3 3 0"
"15",6,"364 101 -3 0 -1 4 7 6 2 -3 -1 -3 -4 -4"
"15",7,"384 103 -5 1 -5 3 -1 4 3 4 4 2 6 1 4 -4 -1 -7 -5 -4"
