"fips","name","class","bin","rate"
"48083","Coleman County","ok",2,0.622
"02290","Yukon-Koyukuk Census Area","nodata",NA,NA
"04017","Navajo County","ok",3,1.323
"28085","Lincoln County","setaside",NA,0
"48357","Ochiltree County","ok",2,0.529
"48103","Crane County","ok",2,0.645
"56003","Big Horn County","ok",4,1.676
"47081","Hickman County","ok",2,0.951
"28143","Tunica County","setaside",NA,0
"29081","Harrison County","ok",2,0.902
"18005","Bartholomew County","ok",3,1.409
"13223","Paulding County","ok",2,0.747
"39015","Brown County","ok",3,1.002
"47141","Putnam County","ok",2,0.868
"38101","Ward County","ok",4,1.571
"25027","Worcester County","ok",4,1.574
"39091","Logan County","ok",4,1.652
"06031","Kings County","ok",3,1.226
"06073","San Diego County","ok",4,1.679
"13079","Crawford County","ok",2,0.533
"29037","Cass County","ok",3,1.074
"36027","Dutchess County","ok",4,1.878
"48477","Washington County","ok",2,0.731
"08101","Pueblo County","ok",3,1.183
"29067","Douglas County","ok",3,1.032
"38009","Bottineau County","ok",4,1.808
"37051","Cumberland County","ok",4,2.017
"56017","Hot Springs County","ok",3,1.476
"26001","Alcona County","ok",2,0.664
"06061","Placer County","ok",4,1.919
"05129","Searcy County","ok",2,0.769
"48305","Lynn County","ok",2,0.504
"36077","Otsego County","ok",4,1.593
"37153","Richmond County","ok",2,0.631
"37093","Hoke County","ok",4,1.658
"31131","Otoe County","ok",4,1.82
"42023","Cameron County","ok",6,8.192
"45035","Dorchester County","ok",2,0.715
"27161","Waseca County","ok",2,0.899
"46015","Brule County","ok",4,2.141
"47177","Warren County","ok",2,0.666
"17023","Clark County","ok",2,0.702
"21201","Robertson County","ok",2,0.522
"47095","Lake County","ok",2,0.818
"45015","Berkeley County","ok",2,0.62
"05051","Garland County","ok",1,0.496
"20139","Osage County","impossible",NA,-1.024
"39155","Trumbull County","ok",4,1.635
"48333","Mills County","ok",1,0.255
"48359","Oldham County","ok",2,0.612
"42019","Butler County","ok",2,0.654
"16049","Idaho County","ok",3,1.4
"20115","Marion County","ok",4,1.642
"51029","Buckingham County","ok",2,0.653
"37025","Cabarrus County","ok",3,1.026
"29225","Webster County","ok",2,0.955
"49011","Davis County","ok",5,3.688
"27033","Cottonwood County","ok",2,0.979
"12093","Okeechobee County","ok",2,0.619
"13291","Union County","ok",2,0.755
"19013","Black Hawk County","ok",2,0.989
"48403","Sabine County","ok",1,0.179
"39131","Pike County","ok",3,1.045
"01125","Tuscaloosa County","ok",2,0.737
"01131","Wilcox County","ok",2,0.511
