"name","born_all","born_through_2020","median_birth_year","census_2020","census_rank","pct_still_counted"
"KERRY",98644,98332,1968,83556,631,84.9734
"RENE",72779,71607,1971,83545,632,116.672
"TRACEY",95203,95095,1969,83398,633,87.6997
"MAXWELL",109467,98776,2007,83285,634,84.317
"LETICIA",43199,42595,1978,83202,635,195.333
"MILDRED",452998,452489,1922,83139,636,18.3737
"JADEN",95059,90257,2007,83104,637,92.0749
"KENDALL",101883,95991,2002,83086,638,86.556
"CLARENCE",305423,304815,1930,82717,639,27.1368
"LEONARDO",96207,75944,2014,82530,640,108.672
"BERNARD",201070,200373,1937,82518,641,41.1822
"ASHTON",107927,96073,2008,82425,642,85.7941
"MADELYN",116060,98520,2010,82365,643,83.6023
"GLADYS",267741,267460,1922,81883,644,30.615
"JAN",76934,76612,1956,81839,645,106.823
"PENNY",101003,99013,1962,81497,646,82.3094
"CRISTINA",52698,51941,1988,81417,647,156.749
"BRIDGET",92517,90606,1981,81356,648,89.791
"ZOEY",115562,94717,2014,81220,649,85.7502
"NEIL",105254,103691,1962,81118,650,78.2305
"TONI",101762,101216,1966,81026,651,80.0526
"LEON",184074,171881,1948,80997,652,47.1239
"CAROLE",110952,110934,1944,80915,653,72.9398
"SANTIAGO",103965,71488,2016,80841,654,113.083
"IRIS",102320,86915,1981,80798,655,92.9621
"SILVIA",21323,20444,1982,80787,656,395.162
"PABLO",50439,46495,1997,80699,657,173.565
"ARIANNA",104225,96127,2010,80594,658,83.8412
"FELIX",84180,74144,1984,80554,659,108.645
"HAZEL",305469,274198,1927,80463,660,29.3449
"SALVADOR",49788,47974,1987,80151,661,167.072
"DREW",88085,83453,1996,80031,662,95.8995
"BRIANA",97326,94629,1998,79981,663,84.5206
"DIANNE",95475,95377,1952,79711,664,83.5747
"ROMAN",105131,79225,2014,79669,665,100.56
"MARION",261713,260864,1927,79603,666,30.5151
"DANIELA",68682,62914,2005,78946,667,125.482
"CLIFFORD",190268,189559,1944,78907,668,41.6266
"DEVON",92976,91418,1996,78789,669,86.1854
"JILLIAN",83424,82334,1995,78761,670,95.6604
"KARINA",61717,59766,1998,78579,671,131.478
"DAMIAN",110256,93740,2010,78536,672,83.7807
"ALEJANDRA",54545,51972,1999,78499,673,151.041
"GORDON",155579,154471,1943,78487,674,50.8102
"ERICK",79880,74763,2001,78395,675,104.858
"NELSON",80140,78522,1961,78256,676,99.6612
"FELICIA",91371,91210,1978,78101,677,85.6277
"JOHNATHAN",98611,95469,1995,78090,678,81.7962
"FRANKLIN",142506,138348,1950,78051,679,56.4164
"BILL",161190,161079,1944,77823,680,48.3136
"MILES",123225,92533,2013,77427,681,83.675
"SKYLAR",105716,92236,2012,77387,682,83.9011
"KENNEDY",101120,85207,2012,77115,683,90.5031
"KAY",102545,102277,1947,77013,684,75.2985
"KRISTINE",84514,84283,1970,76927,685,91.2723
"GEORGIA",167019,156263,1943,76256,686,48.7998
"JAXON",114055,92754,2016,76200,687,82.1528
"HOPE",97793,92352,1994,75724,688,81.995
"SANDY",79530,79185,1963,75709,689,95.6103
"SHELLY",86610,86481,1968,75244,690,87.0064
"SADIE",149922,131887,2002,75243,691,57.0511
"RACHAEL",82650,82429,1988,75096,692,91.1039
"KURT",86054,85711,1966,74867,693,87.3482
"GWENDOLYN",124718,120656,1955,74571,694,61.8046
"LILIANA",75146,60801,2012,74435,695,122.424
"ISABELLE",107782,97876,2006,74125,696,75.7336
"RON",36432,36272,1962,74027,697,204.089
"GUSTAVO",40461,38289,1998,73690,698,192.457
"CANDACE",85097,84821,1979,73527,699,86.6849
"KARL",101751,101201,1960,73518,700,72.6455
"ALVIN",162512,160886,1945,72962,701,45.3501
"GLEN",127054,126703,1952,72858,702,57.503
"MARINA",39565,37237,1994,72807,703,195.523
"COLLIN",81962,78679,2002,72614,704,92.2915
"MAGGIE",123360,118085,1956,72613,705,61.4921
"JODY",87407,87092,1969,72569,706,83.3245
"CAMILA",123976,86103,2017,72537,707,84.2445
"VIOLET",185845,152926,1977,72518,708,47.4203
"ABBY",62036,59670,1998,72431,709,121.386
"BIANCA",77759,74379,1996,72256,710,97.1457
"ISRAEL",72874,65724,2003,72115,711,109.724
"DUANE",116456,116111,1955,71865,712,61.8934
"PAYTON",84784,79358,2008,71786,713,90.4584
"MATHEW",77745,76419,1988,71761,714,93.9047
"JODI",80657,80418,1971,71748,715,89.2188
"LUCIA",59426,47062,2009,71628,716,152.199
"HERBERT",229383,229092,1931,71489,717,31.2054
"MAURICE",138943,137738,1960,71289,718,51.757
"MONIQUE",79160,78930,1982,71263,719,90.2863
"MARCOS",53742,50659,1998,71178,720,140.504
"ANGIE",65796,63711,1975,70858,721,111.218
"SHERRI",83843,83789,1965,70746,722,84.4335
"SUMMER",91575,81704,2002,70693,723,86.5233
"ELLIE",106857,76715,2016,70661,724,92.1085
"PAULINE",227179,226908,1925,70447,725,31.0465
"MISTY",84891,84740,1979,70424,726,83.106
"TRINITY",88192,83553,2007,70213,727,84.0341
