"vote","rvweight","lvweight","educ4","race4","race_said","party3","age4","turnout3","region5"
"Trump",1.044,1.0422,"Some college","White","White","Republican","50-64","High","Bay Area"
"Trump",1.419,1.4119,"Some college","White","White","Republican","35-49","High","Central"
"Trump",1.0957,1.0615,"HS or less","White","White","Other","50-64","High","Central"
"Trump",0.8937,0.8908,"Bachelor's","White","White","Republican","65+","High","North/Panhandle"
"Clinton",0.6958,0.6373,"Some college","White","White","Democratic","65+","Middle","North/Panhandle"
"Trump",0.7572,0.7446,"HS or less","White","White","Other","65+","High","North/Panhandle"
"Trump",1.0186,1.014,"Bachelor's","White","White","Republican","50-64","High","North/Panhandle"
"Trump",1.3606,1.3482,"Some college","White","White","Republican","65+","High","Central"
"Clinton",0.7499,0.7485,"HS or less","White","White","Democratic","35-49","High","North/Panhandle"
"Trump",1.1302,0.9665,"HS or less","White","White","Republican","65+","Middle","Southeast"
"Trump",1.2933,1.2595,"Some college","White","White","Republican","50-64","High","Central"
"Trump",0.6965,0.6234,"HS or less","White","White","Other","50-64","Middle","North/Panhandle"
"Trump",0.7642,0.6411,"Bachelor's","White","White","Other","18-34","Middle","North/Panhandle"
NA,0.7772,0.2756,"Bachelor's","Hispanic","White","Republican","50-64","Middle","Southeast"
NA,1.382,1.2938,"Postgraduate","White","White","Other","65+","High","Central"
"Clinton",1.0593,0.937,"HS or less","White","White","Democratic","65+","Middle","Central"
"Clinton",1.3915,0.1758,"HS or less","White","White","Democratic","50-64","Low","Bay Area"
NA,1.1155,0.4676,"Some college","White","White","Other","65+","Middle","Central"
NA,0.862,0.8602,"HS or less","White","White","Democratic","65+","High","North/Panhandle"
"Clinton",1.2474,1.22,"HS or less","Black","Black","Democratic","65+","High","Central"
"Clinton",1.4956,1.4618,"HS or less","Black","Black","Democratic","65+","High","Central"
"Trump",1.6313,1.6278,"Some college","White","White","Republican","65+","High","Central"
"Clinton",1.6613,1.0834,"Bachelor's","White","Refused","Other","35-49","Low","Central"
"Clinton",1.2905,0.8032,"HS or less","Black","Black","Democratic","50-64","Low","North/Panhandle"
NA,1.419,1.4145,"Some college","White","White","Republican","18-34","High","Central"
"Clinton",1.382,1.3564,"Some college","White","White","Other","65+","High","Central"
"Clinton",0.7805,0.6799,"Some college","Other","Refused","Democratic","65+","Middle","Central"
"Clinton",1.4217,1.4182,"Some college","Black","Black","Democratic","50-64","High","Central"
"Clinton",2.1555,1.3464,"Postgraduate","Black","Other","Democratic","18-34","Low","Central"
"Clinton",1.3124,1.3096,"Some college","White","White","Democratic","65+","High","Central"
NA,0.9704,0.7618,"Some college","White","White","Other","18-34","Middle","Central"
"Trump",1.2933,1.2652,"HS or less","White","White","Republican","50-64","High","Central"
"Trump",1.3606,1.3586,"Some college","White","White","Republican","65+","High","Central"
"Clinton",1.4217,1.4172,"Bachelor's","Black","Other","Democratic","50-64","High","Central"
NA,1.174,0.708,"Bachelor's","White","White","Republican","50-64","Low","North/Panhandle"
"Trump",0.719,0.7156,"Some college","White","White","Democratic","65+","High","North/Panhandle"
"Trump",1.0715,1.0695,"Some college","White","White","Republican","65+","High","North/Panhandle"
NA,0.9832,0.843,"Postgraduate","White","White","Republican","35-49","Middle","Southeast"
"Clinton",1.2838,1.2798,"Postgraduate","Black","Black","Democratic","65+","High","Southeast"
"Clinton",1.0708,1.0096,"HS or less","White","Other","Democratic","50-64","High","Southeast"
"Trump",1.331,1.3273,"Postgraduate","White","White","Republican","50-64","High","Southeast"
"Trump",1.1679,1.1647,"Bachelor's","White","White","Republican","65+","High","Southeast"
"Trump",1.3168,1.3137,"Some college","White","White","Republican","65+","High","Bay Area"
"Clinton",1.1265,1.1243,"Postgraduate","White","White","Democratic","65+","High","Southeast"
"Clinton",1.0708,1.0674,"Postgraduate","White","White","Democratic","50-64","High","Southeast"
"Clinton",0.977,0.9742,"Postgraduate","Hispanic","White","Democratic","65+","High","Southeast"
"Trump",1.0129,1.0111,"Postgraduate","Hispanic","Other","Republican","65+","High","Southeast"
"Trump",0.9629,0.9476,"Postgraduate","Hispanic","White","Republican","50-64","High","Southeast"
"Trump",1.2145,1.2111,"HS or less","Hispanic","Refused","Republican","65+","High","Southeast"
"Trump",0.9629,0.9495,"Refused","Hispanic","Refused","Republican","50-64","High","Southeast"
"Clinton",1.1265,1.1229,"Bachelor's","White","White","Democratic","65+","High","Southeast"
"Trump",1.1544,1.1296,"Bachelor's","Hispanic","White","Republican","50-64","High","Southeast"
NA,0.8652,0.7737,"Bachelor's","Black","Black","Other","50-64","Middle","Southeast"
"Trump",0.8499,0.8339,"Postgraduate","Hispanic","Refused","Democratic","35-49","High","Southeast"
"Trump",1.0129,1.0092,"HS or less","Hispanic","Refused","Republican","65+","High","Southeast"
"Trump",1.1102,1.1075,"Postgraduate","White","Refused","Republican","50-64","High","Southeast"
"Clinton",1.5432,0.9643,"HS or less","Black","Black","Democratic","35-49","Low","Southeast"
"Clinton",0.8308,0.815,"Bachelor's","Other","Refused","Other","50-64","High","Southeast"
"Trump",0.9629,0.9608,"Bachelor's","Hispanic","Other","Republican","50-64","High","Southeast"
"Clinton",0.8107,0.799,"HS or less","Hispanic","White","Democratic","65+","High","Southwest"
"Clinton",0.7746,0.7588,"Postgraduate","Hispanic","Other","Democratic","50-64","High","Southeast"
"Clinton",0.7895,0.7158,"Postgraduate","Hispanic","Other","Other","50-64","Middle","Southeast"
"Trump",1.4081,0.2556,"Bachelor's","Hispanic","White","Democratic","18-34","Low","Southeast"
NA,0.6987,0.2613,"Postgraduate","Other","Other","Democratic","35-49","Middle","Southeast"
"Clinton",0.985,0.3229,"Postgraduate","Black","White","Democratic","50-64","Middle","Southeast"
NA,1.331,0.6088,"Bachelor's","White","White","Republican","35-49","High","Southeast"
"Clinton",0.7886,0.6671,"HS or less","Hispanic","Other","Democratic","65+","Middle","Southeast"
NA,1.0776,0.178,"Bachelor's","Hispanic","Other","Democratic","18-34","Low","North/Panhandle"
"Clinton",0.8308,0.8141,"Postgraduate","Other","Black","Other","50-64","High","Southeast"
"Clinton",1.1273,0.7648,"Some college","Hispanic","White","Other","35-49","Low","Southeast"
NA,1.0807,0.9177,"Some college","Black","Black","Democratic","18-34","Middle","Southeast"
"Trump",1.3729,0.8317,"Some college","Hispanic","White","Republican","18-34","Low","Bay Area"
"Clinton",0.6835,0.6796,"Some college","White","White","Democratic","50-64","High","North/Panhandle"
"Trump",1.0593,1.0371,"Bachelor's","White","White","Democratic","65+","High","Bay Area"
"Trump",1.4599,0.9107,"Some college","Hispanic","White","Republican","35-49","Low","Southeast"
NA,1.1544,1.1512,"Some college","Hispanic","White","Republican","50-64","High","Southeast"
"Trump",0.9427,0.8689,"Bachelor's","White","White","Republican","65+","Middle","Southeast"
"Trump",0.8551,0.723,"HS or less","White","White","Democratic","65+","Middle","Bay Area"
NA,1.007,0.9945,"Some college","White","White","Democratic","50-64","High","Bay Area"
"Clinton",1.0593,1.0576,"Bachelor's","White","White","Democratic","65+","High","Bay Area"
"Clinton",0.9704,0.9541,"Bachelor's","White","Other","Other","35-49","High","Bay Area"
"Trump",1.0604,1.0416,"Bachelor's","White","White","Other","50-64","High","Bay Area"
"Clinton",1.3168,1.3133,"Some college","White","White","Republican","65+","High","Bay Area"
"Trump",1.0593,1.0555,"Bachelor's","White","White","Democratic","65+","High","Bay Area"
"Clinton",0.8551,0.7688,"Some college","White","White","Democratic","65+","Middle","Bay Area"
"Trump",1.044,1.0418,"Some college","White","White","Republican","50-64","High","Bay Area"
"Trump",1.1618,1.1476,"Bachelor's","White","White","Republican","65+","High","Southwest"
"Trump",1.6313,1.6071,"Bachelor's","White","White","Republican","65+","High","Central"
"Clinton",0.7545,0.239,"HS or less","White","White","Democratic","65+","Middle","Southwest"
"Clinton",0.9347,0.9247,"Bachelor's","White","White","Democratic","65+","High","Southwest"
"Clinton",0.862,0.8519,"Postgraduate","White","Refused","Democratic","65+","High","North/Panhandle"
"Clinton",0.7328,0.6639,"Postgraduate","White","White","Other","65+","Middle","North/Panhandle"
"Clinton",1.2697,0.9149,"HS or less","Hispanic","White","Democratic","65+","Low","Bay Area"
"Clinton",0.8308,0.7756,"Postgraduate","Other","White","Other","50-64","High","Southeast"
"Trump",1.0604,0.8194,"Bachelor's","White","White","Other","50-64","Middle","Central"
"Trump",1.0604,0.9998,"Postgraduate","White","White","Other","50-64","High","Bay Area"
"Trump",1.5506,1.5317,"Some college","White","White","Republican","50-64","High","Central"
"Clinton",0.9356,0.8793,"Postgraduate","White","White","Other","50-64","High","Southwest"
"Clinton",1.6405,1.2316,"HS or less","Hispanic","White","Democratic","35-49","Low","Central"
"Clinton",0.548,0.4757,"Bachelor's","Other","White","Democratic","35-49","Middle","Bay Area"
"Clinton",0.7552,0.693,"Some college","White","White","Other","50-64","Middle","Southwest"
NA,0.7255,0.6588,"Some college","Hispanic","Refused","Other","18-34","Middle","Southeast"
NA,0.8991,0.889,"Some college","White","White","Democratic","35-49","High","North/Panhandle"
"Clinton",1.6684,1.2277,"Postgraduate","White","White","Other","18-34","Low","Central"
"Clinton",0.9052,0.8278,"Some college","Black","Black","Democratic","18-34","Middle","Southeast"
"Clinton",0.9422,0.6933,"Some college","Other","Other","Democratic","18-34","Low","Bay Area"
"Clinton",0.4479,0.3429,"Some college","Other","Black","Democratic","18-34","Middle","North/Panhandle"
"Clinton",1.0946,1.0829,"Bachelor's","White","Refused","Democratic","65+","High","Central"
"Clinton",0.8937,0.8506,"Some college","White","White","Republican","65+","High","North/Panhandle"
"Clinton",0.7511,0.6775,"Bachelor's","White","White","Other","65+","Middle","Bay Area"
"Clinton",0.6192,0.4733,"HS or less","Hispanic","White","Other","50-64","Middle","Bay Area"
"Trump",0.7592,0.5759,"Bachelor's","White","White","Other","50-64","Middle","Southeast"
"Trump",0.7822,0.6036,"Postgraduate","White","White","Republican","65+","Middle","Southwest"
NA,1.341,0.3273,"HS or less","White","White","Other","18-34","Low","Bay Area"
NA,0.9742,0.0512,"Bachelor's","Hispanic","Refused","Other","18-34","Low","Bay Area"
"Clinton",0.3735,0.3428,"Some college","Other","Other","Democratic","18-34","Middle","North/Panhandle"
"Trump",1.6832,1.263,"Some college","White","White","Republican","18-34","Low","Southeast"
"Clinton",1.1232,0.6207,"HS or less","White","White","Other","18-34","Low","Bay Area"
"Trump",0.9594,0.9467,"Some college","White","White","Republican","18-34","High","Bay Area"
"Trump",0.6614,0.653,"Bachelor's","White","White","Other","18-34","High","North/Panhandle"
"Trump",1.1618,1.1507,"Some college","White","White","Republican","65+","High","Southwest"
"Clinton",1.0417,0.1325,"HS or less","Black","Black","Other","18-34","Low","North/Panhandle"
"Clinton",0.6253,0.4744,"Some college","Hispanic","Other","Democratic","35-49","Middle","Southeast"
"Clinton",0.9263,0.723,"Some college","Black","Black","Democratic","35-49","Middle","Bay Area"
NA,1.044,1.0358,"Postgraduate","White","White","Republican","50-64","High","Bay Area"
"Clinton",1.3915,1.0201,"Some college","White","White","Other","18-34","Low","Central"
"Clinton",1.0417,0.2457,"HS or less","Black","Black","Other","18-34","Low","North/Panhandle"
"Clinton",0.7796,0.7736,"Postgraduate","White","White","Democratic","65+","High","Southwest"
NA,0.7592,0.3193,"Some college","White","White","Other","35-49","Middle","Southeast"
"Clinton",1.1745,0.285,"Some college","Hispanic","White","Democratic","35-49","Low","Southeast"
"Clinton",0.9943,0.9418,"Bachelor's","Hispanic","White","Democratic","18-34","High","Central"
"Clinton",1.447,1.028,"HS or less","Hispanic","Refused","Other","18-34","Low","Central"
"Trump",0.9427,0.875,"Postgraduate","White","White","Republican","65+","Middle","Southeast"
"Clinton",0.9215,0.8779,"Some college","White","White","Democratic","35-49","High","Bay Area"
"Clinton",0.9562,0.9433,"Postgraduate","White","White","Democratic","18-34","High","Central"
NA,0.8801,0.1714,"Some college","Other","Black","Other","18-34","Low","Southeast"
"Clinton",0.6368,0.5862,"Some college","Other","Black","Democratic","35-49","Middle","Southeast"
"Clinton",0.7746,0.7655,"Bachelor's","Hispanic","White","Democratic","50-64","High","Southeast"
"Clinton",0.8477,0.7539,"Postgraduate","Black","Black","Democratic","35-49","Middle","Bay Area"
"Trump",1.3168,1.3139,"Postgraduate","White","White","Republican","65+","High","Bay Area"
"Clinton",0.9755,0.2996,"Postgraduate","Black","Black","Other","50-64","Middle","Bay Area"
"Clinton",0.7992,0.7709,"Bachelor's","Hispanic","White","Democratic","18-34","High","Bay Area"
"Trump",0.8399,0.8259,"Some college","White","White","Democratic","35-49","High","Bay Area"
"Clinton",0.705,0.6213,"HS or less","Hispanic","Other","Democratic","50-64","Middle","Bay Area"
"Clinton",1.0604,0.9729,"Postgraduate","White","White","Other","50-64","Middle","Central"
"Clinton",0.8399,0.8371,"Bachelor's","White","White","Democratic","35-49","High","Bay Area"
"Clinton",0.6779,0.6143,"HS or less","White","White","Democratic","50-64","Middle","Bay Area"
"Trump",1.044,1.0405,"Some college","White","White","Republican","50-64","High","Bay Area"
NA,1.2517,1.2487,"HS or less","White","White","Republican","50-64","High","Bay Area"
"Clinton",1.0163,0.8694,"Some college","Black","Black","Democratic","18-34","Middle","Bay Area"
"Clinton",1.1476,1.1428,"Some college","Black","Black","Democratic","50-64","High","Bay Area"
"Trump",0.9391,0.2779,"HS or less","White","White","Other","35-49","Middle","Bay Area"
"Trump",1.5506,1.5474,"Bachelor's","White","White","Republican","50-64","High","Central"
NA,0.969,0.9669,"Some college","White","White","Republican","65+","High","Southwest"
"Clinton",0.8885,0.8859,"Postgraduate","White","White","Democratic","50-64","High","Southwest"
"Trump",1.1618,1.1187,"Postgraduate","White","White","Republican","65+","High","Southwest"
"Clinton",1.0266,0.9854,"Some college","White","White","Other","35-49","High","Southwest"
NA,1.1044,1.1027,"Postgraduate","White","White","Republican","50-64","High","Southwest"
"Trump",1.1618,1.1456,"Some college","White","White","Republican","65+","High","Southwest"
NA,1.1832,0.2261,"Bachelor's","White","White","Other","35-49","Low","Southwest"
"Trump",1.0784,0.2405,"Some college","White","Other","Other","50-64","Low","Southwest"
NA,1.1748,1.1711,"Refused","White","Refused","Democratic","35-49","High","Southeast"
"Clinton",1.1265,1.1207,"Some college","White","White","Democratic","65+","High","Southeast"
"Clinton",1.1167,1.1145,"Some college","Black","Black","Democratic","18-34","High","Southeast"
"Trump",1.1102,1.1071,"Bachelor's","White","White","Republican","50-64","High","Southeast"
"Trump",1.4002,1.397,"Some college","White","White","Republican","65+","High","Southeast"
"Clinton",1.0708,1.0678,"Bachelor's","White","White","Democratic","50-64","High","Southeast"
NA,0.8216,0.7403,"Bachelor's","Black","Black","Democratic","35-49","Middle","Southeast"
"Clinton",1.1265,1.123,"Postgraduate","White","White","Democratic","65+","High","Southeast"
"Clinton",1.0564,1.0301,"Bachelor's","Hispanic","White","Republican","35-49","High","Southeast"
"Clinton",1.5341,0.9518,"Bachelor's","White","White","Republican","50-64","Low","Southeast"
"Clinton",0.9287,0.9104,"Bachelor's","Hispanic","Refused","Democratic","50-64","High","Southeast"
"Clinton",0.9986,0.8631,"Postgraduate","White","White","Other","18-34","Middle","Southeast"
"Clinton",1.4002,1.3343,"Postgraduate","White","White","Republican","65+","High","Southeast"
"Clinton",0.9396,0.9174,"Postgraduate","White","White","Democratic","65+","High","Southeast"
"Clinton",0.9287,0.9139,"Postgraduate","Hispanic","White","Democratic","50-64","High","Southeast"
"Trump",1.218,1.1949,"Postgraduate","White","White","Republican","35-49","High","Southeast"
"Clinton",0.9102,0.8069,"Postgraduate","White","White","Other","50-64","Middle","Southeast"
NA,1.0319,0.4866,"Some college","White","White","Other","35-49","High","Southeast"
"Trump",1.331,1.3267,"Bachelor's","White","White","Republican","50-64","High","Southeast"
"Trump",0.7209,0.6183,"Postgraduate","White","Refused","Democratic","35-49","Middle","Southeast"
"Trump",1.4002,1.3608,"HS or less","White","White","Republican","65+","High","Southeast"
NA,1.331,1.3285,"Some college","White","White","Republican","50-64","High","Southeast"
"Clinton",0.9396,0.935,"HS or less","White","White","Democratic","65+","High","Southeast"
"Clinton",1.2203,1.2171,"Bachelor's","Black","Black","Democratic","50-64","High","Southeast"
"Clinton",0.977,0.9757,"HS or less","Hispanic","Black","Democratic","65+","High","Southeast"
"Clinton",1.1265,1.1143,"Some college","White","White","Democratic","65+","High","Southeast"
"Clinton",1.1679,1.165,"Some college","White","White","Republican","65+","High","Southeast"
"Clinton",0.9102,0.3176,"Some college","White","White","Other","50-64","Middle","Southeast"
"Clinton",1.0707,1.0652,"Some college","Black","Black","Democratic","65+","High","Southeast"
"Clinton",1.1863,1.1663,"Postgraduate","White","White","Other","65+","High","Southeast"
"Clinton",1.5583,1.0165,"Some college","White","White","Other","50-64","Low","Southeast"
"Trump",1.4002,1.3984,"Some college","White","White","Republican","65+","High","Southeast"
"Clinton",0.7746,0.7616,"Some college","Hispanic","White","Democratic","50-64","High","Southeast"
"Clinton",0.8931,0.8912,"Postgraduate","White","White","Democratic","50-64","High","Southeast"
"Trump",1.331,1.3285,"Bachelor's","White","White","Republican","50-64","High","Southeast"
"Clinton",0.6706,0.5787,"Postgraduate","Other","Other","Other","50-64","Middle","Southeast"
"Clinton",0.8931,0.88,"Bachelor's","White","White","Democratic","35-49","High","Southeast"
"Clinton",1.3124,1.309,"Postgraduate","White","White","Democratic","65+","High","Central"
"Clinton",0.8931,0.8913,"Postgraduate","White","White","Democratic","35-49","High","Southeast"
"Trump",1.6313,1.5713,"Some college","White","White","Republican","65+","High","Central"
"Clinton",1.3124,1.3086,"Postgraduate","White","White","Democratic","65+","High","Central"
"Clinton",0.7603,0.7385,"Bachelor's","Other","Other","Other","35-49","High","Southeast"
"Trump",1.5142,0.9678,"HS or less","White","White","Other","50-64","Low","Central"
"Clinton",0.6451,0.5594,"Postgraduate","Hispanic","White","Democratic","35-49","Middle","Bay Area"
NA,0.6294,0.5407,"Refused","Hispanic","Refused","Democratic","35-49","Middle","North/Panhandle"
"Clinton",1.5598,1.5538,"Bachelor's","Black","Black","Democratic","35-49","High","Central"
NA,0.9215,0.3413,"Bachelor's","White","White","Democratic","18-34","Middle","Central"
NA,1.1048,1.0763,"Bachelor's","White","White","Democratic","18-34","High","Bay Area"
"Trump",1.1454,1.0432,"Bachelor's","White","White","Republican","35-49","Middle","Central"
"Clinton",0.8225,0.7277,"Postgraduate","Hispanic","White","Democratic","18-34","Middle","Southeast"
"Clinton",0.9024,0.8979,"Bachelor's","Hispanic","Black","Democratic","50-64","High","Central"
"Clinton",1.0405,1.0375,"Some college","White","White","Democratic","50-64","High","Central"
NA,1.0546,0.3999,"Bachelor's","Black","Black","Democratic","18-34","Middle","Central"
NA,1.1858,1.1638,"Some college","Black","Refused","Democratic","35-49","High","Central"
"Clinton",1.1527,0.5558,"Some college","White","White","Other","65+","High","Central"
"Trump",1.5506,1.5464,"Postgraduate","White","White","Republican","50-64","High","Central"
"Trump",1.2933,1.2902,"Bachelor's","White","White","Republican","50-64","High","Central"
"Clinton",1.2591,0.452,"Postgraduate","Black","Black","Democratic","35-49","Middle","Central"
"Trump",2.2543,1.5206,"Bachelor's","White","White","Republican","65+","Low","Central"
"Clinton",1.0405,1.0371,"Some college","White","White","Democratic","50-64","High","Central"
"Clinton",1.5506,1.5288,"Bachelor's","White","White","Republican","35-49","High","Central"
"Clinton",1.4217,1.4137,"Bachelor's","Black","Black","Democratic","50-64","High","Central"
NA,0.9704,0.3907,"Bachelor's","White","Other","Other","35-49","Middle","Central"
"Trump",1.6313,1.6269,"Some college","White","White","Republican","65+","High","Central"
"Clinton",1.0593,1.0574,"Postgraduate","White","White","Democratic","65+","High","Bay Area"
"Trump",0.8399,0.8379,"Some college","White","White","Democratic","50-64","High","Bay Area"
"Clinton",0.8836,0.882,"Postgraduate","White","White","Democratic","65+","High","Bay Area"
"Clinton",0.7438,0.6703,"Bachelor's","White","White","Democratic","35-49","Middle","Bay Area"
"Trump",1.2517,1.2487,"Bachelor's","White","White","Republican","35-49","High","Bay Area"
"Trump",1.044,1.039,"Bachelor's","White","White","Republican","50-64","High","Bay Area"
"Trump",0.9215,0.9186,"Postgraduate","White","White","Democratic","35-49","High","Bay Area"
"Trump",1.1454,1.1208,"Some college","White","White","Republican","18-34","High","Bay Area"
NA,0.6794,0.5723,"Postgraduate","Hispanic","White","Other","18-34","Middle","Bay Area"
"Clinton",1.331,1.2855,"HS or less","White","White","Republican","50-64","High","Southeast"
"Trump",0.7833,0.6177,"Bachelor's","White","White","Other","35-49","Middle","Bay Area"
"Trump",1.0983,1.0944,"Some college","White","White","Republican","65+","High","Bay Area"
NA,1.1156,1.0576,"Some college","White","White","Other","65+","High","Bay Area"
"Clinton",0.6635,0.5419,"Some college","Other","White","Other","65+","Middle","Bay Area"
"Clinton",0.8194,0.7643,"Some college","White","White","Democratic","50-64","High","North/Panhandle"
"Clinton",0.8662,0.6692,"Some college","Hispanic","White","Other","35-49","Middle","Southeast"
"Trump",0.9873,0.2778,"Some college","White","White","Republican","18-34","Middle","Southeast"
"Clinton",0.7438,0.5623,"Some college","White","White","Democratic","35-49","Middle","Bay Area"
"Clinton",0.9052,0.6932,"Some college","Black","Black","Democratic","18-34","Middle","Southeast"
"Clinton",1.2292,0.3132,"Some college","Other","White","Other","18-34","Low","Central"
"Trump",1.1502,0.8808,"Some college","White","Refused","Republican","18-34","Middle","Central"
"Trump",1.8802,1.3618,"Bachelor's","White","White","Republican","65+","Low","Central"
"Trump",1.0983,1.0849,"Bachelor's","White","White","Republican","65+","High","Bay Area"
"Trump",1.3606,1.3507,"Bachelor's","White","White","Republican","65+","High","Central"
"Clinton",1.5497,0.1006,"Some college","Black","Black","Democratic","18-34","Low","Southeast"
"Clinton",0.7139,0.5572,"Postgraduate","White","White","Other","35-49","Middle","Bay Area"
NA,0.9493,0.7381,"Postgraduate","Black","Black","Other","35-49","Middle","Southeast"
"Trump",1.1454,1.1347,"Some college","White","White","Republican","35-49","High","Bay Area"
"Clinton",0.8019,0.6256,"HS or less","Hispanic","White","Republican","18-34","Middle","Bay Area"
"Clinton",1.1745,0.877,"Postgraduate","Hispanic","Other","Democratic","18-34","Low","Southeast"
NA,0.4631,0.4269,"Some college","Hispanic","White","Other","18-34","Middle","North/Panhandle"
"Clinton",1.1461,0.8481,"Bachelor's","Hispanic","Refused","Democratic","18-34","Low","Central"
"Trump",0.7718,0.591,"Some college","White","White","Democratic","18-34","Middle","Central"
"Clinton",1.1295,0.8176,"Bachelor's","Black","Black","Other","18-34","Low","Southwest"
"Clinton",0.9837,0.0639,"Some college","Hispanic","White","Democratic","18-34","Low","Southeast"
"Trump",0.8128,0.216,"Some college","White","White","Other","18-34","Middle","Central"
"Clinton",1.1232,0.7045,"HS or less","White","White","Other","18-34","Low","Bay Area"
"Trump",0.7744,0.7201,"Some college","White","White","Republican","18-34","Middle","Bay Area"
NA,0.6927,0.639,"Bachelor's","Hispanic","White","Other","65+","Middle","Southeast"
NA,0.8417,0.2244,"Some college","Hispanic","White","Other","35-49","Middle","Central"
"Trump",0.5517,0.4461,"Some college","White","White","Democratic","50-64","Middle","North/Panhandle"
"Clinton",0.7295,0.1939,"HS or less","Black","Black","Other","18-34","Middle","North/Panhandle"
NA,0.7556,0.6987,"Some college","White","White","Republican","18-34","Middle","North/Panhandle"
"Trump",0.7572,0.7193,"Postgraduate","White","Other","Other","65+","High","North/Panhandle"
NA,0.6927,0.5413,"Bachelor's","Black","Refused","Democratic","18-34","Middle","North/Panhandle"
"Trump",1.2666,1.2615,"Postgraduate","Hispanic","White","Republican","35-49","High","Southeast"
NA,0.9594,0.4762,"Bachelor's","White","White","Republican","18-34","High","Bay Area"
"Clinton",0.8885,0.853,"Refused","White","Refused","Democratic","50-64","High","Southwest"
NA,1.6313,1.6147,"Some college","White","White","Republican","65+","High","Central"
"Trump",0.9356,0.8917,"Some college","White","White","Other","50-64","High","Southwest"
"Clinton",0.8225,0.6391,"Some college","Hispanic","Other","Democratic","35-49","Middle","Southeast"
"Clinton",0.6531,0.6471,"Bachelor's","Hispanic","White","Democratic","18-34","High","North/Panhandle"
"Clinton",0.9745,0.7482,"Some college","White","White","Other","18-34","Middle","Central"
"Clinton",0.9943,0.9431,"HS or less","Hispanic","Other","Democratic","18-34","High","Central"
"Clinton",0.8452,0.6472,"HS or less","Hispanic","White","Other","18-34","Middle","Central"
NA,0.7987,0.253,"Some college","White","White","Other","65+","Middle","Southeast"
NA,0.6257,0.201,"HS or less","Hispanic","White","Republican","65+","Middle","North/Panhandle"
"Trump",1.2858,0.9578,"Some college","White","White","Other","65+","Low","Bay Area"
NA,0.6965,0.5655,"Some college","Black","Refused","Other","65+","Middle","North/Panhandle"
"Clinton",1.5126,1.1338,"Some college","White","White","Democratic","65+","Low","Central"
"Trump",1.0405,0.9944,"Bachelor's","White","White","Democratic","50-64","High","Central"
"Clinton",0.5804,0.5337,"Bachelor's","White","White","Democratic","65+","Middle","North/Panhandle"
NA,0.8496,0.3887,"Bachelor's","White","White","Republican","50-64","High","North/Panhandle"
"Clinton",0.6427,0.6171,"Postgraduate","Hispanic","White","Democratic","50-64","High","Southwest"
"Trump",0.9246,0.747,"Bachelor's","White","White","Republican","35-49","Middle","Bay Area"
"Trump",0.5339,0.4895,"Bachelor's","White","White","Other","18-34","Middle","North/Panhandle"
NA,0.705,0.6564,"Bachelor's","Hispanic","Black","Other","18-34","High","Bay Area"
"Clinton",1.3599,1.0191,"Postgraduate","White","White","Democratic","18-34","Low","Southeast"
"Clinton",0.7499,0.7428,"Postgraduate","White","White","Democratic","18-34","High","North/Panhandle"
"Trump",0.9594,0.7346,"Bachelor's","White","White","Republican","18-34","Middle","Central"
"Clinton",1.2203,1.1818,"Some college","Black","Black","Democratic","50-64","High","Southeast"
"Clinton",1.1342,0.758,"Some college","White","White","Democratic","18-34","Low","Southeast"
NA,0.5039,0.4465,"Bachelor's","Hispanic","White","Other","35-49","Middle","North/Panhandle"
"Clinton",0.6585,0.5725,"Postgraduate","Hispanic","White","Other","50-64","Middle","Southeast"
"Clinton",0.8216,0.6663,"Some college","Black","Black","Democratic","35-49","Middle","Southeast"
"Trump",1.2517,1.2487,"Bachelor's","White","White","Republican","50-64","High","Bay Area"
NA,0.8734,0.4093,"Some college","Hispanic","Other","Democratic","35-49","High","Bay Area"
"Clinton",0.6253,0.5259,"Some college","Hispanic","Other","Democratic","50-64","Middle","Southeast"
"Clinton",1.1214,0.5496,"Some college","Black","Black","Democratic","18-34","High","Southeast"
"Trump",1.6313,1.6262,"Some college","White","White","Republican","65+","High","Central"
"Clinton",1.2905,0.844,"HS or less","Black","Black","Democratic","50-64","Low","North/Panhandle"
NA,1.419,1.3561,"Bachelor's","White","White","Republican","18-34","High","Central"
NA,0.9005,0.3286,"HS or less","White","White","Other","65+","Middle","Bay Area"
NA,0.5994,0.2261,"Postgraduate","Hispanic","Other","Other","35-49","Middle","Southwest"
"Trump",1.0186,0.5044,"HS or less","White","White","Republican","50-64","High","North/Panhandle"
"Clinton",0.9287,0.9257,"Postgraduate","Hispanic","Other","Democratic","35-49","High","Southeast"
"Trump",1.2933,1.2882,"Some college","White","White","Republican","50-64","High","Central"
"Clinton",0.9843,0.9665,"Postgraduate","White","White","Other","65+","High","Southwest"
"Trump",1.1214,1.0716,"Bachelor's","Black","Black","Democratic","18-34","High","Southeast"
"Trump",1.7013,1.6547,"Some college","White","White","Republican","18-34","High","Central"
"Clinton",0.7866,0.6761,"Some college","White","White","Other","18-34","Middle","Bay Area"
"Clinton",1.007,1.0046,"Some college","White","White","Democratic","50-64","High","Bay Area"
"Trump",0.6602,0.6053,"Postgraduate","Other","Black","Republican","50-64","Middle","Southeast"
"Clinton",0.7477,0.6146,"Bachelor's","Black","Black","Other","18-34","Middle","Bay Area"
